S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,13,2W,T,DC,26,16 -17,100.4725538,4.93,145.401749,"12°51'46"" R",9.923944444,78.18402778,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18402777777779 9.923944444444444, 78.18580555555556 9.923416666666666)"
15,14,,T,DC,26,17 -18,203.8342486,2.33,146.011383,"4°53'30"" L",9.923416667,78.18580556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18580555555556 9.923416666666666, 78.18727777777778 9.923138888888888)"
16,15,,S,DA,26,18 -19,164.4978599,3.61,143.909943,,9.923138889,78.18727778,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18727777777778 9.923138888888888, 78.18944444444445 9.922666666666666)"
17,16,,S,DA,26,19 -20,243.4237787,1.58,141.969589,,9.922666667,78.18944444,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18944444444445 9.922666666666666, 78.19144444444444 9.92225)"
18,17,,S,DA,26,20 -21,224.0401733,2.48,138.981308,,9.92225,78.19144444,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19144444444444 9.92225, 78.19380555555556 9.92175)"
19,18,,S,DA,26,21 -22,265.5374608,3.2,137.937485,,9.92175,78.19380556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19380555555556 9.92175, 78.19597222222222 9.921305555555556)"
20,19,,S,DA,26,22 -23,242.4221392,4.05,134.771515,,9.921305556,78.19597222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19597222222222 9.921305555555556, 78.19800000000001 9.920916666666667)"
21,20,,T,DC,26,23 -24,227.7573456,2.26,134.91217,"3°44'42"" R",9.920916667,78.198,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19800000000001 9.920916666666667, 78.20063888888889 9.920222222222222)"
22,21,,S,DA,26,24 -25,299.2430163,2.93,132.417114,,9.920222222,78.20063889,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20063888888889 9.920222222222222, 78.20319444444445 9.919527777777777)"
23,22,,S,DA,26,25 -26,290.2654732,3.22,132.516891,,9.919527778,78.20319444,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20319444444445 9.919527777777777, 78.20569444444445 9.918833333333334)"
24,23,,S,DA,26,26 -27,283.3859705,4.29,130.699341,,9.918833333,78.20569444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20569444444445 9.918833333333334, 78.20819444444444 9.918194444444444)"
25,24,2W,T,DC,26,27 -28,284.359727,1.62,129.427475,"0°24'42"" R",9.918194444,78.20819444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20819444444444 9.918194444444444, 78.21088888888889 9.917444444444444)"
26,25,,S,DA,26,28 -29,308.3446451,0.05,127.616196,,9.917444444,78.21088889,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21088888888889 9.917444444444444, 78.21327777777778 9.916805555555555)"
27,26,,S,DA,26,29 -30,270.6736206,1.53,127.568581,,9.916805556,78.21327778,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21327777777778 9.916805555555555, 78.21600000000001 9.916083333333333)"
28,27,,S,DA,26,30 -31,309.7355815,2.61,127.228874,,9.916083333,78.216,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21600000000001 9.916083333333333, 78.21858333333334 9.91538888888889)"
29,28,,T,DC,26,31 -32,293.2692703,0.99,126.363686,"9°50'22"" L",9.915388889,78.21858333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21858333333334 9.91538888888889, 78.22094444444444 9.915166666666668)"
30,29,,S,DA,26,32 -Gantry (Urangampatti SS),259.2845833,1.3,124.734047,,9.915166667,78.22094444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22094444444444 9.915166666666668, 78.22363888888889 9.914916666666667)"
31,30,,S,DA,26,Gantry (Urangampatti SS) -,297.7299577,3.46,125.297234,,9.914916667,78.22363889,GOOD,Available,,SOIL ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22363888888889 9.914916666666667, 78.22622222222222 9.914666666666667)"
32,31,,T,DC,26, -,283.6065223,0.85,123.059692,"0°9'54"" R",9.914666667,78.22622222,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22622222222222 9.914666666666667, 78.22877777777778 9.914416666666668)"
33,32,,T,DC,26, -,282.0321738,2.66,122.51178,"77°39'47"" R",9.914416667,78.22877778,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22877777777778 9.914416666666668, 78.22869444444444 9.914166666666667)"
34,Gantry (Urangampatti SS),2W,Gantry,H-POLE,12, 32-Gantry ,29.10287934,,123.09404,,9.914166667,78.22869444,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
