S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
25,24,,T,DB+0,22,27-28,367,9.35,FALSE,338.5074463,15°5'52''RT,10.18141639,77.5450233,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5450232997536 10.181416394189, 77.5433974619954 10.1829034276306)"
26,25,,T,DD+0,24,28-29,251,9.26,FALSE,357.2529297,50°2'57''LT,10.18290343,77.54339746,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5433974619954 10.1829034276306, 77.5407723337411 10.1825686544179)"
27,26,,S,DA+0,24,29-30,298,3.65,FALSE,357.4932861,,10.18256865,77.54077233,Good,Good,,THAR ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5407723337411 10.1825686544179, 77.5379333831369 10.1825436763465)"
28,27,,T,DB+0,22,30-31,319,5.32,FALSE,358.9351807,9°35'6''LT,10.18254368,77.53793338,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5379333831369 10.1825436763465, 77.5355095043778 10.1821161992847)"
29,28,,T,DB+0,22,31-32,278,6.32,FALSE,412.5283203,0°53'38''LT,10.1821162,77.5355095,Good,Good,,THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5355095043778 10.1821161992847, 77.5344589166343 10.1819141115993)"
30,29,,T,DD+0,24,32-33,126,5.89,FALSE,436.0804443,59°50'36''RT,10.18191411,77.53445892,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5344589166343 10.1819141115993, 77.5334505736827 10.1830574031919)"
31,30,,T,DB+0,22,33-34,177,1.21,FALSE,467.3231201,0°39'59''LT,10.1830574,77.53345057,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5334505736827 10.1830574031919, 77.5328154768794 10.183760812506)"
32,31,,T,DB+0,22,34-35,113,3.33,FALSE,446.1743164,1°14'60''RT,10.18376081,77.53281548,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5328154768794 10.183760812506, 77.5311816763132 10.1856517698615)"
33,32,,T,DB+0,22,35-36,285,2.12,FALSE,425.7463379,0°40'19''RT,10.18565177,77.53118168,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5311816763132 10.1856517698615, 77.5304821226745 10.1864809077233)"
34,33,,T,DB+3,25,36-37,128,5.63,FALSE,462.7568359,5°37'17''LT,10.18648091,77.53048212,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5304821226745 10.1864809077233, 77.5293963309377 10.1875375304371)"
35,34,2W,T,DD+0,24,37-38,176,0.56,FALSE,471.8892822,35°18'40''RT,10.18753753,77.52939633,Good,Good,,Dam Road,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5293963309377 10.1875375304371, 77.5288095138967 10.1907683350145)"
36,35,,T,DB+3,25,38-39,373,0.86,FALSE,533.8937988,12°54'24''LT,10.19076834,77.52880951,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5288095138967 10.1907683350145, 77.5276729278266 10.19340720959)"
37,36,,T,DB+3,25,39-40,354,1.12,FALSE,512.2644043,3°56'20''RT,10.19340721,77.52767293,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5276729278266 10.19340720959, 77.5270752143114 10.1951105799525)"
38,37,,T,DB+6,28,40-41,173,9.25,FALSE,542.5456543,7°0'15''LT,10.19511058,77.52707521,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5270752143114 10.1951105799525, 77.5255028530955 10.1982799451798)"
39,38,2W,T,DC+6,28,41-42,409,9.25,FALSE,624.7375488,26°14'11''LT,10.19827995,77.52550285,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5255028530955 10.1982799451798, 77.5222396943718 10.2007685322314)"
40,39,,T,DB+3,25,42-43,453,10.47,FALSE,662.9499512,5°3'2''RT,10.20076853,77.52223969,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5222396943718 10.2007685322314, 77.5196222774684 10.2031562011688)"
41,40,,T,DB+3,25,43-44,401,8.76,FALSE,769.1748047,9°40'31''LT,10.2031562,77.51962228,Good,Good,,FALLS,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5196222774684 10.2031562011688, 77.5168177764862 10.2049579750746)"
42,41,,T,DB+0,22,44-45,375,10.43,FALSE,733.6062012,4°10'52''LT,10.20495798,77.51681778,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5168177764862 10.2049579750746, 77.5142745394259 10.2063420787453)"
43,42,,T,DC+3,25,45-46,321,9.17,FALSE,796.5722656,25°3'30''LT,10.20634208,77.51427454,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5142745394259 10.2063420787453, 77.5114117003977 10.2065267320722)"
44,43,,T,DD+0,24,46-47,342,9.18,FALSE,787.4394531,53°0'38''RT,10.20652673,77.5114117,Good,Good,,GUMKARAI RIVER,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5114117003977 10.2065267320722, 77.5100173708051 10.2086322661489)"
45,44,,T,DC+3,25,47-48,293,6.85,FALSE,921.0620117,16°48'32''RT,10.20863227,77.51001737,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5100173708051 10.2086322661489, 77.5094738882035 10.2104549109935)"
46,45,2W,T,DB+3,25,48-49,220,3.46,FALSE,1014.789795,3°43'14''RT,10.21045491,77.50947389,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5094738882035 10.2104549109935, 77.5086909346282 10.213886462152)"
47,46,,T,DB+6,28,49-50,400,10.72,FALSE,1151.776611,15°26'48''LT,10.21388646,77.50869093,Good,Good,,,HILLY,Bottom LEG Slightly Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5086909346282 10.213886462152, 77.5080883596092 10.2150005009025)"
48,47,,T,DB+12,34,50-51,149,8.7,FALSE,1241.418945,4°34'13''RT,10.2150005,77.50808836,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5080883596092 10.2150005009025, 77.507554013282 10.2162113506346)"
49,48,,T,DB+12,34,51-52,155,11.22,FALSE,1296.694092,8°2'19''LT,10.21621135,77.50755401,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.507554013282 10.2162113506346, 77.5050500035285 10.2202351670712)"
50,49,,T,DC+12,34,52-53,533,10.66,FALSE,1590.134521,29°35'42''RT,10.22023517,77.50505,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5050500035285 10.2202351670712, 77.5049547851085 10.2228627260774)"
51,50,,T,DB+0,22,53-54,301,12.21,FALSE,1699.723877,1°46'59''LT,10.22286273,77.50495479,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5049547851085 10.2228627260774, 77.5048966147005 10.2237214520573)"
52,51,,S,DA+6,30,54-55,104,11.78,FALSE,1744.665039,,10.22372145,77.50489661,Good,Good,,,HILLY,"E/W IS IMPROPER POSITION, SO ITS BETTER TO CONSIDER AS TENSTION TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5048966147005 10.2237214520573, 77.504800138995 10.2252594474703)"
53,52,,T,DD+0,24,55-56,180,13.21,FALSE,1831.183105,62°19'33''LT,10.22525945,77.50480014,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.504800138995 10.2252594474703, 77.5057047139853 10.2258167602121)"
54,53,,T,DD+0,24,56-57,125,6.21,FALSE,1854.254639,38°7'16''LT,10.22581676,77.50570471,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5057047139853 10.2258167602121, 77.5062891002744 10.227407310158)"
55,54,,T,DC+0,22,57-58,197,2.44,FALSE,1869.395264,20°19'31''RT,10.22740731,77.5062891,Good,Good,22KV,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5062891002744 10.227407310158, 77.5062984880059 10.2290545217692)"
56,55,2W,T,DD+6,28,58-59,192,7.2,FALSE,1857.378906,62°37'32''LT,10.22905452,77.50629849,Good,Good,2-22KV,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5062984880059 10.2290545217692, 77.5078954081982 10.2299062907695)"
57,56,,T,DB+3,25,59-60,207,5.46,FALSE,1849.207764,9°33'24''RT,10.22990629,77.50789541,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5078954081982 10.2299062907695, 77.5104877632111 10.2307776734232)"
58,57,,T,DD+3,27,60-61,308,6.22,FALSE,1859.541748,32°47'34''RT,10.23077767,77.51048776,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5104877632111 10.2307776734232, 77.5122337974607 10.2303449157625)"
59,58,,T,DD+0,24,61-62,206,3.12,FALSE,1883.093994,36°55'13''LT,10.23034492,77.5122338,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5122337974607 10.2303449157625, 77.5133335031569 10.2308044116944)"
60,59,,T,DB+0,22,62-63,139,4.3,FALSE,1890.063477,5°3'53''LT,10.23080441,77.5133335,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5133335031569 10.2308044116944, 77.5145649723708 10.2314512431621)"
61,60,,T,DC+0,22,63-64,161,14.27,FALSE,1906.405518,22°13'50''LT,10.23145124,77.51456497,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5145649723708 10.2314512431621, 77.5155201740562 10.2325854822993)"
62,61,,T,DD+3,27,64-GANTRY,172,7.12,0,1917.941406,34°20'9''LT,10.23258548,77.51552017,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5155201740562 10.2325854822993, 77.5155944377183 10.2333496604114)"
63,62,,T,DC+0,22,GANTRY-,94,12.05,FALSE,1907.847656,26°24'59''RT,10.23334966,77.51559444,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5155944377183 10.2333496604114, 77.5152440741658 10.2342987433075)"
64,63,,T,DB+0,22,-,121,11,FALSE,1882.613281,5°34'36''RT,10.23429874,77.51524407,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5152440741658 10.2342987433075, 77.5147802196443 10.2360741980373)"
65,64,,T,DD+0,24,-,212,3.22,FALSE,1908.088135,79°44'51''LT,10.2360742,77.51478022,Good,Good,"2-LT,2-22KV",THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5147802196443 10.2360741980373, 77.5151439104229 10.2362518943846)"
66,GANTRY,2W,T,BAY,12,-,53,NIL,,1887.660156,,10.23625189,77.51514391,Good,NO E/W,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL KM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
