S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Horizontal Angle,Latitude,Longitude,"Condition of Tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,8,,MB+6,T,32,07-Aug,233.0756421,0.2,FALSE,176.729446,6°17'22''RT,9.911295881,77.96937801,Good,Good,"LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96937801493917 9.911295880819054, 77.96864501751074 9.909790910174356)"
13,9,,MD+3,T,29,08-Sep,185.0232382,0.3,FALSE,169.140518,44°23'59''RT,9.90979091,77.96864502,Good,Good,110KV,110KV THENI PASUMALAI & 230KV PASUMALAI PERIYAR ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96864501751074 9.909790910174356, 77.96757800124307 9.908891867329542)"
14,10,,B+3,T,29,09-Oct,153.7040832,0.41,FALSE,166.160995,3°11'14''RT,9.908891867,77.967578,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96757800124307 9.908891867329542, 77.9658219925387 9.907925936950392)"
15,11,,D+0,T,26,10-Nov,220.4323995,1.1,FALSE,165.03421,37°119'29''RT,9.907925937,77.96582199,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9658219925387 9.907925936950392, 77.96581402973018 9.905277926126127)"
16,12,,B+0,T,26,11-Dec,293.1565956,3.4,FALSE,162.082733,3°0'3''LT,9.905277926,77.96581403,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96581402973018 9.905277926126127, 77.9658159575674 9.902931915268542)"
17,13,,A+0,S,28,Dec-13,259.721611,1.32,FALSE,160.663284,,9.902931915,77.96581596,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9658159575674 9.902931915268542, 77.96583699614374 9.900764858041144)"
18,14,,B+0,T,26,13-14,239.9210656,2.2,FALSE,157.985046,5°5'21''RT,9.900764858,77.965837,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96583699614374 9.900764858041144, 77.96603698835186 9.898842887646577)"
19,15,,A+0,S,28,14-15,213.9065019,2.6,FALSE,158.356339,,9.898842888,77.96603699,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96603698835186 9.898842887646577, 77.96625701330848 9.896860902824264)"
20,16,,A+0,S,28,15-16,220.7463386,3.11,FALSE,151.828262,,9.896860903,77.96625701,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96625701330848 9.896860902824264, 77.96647402077991 9.894858885254084)"
21,17,,D+0,T,26,16-17,222.9153306,1.31,FALSE,153.164429,32°26'18''RT,9.894858885,77.96647402,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96647402077991 9.894858885254084, 77.9675619918048 9.893142858150947)"
22,18,,A+3,S,31,17-18,224.400026,0.41,FALSE,151.142715,,9.893142858,77.96756199,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9675619918048 9.893142858150947, 77.968781977804 9.891260869356731)"
23,19,,A+0,S,28,18-19,247.680973,1.21,FALSE,149.939148,,9.891260869,77.96878198,Good,Good,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.968781977804 9.891260869356731, 77.9701140298478 9.889211913044301)"
24,20,,B+0,T,26,19-20,269.8832536,1.3,FALSE,150.066284,3°3'40''RT,9.889211913,77.97011403,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9701140298478 9.889211913044301, 77.97103101004917 9.887968876744972)"
25,21,,A+0,S,28,20-21,170.501384,2.11,FALSE,147.763901,,9.887968877,77.97103101,Good,Good,LT,BIG ROCK,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97103101004917 9.887968876744972, 77.97218201298561 9.886432892915527)"
26,22,2W,D+0,T,26,21-22,211.8512935,2.6,FALSE,147.898285,31°7'10''RT,9.886432893,77.97218201,Good,Good,,KOTTAMPATTY ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97218201298561 9.886432892915527, 77.97233003739467 9.886164923462413)"
27,23,,H POLE,T,12,22-23,33.82531873,7.61,FALSE,170.439102,,9.886164923,77.97233004,H-POLE,Not Available,LT,KOTTAMPATTY ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97233003739467 9.886164923462413, 77.97236800741568 9.885777930993754)"
28,24,,H POLE,T,12,23-24,43.04555321,12.31,FALSE,147.498184,,9.885777931,77.97236801,H-POLE,Not Available,,230KV PASUMALAI KAYATAR 230 KV DC LINE,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97236800741568 9.885777930993754, 77.9723550154658 9.885514906875565)"
29,25,2W,D+0,T,26,24-25,29.15384971,9.71,FALSE,147.700623,37°157'32''RT,9.885514907,77.97235502,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9723550154658 9.885514906875565, 77.97314702149137 9.883311891224789)"
30,26,,A+3,S,31,25-26,258.9262569,3.11,FALSE,146.041946,,9.883311891,77.97314702,,,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97314702149137 9.883311891224789, 77.97388303640415 9.88125287667428)"
31,27,,A+0,S,28,26-27,241.8465276,4.8,FALSE,145.445145,,9.881252877,77.97388304,Good,Good,,VILLAGE ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97388303640415 9.88125287667428, 77.97464402938812 9.879151868786993)"
32,28,,D+0,T,26,27-28,247.146985,2.8,FALSE,145.282288,31°17'31''RT,9.879151869,77.97464403,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97464402938812 9.879151868786993, 77.97473899635011 9.877021859565351)"
33,29,,B+0,T,26,28-29,236.0403641,0.41,FALSE,146.219528,4°1'49''RT,9.87702186,77.974739,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97473899635011 9.877021859565351, 77.97487595664667 9.874889922502778)"
34,30,,B+3,T,29,29-30,236.5018721,0.9,FALSE,144.797165,3°1'22''RT,9.874889923,77.97487596,Good,Good,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97487595664667 9.874889922502778, 77.97496002713451 9.872757901625397)"
35,31,,B+0,T,26,30-31,236.2130925,1.01,FALSE,143.505569,8°169'34''RT,9.872757902,77.97496003,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97496002713451 9.872757901625397, 77.97466196665903 9.87070291046737)"
36,32,,A+0,S,28,31-32,229.8459696,1.21,FALSE,143.186768,,9.87070291,77.97466197,Good,Good,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97466196665903 9.87070291046737, 77.9743209908395 9.868109884952252)"
37,33,,B+0,T,26,32-33,289.5000016,2.11,FALSE,142.363708,11°0'3''LT,9.868109885,77.97432099,Good,Good,2 NO'S LT,ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9743209908395 9.868109884952252, 77.97407498198245 9.86617291098529)"
38,34,,A+0,S,28,33-34,216.1332494,3.71,FALSE,143.840851,,9.866172911,77.97407498,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97407498198245 9.86617291098529, 77.97383701975244 9.86425488011871)"
39,35,2W,B+0,T,26,34-35,213.9429741,3.51,FALSE,141.687088,6°3'43''RT,9.86425488,77.97383702,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97383701975244 9.86425488011871, 77.9737210142128 9.862176922531127)"
40,36,,A+3,S,31,35-36,230.3993594,2.61,FALSE,142.555679,,9.862176923,77.97372101,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9737210142128 9.862176922531127, 77.97360500867319 9.860251934675492)"
41,37,,B+3,T,29,36-37,213.4922502,2.71,FALSE,142.983582,1°1'15''RT,9.860251935,77.97360501,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97360500867319 9.860251934675492, 77.97338900702924 9.857798886933168)"
42,38,,B+0,T,26,37-38,272.6059642,2.01,FALSE,141.170486,4°4'51''RT,9.857798887,77.97338901,Good,Good,3 NO'S LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97338900702924 9.857798886933168, 77.97336000564395 9.855629901871511)"
43,39,,B+0,T,26,38-39,240.1455328,1.11,FALSE,142.072601,3°0'25''LT,9.855629902,77.97336001,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97336000564395 9.855629901871511, 77.97332698094516 9.853233934875446)"
44,40,,A+0,S,28,39-40,265.2779254,3.52,FALSE,140.96637,,9.853233935,77.97332698,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97332698094516 9.853233934875446, 77.9732969737315 9.851219931201781)"
45,41,,A+0,S,28,40-41,222.9909883,1.42,FALSE,140.424194,,9.851219931,77.97329697,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9732969737315 9.851219931201781, 77.97326495486116 9.84920785536717)"
46,42,2W,C+0,T,26,41-42,222.7809311,1.9,FALSE,139.855103,23°23'1''RT,9.849207855,77.97326495,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97326495486116 9.84920785536717, 77.97225200186838 9.847025878430404)"
47,43,,A+0,S,28,42-43,265.9335567,2.21,FALSE,139.098053,,9.847025878,77.972252,Good,Good,2 NO'S LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97225200186838 9.847025878430404, 77.97128900501835 9.844937862624164)"
48,44,,A+0,S,28,43-44,254.1917376,7.01,FALSE,138.513947,,9.844937863,77.97128901,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97128900501835 9.844937862624164, 77.97044100787903 9.843104908119878)"
49,45,,D+0,T,26,44-45,223.2614989,1.21,FALSE,138.121017,36°137'28''RT,9.843104908,77.97044101,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97044100787903 9.843104908119878, 77.97102103557475 9.841335907428135)"
50,46,,A+0,S,28,45-46,205.9360432,7.41,FALSE,138.074432,,9.841335907,77.97102104,Good,Good,"LT,11KV",VAGAIKULAM PRIVU ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97102103557475 9.841335907428135, 77.97163995530093 9.839458864002918)"
51,47,,A+0,S,28,46-47,218.6319118,1.31,FALSE,130.584946,,9.839458864,77.97163996,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97163995530093 9.839458864002918, 77.9721810071471 9.837758930195271)"
52,48,,B+3,T,29,47-48,197.3490156,1.21,FALSE,129.98967,7°7'35''RT,9.83775893,77.97218101,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9721810071471 9.837758930195271, 77.97257202292725 9.835619868496417)"
53,49,,B+3,T,29,48-49,240.6712298,1.11,FALSE,129.598923,7°7'58''RT,9.835619868,77.97257202,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97257202292725 9.835619868496417, 77.97301198902187 9.834240877765716)"
54,50,,A+0,S,28,49-50,160.1254783,2.51,FALSE,129.976273,,9.834240878,77.97301199,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97301198902187 9.834240877765716, 77.97346201340022 9.832858869550046)"
55,51,,B+0,T,26,50-51,160.7800646,1.41,FALSE,129.813675,2°0'36''LT,9.83285887,77.97346201,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97346201340022 9.832858869550046, 77.9740790052886 9.831030860257417)"
56,52,,B+3,T,29,51-52,213.4126193,1.71,FALSE,128.378143,12°9'30''RT,9.83103086,77.97407901,Good,Good,2 NO'S LT,THIRUMANGALAM - USILAMPATTY ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9740790052886 9.831030860257417, 77.9743140338519 9.829588921450409)"
57,53,,B+3,T,29,52-53,161.7066404,1.71,FALSE,126.603554,2°2'5''RT,9.829588921,77.97431403,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9743140338519 9.829588921450409, 77.97479901076606 9.827309881962014)"
58,54,,MD+9,T,64,53-54,257.8660782,0.81,FALSE,126.413628,97°97'47''RT,9.827309882,77.97479901,Good,Good,,PASUMALAI - ANUPANKULAM 110 KV & NH-4 ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97479901076606 9.827309881962014, 77.97578396820201 9.827644906554148)"
59,55,,MD+6,T,61,54-55,114.329283,0.71,FALSE,126.306252,48°48'52''RT,9.827644907,77.97578397,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97578396820201 9.827644906554148, 77.97734702549596 9.826758855458312)"
60,56,,D+0,T,26,55-56,197.675814,0.1,FALSE,127.679405,89°89'19''RT,9.826758855,77.97734703,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97734702549596 9.826758855458312, 77.97741802021545 9.826881901790424)"
61,57,2W,Thirumangalam Gantry,T,12,56-57,15.69487864,1,FALSE,128.773727,,9.826881902,77.97741802,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/S STERLITE POWER TRANSMISSION LIMITED,,,,,,,,,,,,,,,M/S TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
