S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,591,,T,C+3,24,592-591,228.8495721,2.79,FALSE,184.929184,"12°26'24"" R",10.04136111,78.20019444,Good,Available,LT -2N,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20019444444445 10.041361111111112, 78.20258333333334 10.040388888888888)"
17,590,,T,D,21,591-590,283.2007505,4.74,FALSE,182.176193,"45°2'24"" L",10.04038889,78.20258333,Good,Available,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20258333333334 10.040388888888888, 78.2035 10.038194444444445)"
18,589,,S,A+3,24,590-589,264.631307,5.62,FALSE,178.996521,,10.03819444,78.2035,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2035 10.038194444444445, 78.20444444444445 10.035944444444445)"
19,588,,T,C,21,589-588,267.3387384,2.9,FALSE,177.397324,"2°17'24"" L",10.03594444,78.20444444,Good,Available,"11KV -3N, LT-4N",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20444444444445 10.035944444444445, 78.20519444444444 10.033916666666666)"
20,587,,S,A,21,588-587,241.9138004,3.05,FALSE,174.263489,,10.03391667,78.20519444,Good,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20519444444444 10.033916666666666, 78.20594444444444 10.031805555555556)"
21,586,2W,T,D,21,587-586,247.1522017,1.8,FALSE,175.010452,"44°43'48"" R",10.03180556,78.20594444,Good,Available,110KV Kottampatti - Sempatti,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20594444444444 10.031805555555556, 78.208 10.030833333333334)"
22,585,,S,A,21,586-585,249.5299095,3.26,FALSE,175.090073,,10.03083333,78.208,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.208 10.030833333333334, 78.21016666666667 10.029861111111112)"
23,584,,T,D,21,585-584,261.5167952,1.36,FALSE,177.900482,"37°17'60"" R",10.02986111,78.21016667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21016666666667 10.029861111111112, 78.21305555555556 10.030444444444445)"
24,583,,S,A,21,584-583,320.7674342,1.49,FALSE,178.29364,,10.03044444,78.21305556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21305555555556 10.030444444444445, 78.2158888888889 10.031055555555556)"
25,582,,S,A+3,24,583-582,319.8360607,4.38,FALSE,179.181671,,10.03105556,78.21588889,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2158888888889 10.031055555555556, 78.21869444444445 10.031611111111111)"
26,581,,T,C,21,582-581,313.9156372,1.12,FALSE,180.601059,"2°50'24"" L",10.03161111,78.21869444,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21869444444445 10.031611111111111, 78.22102777777778 10.031972222222223)"
27,580,,S,A,21,581-580,258.7219257,2.36,FALSE,180.695938,,10.03197222,78.22102778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22102777777778 10.031972222222223, 78.22341666666667 10.032333333333334)"
28,579,,T,C+3,24,580-579,266.7223739,4.16,FALSE,180.644119,"7°22'48"" R",10.03233333,78.22341667,Good,Available,"11KV, LT",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22341666666667 10.032333333333334, 78.22605555555556 10.033111111111111)"
29,578,,S,A,21,579-578,299.6427313,4.45,FALSE,178.091644,,10.03311111,78.22605556,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22605555555556 10.033111111111111, 78.22880555555555 10.033944444444444)"
30,577,,T,D,21,578-577,315.8234457,1.11,FALSE,179.631622,"34°3'36"" R",10.03394444,78.22880556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22880555555555 10.033944444444444, 78.2303888888889 10.035833333333333)"
31,576,,S,A,21,577-576,273.2997049,4.25,FALSE,180.576279,,10.03583333,78.23038889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2303888888889 10.035833333333333, 78.23211111111111 10.037861111111111)"
32,575,,S,A+3,24,576-575,293.5073007,0.59,FALSE,182.614166,,10.03786111,78.23211111,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23211111111111 10.037861111111111, 78.23377777777777 10.039833333333334)"
33,574,,T,D,21,575-574,283.8089973,4.32,FALSE,180.972122,"31°0'36"" L",10.03983333,78.23377778,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23377777777777 10.039833333333334, 78.23630555555556 10.040722222222222)"
34,573,,S,A,21,574-573,294.4543741,4.09,FALSE,181.778732,,10.04072222,78.23630556,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23630555555556 10.040722222222222, 78.23897222222222 10.041694444444444)"
35,572,,S,A,21,573-572,311.920495,6.24,FALSE,182.667633,,10.04169444,78.23897222,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.23897222222222 10.041694444444444, 78.24163888888889 10.042638888888888)"
36,571,,S,A,21,572-571,310.6890235,4.56,FALSE,181.554489,,10.04263889,78.24163889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24163888888889 10.042638888888888, 78.24433333333333 10.043583333333332)"
37,570,2W,T,C,21,571-570,313.4184023,3.36,FALSE,183.507309,"9°25'12"" L",10.04358333,78.24433333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24433333333333 10.043583333333332, 78.24713888888888 10.044083333333333)"
38,569,,S,A+3,24,570-569,315.1670109,2.55,FALSE,172.922791,,10.04408333,78.24713889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24713888888888 10.044083333333333, 78.24969444444444 10.044555555555556)"
39,568,,S,A+6,27,569-568,284.2480669,2.72,FALSE,175.05365,,10.04455556,78.24969444,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.24969444444444 10.044555555555556, 78.25236111111111 10.045)"
40,567,,S,A+3,24,568-567,297.19853,3.6,FALSE,177.350967,,10.045,78.25236111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25236111111111 10.045, 78.25505555555556 10.0455)"
41,566,,T,C,21,567-566,300.6172897,4.37,FALSE,177.235107,"25°1'48"" R",10.0455,78.25505556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25505555555556 10.0455, 78.25711111111112 10.046888888888889)"
42,565,,S,A,21,566-565,272.5800254,2.87,FALSE,177.277405,,10.04688889,78.25711111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25711111111112 10.046888888888889, 78.25944444444444 10.0485)"
43,564,,S,A,21,565-564,311.4499593,3.82,FALSE,174.341324,,10.0485,78.25944444,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.25944444444444 10.0485, 78.26191666666666 10.050194444444445)"
44,563,,T,C,21,564-563,329.5892245,3.89,FALSE,173.255814,"9°38'60"" R",10.05019444,78.26191667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26191666666666 10.050194444444445, 78.26386111111111 10.052083333333334)"
45,562,,T,C+3,24,563-562,298.2692112,5.24,FALSE,171.593018,"21°28'48""L",10.05208333,78.26386111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26386111111111 10.052083333333334, 78.26616666666666 10.053166666666668)"
46,561,,S,A,21,562-561,280.5044662,5.68,FALSE,169.230621,,10.05316667,78.26616667,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26616666666666 10.053166666666668, 78.26844444444444 10.054250000000001)"
47,560,,T,C+3,24,561-560,277.1545321,2.62,FALSE,172.181183,"23°57'36""R",10.05425,78.26844444,Good,Available,110KV Kottampatti - Sempatti,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.26844444444444 10.054250000000001, 78.27044444444445 10.056583333333334)"
48,559,,T,D,21,560-559,338.5548712,1.73,FALSE,170.465729,"53°41'24"" L",10.05658333,78.27044444,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27044444444445 10.056583333333334, 78.2731388888889 10.056444444444445)"
49,558,,S,A+6,24,559-558,296.2858846,4.18,FALSE,168.776184,,10.05644444,78.27313889,Good,Available,"11KV, LT -2N",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2731388888889 10.056444444444445, 78.27602777777777 10.056277777777778)"
50,557,,T,D+6,27,558-557,318.0712774,2.49,FALSE,167.683167,"57°47'24"" L",10.05627778,78.27602778,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27602777777777 10.056277777777778, 78.2773888888889 10.053833333333333)"
51,556,2W,T,D,21,557-556,309.0071856,1.07,FALSE,168.66066,"57°46'12"" R",10.05383333,78.27738889,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2773888888889 10.053833333333333, 78.27983333333333 10.053694444444446)"
52,555,,S,A+3,24,556-555,268.5686071,4.43,FALSE,165.746872,,10.05369444,78.27983333,Good,Available,110KV Kottampatti - Sempatti,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.27983333333333 10.053694444444446, 78.28241666666666 10.053555555555556)"
53,554,,T,C,21,555-554,283.6837853,3.1,FALSE,164.859253,"16°2'24"" L",10.05355556,78.28241667,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28241666666666 10.053555555555556, 78.28519444444444 10.052611111111112)"
54,553,,S,A+3,24,554-553,323.0955035,3.77,FALSE,164.498291,,10.05261111,78.28519444,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28519444444444 10.052611111111112, 78.28802777777777 10.051666666666668)"
55,552,,S,A+6,27,553-552,325.5829659,4.52,FALSE,163.805847,,10.05166667,78.28802778,Good,Available,33KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.28802777777777 10.051666666666668, 78.29072222222221 10.05075)"
56,551,,T,C,21,552-551,313.0144801,3.18,FALSE,162.258789,"16°15'36"" R",10.05075,78.29072222,Good,Available,"11KV-2N, 33KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29072222222221 10.05075, 78.29297222222222 10.050666666666668)"
57,550,,S,A,21,551-550,248.501526,3.02,FALSE,163.243393,,10.05066667,78.29297222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29297222222222 10.050666666666668, 78.29541666666667 10.050555555555556)"
58,549,,S,A+3,24,550-549,266.0098179,4.07,FALSE,163.276474,,10.05055556,78.29541667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29541666666667 10.050555555555556, 78.29816666666666 10.050444444444445)"
59,548,,S,A,21,549-548,301.8527824,3.26,FALSE,166.205978,,10.05044444,78.29816667,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.29816666666666 10.050444444444445, 78.30066666666666 10.050361111111112)"
60,547,,T,C,21,548-547,275.7708937,4.19,FALSE,164.973251,"19°7'48""R",10.05036111,78.30066667,Good,Available,220KV Karakudi - Sempatti,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30066666666666 10.050361111111112, 78.30316666666667 10.05113888888889)"
61,546,,T,C+3,21,547-546,287.772381,0.32,FALSE,168.528336,"13°10'48""R",10.05113889,78.30316667,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30316666666667 10.05113888888889, 78.30572222222222 10.052555555555557)"
62,545,,T,D+6,27,546-545,321.5239721,4.23,FALSE,164.117645,"28°45'36""L",10.05255556,78.30572222,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30572222222222 10.052555555555557, 78.30872222222222 10.052611111111112)"
63,544,,T,D,21,545-544,328.6852267,3.12,FALSE,159.72496,"28°18'36"" L",10.05261111,78.30872222,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.30872222222222 10.052611111111112, 78.31061111111111 10.054722222222223)"
64,543,2W,T,D+3,24,544-543,312.8421914,2.24,FALSE,183.287247,"47°52'48"" R",10.05472222,78.31061111,Good,Available,LT-2N,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31061111111111 10.054722222222223, 78.3133611111111 10.055611111111112)"
65,542,,T,C+3,24,543-542,318.3383357,1.72,FALSE,179.505447,"30°59'24"" L",10.05561111,78.31336111,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3133611111111 10.055611111111112, 78.31605555555555 10.055888888888889)"
66,541,,S,A,21,542-541,296.3376716,3.94,FALSE,176.480972,,10.05588889,78.31605556,Good,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.31605555555555 10.055888888888889, 78.3188611111111 10.056111111111111)"
67,540,,S,A,21,541-540,309.5606641,4.82,FALSE,178.150482,,10.05611111,78.31886111,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3188611111111 10.056111111111111, 78.32180555555556 10.05638888888889)"
68,539,,S,A+3,24,540-539,324.0164346,1.6,FALSE,169.351898,,10.05638889,78.32180556,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32180555555556 10.05638888888889, 78.32475 10.056666666666667)"
69,538,,S,A,21,539-538,325.7824055,2.12,FALSE,167.918655,,10.05666667,78.32475,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32475 10.056666666666667, 78.3278611111111 10.056916666666668)"
70,537,,S,A+3,24,538-537,342.0571239,1.76,FALSE,167.219284,,10.05691667,78.32786111,Good,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3278611111111 10.056916666666668, 78.33038888888889 10.057222222222222)"
71,536,,T,C+3,24,537-536,280.0617714,4.72,FALSE,166.906601,"17°30'36"" L",10.05722222,78.33038889,Good,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33038888888889 10.057222222222222, 78.33322222222222 10.057277777777779)"
72,535,,S,A,21,536-535,310.9854893,5.03,FALSE,162.613419,,10.05727778,78.33322222,Good,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33322222222222 10.057277777777779, 78.33605555555555 10.057361111111112)"
73,534,,S,A,21,535-534,308.6362272,3.27,FALSE,161.178818,,10.05736111,78.33605556,Good,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33605555555555 10.057361111111112, 78.33911111111111 10.057416666666667)"
74,533,,S,A+6,27,534-533,336.4219961,3.78,FALSE,159.734436,,10.05741667,78.33911111,Good,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33911111111111 10.057416666666667, 78.3418611111111 10.057527777777779)"
75,532,,S,A,21,533-532,302.2555676,2.07,FALSE,155.951416,,10.05752778,78.34186111,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3418611111111 10.057527777777779, 78.34422222222221 10.057583333333334)"
76,531,2W,T,C+3,24,532-531,256.8599596,3.11,FALSE,153.716782,"17°7'12"" L",10.05758333,78.34422222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34422222222221 10.057583333333334, 78.34705555555556 10.056722222222223)"
77,530,,S,A,21,531-530,324.8494501,4.27,FALSE,155.428329,,10.05672222,78.34705556,Good,Available,"11KV ,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34705555555556 10.056722222222223, 78.34975 10.055944444444446)"
78,529,,S,A+3,24,530-529,307.5209759,3.18,FALSE,153.958725,,10.05594444,78.34975,Good,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34975 10.055944444444446, 78.35219444444444 10.055194444444446)"
79,528,,T,C+6,27,529-528,281.0286274,2.34,FALSE,156.031891,"13°41'24"" R",10.05519444,78.35219444,Good,Available,"11KV ,LT",NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35219444444444 10.055194444444446, 78.35516666666666 10.055027777777779)"
80,527,,S,A+3,24,528-527,327.923906,3.6,FALSE,151.38205,,10.05502778,78.35516667,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35516666666666 10.055027777777779, 78.35822222222221 10.054861111111112)"
81,526,,T,D,21,527-526,334.3093448,6.72,FALSE,150.871216,"34°35'60"" R",10.05486111,78.35822222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35822222222221 10.054861111111112, 78.36022222222222 10.056083333333333)"
82,525,,S,A+3,24,526-525,257.8488496,4.81,FALSE,150.814758,,10.05608333,78.36022222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36022222222222 10.056083333333333, 78.36255555555555 10.057555555555556)"
83,524,,S,A,21,525-524,303.6039162,2.11,FALSE,147.036652,,10.05755556,78.36255556,Good,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36255555555555 10.057555555555556, 78.36494444444443 10.058972222222224)"
84,523,,S,A,21,524-523,303.7020209,1.86,FALSE,146.543091,,10.05897222,78.36494444,Good,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36494444444443 10.058972222222224, 78.36730555555555 10.060361111111112)"
85,522,,S,A,21,523-522,302.0304659,1.04,FALSE,146.152069,,10.06036111,78.36730556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36730555555555 10.060361111111112, 78.36972222222222 10.061805555555557)"
86,521,,T,D+3,24,522-521,308.9065855,2.11,FALSE,142.998383,"24° 35'60"" L",10.06180556,78.36972222,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36972222222222 10.061805555555557, 78.37166666666666 10.062055555555556)"
87,520,,S,A,21,521-520,215.8991984,1.17,FALSE,141.837769,,10.06205556,78.37166667,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37166666666666 10.062055555555556, 78.37363888888888 10.062277777777778)"
88,519,,S,A,21,520-519,217.1215648,1.46,FALSE,142.321869,,10.06227778,78.37363889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37363888888888 10.062277777777778, 78.37658333333333 10.062611111111112)"
89,518,2W,T,C,21,519-518,324.9531346,1.32,FALSE,139.733002,"10°5'60"" R",10.06261111,78.37658333,Good,Available,LT-2N,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37658333333333 10.062611111111112, 78.37869444444443 10.06325)"
90,517,,S,A,21,518-517,242.8646088,5.06,FALSE,110.974106,,10.06325,78.37869444,Good,Available,"11KV, LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37869444444443 10.06325, 78.381 10.063944444444445)"
91,516,,S,A,21,517-516,264.1881757,4.49,FALSE,115.338287,,10.06394444,78.381,Good,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.381 10.063944444444445, 78.38308333333333 10.064555555555556)"
92,515,,S,A,21,516-515,238.375624,3.31,FALSE,119.955681,,10.06455556,78.38308333,Good,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38308333333333 10.064555555555556, 78.38502777777778 10.065138888888889)"
93,514,,T,C+6,27,515-514,224.4244309,3.9,FALSE,125.5448,"22°18'36""L",10.06513889,78.38502778,Good,Available,11KV,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38502777777778 10.065138888888889, 78.38802777777778 10.064861111111112)"
94,513,,T,D+6,27,514-513,330.2056892,2.26,FALSE,126.75753,"44°18'0"" R",10.06486111,78.38802778,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38802777777778 10.064861111111112, 78.39033333333334 10.066694444444444)"
95,512,,T,D,21,513-512,321.6081819,4.17,FALSE,127.232109,"41°1'12"" L",10.06669444,78.39033333,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39033333333334 10.066694444444444, 78.3933888888889 10.066583333333334)"
