SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,,T,"34°22'51""LT",KC,24,T9-T10,90.68011869,2.4,36,8.208908051,77.65082472,GOOD,AVAILABLE,,,plain land,"dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65082472 8.208908051, 77.6511734 8.206560934)"
11,11,,S,,GC,23.62,T10-T11,262.583553,1.52,32,8.206560934,77.6511734,GOOD,NOT AVAILABLE,"Lt Line-2Nos,33kv line",odai(Nala),Agri land,"dc Line,T10-T11earth wire Not available. Lt Line-2Nos,33kv line,odai(Nala), Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6511734 8.206560934, 77.65144732 8.20412254)"
12,12,,S,,GC,23.62,T11-T12,271.5403519,1.74,31,8.20412254,77.65144732,GOOD,NOT AVAILABLE,Lt Line,,plain land,"dc Line,T11-T12 Earth wire Not available.lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65144732 8.20412254, 77.65179064 8.20177705)"
13,13,2W,T,"30°35'08""RT",KC,24,T12-T13,262.3195206,2.46,29,8.20177705,77.65179064,GOOD,NOT AVAILABLE,"Lt line,33kv line-2Nos",Cart track,plain land,"dc Line, T12-T13 earth wire Not available,Lt line,33kv line-2Nos, cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65179064 8.20177705, 77.65048307 8.19880904)"
14,14,,S,,GC,23.62,T13-T14,358.7201247,1.59,27,8.19880904,77.65048307,GOOD,NOT AVAILABLE,,Cart track,plain land,"dc Line,T13-T14 earth wire Not available,cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65048307 8.19880904, 77.64911212 8.195475972)"
15,15,,S,,GC+3,26.62,T14-T15,398.6443554,1.728,23,8.195475972,77.64911212,GOOD,NOT AVAILABLE,33kv line,"Road.Pond,Odai bund",plain land,"dc Line,T14-T15 earth wire Not available,33kv line,Road.Pond,Odai bund,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64911212 8.195475972, 77.64798056 8.192790315)"
16,16,2W,T,"02°37'07""LT",HC+3,24.94,T15-T16,322.3485057,2.89,21,8.192790315,77.64798056,GOOD,NOT AVAILABLE,33kv line,Cart track,plain land,"dc Line,T15-T16 earth wire Not available,33kv line, cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64798056 8.192790315, 77.64717724 8.190570886)"
17,17,,S,,GC,23.62,T16-T17,261.1077616,2.49,20,8.190570886,77.64717724,GOOD,NOT AVAILABLE,Lt Line,"Pond,Odai bund",Agri land,"dc Linedc Line,T16-T17 earth wire Not available,ltline,Pond,Odai bund,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64717724 8.190570886, 77.6461171 8.187738847)"
18,18,,S,,GC,23.62,T17-T18,334.5114549,1.53,19,8.187738847,77.6461171,GOOD,NOT AVAILABLE,,Road,plain land,"dc Line,T16-T17 earth wire notavailable,Road.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6461171 8.187738847, 77.64495905 8.184643291)"
19,19,,T,"54°22'46""LT",KC+3,27,T18-T19,365.6088921,2.82,20,8.184643291,77.64495905,GOOD,NOT AVAILABLE," Ltline,11kv line",Road-2Nos,Agri land,"dc Line,T17-T18 earth  wire,Road-2Nos, Ltline,11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64495905 8.184643291, 77.64628776 8.182687932)"
20,20,,T,"17°04'55""RT",HC+3,24.94,T19-T20,261.3267043,2.71,21,8.182687932,77.64628776,GOOD,AVAILABLE,,Cart track,plain land,"dc Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64628776 8.182687932, 77.64838323 8.181006337)"
21,21,,S,,GC,23.62,T20-T21,296.6816271,1.38,20,8.181006337,77.64838323,GOOD,AVAILABLE,,Cart track,plain land,"dc Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64838323 8.181006337, 77.65040327 8.179388783)"
22,22,,T,"44°39'00""RT",KC,24,T21-T22,285.7588433,2.54,20,8.179388783,77.65040327,GOOD,AVAILABLE,"Lt line-2Nos,33kv Line",,plain land,"dc Line,lt line-2Nos,33kv Line,Road.,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65040327 8.179388783, 77.65060611 8.177623581)"
23,23,,T,"07°15'37""RT",HC,21.94,T22-T23,,2.84,21,8.177623581,77.65060611,GOOD,AVAILABLE,33Kv line,cart track,plain land,"dc Line,33kv line,.cart track. Plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65060611 8.177623581, 77.65060243 8.177334856)"
,GANTRY,2W,Irukkanthurai,,,,T23-Gantry (Irukkanthurai),31.95560109,,20,8.177334856,77.65060243,GOOD,NOT AVAILABLE,,,,T23-Irukkanthurai gantry  earth wire Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
