SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,14,,,,GC,23.62,T13-T14,271.9444597,1.59,64,8.336517,77.28535,GOOD,AVAILABLE,11KV Line,Cart Track,Agri Land,"Dc line,11kv line,cart track,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28535 8.336517, 77.28626 8.339052)"
15,15,,,,GC,23.62,T14-T15,297.6097492,1.72,56,8.339052,77.28626,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28626 8.339052, 77.28706 8.341279)"
16,16,,,"52°48'12""RT",KC,24,T15-T16,261.7796889,2.89,59,8.341279,77.28706,GOOD,AVAILABLE,11KV Line,,Agri Land,"Dc line11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28706 8.341279, 77.29079 8.342494)"
17,17,2W,,"04°16'18""RT",HC+3,24.94,T16-T17,432.3573913,2.49,65,8.342494,77.29079,GOOD,AVAILABLE,11KV Line,"Road,Canal",hills area,"Dc line,canel,11kv line,Road,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29079 8.342494, 77.29237 8.342821)"
18,18,,,,GC,23.62,T17-T18,178.0230677,1.53,66,8.342821,77.29237,GOOD,AVAILABLE,,,hills area,"Dc line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29237 8.342821, 77.29418 8.343276)"
19,19,,,,GC,23.62,T18-T19,206.009188,1.82,56,8.343276,77.29418,GOOD,AVAILABLE,,,"hills area, Agri land","Dc line.(hills area,Agri Land)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29418 8.343276, 77.29599 8.343771)"
20,20,,,"15°15'43""LT",HC+3,24.94,T19-T20,205.971006,2.71,56,8.343771,77.29599,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"Dc line,lt line,Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29599 8.343771, 77.29837 8.345115)"
21,21,,,,GC,23.62,T20-T21,301.6945987,1.38,68,8.345115,77.29837,GOOD,AVAILABLE,,,Plain Area,Dc line.land house inner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29837 8.345115, 77.30003 8.346013)"
22,22,,,"22°13'02""LT",HC+3,24.94,T21-T22,208.2373431,2.54,67,8.346013,77.30003,GOOD,AVAILABLE,"Lt line, 11KV Line",Road,Agri Land,"Dc line,lt line,11kv line,Road,house,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30003 8.346013, 77.30096 8.347176)"
23,23,,,"55°39'55""LT",KC+3,27,T22-T23,164.854386,2.76,56,8.347176,77.30096,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"Dc line,Road,lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30096 8.347176, 77.30023 8.349621)"
24,24,,,,GC,23.62,T23-T24,282.422404,1.84,66,8.349621,77.30023,GOOD,AVAILABLE,Lt Line -2Nos," Odai(nala), Road",Agri Land,"Dc line.lt line-2Nos, Odai(nala),factory,Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30023 8.349621, 77.29951 8.351904)"
25,25,,,"55°34'42""RT",KC,24,T24-T25,264.557368,2.85,62,8.351904,77.29951,GOOD,AVAILABLE,,,Agri Land,"Dc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29951 8.351904, 77.30087 8.35363)"
26,26,,,,GC,23.62,T25-T26,242.2487238,1.36,61,8.35363,77.30087,GOOD,AVAILABLE,"Lt line, 11KV Line"," Odai(nala),",Agri Land,"Dc line.cart track,lt Line,11kv.Line, Odai(nala),Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30087 8.35363, 77.30232 8.355446)"
27,27,,,,GC,23.62,T26-T27,256.8929382,1.84,56,8.355446,77.30232,GOOD,AVAILABLE,"Lt line, 11KV Line",Road,Agri Land,"Dc line,lt line,11kv,Road.compound,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30232 8.355446, 77.30377 8.357219)"
28,28,,,,GC,23.62,T27-T28,252.9373785,1.9,62,8.357219,77.30377,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30377 8.357219, 77.30485 8.358644)"
29,29,,,,GC,23.62,T28-T29,197.667373,1.53,61,8.358644,77.30485,GOOD,AVAILABLE, 11KV Line,Road,Agri Land,"Dc line.11kv line,Road.(land house inner)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30485 8.358644, 77.30608 8.360105)"
30,30,,,"43°37'08""LT",KC+3,27,T29-T30,211.1073395,2.49,57,8.360105,77.30608,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"Dc line,lt line,Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30608 8.360105, 77.30575 8.362584)"
31,31,2W,,,GC,23.62,T30-T31,276.7425291,1.78,67,8.362584,77.30575,GOOD,AVAILABLE,," Odai(nala),",Agri Land,"Dc line,odai(nala),Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30575 8.362584, 77.30562 8.36507)"
32,32,,,,GC,23.62,T31-T32,275.4218444,1.76,65,8.36507,77.30562,GOOD,AVAILABLE, 11KV Line,Road,Agri Land,"Dc line,11kv line,Road.house,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30562 8.36507, 77.30542 8.367617)"
33,33,2W,,"26°39'19""RT",HC+3,24.94,T32-T33,282.7236114,2.74,82,8.367617,77.30542,GOOD,AVAILABLE,Lt Line,,Agri Land,"Dc line,cart track,lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30542 8.367617, 77.30598 8.369019)"
34,34,,,,GC,23.62,T33-T34,167.1090539,1.37,76,8.369019,77.30598,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30598 8.369019, 77.30692 8.371169)"
35,35,,,,GC,23.62,T34-T35,259.1867497,1.9,81,8.371169,77.30692,GOOD,AVAILABLE,Lt Line,"Road, Canal",Agri Land,"Dc line,canal,road,lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30692 8.371169, 77.30755 8.372988)"
36,36,,,"21°34'39""LT",HC+3,24.94,T35-T36,213.2260154,2.82,110,8.372988,77.30755,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30755 8.372988, 77.30753 8.374091)"
37,37,,,,GC,23.62,T36-T37,122.0527844,1.52,113,8.374091,77.30753,GOOD,AVAILABLE,,Road,Agri Land,"Dc line,Road.(hills area,Agri Land)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30753 8.374091, 77.30756 8.374814)"
38,38,,,"04°42'43""LT",HC,21.94,T37-T38,80.04799866,2.45,118,8.374814,77.30756,GOOD,AVAILABLE,,,hills area,"Dc line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30756 8.374814, 77.3075 8.375509)"
39,39,,,"26°44'4""RT",HC,21.94,T38-T39,77.1423031,2.86,137,8.375509,77.3075,GOOD,AVAILABLE,,,hills area,"Dc line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3075 8.375509, 77.30856 8.378116)"
40,40,,,"36°16'02""LT",KC,24,T39-T40,311.2025451,2.58,87,8.378116,77.30856,GOOD,AVAILABLE,,,hills area,"Dc line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30856 8.378116, 77.30824 8.379395)"
41,41,,,"41°28'19""LT",KC,24,T40-T41,146.0067374,2.32,88,8.379395,77.30824,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30824 8.379395, 77.3063 8.380576)"
42,42,,,,GC,23.62,T41-T42,249.9131634,1.33,88,8.380576,77.3063,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3063 8.380576, 77.3047 8.381821)"
43,43,,,,GC,23.62,T42-T43,223.9442847,1.53,88,8.381821,77.3047,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3047 8.381821, 77.30281 8.383085)"
44,44,,,"33°38'23""RT",KC,24,T43-T44,250.7446715,2.93,81,8.383085,77.30281,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30281 8.383085, 77.30179 8.385592)"
45,45,,,"30°58'22""RT",KC+3,27,T44-T45,299.1672144,2.42,77,8.385592,77.30179,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"Dc line,Road,Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30179 8.385592, 77.30212 8.387836)"
46,46,,,,GC,23.62,T45-T46,250.8552322,1.58,105,8.387836,77.30212,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30212 8.387836, 77.30253 8.390134)"
47,47,,,,GC,23.62,T46-T47,258.2206949,1.7,103,8.390134,77.30253,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30253 8.390134, 77.30274 8.391522)"
48,48,,,,GC,23.62,T47-T48,155.4200567,1.82,103,8.391522,77.30274,GOOD,AVAILABLE,,,hills area,"dc line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30274 8.391522, 77.30302 8.393323)"
49,49,,,"61°29'30""LT",KC,24,T48-T49,201.4952526,2.73,92,8.393323,77.30302,GOOD,AVAILABLE,,,hills area,"dc line,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30302 8.393323, 77.30167 8.394349)"
50,50,2W,,"04°50'33""RT",HC,21.94,T49-T50,186.6993867,2.84,91,8.394349,77.30167,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30167 8.394349, 77.30043 8.395476)"
51,51,,,"26°07'56""RT",HC,21.94,T50-T51,185.2895706,2.74,80,8.395476,77.30043,GOOD,AVAILABLE,,Cart Track,hills area,"Dc line,cart track,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30043 8.395476, 77.29966 8.397413)"
52,52,,,"42°09'30""RT",KC,24,T51-T52,230.4126363,2.81,74,8.397413,77.29966,GOOD,AVAILABLE,11KV Line,Cart Track,Agri Land,"Dc line,cart track.11kv,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29966 8.397413, 77.30052 8.399764)"
53,53,,,,GC,23.62,T52-T53,276.8583978,1.93,91,8.399764,77.30052,GOOD,AVAILABLE,,"odai(nala),cart track",Agri Land,"Dc line,odai(nala),cart track,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30052 8.399764, 77.3014 8.402076)"
54,54,,,,GC,23.62,T53-T54,273.5918359,1.72,78,8.402076,77.3014,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3014 8.402076, 77.30243 8.404603)"
55,55,,,,GC,23.62,T54-T55,301.8082833,1.67,85,8.404603,77.30243,GOOD,AVAILABLE,11Kv Line,,Agri Land,"Dc line,11kv,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30243 8.404603, 77.30321 8.406827)"
56,56,,,"18°57'08""LT",HC+3,24.94,T55-T56,260.5893552,2.59,114,8.406827,77.30321,GOOD,AVAILABLE,Lt Line,Road,hills area,"Dc line,road,lt line,(hills area)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30321 8.406827, 77.30327 8.408799)"
57,57,,,"14°10'32""LT",HC,21.94,T56-T57,218.3253262,2.76,145,8.408799,77.30327,GOOD,AVAILABLE,,,hills area,"Dc line,hills Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30327 8.408799, 77.30269 8.411368)"
58,58,,,"01°51'13""RT",HC,21.94,T57-T58,291.1579542,2.84,98,8.411368,77.30269,GOOD,AVAILABLE,11kv Line,Road,Agri Land,"Dc line,11kv line,Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30269 8.411368, 77.30233 8.413301)"
59,59,,,,GC,23.62,T58-T59,217.6327871,1.91,96,8.413301,77.30233,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30233 8.413301, 77.30194 8.415341)"
60,60,,,"07°42'45""RT",HC,21.94,T59-T60,229.7066233,2.75,85,8.415341,77.30194,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30194 8.415341, 77.30185 8.4177)"
61,61,,,,GC,23.62,T60-T61,261.1519056,1.47,90,8.4177,77.30185,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30185 8.4177, 77.30171 8.420173)"
62,62,,,,GC,23.62,T61-T62,274.0194553,1.88,85,8.420173,77.30171,GOOD,AVAILABLE,,,Agri Land,Dc lineAgri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30171 8.420173, 77.30156 8.42263)"
63,63,,,"47°11'46""LT",KC,24,T62-T63,272.3762764,2.43,78,8.42263,77.30156,GOOD,AVAILABLE,11kv Line,Road,Agri Land,"Dc line,Road,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30156 8.42263, 77.30047 8.42349)"
64,64,,,,GC,23.62,T63-T64,152.9222417,1.53,77,8.42349,77.30047,GOOD,AVAILABLE,11kv Line,"Road,Well",Agri Land,"Dc line,road,11kv Line,well,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30047 8.42349, 77.2993 8.424504)"
65,65,2W,,"59°38'02""RT",KC,24,T64-T65,170.8294556,2.78,73,8.424504,77.2993,GOOD,AVAILABLE,,,Agri Land,"Dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2993 8.424504, 77.29947 8.425491)"
66,66,,,"19°17'13""RT",HC,21.94,T65-T66,110.712581,2.94,74,8.425491,77.29947,GOOD,AVAILABLE,,Odai(nala),Plain Area,"Dc line,odai(nala),compound wall,plain Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29947 8.425491, 77.3005 8.427421)"
67,67,,,,GC+3,26.62,T66-T67,241.6675389,1.48,82,8.427421,77.3005,GOOD,AVAILABLE,"Lt Line, 11KV line","Road, Canal",Agri Land,"Dc line,.compound wall,canel,lt line,11kv line,Road,Agri Land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3005 8.427421, 77.3016 8.42937)"
68,68,,,,GC,23.62,T67-T68,247.6428768,1.36,80,8.42937,77.3016,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"Dc line,Road,Lt line,house,Agri Land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3016 8.42937, 77.30252 8.431019)"
69,69,,,"06°34'19""LT",HC+3,24.94,T68-T69,208.390254,2.62,75,8.431019,77.30252,GOOD,AVAILABLE,,,Agri Land,"Dc line,house,agri lnad(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30252 8.431019, 77.30355 8.433518)"
70,70,,,,GC+3,26.62,T69-T70,299.2707858,1.95,79,8.433518,77.30355,GOOD,AVAILABLE,Lt Line,Road,Plain Area,"Dc line,ltLine,Road,house,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30355 8.433518, 77.30432 8.435415)"
71,71,,,"16°25'35""RT",HC,21.94,T70-T71,226.0814329,2.51,85,8.435415,77.30432,GOOD,AVAILABLE,Lt Line,"Cart Track, well",Plain Area,"Dc line,lt Line,cart track,house,well,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30432 8.435415, 77.3059 8.437365)"
72,72,,,,GC,23.62,T71-T72,277.3362826,1.92,83,8.437365,77.3059,GOOD,AVAILABLE,Lt Line,"Cart Track, well",Plain Area,"Dc line,cart track,well,house,lt line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3059 8.437365, 77.30729 8.439124)"
73,73,,,"24°57'01""LT",HC,21.94,T72-T73,247.7639893,2.38,91,8.439124,77.30729,GOOD,AVAILABLE,"Lt line-2Nos,11kv line-2Nos","Canal, Road",Plain Area,"Dc line,Lt line-2Nos,11kv line-2Nos,canel,house,Road-2Nos,plain area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30729 8.439124, 77.30773 8.440627)"
74,74,,,,GC+3,26.62,T73-T74,173.419254,1.52,100,8.440627,77.30773,GOOD,AVAILABLE,Lt Line,Road,Plain Area,"Dc line,Road,Lt Line,house,plain area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30773 8.440627, 77.30814 8.442568)"
75,75,,,,GC+3,26.62,T74-T75,219.2021866,1.7,99,8.442568,77.30814,GOOD,AVAILABLE,lt Line-2Nos,"Road-2Nos,well",Plain Area,"Dc line,road-2Nos,Lt line-2Nos,well,house,plain area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30814 8.442568, 77.30875 8.445088)"
76,76,,,"22°19'36""RT",HC+3,24.94,T75-T76,286.8165105,2.64,85,8.445088,77.30875,GOOD,AVAILABLE,Lt Line,Road,Plain Area,"Dc line,road,lt line,house,Agri Land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30875 8.445088, 77.3095 8.446259)"
77,77,,,,GC+3,26.62,T76-T77,154.176022,1.39,83,8.446259,77.3095,GOOD,AVAILABLE,11kv Line,Road,Plain Area,"Dc line,Road,11kv line,house,plain area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3095 8.446259, 77.31044 8.447415)"
78,78,,,"05°06'19""LT",HC+3,24.94,T77-T78,164.5249625,2.98,84,8.447415,77.31044,GOOD,AVAILABLE,"Lt Line, 33Kv Line",Road,Agri Land,"Dc line,33kv line,lt line,Road,Agri Land(banana garden)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31044 8.447415, 77.3108 8.448016)"
79,Pechiparai Gantry,2W,,,,,T78-Pechiparai gantry,77.42873501,1.47,93,8.448016,77.3108,GOOD,NOT AVAILABLE,"33kV lIne, 11Kv Line",Road,,"T78-Pechiparai gantry Earth wire Not Avalilable,33kvline,11kv line,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
