SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,27,T,"3°35'0""RT",HCR,24,T26-T27,290.13634999083774,1.24,65,8.94405707798417,77.7772328630089,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line ,cart track,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7772328630089 8.94405707798417, 77.7777086198329 8.94663280640188)"
28,28,S,,GCR+3,30,T27-T28,289.86164644704644,7.35,64,8.94663280640188,77.7777086198329,AVAILABLE,,,PLAIN LAND," Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7777086198329 8.94663280640188, 77.7780194208026 8.94934596235936)"
29,29,S,,GCR+3,30,T28-T29,302.24715692464105,5.64,65,8.94934596235936,77.7780194208026,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc line ,odai( nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7780194208026 8.94934596235936, 77.7786222472786 8.9510880415784)"
30,30,S,,GCR+3,30,T29-T30,203.91612309468945,3.35,65,8.9510880415784,77.7786222472786,AVAILABLE,,"ODAI(NALA),ROAD",PLAIN LAND,"Dc line , road ,odai(nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7786222472786 8.9510880415784, 77.7792663127183 8.95372167857985)"
31,31,S,,GCR,27,T30-T31,299.9972098887202,2.81,63,8.95372167857985,77.7792663127183,AVAILABLE,LT LINE,ROAD,PLAIN LAND," Dc line,  Road , Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7792663127183 8.95372167857985, 77.7796371281147 8.95621586625855)"
32,32,S,,GCR,27,T31-T32,279.0696107228397,2.15,65,8.95621586625855,77.7796371281147,AVAILABLE,,,PLAIN LAND,"Dc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7796371281147 8.95621586625855, 77.7800515294075 8.95830433370952)"
33,33,T,"0°25'30""RT",HCR,24,T32-T33,235.61687368487122,6.13,65,8.95830433370952,77.7800515294075,AVAILABLE,,,PLAIN LAND,"Dc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7800515294075 8.95830433370952, 77.7807036414742 8.96089089030501)"
34,34,S,,GCR,27,T33-T34,295.15135504516087,5.69,65,8.96089089030501,77.7807036414742,AVAILABLE,,ODAI(NALA),PLAIN LAND," Dc line, odai( nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7807036414742 8.96089089030501, 77.7810781449079 8.96310981662963)"
35,35,S,,GCR,27,T34-T35,249.03643786602055,4.21,66,8.96310981662963,77.7810781449079,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc line, odai( nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7810781449079 8.96310981662963, 77.7814486250281 8.96488296084837)"
36,36,S,,GCR,27,T35-T36,200.45030355175075,2.1,66,8.96488296084837,77.7814486250281,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7814486250281 8.96488296084837, 77.78195053339 8.96732077163045)"
37,37,S,,GCR,27,T36-T37,275.4250171661864,4.21,66,8.96732077163045,77.78195053339,AVAILABLE,,,PLAIN LAND," Dc line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78195053339 8.96732077163045, 77.7824581414461 8.96965590148348)"
38,38,S,,GCR,27,T37-T38,264.432198888501,5.04,68,8.96965590148348,77.7824581414461,AVAILABLE,33KV LINE,,PLAIN LAND,"Dc line, 33 kv line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7824581414461 8.96965590148348, 77.7828651666641 8.97198737340169)"
39,39,T,"0°25'30""RT",HCR,24,T38-T39,261.918591474521,6.21,68,8.97198737340169,77.7828651666641,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc line, odai(nala),Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7828651666641 8.97198737340169, 77.7833902090787 8.97433207721294)"
40,40,S,,GCR,27,T39-T40,265.8779070551085,8.42,70,8.97433207721294,77.7833902090787,AVAILABLE,,,PLAIN LAND," Dc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7833902090787 8.97433207721294, 77.7839373797178 8.97707019519488)"
41,41,S,,GCR,27,T40-T41,270,5.09,71,8.97707019519488,77.7839373797178,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line, cart track,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7839373797178 8.97707019519488, 77.7843708917498 8.97944963870082)"
42,42,S,,GCR,27,T41-T42,267.65552119273923,5.6,71,8.97944963870082,77.7843708917498,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line,  Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7843708917498 8.97944963870082, 77.7847772464156 8.98134523429426)"
43,43,S,,GCR,27,T42-T43,214.5272652345589,3.04,73,8.98134523429426,77.7847772464156,AVAILABLE,,ROAD,PLAIN LAND,"Dc line, Road ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7847772464156 8.98134523429426, 77.7853368222713 8.98406376070819)"
44,44,S,,GCR,27,T43-T44,307.138394840098,9.72,71,8.98406376070819,77.7853368222713,AVAILABLE,,,PLAIN LAND," Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7853368222713 8.98406376070819, 77.785772010684 8.9861977681307)"
45,45,S,,GCR,27,T44-T45,241.00988269581953,4.64,72,8.9861977681307,77.785772010684,AVAILABLE,,,PLAIN LAND,"Dc line ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.785772010684 8.9861977681307, 77.7862118929624 8.98842481865)"
46,46,T,"0°32'26""LT",HCR,24,T45-T46,251.2102063870148,6.96,74,8.98842481865,77.7862118929624,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7862118929624 8.98842481865, 77.7866266295313 8.99077736391053)"
47,47,S,,GCR,27,T46-T47,264.3628533908229,1.07,72,8.99077736391053,77.7866266295313,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7866266295313 8.99077736391053, 77.7871372550726 8.99334547547357)"
