SL.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A154,149,S,,GCR,27,T148 - T149,342.91285986380365,2.58,81,9.201919472,77.87866596,AVAILABLE,,,PLAIN LAND,"DC line,md,plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87866596 9.201919472, 77.87951086 9.204270945)"
=1+A155,150,T,"1°14'26""RT",HCR+3,27,T149 - T150,276.3887978789921,1.75,79,9.204270945,77.87951086,AVAILABLE,,ROAD,PLAIN LAND,"DC line,md,highway road ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87951086 9.204270945, 77.88030446 9.206290122)"
=1+A156,151,T,"3°17'39""LT",HCR,24,T150 - T151,239.95283058557928,1.94,79,9.206290122,77.88030446,AVAILABLE,,,AGRI LAND,"DC line,md,agri land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88030446 9.206290122, 77.88102295 9.208482376)"
=1+A157,152,T,"3°1'11""RT",HCR,24,T151 - T152,255.2156095578284,1.67,79,9.208482376,77.88102295,AVAILABLE,,,PLAIN LAND,"DC line,md,plain land.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88102295 9.208482376, 77.88164187 9.210079563)"
=1+A158,152A,T,"0°53'20""LT",HCR,24,T152 - T152A,189.45431729311133,1.32,77,9.210079563,77.88164187,AVAILABLE,,,PLAIN LAND,"DC line, lilo,plain land..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88164187 9.210079563, 77.88243346 9.212220828)"
=1+A159,153,T,"0°8'22""LT",HCR,24,T152A - T153,252.51226125669376,1.86,77,9.212220828,77.88243346,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88243346 9.212220828, 77.88329277 9.214579513)"
=1+A160,154,S,,GCR,27,T153 - T154,277.67653953840215,1.57,75,9.214579513,77.88329277,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,lt line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88329277 9.214579513, 77.8840619 9.216589033)"
=1+A161,155,S,,GCR,27,T154 - T155,237.98737921580374,2.62,76,9.216589033,77.8840619,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8840619 9.216589033, 77.88484644 9.218864622)"
=1+A162,156,S,,GCR+3,30,T155 - T156,266.2678953103178,1.42,76,9.218864622,77.88484644,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC Line,lt line-2nos,road,compound wall,plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88484644 9.218864622, 77.88562495 9.221032309)"
=1+A163,157,S,,GCR,27,T156 - T157,254.77308368036554,2.93,76,9.221032309,77.88562495,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88562495 9.221032309, 77.88645275 9.223239033)"
=1+A164,158,S,,GCR+3,30,T157 - T158,260.69117841803927,1.47,73,9.223239033,77.88645275,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,lt line,road crs,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88645275 9.223239033, 77.88723562 9.225394448)"
=1+A165,159,S,,GCR,27,T158 - T159,253.65644067723576,1.78,73,9.225394448,77.88723562,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88723562 9.225394448, 77.88804866 9.227523706)"
=1+A166,160,T,"0°43'4""LT",HCR,24,T159 - T160,252.09357986660902,1.48,73,9.227523706,77.88804866,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88804866 9.227523706, 77.88886037 9.229876333)"
=1+A167,161,S,,GCR,27,T160 - T161,275.30380325206295,1.78,72,9.229876333,77.88886037,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88886037 9.229876333, 77.88960937 9.231951952)"
=1+A168,162,S,,GCR,27,T161 - T162,244.08454093811898,1.82,71,9.231951952,77.88960937,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88960937 9.231951952, 77.89040029 9.234278075)"
=1+A169,163,S,,GCR,27,T162 - T163,271.789269317209,2.72,72,9.234278075,77.89040029,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89040029 9.234278075, 77.8911322 9.236366575)"
=1+A170,164,S,,GCR,27,T163 - T164,244.80280714491104,1.96,73,9.236366575,77.8911322,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8911322 9.236366575, 77.89195731 9.238555995)"
=1+A171,165,S,,GCR,27,T164 - T165,258.7935544579588,1.63,74,9.238555995,77.89195731,AVAILABLE,LR LINE-5NOS,,PLAIN LAND,"DC Line,lt line-5nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89195731 9.238555995, 77.89272442 9.240860233)"
=1+A172,166,S,,GCR+3,30,T165 - T166,268.66182712291186,1.47,74,9.240860233,77.89272442,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC Line,lt line-2nos,raod ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89272442 9.240860233, 77.89357066 9.243218065)"
=1+A173,167,S,,GCR,27,T166 - T167,277.1012495983724,1.82,73,9.243218065,77.89357066,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89357066 9.243218065, 77.8943703 9.245443844)"
=1+A174,168,T,"0°8'22""LT",HCR,27,T167 - T168,261.6109525478451,1.54,73,9.245443844,77.8943703,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8943703 9.245443844, 77.89515819 9.247752007)"
=1+A175,169,S,,GCR+3,30,T168 - T169,269.80035442898986,1.47,74,9.247752007,77.89515819,AVAILABLE,,ROAD,PLAIN LAND,"DC Line,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89515819 9.247752007, 77.89592396 9.249954594)"
=1+A176,170,S,,GCR,27,T169 - T170,257.9548804926413,2.68,76,9.249954594,77.89592396,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC Line,lt line-2nos,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89592396 9.249954594, 77.89677791 9.252159152)"
=1+A177,171,S,,GCR,27,T170 - T171,261.48481420737005,1.54,76,9.252159152,77.89677791,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89677791 9.252159152, 77.89747797 9.254485802)"
=1+A178,172,S,,GCR,27,T171 - T172,268.81556879945975,1.61,74,9.254485802,77.89747797,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89747797 9.254485802, 77.8983289 9.256883914)"
=1+A179,173,S,,GCR,27,T172 - T173,281.47597721472084,1.32,78,9.256883914,77.8983289,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8983289 9.256883914, 77.89921973 9.259306828)"
=1+A180,174,S,,GCR,27,T173 - T174,285.5426707884805,1.54,78,9.259306828,77.89921973,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89921973 9.259306828, 77.90001098 9.26158545)"
=1+A181,175,T,"1°34'51""RT",HCR,24,T174 - T175,266.82546649447806,1.72,80,9.26158545,77.90001098,AVAILABLE,"230KV, 110KV, 11KV LINE",ODAI(NALA),PLAIN LAND,"DC Line,11kv  line,odai(nala)dp under crossing tower over crossing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90001098 9.26158545, 77.900072 9.262116)"
=1+A182,175A,T(LILO),"0°00'00""",KCR,24,T-175-T175A,120,2.17,80,9.262116,77.900072,AVAILABLE,,,,LILO on N.Subbaiyapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.900072 9.262116, 77.90087868 9.263863395)"
=1+A183,176,T,"1°32'36""LT",HCR+3,27,T175A - T176,160,2.84,81,9.263863395,77.90087868,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC Line,lt line-2Nos,road , KLRF textiles,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90087868 9.263863395, 77.90174872 9.266211146)"
=1+A184,177,S,,GCR,27,T176 - T177,276.943901729192,1.42,79,9.266211146,77.90174872,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90174872 9.266211146, 77.9025393 9.268604214)"
=1+A185,178,S,,GCR,27,T177 - T178,278.8098662278891,1.78,79,9.268604214,77.9025393,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9025393 9.268604214, 77.90334765 9.270990317)"
=1+A186,179,S,,GCR,27,T178 - T179,278.6938366827768,1.46,81,9.270990317,77.90334765,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90334765 9.270990317, 77.90417444 9.27334166)"
=1+A187,180,S,,GCR,27,T179 - T180,275.7127995578931,1.39,81,9.27334166,77.90417444,AVAILABLE,,,AGRI LAND,"DC Line,agriland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90417444 9.27334166, 77.90500626 9.275688024)"
=1+A188,181,S,,GCR,27,T180 - T181,275.3755161466128,2.63,79,9.275688024,77.90500626,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90500626 9.275688024, 77.9058354 9.278052571)"
=1+A189,182,S,,GCR,27,T181 - T182,277.17747060314815,1.37,78,9.278052571,77.9058354,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9058354 9.278052571, 77.90667057 9.280399897)"
=1+A190,183,T,"0°00'00""",HCR+3,27,T182 - T183,275.59816524789227,1.92,77,9.280399897,77.90667057,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC Line,lt line-2Nos,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90667057 9.280399897, 77.9073656 9.282355106)"
=1+A191,184,S,,GCR,27,T183 - T184,229.53735007625804,1.62,74,9.282355106,77.9073656,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9073656 9.282355106, 77.90798787 9.284122032)"
=1+A192,185,S,,GCR,27,T184 - T185,207.2203404011451,1.72,74,9.284122032,77.90798787,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90798787 9.284122032, 77.90880159 9.28641803)"
=1+A193,186,S,,GCR,27,T185 - T186,269.4552162364596,2.46,74,9.28641803,77.90880159,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90880159 9.28641803, 77.90949158 9.288387434)"
=1+A194,187,S,,GCR,27,T186 - T187,230.83742136179816,1.92,74,9.288387434,77.90949158,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90949158 9.288387434, 77.91018527 9.290346901)"
=1+A195,188,S,,GCR,27,T187 - T188,229.932526715995,1.56,74,9.290346901,77.91018527,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91018527 9.290346901, 77.91094232 9.292514478)"
=1+A196,189,S,,GCR,27,T188 - T189,253.97939877284935,1.91,75,9.292514478,77.91094232,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91094232 9.292514478, 77.9117379337549 9.29461057238779)"
=1+A197,190,T,"0°00'00""",HCR,24,T189 - T190,247.98206065963848,1.59,73,9.29461057238779,77.9117379337549,AVAILABLE,33KV LINE,CART TRACK,PLAIN LAND,"DC Line,33kv line,cart track,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9117379337549 9.29461057238779, 77.9125774651765 9.29688400202833)"
=1+A198,191,T,"1°24'43""LT",HCR,24,T190 - T191,268.06375654304844,2.93,72,9.29688400202833,77.9125774651765,NOT AVAILABLE,"23OKV BRIDGE TOWER, LT LINE",,AGRI LAND,"DC Line,T190 TO T191  earth wire is not available,bridge tower 230kv over head, lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9125774651765 9.29688400202833, 77.913247346878 9.29860618711597)"
=1+A199,192,S,,GCR,27,T191 - T192,204.38047807221395,1.91,73,9.29860618711597,77.913247346878,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.913247346878 9.29860618711597, 77.913802228868 9.30028369643023)"
=1+A200,193,S,,GCR,27,T192 - T193,195.46682888406045,2.92,73,9.30028369643023,77.913802228868,AVAILABLE,,"CART TRACK, ODAI(NALA)",PLAIN LAND,"DC Line,cart track,odai(nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.913802228868 9.30028369643023, 77.9145066440105 9.30253492114236)"
=1+A201,194,T,"25°54'17""LT",KCR,24,T193 - T194,260.96923241827005,2.58,72,9.30253492114236,77.9145066440105,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9145066440105 9.30253492114236, 77.9142380878329 9.3048913463039)"
=1+A202,195,S,,GCR,27,T194 - T195,262.5211533153008,2.37,73,9.3048913463039,77.9142380878329,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9142380878329 9.3048913463039, 77.9139430448412 9.30742675204848)"
=1+A203,196,S,,GCR,27,T195 - T196,282.536394797274,2.76,74,9.30742675204848,77.9139430448412,AVAILABLE,400KV BRIDGE TOWER,,PLAIN LAND,"DC Line,bridge tower 400kv over head,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9139430448412 9.30742675204848, 77.9136640951037 9.30963558069306)"
=1+A204,197,S,,GCR,27,T196 - T197,246.43216967351952,2.53,73,9.30963558069306,77.9136640951037,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9136640951037 9.30963558069306, 77.9134092852473 9.31173984424934)"
=1+A205,198,S,,GCR,27,T197 - T198,234.6195324967035,2.35,75,9.31173984424934,77.9134092852473,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9134092852473 9.31173984424934, 77.9133060202002 9.31417428932688)"
=1+A206,199,S,,GCR,27,T198 - T199,269.73076724215593,2.57,73,9.31417428932688,77.9133060202002,AVAILABLE,,CART TRACK,AGRI LAND,"DC Line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9133060202002 9.31417428932688, 77.912652567029 9.3166060706122)"
=1+A207,200,S,,GCR,27,T199 - T200,278.6208599009844,2.84,73,9.3166060706122,77.912652567029,AVAILABLE,,,AGRI LAND,"DC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.912652567029 9.3166060706122, 77.9123974218964 9.31909374880379)"
=1+A208,201,S,,GCR,27,T200 - T201,276.8087681649872,2.68,73,9.31909374880379,77.9123974218964,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,plain land,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9123974218964 9.31909374880379, 77.9120732098817 9.32154369251386)"
=1+A209,202,S,,GCR,27,T201 - T202,273.54079211154937,1.47,72,9.32154369251386,77.9120732098817,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9120732098817 9.32154369251386, 77.9118267819285 9.32411106949648)"
=1+A210,203,S,,GCR,27,T202 - T203,285.4946614176892,2.68,72,9.32411106949648,77.9118267819285,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9118267819285 9.32411106949648, 77.9114938527345 9.32652458514419)"
=1+A211,204,S,,GCR,27,T203 - T204,269.6708692924988,3.58,70,9.32652458514419,77.9114938527345,AVAILABLE,,CART TRACK-2NOS,PLAIN LAND,"DC Line,2nos cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9114938527345 9.32652458514419, 77.9111280664801 9.32921036675308)"
=1+A212,205,S,,GCR+3,30,T204 - T205,300.0215442398017,2.61,70,9.32921036675308,77.9111280664801,AVAILABLE,LT LINE,MAIN ROAD,PLAIN LAND,"DC Line,lt line,main road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9111280664801 9.32921036675308, 77.9107787087559 9.33191399298239)"
=1+A213,206,S,,GCR,27,T205 - T206,301.7448723839385,1.32,70,9.33191399298239,77.9107787087559,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9107787087559 9.33191399298239, 77.9104699194431 9.33440255454336)"
=1+A214,207,T,"16°15'52""RT",HCR,24,T206 - T207,277.5656141310625,5.54,65,9.33440255454336,77.9104699194431,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,road,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9104699194431 9.33440255454336, 77.9107059538364 9.336373673253)"
=1+A215,208,S,,GCR,27,T207 - T208,219.73933095380008,1.72,65,9.336373673253,77.9107059538364,AVAILABLE,"LT LINE,22KV LINE",CART TRACK-2NOS,PLAIN LAND,"DC Line,lt line,cart track-2nos,22kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9107059538364 9.336373673253, 77.9110955446958 9.33902629577193)"
=1+A216,209,S,,GCR,27,T208 - T209,296.7514196932784,2.84,65,9.33902629577193,77.9110955446958,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9110955446958 9.33902629577193, 77.9114546254277 9.34193826845215)"
=1+A217,210,S,,GCR,27,T209 - T210,324.76176398715296,1.42,62,9.34193826845215,77.9114546254277,AVAILABLE,,CANAL,PLAIN LAND,"DC Line,canal,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9114546254277 9.34193826845215, 77.9117500036954 9.34382399101068)"
=1+A218,211,S,,GCR+3,30,T210 - T211,211.2601846160383,4.37,62,9.34382399101068,77.9117500036954,AVAILABLE,LT LINE-2NOS,"ROAD, CANAL",PLAIN LAND,"DC Line,2nos lt line, road,canal,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9117500036954 9.34382399101068, 77.9120775684714 9.34643751942597)"
=1+A219,212,S,,GCR,27,T211 - T212,291.54840247375466,1.46,62,9.34643751942597,77.9120775684714,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,lt line,compound wall.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9120775684714 9.34643751942597, 77.9125110805034 9.34896931501436)"
=1+A220,213,S,,GCR,27,T212 - T213,284.29258772250785,4.18,63,9.34896931501436,77.9125110805034,AVAILABLE,"11KV LINE,LT LINE",,PLAIN LAND,"DC Line,22kV line,lt line,2nos fencing,compound gate,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9125110805034 9.34896931501436, 77.9133395478129 9.35220805450397)"
=1+A221,214,T,"24°54'57""LT",HCR,24,T213 - T214,369.9168203597129,2.63,64,9.35220805450397,77.9133395478129,AVAILABLE,LT LINE-2NOS,"RIVER,CART TRACK-2NOS",PLAIN LAND,"DC Line,2nos Lt line, river,2nos cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9133395478129 9.35220805450397, 77.9126619547605 9.35492142672645)"
=1+A222,215,S,,GCR,27,T214 - T215,309.46895321661805,1.37,66,9.35492142672645,77.9126619547605,AVAILABLE,LT LINE-9NOS,C ART TRACK-3NOS,PLAIN LAND,"DC Line,lt line-9Nos,cart track-3nos,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9126619547605 9.35492142672645, 77.9119173064827 9.35726393453641)"
=1+A223,216,S,,GCR+3,30,T215 - T216,271.9316233210622,1.92,66,9.35726393453641,77.9119173064827,AVAILABLE,LT LINE-3NOS,"CART TRACK,MAIN ROAD",PLAIN LAND,"DC Line,3nos lt line,cart track,main road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9119173064827 9.35726393453641, 77.911183387041 9.35955746629418)"
=1+A224,217,S,,GCR+3,30,T216 - T217,266.40545124295386,9.67,65,9.35955746629418,77.911183387041,AVAILABLE,LT LINE-2NOS,"CART TRACK,ROAD",PLAIN LAND,"DC Line,2nos lt line,cart track,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.911183387041 9.35955746629418, 77.9104370623827 9.36238094090466)"
=1+A225,218,T,"0°56'44""RT",HCR+3,27,T217 - T218,323.14815897509357,1.72,68,9.36238094090466,77.9104370623827,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC Line,2nos lt line,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9104370623827 9.36238094090466, 77.9096555337309 9.36502244851934)"
=1+A226,219,S,,GCR,27,T218 - T219,304.7747503206803,2.46,69,9.36502244851934,77.9096555337309,AVAILABLE,LT LINE-2NOS,"ROAD, CART TRACK",PLAIN LAND,"DC Line,2nos lt line,cart track,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9096555337309 9.36502244851934, 77.9089356958866 9.36741087017457)"
=1+A227,220,S,,GCR,27,T219 - T220,275.98645912073266,1.92,69,9.36741087017457,77.9089356958866,AVAILABLE,"LT LINE,22KV LINE",,PLAIN LAND,"DC Line,lt line, 11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9089356958866 9.36741087017457, 77.908265478909 9.3696305658799)"
=1+A228,221,S,,GCR,27,T220 - T221,256.52867007414625,2.98,71,9.3696305658799,77.908265478909,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.908265478909 9.3696305658799, 77.9074611514806 9.37219064141377)"
=1+A229,222,T,"54°1'11""LT",KCR,24,T221- T222,296.8730838893993,8.4,71,9.37219064141377,77.9074611514806,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,lilo,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9074611514806 9.37219064141377, 77.9067657887935 9.37228491958123)"
=1+A230,223,S,,GCR,27,T222 - T223,77.15641500880935,6.27,71,9.37228491958123,77.9067657887935,AVAILABLE,,,AGRI LAND,"DC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9067657887935 9.37228491958123, 77.9042599350214 9.37297364562778)"
=1+A231,224,S,,GCR,27,T223 - T224,285.84262297284397,3.58,72,9.37297364562778,77.9042599350214,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9042599350214 9.37297364562778, 77.9019368067383 9.37369941981956)"
=1+A232,225,S,,GCR,27,T224 - T225,267.73694498327023,2.67,74,9.37369941981956,77.9019368067383,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9019368067383 9.37369941981956, 77.8994812443852 9.37437325712488)"
=1+A233,226,S,,GCR,27,T225 - T226,280.0724834984563,2.4,71,9.37437325712488,77.8994812443852,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8994812443852 9.37437325712488, 77.8969810903072 9.37508083450709)"
=1+A234,227,S,,GCR,27,T226 - T227,285.80117982435183,1.98,72,9.37508083450709,77.8969810903072,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8969810903072 9.37508083450709, 77.8945007175207 9.375774847761)"
=1+A235,228,S,,GCR,27,T227 - T228,283.29728546884786,2.92,73,9.375774847761,77.8945007175207,AVAILABLE,,,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8945007175207 9.375774847761, 77.8916327655315 9.37667461502291)"
=1+A236,229,S,,GCR,27,T228 - T229,330.6480905888221,3.97,75,9.37667461502291,77.8916327655315,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8916327655315 9.37667461502291, 77.8893465176224 9.3773388534751)"
