,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57,T.NO - 56,DA,S,32,55-56,293.00170647967224,3.1,180,,9.03667254,77.43713021,GOOD,GOOD,NO,"LT, 2nos 33KV, 11KV",TAAR ROAD (SH),CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43713021 9.03667254, 77.4396662 9.03661049)"
58,T.NO - 57,DA,S,29,56-57,279.0447992706547,3.79,181,,9.03661049,77.4396662,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4396662 9.03661049, 77.44248362 9.03649233)"
59,T.NO - 58,DA,S,26,57-58,310.195099896823,4.46,177,,9.03649233,77.44248362,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44248362 9.03649233, 77.44530086 9.03634704)"
60,T.NO - 59,DB,T,24,58-59,310.3159680068043,4.04,176,"0°29'46.99""",9.03634704,77.44530086,GOOD,,NO,33KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44530086 9.03634704, 77.44766355 9.03620475)"
61,T.NO - 60,DA,S,26,59-60,260.37665025881256,2.93,175,,9.03620475,77.44766355,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44766355 9.03620475, 77.45036266 9.03606925)"
62,T.NO - 61,DA,S,26,60-61,297.28437564056406,2.11,172,,9.03606925,77.45036266,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45036266 9.03606925, 77.45298915 9.03595228)"
63,T.NO - 62,DA,S,26,61-62,289.20926679482454,2.03,168,,9.03595228,77.45298915,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45298915 9.03595228, 77.4556063 9.03579921)"
64,T.NO - 63,DA,S,26,62-63,288.39036044916617,3.52,166,,9.03579921,77.4556063,GOOD,GOOD,NO,33KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4556063 9.03579921, 77.45847841 9.03570767)"
65,T.NO - 64,DB,T,24,63-64,316.10124960208555,4.6,164,"8°3'49.24""",9.03570767,77.45847841,GOOD,GOOD,NO,"2nos 33KV, 11KV, LT ","TAAR ROAD, NALA, MUD ROAD",PLAIN LAND,2 E/W SPLIT TO 2 SC TOWER (65 & 65A) FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45847841 9.03570767, 77.46152771 9.03627463)"
66,T.NO - 65,SB,T,24,64-65,347.3110997362451,2.7,157,"7°1'10.75""",9.03627463,77.46152771,MISSING PARTS,GOOD,YES,,,CULTIVATION,"2 EARTH PEAK ON THIS TOWER,NUT BOLT MISSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46152771 9.03627463, 77.46405732 9.03661913)"
67,T.NO - 66,SB,T,24,65-66,275.7698315624826,3.41,157,"3°22'50.40""",9.03661913,77.46405732,GOOD,MISSING,YES,"400KV DC LINE CROSSING ABOVE OUR LINE,LT",MUD ROAD,CULTIVATION,"NO EARTH WIRE, 2 EARTH PEAK ON THIS TOWER, SINGLE EARTH WIRE STARTED FROM THIS TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46405732 9.03661913, 77.46694496 9.03747631)"
68,T.NO - 67,DC,T,26,66-67,331.5086725864046,3.05,155,"26°42'27.03""",9.03747631,77.46694496,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46694496 9.03747631, 77.46904017 9.03944132)"
69,T.NO - 68,DA,S,26,67-68,316.8627463113958,2.73,154,,9.03944132,77.46904017,GOOD,GOOD,NO,LT,"TAAR ROAD, NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46904017 9.03944132, 77.47114448 9.04140625)"
70,T.NO - 69,DB,T,24,68-69,317.58620876857987,2.33,152,"10°58'38.48""",9.04140625,77.47114448,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47114448 9.04140625, 77.47319874 9.04269372)"
71,T.NO - 70,DA,S,26,69-70,267.1347974338049,1.66,151,,9.04269372,77.47319874,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47319874 9.04269372, 77.47534441 9.04405286)"
72,T.NO - 71,DB,T,32,70-71,279.8731855680354,3.02,151,"3°43'39.07""",9.04405286,77.47534441,GOOD,GOOD,NO,2nos 33KV,3nos MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47534441 9.04405286, 77.47652154 9.04469557)"
73,T.NO - 72,DC,T,32,71-72,147.732867026942,4.52,153,"24°49'27.74""",9.04469557,77.47652154,GOOD,GOOD,NO,"110 KV SC LINE CROSSING BELOW OUR LINE, 33KV","MUD ROAD, POND",CULTIVATION,2 E/W SPLIT TO 2 SC TOWER (73 & 73A) FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47652154 9.04469557, 77.47867713 9.04484366)"
74,T.NO - 73,SB,T,24,72-73,237.68256141332708,5.53,150,"12°48'33.05""",9.04484366,77.47867713,GOOD,GOOD,NO,LT,,PLAIN LAND,2 EARTH PEAK ON THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47867713 9.04484366, 77.48089078 9.04550645)"
75,T.NO - 74,SB,T,24,73-74,254.31083343027288,4.13,153,"9°4'1.05""",9.04550645,77.48089078,GOOD,MISSING,NO,400KV DC LINE CROSSING ABOVE OUR LINE,,PLAIN LAND,"NO EARTH WIRE, 2 EARTH PEAK ON THIS TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48089078 9.04550645, 77.48331699 9.04667385)"
76,T.NO - 75,DC,T,29,74-75,296.5080100098478,3.68,148,"16°31'18.71""",9.04667385,77.48331699,GOOD,GOOD,NO,"33KV, LT",,CULTIVATION,2 E/W ON THIS TOWER FROM OUR SC T.NO 74&74A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48331699 9.04667385, 77.48536613 9.04853059)"
77,T.NO - 76,DA,S,29,75-76,305,2.73,147,,9.04853059,77.48536613,GOOD,GOOD,NO,"33KV, 66KV ",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48536613 9.04853059, 77.48725047 9.05021674)"
78,T.NO - 77,DA,S,26,76-77,278.89065957826557,1.34,148,,9.05021674,77.48725047,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48725047 9.05021674, 77.48934535 9.05210929)"
79,T.NO - 78,DA,S,29,77-78,311.3872187486185,3.78,148,,9.05210929,77.48934535,GOOD,GOOD,NO,11KV ,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48934535 9.05210929, 77.4913946 9.05397503)"
80,T.NO - 79,DC,T,29,78-79,305.6795707926848,2.93,147,"23°58'56.09""",9.05397503,77.4913946,GOOD,GOOD,NO,LT,,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4913946 9.05397503, 77.49370004 9.05475457)"
81,T.NO - 80,DA,S,29,79-80,267.86750456149025,4.64,146,,9.05475457,77.49370004,GOOD,GOOD,NO,,"TAAR ROAD, NALA",CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49370004 9.05475457, 77.49614265 9.05565064)"
82,T.NO - 81,DA,S,29,80-81,286.40006983239374,3.49,145,,9.05565064,77.49614265,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49614265 9.05565064, 77.49850314 9.05650207)"
83,T.NO - 82,DA,S,29,81-82,276.2191159206763,3.25,150,,9.05650207,77.49850314,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49850314 9.05650207, 77.50116382 9.05737854)"
84,T.NO - 83,DA,S,26,82-83,308.3261260418909,3.13,145,,9.05737854,77.50116382,GOOD,GOOD,NO,"11KV, 2nos LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50116382 9.05737854, 77.50338759 9.05817665)"
85,T.NO - 84,DB,T,24,83-84,260.06922155457,7.11,147,"7°39'2.34""",9.05817665,77.50338759,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50338759 9.05817665, 77.50555907 9.05930042)"
