SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
37,37,S,,GC+3,26.62,T36-T37,292.44560717509063,1.34,73,8.266552,77.30897,GOOD,AVAILABLE,lt Line-2Nos,Road -2Nos,Agri Land,"Lt Line-2Nos, house- 3Nos , Road -2Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30897 8.266552, 77.31008 8.26495)"
38,38,S,,GC+3,26.62,T37-T38,215.42548081643983,1.68,79,8.26495,77.31008,GOOD,AVAILABLE,lt Line-3Nos,Road -2Nos,Plain Land,"Dc line,Road-2Nos,lt line-3Nos,house-4Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31008 8.26495, 77.31141 8.263526)"
39,39,T,"33°11'21""RT",KC+3,27,T38-T39,214.52901857790434,2.53,77,8.263526,77.31141,GOOD,AVAILABLE,Lt Line-2nos,Road -3Nos,Plain Land,"Lt Line-3Nos, Road- 3Nos,house- 3Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31141 8.263526, 77.31176 8.261126)"
40,40,S,,GC+3,26.62,T39-T40,268.389123328359,1.6,78,8.261126,77.31176,GOOD,AVAILABLE,,Road,Agri Land,"Dc line,Road ,house- 3Nos, rubber garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31176 8.261126, 77.31191 8.259761)"
41,41,T,"05°19'22""RT",HC+3,24.94,T40-T41,151.84580086393507,2.88,77,8.259761,77.31191,GOOD,AVAILABLE,lt Line-2Nos,Road,Plain Land,"SS,Lt Line- 2Nos, Road -2Nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31191 8.259761, 77.31192 8.25956)"
GANTRY,THUKALAY,,,,,T41-Gantry (Thuckalay),22.332850243587632,,77,8.25956,77.31192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H48)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
