S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,29,,S,LA,A+0,22,32-33,326,4.3,FALSE,282.0302734,,10.22847927,77.88146535,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8814653493463 10.2284792717546, 77.8826169390231 10.2258706558495)"
30,30,,S,LA,A+0,22,33-34,321,2.3,FALSE,279.1463623,,10.22587066,77.88261694,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8826169390231 10.2258706558495, 77.8838808462023 10.223049223423)"
31,31,,S,LA,A+0,22,34-35,347,6.1,FALSE,274.8205566,,10.22304922,77.88388085,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8838808462023 10.223049223423, 77.8850441705435 10.2203871309757)"
32,32,,S,LA,A+0,22,35-36,327,0.9,FALSE,273.1383057,,10.22038713,77.88504417,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8850441705435 10.2203871309757, 77.8860910702496 10.21803047508)"
33,33,2W,T,NA,B+0,24,36-37,290,0.5,FALSE,263.0444336,13°50'32''RT,10.21803048,77.88609107,Good,Good,,,PLAIN,LILO PASUMALAI-ALGARKOVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8860910702496 10.21803047508, 77.886567832902 10.21532705985)"
34,34,,S,GCR+3,DA+3,25,37-38,310,0.98,FALSE,269.2930908,,10.21532706,77.88656783,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.886567832902 10.21532705985, 77.8869800549 10.2128992415964)"
35,35,,T,HCR,DB+0,24,38-39,278,4.3,FALSE,273.1383057,5°11'31''LT,10.21289924,77.88698005,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8869800549 10.2128992415964, 77.8877663612365 10.2099385019391)"
36,36,,S,GCR+3,DA+3,25,39-40,345,3.1,FALSE,269.0527344,,10.2099385,77.88776636,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8877663612365 10.2099385019391, 77.8881681896746 10.2085386402904)"
37,37,,T,HCR,DD+0,24,40-41,166,1.5,FALSE,272.6575928,35°50'11''LT,10.20853864,77.88816819,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8881681896746 10.2085386402904, 77.8878963645547 10.2066907659173)"
38,38,,T,HCR+3,DD+3,27,41-42,212,2.8,FALSE,276.0220947,32°56'39''RT,10.20669077,77.88789636,Good,Good,,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8878963645547 10.2066907659173, 77.8883732948452 10.2046054322272)"
39,39,,T,HCR+3,DB+3,27,42-43,242,1.2,FALSE,272.4172363,5°19'7''RT,10.20460543,77.88837329,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8883732948452 10.2046054322272, 77.8885459620505 10.2032968495041)"
40,40,,T,KCR+6,DB+6,30,43-44,151,0.8,FALSE,274.3398438,3°4'51''RT,10.20329685,77.88854596,Good,Good,,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8885459620505 10.2032968495041, 77.8887155279517 10.2010968513786)"
41,41,2W,T,HCR,DB+0,24,44-45,250,6.18,FALSE,264.0057373,4°48'2''LT,10.20109685,77.88871553,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8887155279517 10.2010968513786, 77.889202767983 10.1981056854128)"
42,42,,S,GCR+3,DA+3,22,45-46,341,1.33,FALSE,258.237915,,10.19810569,77.88920277,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.889202767983 10.1981056854128, 77.8896853141486 10.1952944789081)"
43,43,,S,GCR,DA+0,22,46-47,322,0.77,FALSE,257.2766113,,10.19529448,77.88968531,Good,Good,2-LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8896853141486 10.1952944789081, 77.8901596460491 10.1924727112054)"
44,44,,S,GCR,DA+0,22,47-48,323,1.55,FALSE,253.9121094,,10.19247271,77.89015965,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8901596460491 10.1924727112054, 77.8905662521719 10.1898387819528)"
45,45,,S,HCR,DA+0,22,48-49,301,3.28,FALSE,249.3457031,,10.18983878,77.89056625,Good,Good,LT,THAR ROAD,PLAIN,PALAMPATTI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8905662521719 10.1898387819528, 77.8910918813198 10.1869459357112)"
46,46,,S,GCR,DA+0,22,49-50,331,0.77,FALSE,247.4230957,,10.18694594,77.89109188,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8910918813198 10.1869459357112, 77.8914930392056 10.1842947397381)"
47,47,,S,GCR,DA+0,22,50-51,303,4.33,FALSE,243.3375244,,10.18429474,77.89149304,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8914930392056 10.1842947397381, 77.8919594082981 10.1817375887185)"
48,48,,S,GCR+3,DA+3,25,51-52,293,1.66,FALSE,243.09729,,10.18173759,77.89195941,Good,Good,,,PLAIN,TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8919594082981 10.1817375887185, 77.8922878950834 10.1794570405036)"
49,49,,S,GCR,DA+0,22,52-53,261,3.71,FALSE,239.9730225,,10.17945704,77.8922879,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8922878950834 10.1794570405036, 77.8927337285131 10.177037436515)"
50,50,,S,GCR+3,DA+3,25,53-54,278,1.55,FALSE,234.685791,,10.17703744,77.89273373,Good,Good,,THAR ROAD,POND,PERIYAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8927337285131 10.177037436515, 77.8931495547294 10.1744748372584)"
51,51,2W,T,HCR+3,DB+3,27,54-55,293,2.28,FALSE,237.5697021,3°12'58''LT,10.17447484,77.89314955,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8931495547294 10.1744748372584, 77.8936164267361 10.1716653071343)"
52,52,,S,GCR,DA+0,22,55-56,321,1.88,FALSE,233.7243652,,10.17166531,77.89361643,Good,Good,3-LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8936164267361 10.1716653071343, 77.8940926864743 10.1688783243298)"
53,53,,S,GCR,DA+0,22,56-57,319,3.11,FALSE,236.8487549,,10.16887832,77.89409269,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8940926864743 10.1688783243298, 77.8945698682218 10.1660717278718)"
54,54,,S,GCR,DA+0,22,57-58,321,1.44,FALSE,230.6002197,,10.16607173,77.89456987,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8945698682218 10.1660717278718, 77.895030118525 10.1631793845444)"
55,55,,S,GCR,DA+0,22,58-59,330,2.33,FALSE,229.638916,,10.16317938,77.89503012,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.895030118525 10.1631793845444, 77.895524399355 10.1603492349386)"
56,56,,S,GCR,DA+0,22,59-60,324,0.92,FALSE,224.8323975,,10.16034923,77.8955244,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.895524399355 10.1603492349386, 77.8959780279546 10.1576422993093)"
57,57,,T,KCR+3,DB+3,27,60-61,310,5.27,FALSE,228.6776123,2°27'44''LT,10.1576423,77.89597803,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8959780279546 10.1576422993093, 77.8963577281683 10.1554843783378)"
58,58,,S,GCR+3,DA+3,25,61-62,248,0.88,FALSE,225.5533447,,10.15548438,77.89635773,Good,Good,LT,THAR ROAD,PLAIN,NILAKOTAI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8963577281683 10.1554843783378, 77.8968767356127 10.1529650297015)"
59,59,,S,GCR,DA+0,22,62-63,290,1.99,FALSE,224.3516846,,10.15296503,77.89687674,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8968767356127 10.1529650297015, 77.8974808193743 10.1502077188342)"
60,60,,S,GCR,DA+0,22,63-64,318,3.11,FALSE,224.592041,,10.15020772,77.89748082,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8974808193743 10.1502077188342, 77.8980018384754 10.1474079955369)"
61,61,,T,HCR,DB+0,24,64-65,321,0.79,FALSE,216.4207764,4°44'52''RT,10.147408,77.89800184,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8980018384754 10.1474079955369, 77.8984786849468 10.144643811509)"
62,62,,S,GCR,DA+0,22,65-66,316,5.54,FALSE,220.5064697,,10.14464381,77.89847868,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8984786849468 10.144643811509, 77.8989377617836 10.1418466866016)"
63,63,,S,GCR,DA+0,22,66-,320,3.17,FALSE,213.5369873,,10.14184669,77.89893776,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8989377617836 10.1418466866016, 77.8992623090744 10.1398532185703)"
64,64,,S,GCR+6,DA+6,28,-,229,1.33,FALSE,211.3740234,,10.13985322,77.89926231,Good,Good,,THAR ROAD,PLAIN,KODAI ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8992623090744 10.1398532185703, 77.8996959049254 10.1371964905411)"
65,65,,S,GCR,DA+0,22,-,304,0.79,FALSE,215.4595947,,10.13719649,77.8996959,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8996959049254 10.1371964905411, 77.9001274053007 10.1342793367803)"
66,66,3W,T,KC(O),DB+0,24,-,332,1.4,FALSE,213.2966309,,10.13427934,77.90012741,NO E/W,Good,,,PLAIN,LILO tapping Sithargalnatham ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL KM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
