S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,9,S,SA,22,"=B15&"" - ""&B16",322.73476509549926,2.2,"=IF(H16>15,0)",150.439331,,9.927444444444443,78.0868611111111,GOOD,AVAILABLE,"HT, LT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0868611111111 9.927444444444443, 78.08727777777777 9.929972222222222)"
12,10,S,SA,22,"=B16&"" - ""&B17",284.81674426981357,3.39,"=IF(H17>15,0)",149.718169999999,,9.929972222222222,78.08727777777777,GOOD,AVAILABLE,"HT, LT -2No",Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08727777777777 9.929972222222222, 78.08769444444444 9.932333333333332)"
13,11,T,SB,22,"=B17&"" - ""&B18",264.8184563103876,8.45,"=IF(H18>15,0)",151.409882,"37°58'40"" R",9.932333333333332,78.08769444444444,GOOD,AVAILABLE,"HT, LT ",Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08769444444444 9.932333333333332, 78.08869444444444 9.93325)"
14,12,S,SA,22,"=B18&"" - ""&B19",149.4266844560576,5.94,"=IF(H19>15,0)",149.982483,,9.93325,78.08869444444444,GOOD,AVAILABLE,,Inside of TVS company,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08869444444444 9.93325, 78.08975 9.934222222222223)"
15,13,T,SB,22,"=B19&"" - ""&B20",157.6530235293347,18.64,"=IF(H20>15,0)",149.804199,"30°28'48"" R",9.934222222222223,78.08975,GOOD,AVAILABLE,,Inside of TVS company,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08975 9.934222222222223, 78.09191666666666 9.934694444444444)"
16,14,T,SB,22,"=B20&"" - ""&B21",245.74142332922582,3.25,"=IF(H21>15,0)",148.675735,"1°17'9"" R",9.934694444444444,78.09191666666666,GOOD,AVAILABLE,"HT, LT",NH Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09191666666666 9.934694444444444, 78.09480555555555 9.935277777777777)"
17,15,T,SB,22,"=B21&"" - ""&B22",321.49966096907553,0.45,"=IF(H22>15,0)",146.979034,"52°41'5""R",9.935277777777777,78.09480555555555,GOOD,AVAILABLE,"HT, LT",Street road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09480555555555 9.935277777777777, 78.09688888888888 9.933444444444445)"
18,16,T,SB,22,"=B22&"" - ""&B23",306.1003450252273,6.62,"=IF(H23>15,0)",149.517180999999,"62°5'58"" R",9.933444444444445,78.09688888888888,GOOD,AVAILABLE,"HT, LT",Near Kalavasal Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09688888888888 9.933444444444445, 78.09636111111111 9.931166666666666)"
19,17,T,SB,22,"=B23&"" - ""&B24",259.6292349322931,5.57,"=IF(H24>15,0)",148.976790999999,"53°10'24"" L",9.931166666666666,78.09636111111111,GOOD,AVAILABLE,,Near Kalavasal Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09636111111111 9.931166666666666, 78.09791666666666 9.929305555555555)"
20,18,T,SB,22,"=B24&"" - ""&B25",268.7000106795246,3.62,"=IF(H25>15,0)",146.37117,"20°7'17"" L",9.929305555555555,78.09791666666666,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09791666666666 9.929305555555555, 78.09863888888889 9.928916666666666)"
21,19,T,SB,22,"=B25&"" - ""&B26",90.40465526696168,1.28,"=IF(H26>15,0)",147.601745999999,"12°41'20"" L",9.928916666666666,78.09863888888889,GOOD,AVAILABLE,,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09863888888889 9.928916666666666, 78.09899999999999 9.928777777777777)"
22,Gantry (Arasadi SS),H-POLE,H-POLE,12,19 - Gantry,42.66161217492238,,,147.239044,,9.928777777777777,78.09899999999999,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1.Shut down will be requried in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
