S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,line_geom
11,8,,T,21,33,12.3055836,34,31,15,RT,22°2'55''RT,B+0,22,T 9,T  10,07-Aug,278.6109393,1.87,FALSE,282.0302734,11°27'20''RT,10.11290037,77.57995153,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5799515284597 10.1129003707319, 77.578228963539 10.1142531260848)"
12,9,,S,,,,57,59,5,LT,0°14'43''RT,A+0,24,T 10,T  11,08-Sep,245.0392269,7.85,FALSE,278.9061279,,10.11425313,77.57822896,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.578228963539 10.1142531260848, 77.5762815959751 10.1157988328486)"
13,10,,S,17,49,52.33989923,,,,,0°4'2''RT,A+0,24,T 11,T  12,09-Oct,277.6266243,8.27,FALSE,282.2706299,,10.11579883,77.5762816,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5762815959751 10.1157988328486, 77.574341353029 10.1173508260399)"
14,11,,T,10,0,3.534980713,16,22,56,LT,0°12'40''RT,B+0,22,T 12,T  13,10-Nov,277.4525481,0.1,FALSE,284.1933594,12°56'10''LT,10.11735083,77.57434135,Good,Good,"22KV,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.574341353029 10.1173508260399, 77.5717582181096 10.1185978855937)"
15,12,,S,,,,9,52,50,LT,0°21'20''RT,A+0,24,T 13,T  14,11-Dec,319.1089272,9.35,FALSE,278.9061279,,10.11859789,77.57175822,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5717582181096 10.1185978855937, 77.5693578086793 10.1197436079382)"
16,13,,S,,,,,,,,0°27'28''RT,A+0,24,T 14,T  15,Dec-13,296.184153,10.71,FALSE,289.2402344,,10.11974361,77.56935781,Good,Good,2 NO'S LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5693578086793 10.1197436079382, 77.5674463994801 10.1207145676016)"
17,14,2W,T,,,,,,,,0°25'28''RT,C+0,22,T 15,T  16,13-14,239.5496989,10.88,FALSE,286.5966797,24°23'37''LT,10.12071457,77.5674464,Good,Good,,DIN-KAM ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5674463994801 10.1207145676016, 77.5658268481493 10.122734606266)"
18,15,,S,,,,,,,,0°4'40''RT,A+0,24,T 16,T  17,14-15,289.522679,7.82,FALSE,281.789917,,10.12273461,77.56582685,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5658268481493 10.122734606266, 77.5641761999577 10.1247735042124)"
19,16,,S,,,,,,,,0°5'17''RT,A+0,24,T 17,T  18,15-16,293.280349,8.27,FALSE,282.7513428,,10.1247735,77.5641762,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5641761999577 10.1247735042124, 77.5625251326709 10.1268296688795)"
20,17,,T,,,,,,,,,C+0,22,,,16-17,294.800974,4.33,FALSE,291.6434326,25°11'39''RT,10.12682967,77.56252513,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5625251326709 10.1268296688795, 77.560540381819 10.1278015505522)"
21,18,,S,,,,,,,,,A+0,24,,,17-18,246.7741887,6.51,FALSE,286.5966797,,10.12780155,77.56054038,Good,Good,,BIG POND,-,WATER LOCKED AREA,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.560540381819 10.1278015505522, 77.558539872989 10.128821041435)"
22,19,,T,,,,,,,,,D+0,24,,,18-19,250.6885506,2.59,FALSE,287.317627,35°15'11''RT,10.12882104,77.55853987,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.558539872989 10.128821041435, 77.5575737748295 10.1306576002389)"
23,20,,S,,,,,,,,0°3'21''RT,A+0,24,T 18,T  19,19-20,233.2078928,9.94,0,284.6740723,,10.1306576,77.55757377,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5575737748295 10.1306576002389, 77.5566598121076 10.1324324682354)"
24,21,,T,,,,,,,,0°36'56''RT,D+0,24,T 19,T  20,20-21,224.5189494,9.31,FALSE,287.5578613,36°48'59''RT,10.13243247,77.55665981,Good,Good,2 NO'S LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5566598121076 10.1324324682354, 77.5545196607708 10.1334736682474)"
25,22,,S,11,15,5.656093924,23,53,12,LT,0°41'8''RT,A+0,24,T 20,T  21,21-22,265.4464347,13.65,FALSE,286.8369141,,10.13347367,77.55451966,Good,Good,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5545196607708 10.1334736682474, 77.5525536015629 10.1346453744918)"
26,23,,T,,,,,,,,0°9'9''RT,D+0,24,T 21,T  22,22-23,255.5850781,3.36,FALSE,287.7982178,90°33'25''RT,10.13464537,77.5525536,Good,Good,,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5525536015629 10.1346453744918, 77.5525156315416 10.1344417780637)"
27,GANTRY,2W,T,,,,,,,,52°28'35''RT,GANTRY,12,T 22,T  23,23-GANTRY,26.91378828,NIL,,290.9224854,,10.13444178,77.55251563,NO E/W,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTAL KM,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
