SL.NO,TOWER NO,TOWER S  / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,T,"04°45'19""LT",KC+3,21.94,T9-T10,293,2.4,62,8.761113683038403,77.66169033633435,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,  Lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66169033633435 8.761113683038403, 77.66093596620173 8.762310262673775)"
11,11,T,"22°08'30""RT",HC,21.94,T10-T11,150,2.62,64,8.762310262673775,77.66093596620173,AVAILABLE,DP TOWER,,PLAIN LAND,"DC line , Dp under crossing,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66093596620173 8.762310262673775, 77.66050547275576 8.764632115991574)"
12,12,S,,GC,23.62,T11-T12,280,1.74,63,8.764632115991574,77.66050547275576,AVAILABLE,,,PLAIN LAND,"Dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66050547275576 8.764632115991574, 77.66008168844874 8.767049395304321)"
13,13,S,,GC,23.62,T12-T13,275,1.46,62,8.767049395304321,77.66008168844874,AVAILABLE,,CART TRACK,PLAIN LAND,"DC line, Cart track,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66008168844874 8.767049395304321, 77.65977289321175 8.769322508941485)"
14,14,S,,GC,23.62,T13-T14,252,1.59,65,8.769322508941485,77.65977289321175,AVAILABLE,,POND,WATER LOGGED AREA," DC line,water logged area , pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65977289321175 8.769322508941485, 77.65971959019784 8.77188720071313)"
15,15,S,,GC,23.62,T14-T15,296,1.78,66,8.77188720071313,77.65971959019784,AVAILABLE,,,WATER LOGGED AREA,"DC line, Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65971959019784 8.77188720071313, 77.65879355530492 8.774454550752187)"
16,16,T,"24°36'21""LT",HC,21.94,T15-T16,283,2.89,66,8.774454550752187,77.65879355530492,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC line,  2nos LT line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65879355530492 8.774454550752187, 77.65743702528445 8.776482117645983)"
17,17,S,,GC,23.62,T16-T17,283,1.49,68,8.776482117645983,77.65743702528445,AVAILABLE,,,AGRI LAND," Dc line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65743702528445 8.776482117645983, 77.65596684019033 8.778578264985915)"
18,18,S,,GC,23.62,T17-T18,283,1.53,72,8.778578264985915,77.65596684019033,AVAILABLE,,CART TRACK-2NOS,PLAIN LAND,"DC line,  2nos Cart track ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65596684019033 8.778578264985915, 77.65452280485702 8.78068401221204)"
19,19,S,,GC,23.62,T18-T19,283,1.82,74,8.78068401221204,77.65452280485702,AVAILABLE,,,PLAIN LAND," Dc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65452280485702 8.78068401221204, 77.6530288167273 8.782805318598928)"
20,20,S,,GC,23.62,T19-T20,283,1.71,72,8.782805318598928,77.6530288167273,AVAILABLE,,,PLAIN LAND," Dc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6530288167273 8.782805318598928, 77.65153650524272 8.784935891744489)"
21,21,S,,GC,23.62,T20-T21,284,1.38,73,8.784935891744489,77.65153650524272,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65153650524272 8.784935891744489, 77.650104533529 8.787049221936844)"
22,22,S,,GC,23.62,T21-T22,284,1.54,74,8.787049221936844,77.650104533529,AVAILABLE,,,PLAIN LAND," Dc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.650104533529 8.787049221936844, 77.64862530291175 8.789139355125911)"
23,23,T,,KC,24,T22-T23 LILO,284,2.84,77,8.789139355125911,77.64862530291175,NOT AVAILABLE,,CART TRACK-3NOS,PLAIN LAND,"Dc line, 3 nos Cart track, T22 TO T23LILO  earthwire IS NOT AVAILABLE, LiLo,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H29)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
