S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,51,,S,PA,A+0,24,50-51,243,5.86,FALSE,287.5578613,,10.24342437,78.20225528,Good,Good,,THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2022552844136 10.2434243727475, 78.2048343960195 10.2426534052938)"
54,52,,T,PB,B+0,22,51-52,303,3.45,FALSE,300.0550537,7°49'46''LT,10.24265341,78.2048344,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2048343960195 10.2426534052938, 78.2068690191954 10.2423354797065)"
55,53,,S,PA,A+0,24,52-53,234,4.27,FALSE,296.6903076,,10.24233548,78.20686902,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2068690191954 10.2423354797065, 78.2091863639652 10.2419675141572)"
56,54,,S,PA,A+0,24,53-54,265,5.08,FALSE,292.8450928,,10.24196751,78.20918636,Good,Good,LT,MUD ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2091863639652 10.2419675141572, 78.2113755494356 10.2416227664798)"
57,55,,T,PB,C+0,22,54-55,251,3.15,FALSE,285.6352539,19°30'43''RT,10.24162277,78.21137555,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2113755494356 10.2416227664798, 78.2136401720345 10.2404025290161)"
58,56,2W,T,PA,B+0,22,55-56,291,4.44,FALSE,281.3093262,9°34'36''LT,10.24040253,78.21364017,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2136401720345 10.2404025290161, 78.2159757055342 10.2396073378622)"
59,57,,S,,A+0,24,56-57,279,4.91,FALSE,281.0689697,,10.23960734,78.21597571,Good,Good,22KV ,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2159757055342 10.2396073378622, 78.2183606922626 10.238726818934)"
60,58,,T,PB,C+0,22,57-58,287,2.59,FALSE,280.8287354,26°15'35''RT,10.23872682,78.21836069,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2183606922626 10.238726818934, 78.2192910835146 10.237748818472)"
61,59,,S,PA,A+0,24,58-59,157,1.42,FALSE,278.9061279,,10.23774882,78.21929108,Good,Good,,MDU-TRICHY 4 WAY,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2192910835146 10.237748818472, 78.2207616884261 10.2361143473535)"
62,60,,T,PC,C+0,22,59-60,251,2.08,FALSE,273.6188965,23°58'39''LT,10.23611435,78.22076169,Good,Good,3-LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2207616884261 10.2361143473535, 78.2223934773355 10.2353840321302)"
