,Tower No,Joint Box, Supspension / Tenion,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,T.NO 21,,T,DC,26,20 - 21,283.5842027,5.38,250,"15°49'40.43""",8.69690241,77.33680254,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33680254 8.69690241, 77.3370678 8.69719904)"
23,T.NO 22,,T,DD,28,21 - 22,43.93176527,4.52,252,"44°15'42.58""",8.69719904,77.3370678,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3370678 8.69719904, 77.3383582 8.69729053)"
24,T.NO 23,,T,DC,26,22 - 23,142.4254191,4.43,225,"22°11'25.70""",8.69729053,77.3383582,GOOD,GOOD,NO,,FOREST,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3383582 8.69729053, 77.34067884 8.69653515)"
25,T.NO 24,2W,T,DD,28,23 - 24,268.8122021,2.02,231,"34°50'14.36""",8.69653515,77.34067884,GOOD,GOOD,NO,,FOREST,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34067884 8.69653515, 77.34207116 8.69695137)"
26,T.NO 25,,T,DC,26,24 - 25,160.0562401,3.23,220,"28°7'31.14""",8.69695137,77.34207116,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34207116 8.69695137, 77.34360433 8.69664368)"
27,T.NO 26,,T,DB,24,25 - 26,172.1917536,1.95,220,"9°16'27.23""",8.69664368,77.34360433,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34360433 8.69664368, 77.34556174 8.69590859)"
28,T.NO 27,,T,DB,24,26 - 27,230.3388808,7.26,217,"4°5'26.83""",8.69590859,77.34556174,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34556174 8.69590859, 77.3477105 8.69527172)"
29,T.NO 28,,T,DB,24,27 - 28,246.8400292,2.16,207,"5°55'39.02""",8.69527172,77.3477105,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3477105 8.69527172, 77.34930728 8.69497266)"
30,T.NO 29,,T,DD,28,28 - 29,178.8854382,4.21,206,"53°45'24.08""",8.69497266,77.34930728,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34930728 8.69497266, 77.35086957 8.69642716)"
31,T.NO 30,,T,DC,26,29 - 30,235.5525419,15.16,208,"29°58'26.94""",8.69642716,77.35086957,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35086957 8.69642716, 77.35110138 8.69718491)"
32,T.NO 31,,T,DC,26,30 - 31,87.64131446,16.84,211,"15°6'18.75""",8.69718491,77.35110138,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35110138 8.69718491, 77.35115779 8.69894696)"
33,T.NO 32,,T,DC,26,31 - 32,195.064092,14.23,212,"28°35'59.22""",8.69894696,77.35115779,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35115779 8.69894696, 77.35236961 8.70100011)"
34,T.NO 33,2W,T,DC,26,32 - 33,263.4539808,17.34,217,"18°56'8.12""",8.70100011,77.35236961,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35236961 8.70100011, 77.35432387 8.70266907)"
35,T.NO 34,,T,DD,28,33 - 34,283.5348303,16.12,219,"33°42'34.15""",8.70266907,77.35432387,GOOD,GOOD,NO,,ROCK,LEG DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35432387 8.70266907, 77.35494628 8.7048795)"
36,T.NO 35,,T,DB,24,34 - 35,253.996063,15.37,191,"2°30'4.45""",8.7048795,77.35494628,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35494628 8.7048795, 77.35543155 8.70694617)"
37,T.NO 36,,T,DC,26,35 - 36,234.8297255,4.98,219,"23°43'20.02""",8.70694617,77.35543155,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35543155 8.70694617, 77.35613683 8.70788174)"
38,T.NO 37,,T,DD,28,36 - 37,129.4024729,12.28,229,"50°40'7.56""",8.70788174,77.35613683,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35613683 8.70788174, 77.35724531 8.7079291)"
39,T.NO 38,,T,DB,24,37 - 38,122.1474519,4.84,212,"14°39'33.18""",8.7079291,77.35724531,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35724531 8.7079291, 77.35773676 8.70807969)"
40,T.NO 39,,T,DB,24,38 - 39,56.61271942,15.05,198,"5°10'31.55""",8.70807969,77.35773676,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35773676 8.70807969, 77.3608656 8.70873811)"
41,T.NO 40,,T,DD,28,39 - 40,352.0809566,15.8,118,"44°18'17.02""",8.70873811,77.3608656,GOOD,GOOD,NO,,FOREST,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3608656 8.70873811, 77.36173417 8.70819045)"
42,T.NO 41,,T,DD,28,40 - 41,113.2077736,13.37,106,"42°57'51.07""",8.70819045,77.36173417,GOOD,GOOD,NO,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36173417 8.70819045, 77.36199146 8.70721276)"
43,T.NO 42,,T,DD,28,41 - 42,111.8257573,14.96,116,"88°2'19.99""",8.70721276,77.36199146,GOOD,GOOD,NO,11KV,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36199146 8.70721276, 77.36301023 8.70744141)"
44,T.NO 43,,T,DD,28,42 - 43,114.9782588,7.58,101,"150°47'44.26""",8.70744141,77.36301023,GOOD,GOOD,YES,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36301023 8.70744141, 77.36280927 8.70726191)"
45,GANTRY 110KV SERVALAR,2W,GANTRY,GANTRY,20,43 - GANTRY,29.73213749,,99,,8.70726191,77.36280927,GOOD,MISSING,NO,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
