S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,59/26,,T,DC,26,59/29 - 59/30,219.632308,0.95,FALSE,344.9962158,17°40'20''RT,10.52131045,77.40607926,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4060792569071 10.5213104467839, 77.4063705280423 10.5189645197242)"
30,59/27,,T,DC,26,59/30 - 59/31,267.5572038,2.09,FALSE,336.104126,6°19'36''RT,10.51896452,77.40637053,GOOD,Available,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4063705280423 10.5189645197242, 77.4069370608776 10.5165872443467)"
31,59/28,,S,DC,26,59/31 - 59/32,276.2908832,4.42,FALSE,333.7008057,,10.51658724,77.40693706,GOOD,Available,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4069370608776 10.5165872443467, 77.4075030069798 10.5143398884683)"
32,59/29,,S,DC,26,59/32 - 59/33,262.3034864,5.02,FALSE,333.7008057,,10.51433989,77.40750301,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4075030069798 10.5143398884683, 77.408151011914 10.511844176799)"
33,59/30,,T,DC,26,59/33 - 59/34,291.152223,3.75,FALSE,347.1590576,32°24'40''LT,10.51184418,77.40815101,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.408151011914 10.511844176799, 77.4074315093457 10.5096106510609)"
34,59/31,,S,DC,26,59/34 - 59/35,265.4225504,2.04,FALSE,337.3057861,0°35'37''RT,10.50961065,77.40743151,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4074315093457 10.5096106510609, 77.4067432712763 10.5073958169668)"
35,59/32,,T,DC,26,59/35 - 59/36,262.425384,2.42,FALSE,344.2752686,3°47'44''LT,10.50739582,77.40674327,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4067432712763 10.5073958169668, 77.4059419613331 10.5053145904093)"
36,59/33,2W,S,DC,26,59/36 - 59/37,252.4649011,5.82,FALSE,349.3221436,0°47'32''LT,10.50531459,77.40594196,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4059419613331 10.5053145904093, 77.4050559103488 10.5031048692762)"
37,59/34,,S,DC,26,59/37 - 59/38,269.0816727,2.47,FALSE,338.0267334,0°5'50''LT,10.50310487,77.40505591,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4050559103488 10.5031048692762, 77.4042605515569 10.5011310148984)"
38,59/35,,T,DC,26,59/38 - 59/39,241.1575335,3.92,FALSE,337.0654297,2°42'2''RT,10.50113101,77.40426055,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4042605515569 10.5011310148984, 77.4033659510314 10.4985687509179)"
