S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,27,,S,SA,21,26-27,291.9264317,0.57,FALSE,368.047241,,9.945388889,77.36613889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36613888888888 9.945388888888889, 77.36377777777777 9.944222222222223)"
36,28,,S,SA,21,27-28,290.3537791,0.31,FALSE,368.405548,,9.944222222,77.36377778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36377777777777 9.944222222222223, 77.36141666666666 9.943027777777777)"
37,29,,S,SA,21,28-29,289.6465123,0.47,FALSE,370.620148,,9.943027778,77.36141667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36141666666666 9.943027777777777, 77.35908333333333 9.94186111111111)"
38,30,,S,SA,21,29-30,287.6037746,0.36,FALSE,369.853271,,9.941861111,77.35908333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35908333333333 9.94186111111111, 77.35677777777778 9.940694444444444)"
39,31,,T,SB,21,30-31,283.7824855,0.28,FALSE,373.135254,"17°18'36""L",9.940694444,77.35677778,GOOD,Available,11 KV,Devaram Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35677777777778 9.940694444444444, 77.35422222222222 9.94025)"
40,32,,S,SA,21,31-32,286.0400324,0.32,FALSE,368.491608,,9.94025,77.35422222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35422222222222 9.94025, 77.3518611111111 9.939833333333334)"
41,33,,S,SA,21,32-33,261.4882115,0.3,FALSE,366.968933,,9.939833333,77.35186111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3518611111111 9.939833333333334, 77.34966666666666 9.939444444444444)"
42,34,,S,SA,21,33-34,244.8126631,0.89,FALSE,367.229218,,9.939444444,77.34966667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34966666666666 9.939444444444444, 77.34724999999999 9.939)"
43,35,,S,SA,21,34-35,270.935577,0.38,FALSE,368.421417,,9.939,77.34725,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34724999999999 9.939, 77.3448611111111 9.938611111111111)"
44,36,,S,SA,21,35-36,263.2884427,0.45,FALSE,372.055237,,9.938611111,77.34486111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3448611111111 9.938611111111111, 77.34255555555555 9.938222222222223)"
45,37,,S,SA,21,36-37,258.1414612,0.3,FALSE,375.060577,,9.938222222,77.34255556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34255555555555 9.938222222222223, 77.34019444444444 9.937805555555556)"
46,38,,S,SA,21,37-38,263.3808652,1.03,0,376.010498,,9.937805556,77.34019444,GOOD,Available,"33 KV,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34019444444444 9.937805555555556, 77.33816666666667 9.937444444444445)"
47,39,,S,SA,21,38-39,226.5565949,0.22,0,377.38443,,9.937444444,77.33816667,GOOD,Available,2-33KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33816666666667 9.937444444444445, 77.336 9.937111111111111)"
48,40,,T,SB,21,39-40,238.7395098,2.26,FALSE,378.356842,"13°25'12""R",9.937111111,77.336,GOOD,Available,3-22KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.336 9.937111111111111, 77.33452777777778 9.936472222222223)"
49,41,,T,SB,21,40-41,176.0597581,0.22,FALSE,379.601776,"29°13'48""L",9.936472222,77.33452778,GOOD,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33452777777778 9.936472222222223, 77.33352777777777 9.936583333333333)"
50,42,,T,SB,21,41-42,111.9982013,NIL,FALSE,383.582275,"1°27'36""L",9.936583333,77.33352778,GOOD,Available,2-LT,Bodi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33352777777777 9.936583333333333, 77.33330555555555 9.93661111111111)"
51,Gantry,2W,Gantry,H-Pole,12,42-Gantry,22.79998666,NIL,FALSE,382.430695,,9.936611111,77.33330556,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
