S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,59/13,S,DC,26,"=B20&"" - "" &B21",280.0423392566286,4.89,"=IF(H21>15,0)",341.151000976562,1°18'8''LT,10.541465319693,77.4193825945258,GOOD,Available,HT - 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4193825945258 10.541465319693, 77.418220359832 10.5400941241532)"
17,59/14,S,DC,26,"=B21&"" - "" &B22",204.04760445957018,5.25,"=IF(H22>15,0)",345.476806640625,1°37'33''RT,10.5400941241532,77.418220359832,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.418220359832 10.5400941241532, 77.4168348312377 10.5383621715009)"
18,59/15,T,DC,26,"=B22&"" - "" &B23",250.4469569885136,4.74,"=IF(H23>15,0)",348.601196289062,46°34'37''LT,10.5383621715009,77.4168348312377,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4168348312377 10.5383621715009, 77.4135581776499 10.5380890890955)"
19,59/16,T,DC,26,"=B23&"" - "" &B24",266,3.23,"=IF(H24>15,0)",345.717163085937,166°49'46''RT,10.5380890890955,77.4135581776499,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4135581776499 10.5380890890955, 77.4151791539043 10.5378495343029)"
20,59/17,T,DC,26,"=B24&"" - "" &B25",285,2.57,"=IF(H25>15,0)",351.9658203125,166°31'54''LT,10.5378495343029,77.4151791539043,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4151791539043 10.5378495343029, 77.4110940657556 10.537487687543)"
21,59/18,T,DC,26,"=B25&"" - "" &B26",=355-50,3.46,"=IF(H26>15,0)",344.515502929687,61°25'25''RT,10.537487687543,77.4110940657556,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4110940657556 10.537487687543, 77.4104195740073 10.5359375383704)"
22,59/19,T,DC,26,"=B26&"" - "" &B27",=293+50,4.73,"=IF(H27>15,0)",345.95751953125,16°45'19''LT,10.5359375383704,77.4104195740073,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4104195740073 10.5359375383704, 77.4096674658358 10.5350497271865)"
23,59/20,T,DC,26,"=B27&"" - "" &B28",134.20181194267195,2.48,"=IF(H28>15,0)",340.91064453125,8°50'33''RT,10.5350497271865,77.4096674658358,GOOD,Available,,RAILWAY ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4096674658358 10.5350497271865, 77.4085126072168 10.5331597756594)"
24,59/21,S,DC,26,"=B28&"" - "" &B29",250.40812074623653,3.92,"=IF(H29>15,0)",329.134521484375,,10.5331597756594,77.4085126072168,GOOD,Available,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4085126072168 10.5331597756594, 77.4073170125484 10.5310347955673)"
25,59/22,T,DC,26,"=B29&"" - "" &B30",275.1455719003423,3.85,"=IF(H30>15,0)",336.104125976562,25°56'7''RT,10.5310347955673,77.4073170125484,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4073170125484 10.5310347955673, 77.4071673955768 10.5285374913364)"
26,59/23,S,DC,26,"=B30&"" - "" &B31",282.84225765382894,2.87,"=IF(H31>15,0)",334.421875,0°25'43''LT,10.5285374913364,77.4071673955768,GOOD,Available,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4071673955768 10.5285374913364, 77.4070059601217 10.5261429492384)"
27,59/24,T,DC,26,"=B31&"" - "" &B32",271.5741201392873,5.82,"=IF(H32>15,0)",341.871948242187,7°10'3''LT,10.5261429492384,77.4070059601217,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4070059601217 10.5261429492384, 77.4064343143254 10.5232086963951)"
28,59/25,S,DC,26,"=B32&"" - "" &B33",336.6897201676947,1.49,"=IF(H33>15,0)",344.515502929687,,10.5232086963951,77.4064343143254,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4064343143254 10.5232086963951, 77.4060792569071 10.5213104467839)"
29,59/26,T,DC,26,"=B33&"" - "" &B34",219.63230802336133,0.95,"=IF(H34>15,0)",344.996215820312,17°40'20''RT,10.5213104467839,77.4060792569071,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4060792569071 10.5213104467839, 77.4063705280423 10.5189645197242)"
30,59/27,T,DC,26,"=B34&"" - "" &B35",267.55720384820654,2.09,"=IF(H35>15,0)",336.104125976562,6°19'36''RT,10.5189645197242,77.4063705280423,GOOD,Available,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4063705280423 10.5189645197242, 77.4069370608776 10.5165872443467)"
31,59/28,S,DC,26,"=B35&"" - "" &B36",276.29088315903243,4.42,"=IF(H36>15,0)",333.700805664062,,10.5165872443467,77.4069370608776,GOOD,Available,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4069370608776 10.5165872443467, 77.4075030069798 10.5143398884683)"
32,59/29,S,DC,26,"=B36&"" - "" &B37",262.3034864435091,5.02,"=IF(H37>15,0)",333.700805664062,,10.5143398884683,77.4075030069798,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4075030069798 10.5143398884683, 77.408151011914 10.511844176799)"
33,59/30,T,DC,26,"=B37&"" - "" &B38",291.15222300208234,3.75,"=IF(H38>15,0)",347.159057617187,32°24'40''LT,10.511844176799,77.408151011914,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.408151011914 10.511844176799, 77.4074315093457 10.5096106510609)"
34,59/31,S,DC,26,"=B38&"" - "" &B39",265.4225504402679,2.04,"=IF(H39>15,0)",337.305786132812,0°35'37''RT,10.5096106510609,77.4074315093457,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4074315093457 10.5096106510609, 77.4067432712763 10.5073958169668)"
35,59/32,T,DC,26,"=B39&"" - "" &B40",262.42538400882404,2.42,"=IF(H40>15,0)",344.275268554687,3°47'44''LT,10.5073958169668,77.4067432712763,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4067432712763 10.5073958169668, 77.4059419613331 10.5053145904093)"
36,59/33,S,DC,26,"=B40&"" - "" &B41",252.4649011178797,5.82,"=IF(H41>15,0)",349.322143554687,0°47'32''LT,10.5053145904093,77.4059419613331,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4059419613331 10.5053145904093, 77.4050559103488 10.5031048692762)"
37,59/34,S,DC,26,"=B41&"" - "" &B42",269.0816727485344,2.47,"=IF(H42>15,0)",338.026733398437,0°5'50''LT,10.5031048692762,77.4050559103488,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4050559103488 10.5031048692762, 77.4042605515569 10.5011310148984)"
38,59/35,T,DC,26,"=B42&"" - "" &B43",241.15753349417145,3.92,"=IF(H43>15,0)",337.0654296875,2°42'2''RT,10.5011310148984,77.4042605515569,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4042605515569 10.5011310148984, 77.4033659510314 10.4985687509179)"
39,59/36,S,DC,26,"=B43&"" - "" &B44",305.9940703028864,4.89,"=IF(H44>15,0)",342.352661132812,0°46'4''LT,10.4985687509179,77.4033659510314,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4033659510314 10.4985687509179, 77.4026012700051 10.4964694194495)"
40,59/37,T,DC,26,"=B44&"" - "" &B45",252.94923476902585,5.25,"=IF(H45>15,0)",344.755859375,1°16'34''RT,10.4964694194495,77.4026012700051,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4026012700051 10.4964694194495, 77.4018678534775 10.4943073913455)"
41,59/38,S,DC,26,"=B45&"" - "" &B46",258.3765992364137,4.74,"=IF(H46>15,0)",337.546020507812,0°40'38''LT,10.4943073913455,77.4018678534775,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4018678534775 10.4943073913455, 77.401039302349 10.491956602782)"
42,59/39,S,DC,26,"=B46&"" - "" &B47",281.5139354303102,3.23,"=IF(H47>15,0)",338.026733398437,0°10'49''LT,10.491956602782,77.401039302349,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.401039302349 10.491956602782, 77.4002391658723 10.4897089954465)"
43,59/40,S,DC,26,"=B47&"" - "" &B48",269.7091907549849,2.57,"=IF(H48>15,0)",337.546020507812,0°9'55''LT,10.4897089954465,77.4002391658723,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4002391658723 10.4897089954465, 77.3994574695825 10.4875330533832)"
44,59/41,T,DC,26,"=B48&"" - "" &B49",261.55925080262057,3.46,"=IF(H49>15,0)",340.189697265625,4°53'51''RT,10.4875330533832,77.3994574695825,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3994574695825 10.4875330533832, 77.3989848140627 10.4857520665973)"
45,59/42,S,DC,26,"=B49&"" - "" &B50",209.77118368057415,4.73,"=IF(H50>15,0)",344.755859375,0°52'19''LT,10.4857520665973,77.3989848140627,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3989848140627 10.4857520665973, 77.3985804710537 10.4843169171363)"
46,59/43,S,DC,26,"=B50&"" - "" &B51",170.8740101605824,2.48,"=IF(H51>15,0)",341.631591796875,1°34'60''RT,10.4843169171363,77.3985804710537,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3985804710537 10.4843169171363, 77.3981658183038 10.482672387734)"
47,59/44,T,DC,26,"=B51&"" - "" &B52",193.56639270456552,3.92,"=IF(H52>15,0)",336.584838867187,1°43'20''RT,10.482672387734,77.3981658183038,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3981658183038 10.482672387734, 77.3976289574056 10.4802366066724)"
48,59/45,S,DC,26,"=B52&"" - "" &B53",281.884870489305,3.85,"=IF(H53>15,0)",336.344482421875,0°5'9''LT,10.4802366066724,77.3976289574056,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3976289574056 10.4802366066724, 77.3971315752714 10.4779958724975)"
49,59/46,S,DC,26,"=B53&"" - "" &B54",259.87538507733916,2.87,"=IF(H54>15,0)",339.228393554687,0°48'46''RT,10.4779958724975,77.3971315752714,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3971315752714 10.4779958724975, 77.3966792039573 10.4758119676262)"
50,59/47,S,DC,26,"=B54&"" - "" &B55",252.69956596906417,5.82,"=IF(H55>15,0)",337.0654296875,1°14'25''LT,10.4758119676262,77.3966792039573,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3966792039573 10.4758119676262, 77.3962203785777 10.4738154821097)"
51,59/48,T,DC,26,"=B55&"" - "" &B56",232.57615970384626,1.49,"=IF(H56>15,0)",336.344482421875,23°36'12''RT,10.4738154821097,77.3962203785777,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3962203785777 10.4738154821097, 77.3966502025723 10.4715320840477)"
52,59/49,S,DC,26,"=B56&"" - "" &B57",263.0309737196952,0.95,"=IF(H57>15,0)",340.430053710937,0°37'51''LT,10.4715320840477,77.3966502025723,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3966502025723 10.4715320840477, 77.3969923518598 10.4695975407958)"
53,59/50,S,DC,26,"=B57&"" - "" &B58",223.33361755930565,2.09,"=IF(H58>15,0)",343.55419921875,0°38'10''RT,10.4695975407958,77.3969923518598,GOOD,Available,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3969923518598 10.4695975407958, 77.397439610213 10.4672226961702)"
54,59/51,T,DC,26,"=B58&"" - "" &B59",273.32930119977044,4.42,"=IF(H59>15,0)",343.313842773437,28°53'2''LT,10.4672226961702,77.397439610213,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.397439610213 10.4672226961702, 77.3968614265322 10.4654660169035)"
55,59/52,S,DC,26,"=B59&"" - "" &B60",210.45079578546407,5.02,"=IF(H60>15,0)",343.313842773437,0°14'17''LT,10.4654660169035,77.3968614265322,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3968614265322 10.4654660169035, 77.3962494637817 10.4636323917657)"
56,59/53,S,DC,26,"=B60&"" - "" &B61",219.69474714867127,3.75,"=IF(H61>15,0)",339.949340820312,0°0'28''LT,10.4636323917657,77.3962494637817,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3962494637817 10.4636323917657, 77.3959154449403 10.4626320116221)"
57,59/54,T,DC,26,"=B61&"" - "" &B62",122.59158790866334,2.04,"=IF(H62>15,0)",346.197875976562,14°45'8''LT,10.4626320116221,77.3959154449403,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3959154449403 10.4626320116221, 77.3954739701002 10.461957771331)"
58,59/55,T,DC,26,"=B62&"" - "" &B63",94.91083035627781,2.42,"=IF(H63>15,0)",346.678466796875,4°40'54''RT,10.461957771331,77.3954739701002,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3954739701002 10.461957771331, 77.3953181505203 10.4616711940616)"
59,Gantry,T,H-POLE,12,59/55-gantry,42.0137082041198,,,359.175537109375,,10.4616711940616,77.3953181505203,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
