S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,18,S,DA,26,17-18,245.0033878757903,2.71,"=IF(H23>15,0)",47.129845,,9.979000000000001,78.86452777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86452777777777 9.979000000000001, 78.86641666666667 9.979666666666667)"
19,19,S,DA,26,18-19,218.13613690955768,3.54,"=IF(H24>15,0)",47.7580719999999,,9.979666666666667,78.86641666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86641666666667 9.979666666666667, 78.8683611111111 9.980361111111112)"
20,20,T,DB,25,19-20,225.71143425596148,4.43,"=IF(H25>15,0)",48.8148539999999,"21°12'36""R",9.980361111111112,78.8683611111111,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8683611111111 9.980361111111112, 78.86999999999999 9.981777777777777)"
21,21,S,DA,26,20-21,241,1.29,"=IF(H26>15,0)",49.602631,,9.981777777777777,78.86999999999999,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86999999999999 9.981777777777777, 78.87197222222221 9.983444444444444)"
22,22,T,DB,25,21-22,286,1.44,"=IF(H27>15,0)",48.9831089999999,"5°55'12""R",9.983444444444444,78.87197222222221,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87197222222221 9.983444444444444, 78.87352777777777 9.985055555555554)"
23,23,S,DA,26,22-23,248,2.12,"=IF(H28>15,0)",48.16301,,9.985055555555554,78.87352777777777,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87352777777777 9.985055555555554, 78.87513888888888 9.986749999999999)"
24,24,S,DA,26,23-24,256.5151711362396,3.17,"=IF(H29>15,0)",48.814953,,9.986749999999999,78.87513888888888,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87513888888888 9.986749999999999, 78.87669444444444 9.988388888888888)"
25,25,S,DA,26,24-25,253,2.37,"=IF(H30>15,0)",49.367001,,9.988388888888888,78.87669444444444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87669444444444 9.988388888888888, 78.87825 9.989999999999998)"
26,26,T,DC,26,25-26,250,2.16,"=IF(H31>15,0)",48.028309,"47°51'0""L",9.989999999999998,78.87825,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87825 9.989999999999998, 78.88066666666666 9.989944444444443)"
27,27,S,DA,26,26-27,267,2.31,"=IF(H32>15,0)",47.0583719999999,,9.989944444444443,78.88066666666666,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88066666666666 9.989944444444443, 78.88291666666666 9.989888888888888)"
28,28,S,DA,26,27-28,247.6683689555365,3.47,"=IF(H33>15,0)",45.2880359999999,,9.989888888888888,78.88291666666666,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88291666666666 9.989888888888888, 78.88555555555556 9.989805555555554)"
29,29,T,DB,25,28-29,287.1069840157568,1.31,"=IF(H34>15,0)",44.915714,"22°37'12""L",9.989805555555554,78.88555555555556,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88555555555556 9.989805555555554, 78.88666666666667 9.989305555555555)"
30,30,T,DB,25,29-30,138,1.37,"=IF(H35>15,0)",44.711899,"4°25'48""R",9.989305555555555,78.88666666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88666666666667 9.989305555555555, 78.88691666666668 9.989222222222221)"
31,Gantry ,Gantry,H-POLE,12,30-Gantry ,27.955237935994248,,"=IF(H36>15,0)",46.0041119999999,,9.989222222222221,78.88691666666668,GOOD,NO E/W,,,SS,POOSALAKUDI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
