,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,20,2W,T,"0°52'15""RT",HC,21.94,T19-T20,114.3792134,2.4,88,9.503193287,77.93117657,DAMAGED,AVAILABLE,,,AGRI LAND,"DC LINE,THULUGAPATTI TO VERUTHUNAGER LINE PASUMALAI TAPPING, AGRI LAND, DAMAGED,ERT VALUE 2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9311765730381 9.5031932865244, 77.9314417764544 9.50454177623995)"
22,21,,S,,GC,23.62,T20-T21,152.098623,3.32,88,9.504541776,77.93144178,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"SC Line,11 KV LINE,AGRI LAND,ERT VALUE3.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9314417764544 9.50454177623995, 77.9318317025899 9.50686673462686)"
23,22,,S,,GC,23.62,T21-T22,260.9217471,4.12,90,9.506866735,77.9318317,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND,ERT VALUE 4.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9318317025899 9.50686673462686, 77.9322782903909 9.50923003483221)"
24,23,,T,"0°42'42""LT",HC,21.94,T22-T23,266.185675,5.2,87,9.509230035,77.93227829,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND,ERT VALUE 5.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9322782903909 9.50923003483221, 77.932738289237 9.5118016387376)"
25,24,,S,,GC,23.62,T23-T24,289.1358952,3.12,86,9.511801639,77.93273829,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 3.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.932738289237 9.5118016387376, 77.9330517724156 9.51404487367066)"
26,25,,S,,GC,23.62,T24-T25,250.7094921,8.2,89,9.514044874,77.93305177,GOOD,AVAILABLE,"11KV LINE, LT LINE",,AGRI LAND,"DC LINE,11 KV LINE,LT LINE,AGRI LAND,ERT VALUE 8.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9330517724156 9.51404487367066, 77.9335050657391 9.51640514830877)"
27,26,,S,,GC,23.62,T25-T26,265.9945078,3.53,86,9.516405148,77.93350507,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,2 FENCING, AGRI LAND,ERT VALUE 3.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9335050657391 9.51640514830877, 77.93386179953811 9.51881665892436)"
28,27,,S,,GC,23.62,T26-T27,269.8235825,1.82,88,9.518816659,77.9338618,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,FENCING,AGRI LAND,ERT VALUE 1.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93386179953811 9.51881665892436, 77.9342983290553 9.5212483226273)"
29,28,,S,,GC,23.62,T27-T28,273.4320447,4.94,89,9.521248323,77.93429833,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 4.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9342983290553 9.5212483226273, 77.9347301647067 9.52394846087136)"
30,29,,S,,GC,23.62,T28-T29,302.6559118,3.4,90,9.523948461,77.93473016,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 3.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9347301647067 9.52394846087136, 77.9352216795086 9.52672661168749)"
31,30,,S,,GC,23.62,T29-T30,312.2548408,3.68,91,9.526726612,77.93522168,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 3.68 ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9352216795086 9.52672661168749, 77.9357148706913 9.5295315225036)"
32,31,2W,S,,GC+3,26.62,T30-T31,315.2055761,3.8,89,9.529531523,77.93571487,GOOD,AVAILABLE,"11KV LINE, LT LINE",ROAD,AGRI LAND,"DC LINE,ERT VALUE 3.8, LT LINE,11 KV,ROAD CROSSING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9357148706913 9.5295315225036, 77.9361651465296 9.53235426519176)"
33,32,,S,,GC,23.62,T31-T32,316.3793003,2.4,91,9.532354265,77.93616515,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9361651465296 9.53235426519176, 77.9365634545683 9.5347765744329)"
34,33,,S,,GC,23.62,T32-T33,271.7046547,1.05,93,9.534776574,77.93656345,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE1.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9365634545683 9.5347765744329, 77.9370499402284 9.53723655966113)"
35,34,,S,,GC,23.62,T33-T34,277.5248964,6.1,95,9.53723656,77.93704994,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 6.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9370499402284 9.53723655966113, 77.9374549537897 9.53999674776715)"
36,35,,S,,GC,23.62,T34-T35,308.7849378,7.2,100,9.539996748,77.93745495,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND,ERT VALUE 7.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9374549537897 9.53999674776715, 77.9379333928227 9.54264846469456)"
37,36,,S,,GC+3,26.62,T35-T36,298.22412,5.32,98,9.542648465,77.93793339,GOOD,AVAILABLE,"11KV LINE, LT LINE",ROAD,PLAIN LAND,"DC LINE,LT LINE,11 KV LINE,ROAD CROSSING, PLAIN LAND,ERT VALUE 5.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9379333928227 9.54264846469456, 77.9384332895279 9.5453583525987)"
38,37,,S,,GC,23.62,T36-T37,304.9802481,6.78,97,9.545358353,77.93843329,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND,ERT VALUE 6.78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9384332895279 9.5453583525987, 77.9388651251792 9.54779346408368)"
39,38,,S,,GC,23.62,T37-T38,273.7194281,4.61,99,9.547793464,77.93886513,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 4.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9388651251792 9.54779346408368, 77.9392999783158 9.55059654846044)"
40,39,,S,,GC+3,26.62,T38-T39,313.9677495,4.5,97,9.550596548,77.93929998,GOOD,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC LINE,ERT VALUE 4.5,LT,ROAD,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9392999783158 9.55059654846044, 77.9396634176373 9.55324487662106)"
41,40,,S,,GC,23.62,T39-T40,295.885789,2.87,96,9.553244877,77.93966342,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND, ERT VALUE 2.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9396634176373 9.55324487662106, 77.9401415213942 9.5557715145717)"
42,41,,S,,GC,23.62,T40-T41,284.5974055,1.4,95,9.555771515,77.94014152,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9401415213942 9.5557715145717, 77.9406833276152 9.55852328696038)"
43,42,,S,,GC,23.62,T41-T42,310.3934283,0.53,97,9.558523287,77.94068333,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,ERT VALUE 0.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9406833276152 9.55852328696038, 77.9410967230796 9.56120659902736)"
44,43,,T,"135°59'29""RT",KC,24,T42-T43,300.5052256,0.33,95,9.561206599,77.94109672,DAMAGED,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 0.33, AGRI LAND, DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9410967230796 9.56120659902736, 77.9411634430289 9.56111005834912)"
45,44(LILO),3W,T (LILO),"151°51'46""RT",KC,24,T43-T44,12.9605829,0.3,95,9.561110058,77.94116344,DAMAGED,AVAILABLE,,,AGRI LAND,"DC LINE,SULAKARAI TAPPING,ERT VALUE 0.3,AGRI LAND,DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9411634430289 9.56111005834912, 77.941013239324 9.56245831917608)"
46,45,,T,"7°25'16""RT",HC,21.94,T44-T45,150.1669473,0.07,96,9.562458319,77.94101324,DAMAGED,AVAILABLE,,RAILWAY TRACK,AGRI LAND,"DC LINE,ERT VALUE 0.07 , RAILWAY TRACK CROSSING,AGRI LAND,DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.941013239324 9.56245831917608, 77.9410782828927 9.56455343580394)"
47,46,,S,,GC,23.62,T45-T46,232.0465341,3.86,97,9.564553436,77.94107828,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 3.86,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9410782828927 9.56455343580394, 77.9411450028419 9.56675334396182)"
48,47,,S,,GC,23.62,T46-T47,243.6475903,4.02,97,9.566753344,77.941145,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,,ERT VALUE 4.02,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9411450028419 9.56675334396182, 77.9411865770816 9.56897505822097)"
49,48,,S,,GC,23.62,T47-T48,245.9943807,3.3,97,9.568975058,77.94118658,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 3.3, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9411865770816 9.56897505822097, 77.9412365332246 9.5711600603562)"
50,49,,S,,GC,23.62,T48-T49,241.9492148,5.5,97,9.57116006,77.94123653,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 5.5 , AGRI LAND, MATERIAL MISSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9412365332246 9.5711600603562, 77.9412315040826 9.57336984395833)"
51,50,,S,,GC,23.62,T49-T50,244.6312779,5.97,97,9.573369844,77.9412315,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND, ANGLE MISSING,ERT VALUE 5.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9412315040826 9.57336984395833, 77.9413317516446 9.57564837896388)"
52,51,,S,,GC,23.62,T50-T51,252.4824683,6.74,97,9.575648379,77.94133175,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND, MATERIAL MISSING, ERT VALUE 6.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9413317516446 9.57564837896388, 77.9413817077875 9.57806013144376)"
53,52,,S,,GC,23.62,T51-T52,267.0452454,7.2,95,9.578060131,77.94138171,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND,MATERIAL MISSING,ERT VALUE 7.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9413817077875 9.57806013144376, 77.9414132237434 9.58037004198717)"
54,53,,S,,GC,23.62,T52-T53,255.7391883,7.84,95,9.580370042,77.94141322,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN AREA, MATERIAL MISSING,ERT VALUE 7.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9414132237434 9.58037004198717, 77.9414182528853 9.58262340458069)"
55,54,,S,,GC,23.62,T53-T54,249.4560101,9.5,97,9.582623405,77.94141825,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 9.5, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9414182528853 9.58262340458069, 77.9414433985948 9.58445325888326)"
56,55,2W,T,"14°13'13""RT",HC+3,24.94,T54-T55,202.5896184,3.65,97,9.584453259,77.9414434,DAMAGED,AVAILABLE,"LT LINE, 11KV LINE",ROAD,AGRI LAND,"DC LINE,LT LINE,11 KV LINE,ERT VALUE 3.65, ROAD CROSSING,2 FENCE,AGRI LAND,DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9414433985948 9.58445325888326, 77.9419184848666 9.58612012028433)"
57,56,,S,,GC,23.62,T55-T56,191.7689833,4.3,98,9.58612012,77.94191848,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,ERT VALUE 4.3,2 FENCING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9419184848666 9.58612012028433, 77.9423550143837 9.58764680210107)"
58,57,,S,,GC+3,26.62,T56-T57,175.6824316,3.45,98,9.587646802,77.94235501,GOOD,AVAILABLE,"LT LINE-2NOS,11KV LINE-3NOS",ROAD,PLAIN LAND,"DC LINE,2 LT  LINE,3 11 KV LINE,ERT VALUE 3.45, ROAD CROSSING MADURAI TO THIRUNELVELI, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9423550143837 9.58764680210107, 77.942741587758 9.58890999552512)"
59,58,,S,,GC,23.62,T57-T58,146.148504,3.74,96,9.588909996,77.94274159,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND, MATERIAL MISSING, ERT VALUE 3.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.942741587758 9.58890999552512, 77.9434315860271 9.59145984009663)"
60,59,,S,,GC,23.62,T58-T59,292.2801771,3.37,96,9.59145984,77.94343159,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE,11 KV LINE,PLAIN AREA,ERT VALUE 3.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9434315860271 9.59145984009663, 77.9438865557313 9.59329658906583)"
61,60,,T,"0°15'1""LT",HC+3,24.94,T59-T60,209.3895677,2.74,97,9.593296589,77.94388656,DAMAGED,AVAILABLE,,POND,PLAIN LAND,"DC LINE,POND CROSSING,PLAIN AREA,DAMAGE,ERT VALUE 2.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9438865557313 9.59329658906583, 77.9444451257586 9.59535349807484)"
62,61,3W,T,"11°18'26""LT",HC+3,24.94,T60-T61,235.8333482,2.4,99,9.595353498,77.94444513,DAMAGED,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC LINE,ERT VALUE 2.4,MADURAI TO TIRUNELVELI ROAD CROSSING,2 LT LINE,PLAIN AREA,DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9444451257586 9.59535349807484, 77.9446050524711 9.59775816822117)"
63,62,,DP,,,,T61-T62,266.7853957,2.93,97,9.597758168,77.94460505,GOOD,NOT AVAILABLE,,,PLAIN LAND,"DP POST,PLANE AREA,T61- T62 EARTH WIRE IS NOT AVAILABLE,ERT VALUE 2.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9446050524711 9.59775816822117, 77.9448648914694 9.5977449448961)"
64,63,,T,"80°34'53""RT",KC,24,T62-T63,28.58600289,5.34,98,9.597744945,77.94486489,DAMAGED,AVAILABLE,,,PLAIN LAND,"DC LINE,LILO, PLAIN AREA,DAMAGE,ERT VALUE 5.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9448648914694 9.5977449448961, 77.9449118301272 9.59733502156347)"
65,64,,DP,,,,T63-T64,45.67197907,4.61,98,9.597335022,77.94491183,GOOD,NOT AVAILABLE,,,PLAIN LAND,"DP POST,PLAIN AREA,T63- T64 EARTH WIRE IS NOT AVAILABLE,ERT VALUE 4.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9449118301272 9.59733502156347, 77.9451351240277 9.59709667075254)"
66,65,,T,"19°2'30""RT",HC,21.94,T64-T65,36.02969201,0.38,98,9.597096671,77.94513512,DAMAGED,AVAILABLE,,,PLAIN LAND,"DC LINE,FENCE,PLAIN AREA,DAMAGE,ERT VALUE 0.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9451351240277 9.59709667075254, 77.9457000643014 9.59582987139618)"
67,66,2W,T,"19°55'45""LT",HC,21.94,T65-T66,153.3618865,1.07,99,9.595829871,77.94570006,DAMAGED,AVAILABLE,"33KV LINE, LT LINE",,PLAIN LAND,"DC LINE,33 KV LINE,LT LINE,PLAIN AREA,DAMAGE,ERT VALUE 1.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9457000643014 9.59582987139618, 77.9458217695355 9.59407842753512)"
68,67,,T,"3°19'16""RT",HC+3,24.94,T66-T67,194.3533421,0.34,98,9.594078428,77.94582177,DAMAGED,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC LINE,ERT VALUE 0.34,MADURAI TO THIRUNELVELI ROAD CROSSING,11 KV LINE,2 FENCING,PLAIN AREA,DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9458217695355 9.59407842753512, 77.9461583867669 9.59145818715031)"
69,68,,T,"60°19'15""RT",KC,24,T67-T68,292.4191613,0.38,98,9.591458187,77.94615839,DAMAGED,AVAILABLE,,,PLAIN LAND,"DC LINE,PLAIN LAND,DAMAGE,ERT VALUE 0.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9461583867669 9.59145818715031, 77.9479165747761 9.59073849355773)"
70,69,,T,"46°56'40""LT",KC,24,T68-T69,208.9608243,0.75,99,9.590738494,77.94791657,DAMAGED,AVAILABLE,"33KV LINE, LT LINE-3NOS",,PLAIN LAND,"DC LINE,33 KV LINE ,3 LT LINE,ERT VALUE 0.75, PLAIN AREA,DAMAGED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9479165747761 9.59073849355773, 77.9480248689651 9.5904531942969)"
,Gantry (Virudhunagar) ,2W,,,,,T69-Gantry (Virudhunagar) ,33.75111734,,99,9.590453194,77.94802487,,,,,,"GENTRY,VIRUTHUNAGER SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
