SL. NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,T,"13°16'20""LT",HC,21.94,T9-T10,276.74020056507817,38.52,121,8.260728509086718,77.49637238959284,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49637238959284 8.260728509086718, 77.4986542762038 8.261414948338915)"
11,11,T,"25°16'05""RT",HC,21.94,T10-T11,262.9912992936079,38.65,127,8.261414948338915,77.4986542762038,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4986542762038 8.261414948338915, 77.50154837549489 8.260985877339886)"
12,12,T,"27°09'22""LT",HC+3,24.94,T11-T12,322.8245421991903,38.89,88,8.260985877339886,77.50154837549489,AVAILABLE,"11KV LINE-2NOS,LT LINE-2NOS",ROAD,HILLS AREA,"DC LINE11 KV LINE-2Nos,LT LINE-2Nos,ROAD ,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50154837549489 8.260985877339886, 77.50428825230436 8.261909215703838)"
13,13,T,"12°17'22""LT",HC,21.94,T12-T13,319.12033045953547,38.58,86,8.261909215703838,77.50428825230436,AVAILABLE,LT LINE,ODAI(NALA),PLAIN LAND,"DC LINE,LT LINE,ODAI(NALA), PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50428825230436 8.261909215703838, 77.5069184964623 8.26345930880448)"
14,14,S,,GC,23.62,T13-T14,337.17442888821614,37.51,84,8.26345930880448,77.5069184964623,AVAILABLE,,,PLAIN LAND,"DC LINE, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5069184964623 8.26345930880448, 77.50878262910715 8.264660038818029)"
15,15,S,,GC,23.62,T14-T15,244.91770303428538,37.73,84,8.264660038818029,77.50878262910715,AVAILABLE,11KV LINE,ODAI(NALA),PLAIN LAND,"DC LINE,11 KV LINE,ODAI(NALA), PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50878262910715 8.264660038818029, 77.5108016697342 8.26574927583114)"
16,16,S,,GC,23.62,T15-T16,253.32660339890904,37.48,91,8.26574927583114,77.5108016697342,AVAILABLE,11KV LINE-2NOS,,PLAIN LAND,"DC LINE,11 KV LINE-2Nos, 2 FENCING, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5108016697342 8.26574927583114, 77.51247771397092 8.26680698993423)"
17,17,T,"44°50'38""RT",KC,24,T16-T17,218.89867925339038,38.59,106,8.26680698993423,77.51247771397092,AVAILABLE,11KV LINE-2NOS,,HILLS AREA,"DC LINE, 11 KV LINE-2Nos,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51247771397092 8.26680698993423, 77.51420505296655 8.266382263340667)"
18,18,T,"23°43'03""LT",HC,21.94,T17-T18,196.29293676247624,38.28,106,8.266382263340667,77.51420505296655,AVAILABLE,11KV LINE,ODAI(NALA),PLAIN LAND,"DC LINE,11 KV LINE,ODAI(NALA),2 FENCING, PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51420505296655 8.266382263340667, 77.51595989184545 8.26669411676332)"
19,19,S,,GC,23.62,T18-T19,196.66321332635297,37.34,105,8.26669411676332,77.51595989184545,AVAILABLE,11KV LINE,ODAI(NALA),HILLS AREA,"DC LINE,11 KV LINE,ODAI(NALA) ,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51595989184545 8.26669411676332, 77.5180982766413 8.267055726679537)"
20,20,T,"20°23'04""RT",HC,21.94,T19-T20,239.29661532215616,38.49,110,8.267055726679537,77.5180982766413,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA,2 FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5180982766413 8.267055726679537, 77.52008679987944 8.266687396945178)"
21,21,T,"32°38'03""LT",KC,24,T20-T21,223.14788570991846,38.53,108,8.266687396945178,77.52008679987944,AVAILABLE,,,HILLS AREA,"DC LINE,2- FENCING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52008679987944 8.266687396945178, 77.5210808976686 8.267089507893386)"
22,22,T,"27°00'45""RT",HC,21.94,T21-T22,118.37256108120269,38.82,107,8.267089507893386,77.5210808976686,AVAILABLE,11KV LINE,ODAI(NALA),HILLS AREA,"DC LINE,11 KV LINE,ODAI(NALA),HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5210808976686 8.267089507893386, 77.5242049963801 8.266822018090537)"
23,23,T,"16°06'54""LT",HC,21.94,T22-T23,345.9411396388499,38.71,114,8.266822018090537,77.5242049963801,AVAILABLE,,,HILLS AREA,"DC LINE,11 KV lINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5242049963801 8.266822018090537, 77.52569329029245 8.267115623435835)"
24,24,T,"11°14'48""RT",HC,21.94,T23-T24,167.38638865866488,37.38,114,8.267115623435835,77.52569329029245,AVAILABLE,11KV LINE,,HILLS AREA,"DC LINE,11 KV Line,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52569329029245 8.267115623435835, 77.52787157654423 8.267113919858984)"
25,25,T,"01°52'46""RT",HC,21.94,T24-T25,240.3211457800137,38.54,116,8.267113919858984,77.52787157654423,AVAILABLE,11KV LINE,,HILLS AREA,"DC LINE,11 KV LIne,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52787157654423 8.267113919858984, 77.52997174776974 8.267072070289535)"
26,26,S,,GC,23.62,T25-T26,231.7488394824342,37.76,115,8.267072070289535,77.52997174776974,AVAILABLE,11KV LINE,,HILLS AREA,"DC Line,11 KV LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52997174776974 8.267072070289535, 77.53200653828188 8.266975481977333)"
27,27,T,"06°45'23""LT",HC,21.94,T26-T27,224.74363768645122,38.84,153,8.266975481977333,77.53200653828188,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53200653828188 8.266975481977333, 77.53499317812357 8.267226921123404)"
28,28,T,"07°35'20""RT",HC,21.94,T27-T28,330.675569665083,38.67,158,8.267226921123404,77.53499317812357,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53499317812357 8.267226921123404, 77.53693677289654 8.267133643940562)"
29,29,T,"19°34'06""RT",HC,21.94,T28-T29,214.6752227446822,38.36,163,8.267133643940562,77.53693677289654,AVAILABLE,,,HILLS AREA,"DC Line,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53693677289654 8.267133643940562, 77.53908455289593 8.266255010112967)"
30,30,T,"40°54'58""LT",KC,24,T29-T30,256.15665391794687,38.84,136,8.266255010112967,77.53908455289593,AVAILABLE,33KV LINE-2NOS,CART TRACK,HILLS AREA,"DC line  , cart track , 2 nos 33kv Line ,hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53908455289593 8.266255010112967, 77.54083737740036 8.266842248195083)"
31,31,T,"39°07'43""RT",KC,24,T30-T31,204.0230167902438,38.38,163,8.266842248195083,77.54083737740036,AVAILABLE,,ODAI(NALA),HILLS AREA,"DC line , 1no odai (nala) , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54083737740036 8.266842248195083, 77.54323326454998 8.265948023821151)"
32,32,T,"02°00'16""RT",HC,21.94,T31-T32,282.2691459327557,38.87,136,8.265948023821151,77.54323326454998,AVAILABLE,11KV LINE,,HILLS AREA,"Dc line  , 1no 11kv line , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54323326454998 8.265948023821151, 77.54416566172124 8.26556245355533)"
33,33,T,"28°45'00""LT",HC,21.94,T32-T33,111.37748865460695,38.81,163,8.26556245355533,77.54416566172124,AVAILABLE,,ODAI(NALA),HILLS AREA,"Dc line  , odai(nala) , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54416566172124 8.26556245355533, 77.54630372145957 8.265794002895412)"
34,34,T,"09°56'15""LT",HC,21.94,T33-T34,237.26921399308077,40.74,162,8.265794002895412,77.54630372145957,AVAILABLE,22KV LINE,ODAI(NALA),HILLS AREA,"Dc line , road , 1no 22kv line, odai(nala) , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54630372145957 8.265794002895412, 77.54754189233748 8.26615098621108)"
35,35,T,"16°08'21""LT",HC,21.94,T34-T35,142.20603598884193,38.47,171,8.26615098621108,77.54754189233748,AVAILABLE,,CART TRACK,HILLS AREA,"Dc line ,  cart track , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54754189233748 8.26615098621108, 77.54898559545524 8.267093905662835)"
36,36,S,,GC,23.62,T35-T36,190.45650291059795,37.57,154,8.267093905662835,77.54898559545524,AVAILABLE,,,HILLS AREA,"Dc line  , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54898559545524 8.267093905662835, 77.55013592480647 8.267783343571047)"
37,37,T,"08°45'06""RT",HC,21.94,T36-T37,148.10726594245358,38.75,109,8.267783343571047,77.55013592480647,AVAILABLE,,,HILLS AREA,"Dc line , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55013592480647 8.267783343571047, 77.55222168189793 8.268725254540007)"
38,38,S,,GC,23.62,T37-T38,252.64764226932658,37.94,125,8.268725254540007,77.55222168189793,AVAILABLE,,,HILLS AREA,"Dc line , hills area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55222168189793 8.268725254540007, 77.55444790871366 8.269653563065127)"
39,39,T,"19°38'38""LT",HC,21.94,T38-T39,266.25223419780446,38.67,114,8.269653563065127,77.55444790871366,AVAILABLE,,,PLAIN LAND,"Dc line, ISRO Compound wall , PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55444790871366 8.269653563065127, 77.55634016728315 8.271671543286283)"
40,40,S,,GC,23.62,T39-T40,305.8230467071084,36.65,114,8.271671543286283,77.55634016728315,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55634016728315 8.271671543286283, 77.55833257427837 8.27373059652345)"
41,41,S,,GC,23.62,T40-T41,316.72662140926354,38.56,116,8.27373059652345,77.55833257427837,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55833257427837 8.27373059652345, 77.56028248310821 8.275106008936318)"
42,42,T,"08°12'36""RT",HC,21.94,T41-T42,263.5853320132865,38.17,114,8.275106008936318,77.56028248310821,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56028248310821 8.275106008936318, 77.56213630841096 8.276449674795387)"
43,43,S,,GC,23.62,T42-T43,252.9227160087685,37.96,108,8.276449674795387,77.56213630841096,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56213630841096 8.276449674795387, 77.56421710583031 8.277846356704323)"
44,44,T,"33°21'29""LT",KC,24,T43-T44,276.80299209240445,37.82,111,8.277846356704323,77.56421710583031,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56421710583031 8.277846356704323, 77.56496728089024 8.279725938789465)"
45,45,T (lilo),"08°36'25""LT",HC,21.94,T44-T45,224.00972007277133,37.77,102,8.279725938789465,77.56496728089024,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land lilo ISRO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56496728089024 8.279725938789465, 77.56562125478403 8.282536281674208)"
46,46,S,,GC,23.62,T45-T46,319.49512012312175,37.65,97,8.282536281674208,77.56562125478403,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56562125478403 8.282536281674208, 77.56612959932025 8.284782615466016)"
47,47,S,,GC,23.62,T46-T47,255.0216806456259,40.47,93,8.284782615466016,77.56612959932025,AVAILABLE,,,PLAIN LAND,"Dc line  , ISRO Compound wall , AND ISRO , PLAIN  LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56612959932025 8.284782615466016, 77.56664995170529 8.28666046272427)"
48,48,S,,GC,23.62,T47-T48,215.74650581130098,37.78,92,8.28666046272427,77.56664995170529,AVAILABLE,,,PLAIN LAND,"Dc line , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56664995170529 8.28666046272427, 77.5669295743674 8.288316340993186)"
49,49,S,,GC,23.62,T48-T49,185.96312709686933,37.48,91,8.288316340993186,77.5669295743674,AVAILABLE,,,PLAIN LAND,"Dc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5669295743674 8.288316340993186, 77.5674033155394 8.290174252519593)"
50,50,T,"09°24'08""LT",HC+3,24.94,T49-T50,212.29483929564972,38.78,92,8.290174252519593,77.5674033155394,AVAILABLE,,ISRO ROAD -2NOS,AGRI LAND,"Dc line, 2nos isro road ,  isro compound wall , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5674033155394 8.290174252519593, 77.56751731264822 8.29266519110272)"
51,51,S,,GC,23.62,T50-T51,276.1555045325922,37.78,94,8.29266519110272,77.56751731264822,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"Dc line , 1no cart track ,  Lt line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56751731264822 8.29266519110272, 77.56772451532716 8.295284506362217)"
52,52,S,,GC,23.62,T51-T52,290.98568806689764,37.72,90,8.295284506362217,77.56772451532716,AVAILABLE,LT LINE,CART TRACK-2NOS,AGRI LAND,"Dc line  ,  LT line , 2nos cart track , agri land , coconut garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56772451532716 8.295284506362217, 77.5679015331764 8.297990387912842)"
53,53,S,,GC,23.62,T52-T53,300.3092307455598,38.96,94,8.297990387912842,77.5679015331764,AVAILABLE,,"ODAI(NALA),POND",AGRI LAND,"Dc line, 2 nos odai bund ,  pond , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5679015331764 8.297990387912842, 77.56806481651724 8.300183012729729)"
54,54,S,,GC,23.62,T53-T54,243.49810069530804,37.63,95,8.300183012729729,77.56806481651724,AVAILABLE,,WELL,AGRI LAND,"Dc line  , well , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56806481651724 8.300183012729729, 77.56821569082341 8.302779718131873)"
55,55,T,"22°22'44""RT",HC+3,24.94,T54-T55,288.0636913219112,39.47,95,8.302779718131873,77.56821569082341,AVAILABLE,"11KV LINE-2NOS,LT LINE",ROAD,AGRI LAND,"Dc line , road , 2 nos 11kv line,  LT line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56821569082341 8.302779718131873, 77.56914474129051 8.30462727032481)"
56,56,S,,GC,23.62,T55-T56,228.8448437811799,37.82,98,8.30462727032481,77.56914474129051,AVAILABLE,11KV LINE-2NOS,CART TRACK-2NOS,PLAIN LAND,"Dc line , 2nos 11 kv line , 2 nos cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56914474129051 8.30462727032481, 77.5701331327007 8.306801604036348)"
57,57,S,,GC,23.62,T56-T57,264.3374615771881,37.54,99,8.306801604036348,77.5701331327007,AVAILABLE,LT LINE-2NOS,CART TRACK,AGRI LAND,"Dc line  , 2nos LT line ,cart track , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5701331327007 8.306801604036348, 77.5710041859787 8.308461036177144)"
58,58,T,"57°12'19""RT",KC,24,T57-T58,207.38222737059175,38.68,99,8.308461036177144,77.5710041859787,AVAILABLE,11KV LINE,CART TRACK,AGRI LAND,"Dc line  ,  cart track , 11 kv line , plain land ( annai concrete & block)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5710041859787 8.308461036177144, 77.57283746972472 8.308697533223713)"
59,59,S,,GC,23.62,T58-T59,203.91668886151322,37.47,99,8.308697533223713,77.57283746972472,AVAILABLE,33KV LINE,CART TRACK,AGRI LAND,"Dc line , 33 KV line ,CART TRACK ,  GARDEN , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57283746972472 8.308697533223713, 77.57482499019075 8.308910816472633)"
60,60,T,"09°37'54""RT",HC,21.94,T59-T60,220.50953972721936,38.57,96,8.308910816472633,77.57482499019075,AVAILABLE,,,PLAIN LAND,"Dc line  , plain land ,  garden ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57482499019075 8.308910816472633, 77.57643464759148 8.308829828695995)"
61,61,T,"32°33'15""LT",KC,24,T60-T61,177.78532628710178,38.62,96,8.308829828695995,77.57643464759148,AVAILABLE,,,PLAIN LAND,"DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H67)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
