S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,TN - 424,2W,T,DC on DC,30,TN - 421 : TN - 420,333.3303454,3.83,173,16°11'22''RT,9.90627246,78.02114298,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0211429763585 9.9062724597752, 78.0184701550751 9.90545631386339)"
30,TN - 423,,S,DC on DC,32,TN - 420 : TN - 419,308.9983151,6.24,169,,9.905456314,78.01847016,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0184701550751 9.90545631386339, 78.0156618822366 9.90457830950617)"
31,TN - 422,,S,DC on DC,32,TN - 419 : TN - 418,325.232909,2.83,167,,9.90457831,78.01566188,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0156618822366 9.90457830950617, 78.0129047390073 9.90370885469019)"
32,TN - 421,,S,DC on DC,32,TN - 418 : TN - 417,319.5979661,8.43,164,,9.903708855,78.01290474,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0129047390073 9.90370885469019, 78.0101165827363 9.90282850340008)"
33,TN - 420,,S,DC on DC,32,TN - 417 : TN - 416,323.2094421,5.82,175,,9.902828503,78.01011658,GOOD,AVAILABLE,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0101165827363 9.90282850340008, 78.0074290931224 9.90199131891131)"
34,TN - 419,,S,DC on DC,35,TN - 416 : TN - 415,311.2336243,5.83,176,,9.901991319,78.00742909,GOOD,AVAILABLE,LT - 2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0074290931224 9.90199131891131, 78.0047741252928 9.90115463733673)"
35,TN - 418,,S,DC on DC,32,TN - 415 : TN - 414,307.8141387,6.25,173,,9.901154637,78.00477413,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0047741252928 9.90115463733673, 78.0022909026592 9.90038685500621)"
36,TN - 417,,S,DC on DC,32,TN - 414 : TN - 413,287.5416179,3.52,169,,9.900386855,78.0022909,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0022909026592 9.90038685500621, 77.9995716456323 9.89952821284532)"
37,TN - 416,,S,DC on DC,32,TN - 413 : TN - 412,315,2.23,167,,9.899528213,77.99957165,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9995716456323 9.89952821284532, 77.9970311746001 9.89871634170413)"
38,TN - 415,,S,DC on DC,32,TN - 412 : TN - 411,295.0092614,4.04,164,,9.898716342,77.99703117,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9970311746001 9.89871634170413, 77.9943517316132 9.89787949249148)"
39,TN - 414,,S,DC on DC,32,TN - 411 : TN - 410,310.3845905,3.42,175,,9.897879492,77.99435173,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9943517316132 9.89787949249148, 77.9915468115359 9.89697952754795)"
40,TN - 413,2W,T,DC on DC,30,TN - 410 : TN - 409,325.6317554,2.81,176,16°50'23''RT,9.896979528,77.99154681,GOOD,AVAILABLE,LT - 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9915468115359 9.89697952754795, 77.9893498308956 9.89546231925487)"
41,TN - 412,,S,DC on DC,32,TN - 409 : TN - 408,295.9045414,1.22,173,,9.895462319,77.98934983,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9893498308956 9.89546231925487, 77.9869015607982 9.89377688616514)"
42,TN - 411,,S,DC on DC,32,TN - 408 : TN - 407,329.1857825,0.84,169,,9.893776886,77.98690156,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9869015607982 9.89377688616514, 77.9846559651196 9.89223059266805)"
43,TN - 410,,S,DC on DC,32,TN - 407 : TN - 406,302.1251337,1.52,167,,9.892230593,77.98465597,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9846559651196 9.89223059266805, 77.982267960906 9.89058782346546)"
44,TN - 409,,S,DC on DC,32,TN - 406 : TN - 405,321.0584141,1.38,164,,9.890587823,77.98226796,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.982267960906 9.89058782346546, 77.9798321798443 9.88888881169259)"
45,TN - 408,2W,T,DC on DC,30,TN - 405 : TN - 404,328.9242945,1.49,175,13°46'32''LT,9.888888812,77.97983218,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9798321798443 9.88888881169259, 77.977772578597 9.88809320144355)"
46,TN - 407,,S,DC on DC,32,TN - 404 : TN - 403,244.6491079,1.73,176,,9.888093201,77.97777258,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.977772578597 9.88809320144355, 77.9751928802579 9.88708544522523)"
47,TN - 406,,S,DC on DC,32,TN - 403 : TN - 402,306.3774746,0.79,173,,9.887085445,77.97519288,GOOD,AVAILABLE,HT,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9751928802579 9.88708544522523, 77.9726793989539 9.88611381500959)"
48,TN - 405,,S,DC on DC,32,TN - 402 : TN - 401,298.1502616,4.32,169,,9.886113815,77.9726794,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9726793989539 9.88611381500959, 77.9702149517834 9.88515459001064)"
49,TN - 404,,S,DC on DC,32,TN - 401 : TN - 400,292.6370842,1.94,167,,9.88515459,77.97021495,GOOD,AVAILABLE,"HT, LT -2, 110KV DOWN XING","ROAD, POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9702149517834 9.88515459001064, 77.9678080044686 9.88418639637529)"
50,TN - 403,2W,T,DC on DC,30,TN - 400 : TN - 399,287.142512,4.11,164,9°57'12''RT,9.884186396,77.967808,GOOD,AVAILABLE,230KV DOWN XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9678080044686 9.88418639637529, 77.9652971215546 9.88262560218572)"
51,TN - 402,,S,DC on DC,32,TN - 399 : TN - 398,327.3219397,3.76,165,,9.882625602,77.96529712,GOOD,AVAILABLE,230KV DOWN XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9652971215546 9.88262560218572, 77.9630145616829 9.88117452710866)"
52,TN - 401,,S,DC on DC,32,TN - 398 : TN - 397,299.648923,2.27,164,,9.881174527,77.96301456,GOOD,AVAILABLE,"230KV DOWN XING, HT, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9630145616829 9.88117452710866, 77.9606895893812 9.87970375455915)"
53,TN - 400,,S,DC on DC,32,TN - 397 : TN - 396,304.7465598,3.04,167,,9.879703755,77.96068959,GOOD,AVAILABLE,"230KV DOWN XING, HT, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9606895893812 9.87970375455915, 77.9583439975976 9.87821102142334)"
