S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,,T,DC,26,10-Nov,250.7335992,3.81,132.929535,"4°30'27"" L",9.629948018,77.74199601,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.741996012628 9.62994801811873, 77.7397459745407 9.6311049722135)"
12,12,,S,DA,26,11-Dec,280,5.06,134.359482,,9.631104972,77.73974597,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7397459745407 9.6311049722135, 77.7374709583818 9.63224600069224)"
13,13,,S,DA,26,Dec-13,279.9884557,3.98,135.159348,,9.632246001,77.73747096,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7374709583818 9.63224600069224, 77.7352100238204 9.63337303139269)"
14,14,,S,DA,26,13-14,280,6.11,136.269058,,9.633373031,77.73521002,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7352100238204 9.63337303139269, 77.7329419646412 9.63454901240766)"
15,15,,S,DA,26,14-15,281.0746558,4.77,137.580811,,9.634549012,77.73294196,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7329419646412 9.63454901240766, 77.7306439820677 9.63570001535117)"
16,16,,S,DA,26,15-16,282.7340408,3.94,138.098572,,9.635700015,77.73064398,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7306439820677 9.63570001535117, 77.7284109592437 9.63682503439486)"
17,17,,S,DA,26,16-17,275.0680049,4.52,139.476273,,9.636825034,77.72841096,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7284109592437 9.63682503439486, 77.7260900102555 9.63802197016775)"
18,18,2W,T,DC,26,17-18,287.2944045,5.03,141.967896,"16°15'2"" L",9.63802197,77.72609001,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7260900102555 9.63802197016775, 77.7237709891051 9.63847802951932)"
19,19,,S,DA,26,18-19,259.6658066,6.27,143.313583,,9.63847803,77.72377099,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7237709891051 9.63847802951932, 77.721312996 9.63899795897305)"
20,20,,S,DA,26,19-20,276.0406028,3.26,144.888229,,9.638997959,77.721313,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.721312996 9.63899795897305, 77.7189850062131 9.63946499861776)"
21,21,,S,DA,26,20-21,260.8685331,4.73,145.563156,,9.639464999,77.71898501,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7189850062131 9.63946499861776, 77.7166089881211 9.63991301134228)"
22,22,,S,DA,26,21-22,265.6391619,4.11,144.508347,,9.639913011,77.71660899,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7166089881211 9.63991301134228, 77.7142590377479 9.64035297743976)"
23,23,,S,DA,26,22-23,262.6594737,4.73,146.061996,,9.640352977,77.71425904,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7142590377479 9.64035297743976, 77.7118540182709 9.64079797267913)"
24,24,,T,DC,26,23-24,270,5.13,146.83725,"4°16'34"" L",9.640797973,77.71185402,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7118540182709 9.64079797267913, 77.7095479890704 9.6410500165075)"
25,25,,S,DA,26,24-25,254.8119056,6.03,148.871155,,9.641050017,77.70954799,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7095479890704 9.6410500165075, 77.7073400281369 9.64137095957994)"
26,26,,S,DA,26,25-26,245.0962375,5.83,149.708679,,9.64137096,77.70734003,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7073400281369 9.64137095957994, 77.7054079994559 9.64161101728677)"
27,27,,S,DA,26,26-27,213.8581618,4.32,150.659607,,9.641611017,77.705408,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7054079994559 9.64161101728677, 77.7029930055141 9.64194101281464)"
28,28,,S,DA,26,27-28,270,5.39,151.142746,,9.641941013,77.70299301,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7029930055141 9.64194101281464, 77.7004599943757 9.64227503165602)"
29,29,,S,DA,26,28-29,280.6531798,4.19,153.696808,,9.642275032,77.70045999,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7004599943757 9.64227503165602, 77.6978070382028 9.64262003079056)"
30,30,2W,T,DC,26,29-30,293.8719406,5.33,154.021744,"4°36'2"" R",9.642620031,77.69780704,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6978070382028 9.64262003079056, 77.6956290006637 9.64308204129338)"
31,31,,S,DA,26,30-31,244.6227541,6.73,149.238815,,9.643082041,77.695629,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6956290006637 9.64308204129338, 77.693237978965 9.64360197074711)"
32,32,,S,DA,26,31-32,270,7.66,153.86734,,9.643601971,77.69323798,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.693237978965 9.64360197074711, 77.6907870266586 9.64412801899015)"
33,33,,S,DA,26,32-33,275.4159165,4.52,153.578629,,9.644128019,77.69078703,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6907870266586 9.64412801899015, 77.6884150318801 9.64463797397911)"
34,34,,S,DA,26,33-34,270,7.58,154.411255,,9.644637974,77.68841503,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6884150318801 9.64463797397911, 77.6860570348799 9.64515203610062)"
35,35,,S,DA,26,34-35,265.156416,5.63,153.897125,,9.645152036,77.68605703,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6860570348799 9.64515203610062, 77.6837850362062 9.64563198387622)"
36,36,,T,DC,26,35-36,255.1255584,6.12,154.429459,"10°48'32"" R",9.645631984,77.68378504,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6837850362062 9.64563198387622, 77.6816110219806 9.6465399954468)"
37,37,,S,DA,26,36-37,259.0594494,5.13,155.181778,,9.646539995,77.68161102,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6816110219806 9.6465399954468, 77.6793100219219 9.647454963997)"
38,38,,S,DA,26,37-38,272.2522233,6.41,156.945923,,9.647454964,77.67931002,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6793100219219 9.647454963997, 77.6769329980015 9.64837898500263)"
39,39,,S,DA,26,38-39,280.3826939,3.87,157.82663,,9.648378985,77.676933,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6769329980015 9.64837898500263, 77.6743330154567 9.64941800571978)"
40,40,,T,DC,26,39-40,307.8379796,4.69,159.998947,"9°27'2"" L",9.649418006,77.67433302,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6743330154567 9.64941800571978, 77.6724579837173 9.64982997626066)"
41,41,,S,DA,26,40-41,210.9181545,8.11,160.255859,,9.649829976,77.67245798,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6724579837173 9.64982997626066, 77.6699780300259 9.65021898038685)"
42,42,,S,DA,26,41-42,275.7490268,5.06,160.277756,,9.65021898,77.66997803,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6699780300259 9.65021898038685, 77.6674659736454 9.65066095814108)"
43,43,,S,DA,26,42-43,280.1951058,6.17,161.403244,,9.650660958,77.66746597,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6674659736454 9.65066095814108, 77.6650389935821 9.65109396725893)"
44,44,,S,DA,26,43-44,270.8215349,4.23,161.558701,,9.651093967,77.66503899,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6650389935821 9.65109396725893, 77.6623250171542 9.65156997554004)"
45,45,2W,T,DC,26,44-45,302.6864496,7.44,162.305527,"16°2'29"" L",9.651569976,77.66232502,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6623250171542 9.65156997554004, 77.6611399836838 9.65144600719213)"
46,46,,S,DA,26,45-46,130.8689328,6.52,163.817245,,9.651446007,77.66113998,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6611399836838 9.65144600719213, 77.6586969941854 9.65114995837211)"
47,47,,S,DA,26,46-47,270.2973212,6.25,163.169815,,9.651149958,77.65869699,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6586969941854 9.65114995837211, 77.6561899669468 9.65087997727096)"
48,48,,S,DA,26,47-48,276.9533508,8.33,164.969833,,9.650879977,77.65618997,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6561899669468 9.65087997727096, 77.6536420360207 9.65057102032005)"
49,49,,S,DA,26,48-49,281.9101698,4.02,164.295944,,9.65057102,77.65364204,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6536420360207 9.65057102032005, 77.6511739846318 9.65027002617716)"
50,50,,S,DA,26,49-50,273.0949752,5.16,165.157578,,9.650270026,77.65117398,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6511739846318 9.65027002617716, 77.6484849862754 9.65003499761223)"
51,51,,T,DC,26,50-51,296.4641989,5.21,164.957565,"15°26'57"" R",9.650034998,77.64848499,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6484849862754 9.65003499761223, 77.6459514722228 9.65049709193408)"
52,52,,T,DC,26,51-52,282.9051783,Not Taken,164.957565,"6°59'15"" L",9.650497092,77.64595147,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6459514722228 9.65049709193408, 77.6434450317174 9.65064603835344)"
53,53,,T,DC,26,52-53,275.7630054,7.24,167.768707,"9°6'7"" R",9.650646038,77.64344503,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6434450317174 9.65064603835344, 77.641010005027 9.65118298307061)"
54,54,,T,DC,26,53-54,273.9493706,5.15,167.940109,"79°50'34"" L",9.651182983,77.64101001,GOOD,Available,HT -3NO,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.641010005027 9.65118298307061, 77.6404189970344 9.64978002011776)"
55,55,,T,DC,26,54-55,168.2948706,2.85,170.02742,"49°20'36"" R",9.64978002,77.640419,GOOD,Available,"LT,HT -3NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6404189970344 9.64978002011776, 77.63989998959 9.64961296878755)"
56,Gantry (Watrap SS),2W,Gantry,H-POLE,12,55-Gantry,59.92346084,,169.46344,,9.649612969,77.63989999,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
