S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type ( SC on DC Tower),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,176,,S,DA,26,179 - 180,253.7944288,4.72,148.91246,,9.692362016,77.82801596,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8280159644782 9.6923620160669, 77.8295459970831 9.69399003311991)"
36,177,,S,DA,26,180 - 181,246.4007428,4.39,148.913986,,9.693990033,77.829546,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8295459970831 9.69399003311991, 77.8311480302363 9.69570295885205)"
37,178,,S,DA,26,181 - 182,258.6681543,3.86,146.784241,,9.695702959,77.83114803,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8311480302363 9.69570295885205, 77.8327469620853 9.69740901142358)"
38,179,,S,DA,26,182 - 183,257.8786691,4.51,146.091125,,9.697409011,77.83274696,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8327469620853 9.69740901142358, 77.8342759888619 9.69904599711298)"
39,180,,T,DC,26,183 - 184,247.0519612,5.01,146.888641,"0°10'34"" L",9.699045997,77.83427599,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8342759888619 9.69904599711298, 77.8354809712618 9.70034401863813)"
40,181,,S,DA,26,184 - 185,195.3416233,4.64,148.06926,,9.700344019,77.83548097,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8354809712618 9.70034401863813, 77.8365690261125 9.70150801353156)"
41,182,,S,DA,26,185 - 186,175.7300957,3.19,148.451447,,9.701508014,77.83656903,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8365690261125 9.70150801353156, 77.8381490148603 9.70318196341395)"
42,183,,S,DA,26,186 - 187,253.860354,4.74,149.372757,,9.703181963,77.83814901,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8381490148603 9.70318196341395, 77.8396880161017 9.70486597158014)"
43,184,,S,DC,26,187 - 188,251.6284356,4.27,148.418625,,9.704865972,77.83968802,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8396880161017 9.70486597158014, 77.8408909868448 9.70613096840679)"
44,185,,T,DC,26,188 - 189,192.5163052,3.83,147.18895,"8°3'49"" R",9.706130968,77.84089099,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8408909868448 9.70613096840679, 77.8427999652922 9.70764297991991)"
45,186,2W,S,DA,26,189 - 190,268.2674104,4.39,145.339478,,9.70764298,77.84279997,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8427999652922 9.70764297991991, 77.8446449898183 9.70910201780498)"
46,187,,S,DA,26,190 - Gantry (T.Kallupatti SS),259.1196696,5.62,145.317917,,9.709102018,77.84464499,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8446449898183 9.70910201780498, 77.8464500326663 9.71054001711309)"
47,188,,S,DA,26,Gantry (T.Kallupatti SS) - ,254.2358198,4.87,147.170944,,9.710540017,77.84645003,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8464500326663 9.71054001711309, 77.8469889890402 9.71093296073377)"
48,189,2W,T,DC,26, - ,73.45377222,3.96,146.182373,"37°35'22"" R",9.710932961,77.84698899,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8469889890402 9.71093296073377, 77.848117025569 9.71090798266232)"
49,190,,T,DC,26, - ,123.9158784,4.19,146.259018,"10°50'39"" R",9.710907983,77.84811703,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.848117025569 9.71090798266232, 77.8484623599797 9.71083438955247)"
50,Gantry (T.Kallupatti SS),2W,Gantry,H-POLE,12,190 - Gantry,38.7909487,,146.259018,,9.71083439,77.84846236,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
