S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,16,,S,DA,26,15-16,245.25565,8.1,198.337784,,8.990428001,77.30956499,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.309564994648 8.99042800068855, 77.3071629926562 8.99046798236668)"
18,17,,T,DC,26,16-17,270,8.13,197.641937,"1°50'58"" R",8.990467982,77.30716299,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3071629926562 8.99046798236668, 77.3047429695725 8.99058599956333)"
19,18,,S,DA,26,17-18,266.5330556,5.41,193.083496,,8.990586,77.30474297,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3047429695725 8.99058599956333, 77.3022579867392 8.99069395847618)"
20,19,,S,DA,26,18-19,280,6.39,193.579514,,8.990693958,77.30225799,GOOD,Available,"LT,110 KV ",,PLAIN,Down Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3022579867392 8.99069395847618, 77.3000040091574 8.99079403840005)"
21,20,,T,DC,26,19-20,248.1934433,3.52,202.909851,"90°32'5"" L",8.990794038,77.30000401,GOOD,Available,HT -3NO,School,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3000040091574 8.99079403840005, 77.2999269794672 8.98862496949732)"
22,21,2W,T,DC,26,20-21,250,4.43,198.366989,"0°29'42"" R",8.988624969,77.29992698,GOOD,Available,"HT,400 KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2999269794672 8.98862496949732, 77.2998279891908 8.98638599552214)"
23,22,,S,DA,26,21-22,247.9697283,5.67,199.325592,,8.986385996,77.29982799,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2998279891908 8.98638599552214, 77.2997170127928 8.98434600792825)"
24,23,,S,DA,26,22-23,226.0435936,6.12,189.740189,,8.984346008,77.29971701,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2997170127928 8.98434600792825, 77.2996290028095 8.98212295956909)"
25,24,,S,DA,26,23-24,260,5.86,185.517899,,8.98212296,77.299629,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2996290028095 8.98212295956909, 77.2994880191981 8.97988800890743)"
26,25,,S,DA,26,24-25,247.7710916,6.42,180.491867,,8.979888009,77.29948802,GOOD,Available,"LT,HT -2NO",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2994880191981 8.97988800890743, 77.2994249872863 8.97828496992588)"
27,26,,S,DA,26,25-26,185,6.39,178.996918,,8.97828497,77.29942499,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2994249872863 8.97828496992588, 77.2992860153317 8.97610399872064)"
28,27,,T,DC,26,26-27,241.7963954,4.88,176.927216,"0°35'28"" L",8.976103999,77.29928602,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2992860153317 8.97610399872064, 77.2991833370178 8.97417775355279)"
29,28,,S,DA,26,27-28,213.4276271,3.65,176.927216,,8.974177754,77.29918334,GOOD,Available,"LT,HT",ROAD,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2991833370178 8.97417775355279, 77.2989509906619 8.97240397520363)"
30,29,,T,DC,26,28-29,197.9162971,6.4,175.73558,"16°52'38"" R",8.972403975,77.29895099,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2989509906619 8.97240397520363, 77.2982739843428 8.97091300226748)"
31,30,,S,DA,26,29-30,191,5.26,179.222473,,8.970913002,77.29827398,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2982739843428 8.97091300226748, 77.2975669708102 8.96952303126454)"
32,31,,T,DC,26,30-31,178,4.26,183.432175,"28°42'25"" L",8.969523031,77.29756697,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2975669708102 8.96952303126454, 77.2976470179855 8.96709797903895)"
33,32,,T,DC,26,31-32,268.4628683,7.11,170.468719,"25°59'30"" R",8.967097979,77.29764702,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2976470179855 8.96709797903895, 77.2972409985959 8.96619600243866)"
34,33,,T,DC,26,32-33,115,6.94,168.216522,"38°49'50"" L",8.966196002,77.297241,GOOD,Available,,Rail Way,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2972409985959 8.96619600243866, 77.2979810368269 8.96339502185583)"
35,34,,T,DC,26,33-34,320.4277056,3.61,165.689224,"63°2'59"" L",8.963395022,77.29798104,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2979810368269 8.96339502185583, 77.2983800154179 8.96330902352929)"
36,Gantry (Thenkasi SS),2W,Gantry,H-POLE,12,34-Gantry,45,,170.651627,,8.963309024,77.29838002,GOOD,NO E/W,,,PLAIN,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
