SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,14,,T,"5°43'12""LT",HC,21.94,T13-T14,198.0567023,37.6,36,8.358061828,77.85940938,AVAILABLE,"33KV LINE,LT LINE-2NOS",,PLAIN LAND,"DC LINE.33kv line,lt line-2nos,Road.fencing.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8594093769788 8.35806182769997, 77.857097312808 8.35894120359064)"
15,15,,T,"28°23'52""LT",HC,21.94,T14-T15,272.8267443,30.9,36,8.358941204,77.85709731,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.857097312808 8.35894120359064, 77.8549481928348 8.35865957795541)"
16,16,,T,"42°20'59""RT",KC,24,T15-T16,238.9513641,39.1,37,8.358659578,77.85494819,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE.lt line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8549481928348 8.35865957795541, 77.8536178171634 8.35957643616708)"
17,17,,S,,GC,23.62,T16-T17,178.3446366,32.9,37,8.359576436,77.85361782,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8536178171634 8.35957643616708, 77.8521650657057 8.3605898207197)"
18,18,,T,"31°58'8""RT",KC,24,T17-T18,195.5208998,42.6,35,8.360589821,77.85216507,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8521650657057 8.3605898207197, 77.8514210879802 8.3623203636348)"
19,19,,T,"27°32'25""LT",HC,21.94,T18-T19,208.3701222,33.5,35,8.362320364,77.85142109,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8514210879802 8.3623203636348, 77.8496189787983 8.36372648629171)"
20,20,,S,,GC,23.62,T19-T20,252.3637719,36.2,35,8.363726486,77.84961898,AVAILABLE,LT LINE,,PLAIN LAND,DC LINE.plainland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8496189787983 8.36372648629171, 77.8478215634822 8.36521387260614)"
21,21,,S,,GC,23.62,T20-T21,257.6090997,30.3,33,8.365213873,77.84782156,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE.lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8478215634822 8.36521387260614, 77.8459178656339 8.36680308752562)"
22,22,2W,T,"6°30'15""RT",HC,21.94,T21-T22,273.8250667,33.1,34,8.366803088,77.84591787,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8459178656339 8.36680308752562, 77.844691760838 8.36800618956185)"
23,23,,S,,GC+3,26.62,T22-T23,189.7399083,34.2,34,8.36800619,77.84469176,AVAILABLE,22KV LINE,"ROAD,POND",PLAIN LAND,"DC LINE.22kv line,Road.pond,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.844691760838 8.36800618956185, 77.8430163860321 8.36977318711131)"
24,24,,T,"29°43'32""RT",KC,24,T23-T24,268.9985798,44.9,33,8.369773187,77.84301639,AVAILABLE,,,AGRI LAND,"DC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8430163860321 8.36977318711131, 77.8425014019012 8.3717577741988)"
25,25,,S,"38°21'1""RT",KC,24,T24-T25,226.8862912,39.52,32,8.371757774,77.8425014,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE.lt line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8425014019012 8.3717577741988, 77.8429939225316 8.37286665741413)"
26,26,,S,"47°10'26""LT",KC,24,T25-T26,134.2107456,32.36,33,8.372866657,77.84299392,AVAILABLE,LT LINE,,WATER LOGGED AREA,"DC LINE.lt line,pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8429939225316 8.37286665741413, 77.8414925560355 8.37664904325237)"
27,27,,S,,GC,23.62,T26-T27,450.1868116,33.14,33,8.376649043,77.84149256,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE.pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8414925560355 8.37664904325237, 77.8404753282666 8.378686998597)"
28,28,,T,"1°32'35""RT",HC,21.94,T27-T28,251.9076917,34.4,32,8.378686999,77.84047533,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE.lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8404753282666 8.378686998597, 77.8396126627922 8.38075811284915)"
29,29,,S,,GC,23.62,T28-T29,248.1851634,35.4,34,8.380758113,77.83961266,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC LINE.lt line-2Nos,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8396126627922 8.38075811284915, 77.8387754783034 8.38292573903109)"
30,30,,T,"15°30'9""RT",HC,21.94,T29-T30,257.0639564,41.9,35,8.382925739,77.83877548,AVAILABLE,,,PLAIN LAND,DC LINE.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8387754783034 8.38292573903109, 77.8385488316416 8.38498090948092)"
31,31,,S,"11°14'21""LT",HC,21.94,T30-T31,228.8493263,33.7,36,8.384980909,77.83854883,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE.pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8385488316416 8.38498090948092, 77.8374977409839 8.38748683615169)"
32,32,,S,,GC,23.62,T31-T32,300.5981827,34.76,36,8.387486836,77.83749774,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,lt.agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8374977409839 8.38748683615169, 77.8366163000464 8.38850645013503)"
33,33,,S,,GC,23.62,T32-T33,148.9181394,32.6,36,8.38850645,77.8366163,AVAILABLE,,"CART TRACK,POND",WATER LOGGED AREA,"DC LINE,cart track.pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8366163000464 8.38850645013503, 77.8363122045993 8.39204224107199)"
34,34,,T,"19°15'34""LT",HC,21.94,T33-T34,392.8002643,33.3,35,8.392042241,77.8363122,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8363122045993 8.39204224107199, 77.8349603712558 8.3938439563067)"
35,35,,T,"0°31'46""RT",HC+3,24.94,T34-T35,248.9440453,31.6,35,8.393843956,77.83496037,AVAILABLE,"LT LINE, 22KV LINE","ROAD,POND",WATER LOGGED AREA,"DC LINE,lt line,22kv line,Road,pond, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8349603712558 8.3938439563067, 77.8336668759584 8.39560154932426)"
36,36,,T,"21°34'0""RT",HC+3,24.94,T35-T36,241.1937699,42.3,38,8.395601549,77.83366688,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC LINE,lt line,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8336668759584 8.39560154932426, 77.8332789614796 8.39707720487679)"
37,"LILO, T.NO38 FROM SATHANKULAM ",3W,T,,KC,24,T36-T37 LILO,168.8390726,33.6,37,8.397077205,77.83327896,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,lt line,agri land, LILO, T.NO38 FROM SATHANKULAM ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
