,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-9,,SB,T,24,08-Sep,213.6000936,1.65,106,"14°0'47.08""",8.93098494,77.50582129,GOOD,GOOD,NO,"33KV,110KV SC LINE CROSSING ABOVE OUR LINE",MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50582129 8.93098494, 77.50328389 8.93071289)"
12,T.NO-10,,SA,S,26,09-Oct,280.8291295,1.48,107,,8.93071289,77.50328389,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50328389 8.93071289, 77.50083761 8.93047636)"
13,T.NO-11,,SA,S,26,10-Nov,270.4533231,2.15,108,,8.93047636,77.50083761,GOOD,GOOD,NO,2nos LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50083761 8.93047636, 77.49813669 8.93021442)"
14,T.NO-12,,SA,S,26,11-Dec,298.6134625,3.72,107,,8.93021442,77.49813669,GOOD,GOOD,NO,LT (ONLINE),,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49813669 8.93021442, 77.49693626 8.93009598)"
15,T.NO-13,3W,SB,T,24,Dec-13,132.740348,3.27,113,"4°44'25.26""",8.93009598,77.49693626,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49693626 8.93009598, 77.49459774 8.92966891)"
16,T.NO-14,,SA,S,26,13-14,261.629509,3.14,112,,8.92966891,77.49459774,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49459774 8.92966891, 77.49187766 8.92926245)"
17,T.NO-15,,SA,S,26,14-15,302.671439,3.41,113,,8.92926245,77.49187766,GOOD,GOOD,NO,"11KV,3nos 33KV","MUDROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49187766 8.92926245, 77.48942106 8.92884517)"
18,T.NO-16,,SA,S,26,15-16,274.2334772,1.69,112,,8.92884517,77.48942106,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48942106 8.92884517, 77.48697373 8.92845492)"
19,T.NO-17,,SA,S,26,16-17,272.7379695,2.21,113,,8.92845492,77.48697373,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48697373 8.92845492, 77.48517261 8.92820492)"
20,T.NO-18,,SD,T,28,17-18,200.1124684,3.02,112,"34°2'11.20""",8.92820492,77.48517261,GOOD,GOOD,NO,11KV,"NALA,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48517261 8.92820492, 77.48298733 8.92624949)"
21,T.NO-19,,SA,S,26,18-19,323.4887942,2.9,111,,8.92624949,77.48298733,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48298733 8.92624949, 77.48128647 8.92469746)"
22,T.NO-20,,SA,S,26,19-20,254.0177159,0.96,108,,8.92469746,77.48128647,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48128647 8.92469746, 77.47949401 8.92303759)"
23,T.NO-21,,SA,S,26,20-21,269.5199436,3.69,108,,8.92303759,77.47949401,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47949401 8.92303759, 77.47766528 8.92138699)"
24,T.NO-22,,SA,S,26,21-22,271.764604,3.21,108,,8.92138699,77.47766528,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47766528 8.92138699, 77.47619335 8.92008644)"
25,T.NO-23,,SC,T,32,22-23,216.6702564,3.52,107,"12°2'24.45""",8.92008644,77.47619335,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47619335 8.92008644, 77.47416814 8.91894319)"
26,T.NO-24,,SD,T,34,23-24,256.2576828,4.73,107,"36°39'55.52""",8.91894319,77.47416814,GOOD,GOOD,NO,33KV,"RIVER,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47416814 8.91894319, 77.4714622 8.91927751)"
27,T.NO-25,,SA,S,26,24-25,300.0483294,1.96,106,,8.91927751,77.4714622,GOOD,GOOD,NO,"11KV,33KV,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4714622 8.91927751, 77.46914701 8.9196092)"
28,T.NO-26,,SA,S,26,25-26,257.3907535,3.24,110,,8.9196092,77.46914701,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46914701 8.9196092, 77.46666811 8.9199239)"
29,T.NO-27,,SA,S,29,26-27,274.9872724,2.69,114,,8.9199239,77.46666811,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46666811 8.9199239, 77.46401661 8.92024877)"
30,T.NO-28,2W,SB,T,24,27-28,293.9727879,3.37,118,"7°49'48.21""",8.92024877,77.46401661,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46401661 8.92024877, 77.4618262 8.92021811)"
31,T.NO-29,,SA,S,29,28-29,241.0518616,4.19,115,,8.92021811,77.4618262,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4618262 8.92021811, 77.45955388 8.9201699)"
32,T.NO-30,,SA,S,26,29-30,250.0979808,5.7,115,,8.9201699,77.45955388,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45955388 8.9201699, 77.45701765 8.92006921)"
33,T.NO-31,,SA,S,26,30-31,279.3027032,4.73,113,,8.92006921,77.45701765,GOOD,GOOD,NO,"nos 33KV,11KV,LT","CANAL,LT",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45701765 8.92006921, 77.45489968 8.92000188)"
34,T.NO-32,,SA,S,26,31-32,233.173755,4.38,117,,8.92000188,77.45489968,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45489968 8.92000188, 77.45210924 8.91993898)"
35,T.NO-33,,SA,S,26,32-33,307.1318935,2.21,116,,8.91993898,77.45210924,GOOD,GOOD,NO,LT,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45210924 8.91993898, 77.44990057 8.91989934)"
36,T.NO-34,,SA,S,32,33-34,243.0740628,5.59,119,,8.91989934,77.44990057,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44990057 8.91989934, 77.44767343 8.91981461)"
37,T.NO-35,,SB,T,30,34-35,245.2468145,5.37,120,"8°25'58.09""",8.91981461,77.44767343,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD(SH),CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44767343 8.91981461, 77.44505281 8.91932579)"
38,T.NO-36,,SA,S,29,35-36,293.3939331,6.82,121,,8.91932579,77.44505281,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44505281 8.91932579, 77.44245987 8.91890003)"
39,T.NO-37,,SA,S,26,36-37,289.1816038,INSIDE POND,121,,8.91890003,77.44245987,GOOD,GOOD,NO,,"MUDROAD,POND",INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44245987 8.91890003, 77.44031229 8.91848035)"
40,T.NO-38,,SA,S,26,37-38,240.8318916,8.48,121,,8.91848035,77.44031229,GOOD,GOOD,NO,33KV,THAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44031229 8.91848035, 77.43799205 8.9180618)"
41,T.NO-39,,SA,S,29,38-39,259.4783228,7.38,122,,8.9180618,77.43799205,GOOD,GOOD,NO,"LT,11KV",NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43799205 8.9180618, 77.43607173 8.91764965)"
42,T.NO-40,,SA,S,26,39-40,216.1712284,4.66,123,,8.91764965,77.43607173,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43607173 8.91764965, 77.43378754 8.91718564)"
43,T.NO-41,,SA,S,26,40-41,256.5345981,8.27,123,,8.91718564,77.43378754,GOOD,GOOD,NO,,"POND,MUDROAD",INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43378754 8.91718564, 77.43133015 8.91664142)"
44,T.NO-42,,SB,T,27,41-42,277.0270745,3.22,121,"0°21'50.49""",8.91664142,77.43133015,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43133015 8.91664142, 77.42855433 8.91604504)"
45,T.NO-43,,SA,S,26,42-43,312.4883998,1.4,122,,8.91604504,77.42855433,GOOD,GOOD,NO,3nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42855433 8.91604504, 77.42623332 8.91550892)"
46,T.NO-44,,SA,S,26,43-44,262.1945842,2.18,122,,8.91550892,77.42623332,GOOD,GOOD,NO,"400KV MC LINE CROSSING ABOVE OUR LINE,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42623332 8.91550892, 77.42393073 8.91500882)"
47,T.NO-45,,SA,S,26,44-45,259.3414737,3.87,122,,8.91500882,77.42393073,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42393073 8.91500882, 77.42150067 8.91447338)"
48,T.NO-46,,SA,S,26,45-46,273.8795356,2.66,124,,8.91447338,77.42150067,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42150067 8.91447338, 77.41921638 8.91399121)"
49,T.NO-47,,SC,T,26,46-47,256.955249,3.04,124,"23°20'28.50""",8.91399121,77.41921638,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41921638 8.91399121, 77.41739942 8.91271068)"
50,T.NO-48,,SA,S,26,47-48,245.0510151,3.37,124,,8.91271068,77.41739942,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41739942 8.91271068, 77.41509893 8.91114408)"
51,T.NO-49,,SA,S,26,48-49,306.804498,5.16,130,,8.91114408,77.41509893,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41509893 8.91114408, 77.41299938 8.9097298)"
52,T.NO-50,,SA,S,26,49-50,279.0412156,3.92,127,,8.9097298,77.41299938,GOOD,GOOD,NO,LT,CEMENT ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41299938 8.9097298, 77.41104567 8.90837782)"
53,T.NO-51,,SA,S,26,50-51,261.91029,3.12,132,,8.90837782,77.41104567,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41104567 8.90837782, 77.40882719 8.90683775)"
54,T.NO-52,,SB,T,27,51-52,297.712949,3.48,130,"9°50'59.60""",8.90683775,77.40882719,GOOD,GOOD,NO,"LT,11KV","POND,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40882719 8.90683775, 77.40697949 8.90501511)"
55,T.NO-53,,DB,T,27,52-53,286.3791194,3.77,135,"0°8'29.29""",8.90501511,77.40697949,GOOD,GOOD,NO,LT(ONLINE),POND,CULTIVATION,2 EARTH WIRE ON THIS TOWER.ONE EARTH WIRE CONNECR TO T.NO-54 ANOTHER EARTH WIRE CONNECT TO KALNEERKULAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40697949 8.90501511, 77.40515015 8.90321944)"
56,T.NO-54,,SD,T,28,53-54,282.8427125,4.19,137,"53°2'56.62""",8.90321944,77.40515015,GOOD,GOOD,NO,"33KV,11KV,2nos LT",TAAR ROAD,CULTIVATION,2 EARTH WIRE ON THIS TOWER.ONE EARTH WIRE CONNECR TO T.NO-55 ANOTHER EARTH WIRE CONNECT TO KALNEERKULAM TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40515015 8.90321944, 77.40335247 8.9034841)"
57,T.NO-55,,SB,T,24,54-55,199.9699977,2.29,137,"3°2'0.63""",8.9034841,77.40335247,GOOD,GOOD,NO,LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40335247 8.9034841, 77.4024721 8.9036615)"
58,T.NO-56,,DC,T,26,55-56,98.84331035,2.66,137,"16°19'30.02""",8.9036615,77.4024721,GOOD,GOOD,NO,,,PLAINLAND,NEED 3WAY JUNCTION BOX .2FEEDER EARTH WIRE  ON THIS TOWER. E/W FDR 1-ALANKULAM 110KV E/W FDR 2-KALANEERKULAM 110KV (THIS FEEDER CONNECT TO NEAREST DC TOWER),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4024721 8.9036615, 77.40222756 8.90378961)"
59,GANTRY 110KV PAVOOR CHATRAM,2W,GANTRY,GANTRY,20,56-GANTRY,30.41381265,,15,,8.90378961,77.40222756,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
