S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
37,36,,S,PA,A+3,24,39-40,245,3.78,FALSE,304.1405029,,10.35059731,77.85150365,Good,Good,,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8515036497265 10.3505973145365, 77.8504764474928 10.3525329474359)"
38,37,,S,PA,A+0,24,40-41,247,5.12,FALSE,300.5356445,,10.35253295,77.85047645,Good,Good,LT,MUD ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8504764474928 10.3525329474359, 77.8495359979569 10.3543410915881)"
39,38,2W,T,PB,B+0,22,41-42,230,7.63,FALSE,298.612915,0°29'11''LT,10.35434109,77.849536,Good,Good,,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8495359979569 10.3543410915881, 77.8487394656986 10.3558411169797)"
40,39,,S,PA,A+0,24,42-43,193,4.5,FALSE,308.4664307,,10.35584112,77.84873947,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8487394656986 10.3558411169797, 77.8476987686008 10.357837434858)"
41,40,,S,PA,A+0,24,43-44,254,3.11,FALSE,305.1018066,,10.35783743,77.84769877,Good,Good,"22KV,LT",,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8476987686008 10.357837434858, 77.8467013221234 10.359766613692)"
42,41,,S,PA,A+0,24,44-45,245,5.77,FALSE,303.1791992,,10.35976661,77.84670132,Good,Good,400KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8467013221234 10.359766613692, 77.8457032889127 10.3616463392972)"
43,42,,S,PA,A+0,24,45-46,240,4.18,FALSE,304.6212158,,10.36164634,77.84570329,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8457032889127 10.3616463392972, 77.84478421323 10.3634207043796)"
44,43,,T,PB,B+0,22,46-47,226,3.98,FALSE,303.6599121,0°1'4''LT,10.3634207,77.84478421,Good,Good,LT,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84478421323 10.3634207043796, 77.8438264969736 10.3652682434767)"
45,44,,S,PA,A+0,24,47-48,235,5.18,FALSE,298.3725586,,10.36526824,77.8438265,Good,Good,2-LT,THAR ROAD,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8438264969736 10.3652682434767, 77.8428343310952 10.3671725280582)"
46,45,,S,PA,A+0,24,48-49,242,2.01,FALSE,298.8532715,,10.36717253,77.84283433,Good,Good,22KV,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8428343310952 10.3671725280582, 77.8419181890785 10.3689266089349)"
47,46,,S,PA,A+0,24,49-50,224,3.73,FALSE,302.6986084,,10.36892661,77.84191819,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8419181890785 10.3689266089349, 77.8409752249717 10.3706918377429)"
48,47,,S,PA,A+0,24,50-51,226,5.16,FALSE,301.9776611,,10.37069184,77.84097522,Good,Good,,,AGRI,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8409752249717 10.3706918377429, 77.8399881720542 10.3725540451705)"
