SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,6,,T,"03°63'51""RT",HC,22.94,T5-T6,245.9720266,41.78,1,8.753888074,78.1393569,AVAILABLE,LT LINE,,PLAIN LAND,"Dc Line,LT line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1393569 8.753888074, 78.13754339 8.755826918)"
11,7,,S,,GC,23.62,T6-T7,293.1590164,37.98,1,8.755826918,78.13754339,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13754339 8.755826918, 78.1357101 8.757728639)"
12,8,,S,,GC,23.62,T7-T8,291.6671759,44.68,2,8.757728639,78.1357101,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1357101 8.757728639, 78.13389491 8.759767866)"
13,9,,S,,GC,23.62,T8-T9,301.5093655,43.12,3,8.759767866,78.13389491,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13389491 8.759767866, 78.13237946 8.761404807)"
14,10,,T,"33°43'42""RT",KC+3,27,T9-T10,246.337243,50,3,8.761404807,78.13237946,AVAILABLE,LT LINE,THAR ROAD,AGRI LAND," DC line, thar road , LT line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13237946 8.761404807, 78.13165426 8.761583744)"
15,11,,T,"05°24'66""RT",HC,22.94,T10-T11,82.27915588,37.47,3,8.761583744,78.13165426,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13165426 8.761583744, 78.12920272 8.761956197)"
16,12,,T,"09°18'28""RT",HC,22.94,T11-T12,273.0955847,38.85,4,8.761956197,78.12920272,AVAILABLE,,,PLAIN LAND,"Dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12920272 8.761956197, 78.12676057 8.761934989)"
17,13,3W,T,"04°85'19""LT",HC,22.94,T12-T13,268.9421596,44.14,2,8.761934989,78.12676057,AVAILABLE,400KV LINE,,PLAIN LAND,"Dc line, Plain land 400kv CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12676057 8.761934989, 78.12453669 8.762103322)"
18,14,,S,,GC,23.62,T13-T14,245.60454,41.54,4,8.762103322,78.12453669,AVAILABLE,230KV LINE,,AGRI LAND,"Dc  line, 230 line , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12453669 8.762103322, 78.12212538 8.762353501)"
19,15,,S,,GC+3,26.62,T14-T15,266.9759455,36.87,2,8.762353501,78.12212538,NOT AVAILABLE,,THAR ROAD,AGRI LAND,"DC line, thar road , T.No.14 to T.NO.15  earthwire is not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12212538 8.762353501, 78.11952498 8.762534094)"
20,16,,S,,GC+3,26.62,T15-T16,287.0574811,39.69,1,8.762534094,78.11952498,NOT AVAILABLE,LT LINE,THAR ROAD,AGRI LAND,"DC line, Lt line, thar road , T.No.15 to T.NO.16  earthwire is not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11952498 8.762534094, 78.11708517 8.762728604)"
21,17,,S,,GC,23.62,T16-T17,269.5362909,42.65,1,8.762728604,78.11708517,NOT AVAILABLE,22KV LINE,,PLAIN LAND," Dc line,22kv line, T.No.16 to T.NO.17  earthwire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11708517 8.762728604, 78.11458569 8.762940344)"
22,18,,S,,GC,23.62,T17-T18,276.2431103,34.98,3,8.762940344,78.11458569,NOT AVAILABLE,LT LINE,,PLAIN LAND,"DC line, T.No.17 to T.NO.18  earthwire is not available, LT line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11458569 8.762940344, 78.11208621 8.763174949)"
23,19,,T,"00°00'00""",HC,22.94,T18-T19,276.4709869,38.1,6,8.763174949,78.11208621,NOT AVAILABLE,,,PLAIN LAND,"DC line,T.No.18 to T.NO.19  earthwire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11208621 8.763174949, 78.10969569 8.763425459)"
24,20,,S,,GC,23.62,T19-T20,264.7055521,40.98,6,8.763425459,78.10969569,NOT AVAILABLE,,,AGRI LAND,"DC line,T.No.19 to T.NO.20  earthwire is not available , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10969569 8.763425459, 78.10705505 8.763742904)"
25,21,,S,,GC,23.62,T20-T21,292.9084321,44.56,7,8.763742904,78.10705505,NOT AVAILABLE,,,AGRI LAND,"DC line,T.No.20 to T.NO.21  earthwire is not available , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10705505 8.763742904, 78.10439497 8.764083212)"
26,22,,S,,GC+3,26.62,T21-T22,295.3459816,39.98,5,8.764083212,78.10439497,NOT AVAILABLE,,THAR ROAD,PLAIN LAND,"Dc line,thar road, T.No.21 to T.NO.22  earthwire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10439497 8.764083212, 78.10173489 8.764426171)"
27,23,,S,,GC+3,26.62,T22-T23,295.3852861,44.09,5,8.764426171,78.10173489,NOT AVAILABLE,,THAR ROAD,PLAIN LAND,"Dc line,thar road, T.No.22 to T.NO.23  earthwire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10173489 8.764426171, 78.09973597177918 8.764697117018398)"
28,24,,S,,GC,23.62,T23-T24,222.5282882,39.98,4,8.764697117,78.09973597,NOT AVAILABLE,,POND,AGRI LAND,"DC line, T.N O.23 to T.No .24 Earth wire is not available, Pond,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09973597177918 8.764697117018398, 78.09703767663125 8.764996580069782)"
29,25,2W,T,"16°47'19""LT",HC,22.94,T24-T25,298.9883875,43.78,9,8.76499658,78.09703768,NOT AVAILABLE,,POND,AGRI LAND,"DC line, T.N O.24 to T.No .25 Earth wire is not available, Pond,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09703767663125 8.764996580069782, 78.09461127886794 8.766013111592924)"
30,26,,S,,GC,23.62,T25-T26,289.9326566,42.98,9,8.766013112,78.09461128,NOT AVAILABLE,,POND,AGRI LAND,"DC line, T.N O.25 to T.No .26 Earth wire is not available, Pond,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09461127886794 8.766013111592924, 78.09217113674455 8.766985900540845)"
31,27,,S,,GC,23.62,T26-T27,289.4921644,41.78,9,8.766985901,78.09217114,NOT AVAILABLE,,POND,WATER LOGGED AREA ,"DC line, T.N O.26 to T.No .27 Earth wire is not available, Pond,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09217113674455 8.766985900540845, 78.08968472204369 8.767973343638698)"
32,28,,S,,GC,23.62,T27-T28,294.8258663,37.98,8,8.767973344,78.08968472,AVAILABLE,,,WATER LOGGED AREA ,"DC line,Water Logged Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08968472204369 8.767973343638698, 78.08722749093415 8.768943728112154)"
33,29,,S,,GC,23.62,T28-T29,291.1414914,44.68,12,8.768943728,78.08722749,NOT AVAILABLE,400KV LINE,,PLAIN LAND,"DC line, T.N O.28 to T.No .29 Earth wire is not available,400 kv crossing Our line is Below, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08722749093415 8.768943728112154, 78.08490436147066 8.769826708205796)"
34,30,,S,,GC,23.62,T29-T30,273.8685902,47.87,10,8.769826708,78.08490436,AVAILABLE,400KV LINE,,PLAIN LAND,"Dc line,400 kv crossing Our line is Below, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08490436147066 8.769826708205796, 78.08260671723511 8.770740845401034)"
35,31,,T,"35°09'08""LT",KC+9,31,T30-T31,272.5106842,41.78,11,8.770740845,78.08260672,AVAILABLE,22KV LINE,NH ROAD,AGRI LAND,"Dc line, NH crossing Tirunelveli to Tutucorin, 22kv crossing, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08260671723511 8.770740845401034, 78.08168537534983 8.772146415135834)"
36,32,,S,,GC,23.62,T31-T32,185.7535085,40.55,13,8.772146415,78.08168538,AVAILABLE,400KV LINE,,AGRI LAND,"DC line,400 kv crossing Our line is Below, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08168537534983 8.772146415135834, 78.08040864617189 8.77428458737101)"
37,33,,S,,GC,23.62,T32-T33,275.3028223,39.87,12,8.774284587,78.08040865,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08040864617189 8.77428458737101, 78.0790276441749 8.776470794598993)"
38,34,,S,,GC,23.62,T33-T34,285.8284902,38.98,11,8.776470795,78.07902764,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0790276441749 8.776470794598993, 78.07776532930383 8.778533401119919)"
39,35,2W,S,,GC,23.62,T34-T35,267.3159431,40.98,11,8.778533401,78.07776533,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07776532930383 8.778533401119919, 78.07647887855816 8.780558880239797)"
40,36,,S,,GC,23.62,T35-T36,265.224148,47.56,12,8.78055888,78.07647888,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07647887855816 8.780558880239797, 78.07519476414626 8.78266187901249)"
41,37,,S,,GC+3,26.62,T36-T37,272.3835622,39.98,11,8.782661879,78.07519476,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07519476414626 8.78266187901249, 78.07382080705393 8.784969967978784)"
42,38,,S,,GC,23.62,T37-T38,296.9425831,44.68,13,8.784969968,78.07382081,AVAILABLE,22KV LINE,THAR ROAD,AGRI LAND,"Dc line,Thar Road ,22 kv Line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07382080705393 8.784969967978784, 78.07268187616839 8.786840682277287)"
43,39,,S,,GC,23.62,T38-T39,242.1063672,41.78,15,8.786840682,78.07268188,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07268187616839 8.786840682277287, 78.07137060420888 8.789001303167835)"
44,40,,S,,GC,23.62,T39-T40,279.3887118,37.98,14,8.789001303,78.0713706,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07137060420888 8.789001303167835, 78.07002749629824 8.791219229053224)"
45,41,,T,"17°11'24""LT",HC,22.94,T40-T41,286.6313803,33.58,19,8.791219229,78.0700275,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07002749629824 8.791219229053224, 78.06991114980659 8.791685088150809)"
46,42,,DP,"24°04'82""RT",DP,8,T41-T42,53.13797159,47.87,19,8.791685088,78.06991115,AVAILABLE,230KV LINE,,PLAIN LAND,"Dc line, 230 kv Crossing Our Line is Below, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06991114980659 8.791685088150809, 78.06964259115125 8.79202701481203)"
47,43,,DP,"14°83'56""LT",DP,8,T42-T43,48.03460107,44.78,19,8.792027015,78.06964259,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06964259115125 8.79202701481203, 78.06940387780472 8.792581993053956)"
48,44,,T,"05°82'79""LT",HC,22.94,T43-T44,66.82355591,40.55,19,8.792581993,78.06940388,AVAILABLE,,,PLAIN LAND,"DC line, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06940387780472 8.792581993053956, 78.069233559072 8.79314943372085)"
49,45,3W,T(LILO),"65°72'83""RT",KC (LILO),24,T44-T45,57.06717235,39.87,18,8.793149434,78.06923356,AVAILABLE,,,PLAIN LAND,"Dc line, Lilo, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.069233559072 8.79314943372085, 78.0673050507903 8.79341682138463)"
50,46,,S,,GC,23.62,T45-T46,214.4151149,38.98,18,8.793416821,78.06730505,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0673050507903 8.79341682138463, 78.0654761195182 8.79369945026672)"
51,47,,S,,GC,23.62,T46-T47,203.8128801,37.58,19,8.79369945,78.06547612,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0654761195182 8.79369945026672, 78.0635932087898 8.79394165608904)"
52,48,,T,"29°99'00""RT",HC,22.94,T47-T48,209.0679999,38.02,21,8.793941656,78.06359321,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0635932087898 8.79394165608904, 78.0616596713662 8.79314015632633)"
53,49,,S,,GC,23.62,T48-T49,230.6642607,42.35,21,8.793140156,78.06165967,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0616596713662 8.79314015632633, 78.0596550554037 8.79225449541482)"
54,50,,S,,GC,23.62,T49-T50,241.5375526,37.47,21,8.792254495,78.05965506,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0596550554037 8.79225449541482, 78.0579189956188 8.79146823350464)"
55,51,,T,"03°37'52""LT",HC,22.94,T50-T51,210.0535352,41.27,21,8.791468234,78.057919,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0579189956188 8.79146823350464, 78.0560082569718 8.79073465261976)"
56,52,,S,,GC+3,26.62,T51-T52,225.5367473,44.2,20,8.790734653,78.05600826,AVAILABLE,,THAR ROAD,PLAIN LAND,"Dc line, plain land, thar road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0560082569718 8.79073465261976, 78.0536965280771 8.78977841085749)"
57,53,,S,,GC,23.62,T52-T53,275.6983734,40.28,19,8.789778411,78.05369653,AVAILABLE,230KV LINE,,PLAIN LAND,"Dc line, plain land, 230 line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0536965280771 8.78977841085749, 78.0514290556311 8.78885662592188)"
58,54,,S,,GC+3,26.62,T53-T54,269.739772,39.98,19,8.788856626,78.05142906,AVAILABLE,22KV LINE,THAR ROAD,PLAIN LAND,"Dc line, plain land, 22kv  line, thar road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0514290556311 8.78885662592188, 78.0490234494209 8.78792821188982)"
59,55,,S,,GC,23.62,T54-T55,284.1454086,43.12,20,8.787928212,78.04902345,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0490234494209 8.78792821188982, 78.0467083677649 8.78701503721841)"
60,56,,T,"00°00'00""",HC,22.94,T55-T56,274.2490665,50,20,8.787015037,78.04670837,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0467083677649 8.78701503721841, 78.0443399772048 8.78604155608178)"
61,57,,S,,GC,23.62,T56-T57,282.1982272,37.47,18,8.786041556,78.04433998,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0443399772048 8.78604155608178, 78.0419605225324 8.78507337387258)"
62,58,,S,,GC,23.62,T57-T58,283.1029443,38.85,18,8.785073374,78.04196052,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0419605225324 8.78507337387258, 78.040368296206 8.78444150273735)"
63,59,,S,,GC+3,26.62,T58-T59,188.7770377,44.14,18,8.784441503,78.0403683,AVAILABLE,LT LINE,THAR ROAD,PLAIN LAND,"Dc line, plain land ,LT line, thar road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.040368296206 8.78444150273735, 78.0382272228598 8.78359326291834)"
64,60,,S,,GC,23.62,T59-T60,253.7921267,41.54,17,8.783593263,78.03822722,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0382272228598 8.78359326291834, 78.0360884964466 8.78277484219122)"
65,61,2W,T,"33°29'14""RT",KC,24,T60-T61,252.3482426,36.87,16,8.782774842,78.0360885,AVAILABLE,400KV LINE,,PLAIN LAND,"Dc line, plain land, 400kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0360884964466 8.78277484219122, 78.0359510332346 8.78258431888828)"
66,62,,DP,"73°70'63""LT",DP,8,T61-T62,25.96141862,39.69,18,8.782584319,78.03595103,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0359510332346 8.78258431888828, 78.0358534678816 8.78261844741756)"
67,62A,,DP,"88°93'99""LT",DP,8,T62-T62A,27.89331879,42.65,18,8.782618447,78.03585347,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0358534678816 8.78261844741756, 78.0357800424099 8.78239843431925)"
68,63,,DP,"68°83'81""RT",DP,8,T62A-T63,12.15857002,39.18,18,8.782398434,78.03578004,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0357800424099 8.78239843431925, 78.0356948822736 8.78246834813421)"
69,64A,,DP,"79°38'05""LT",DP,8,T63-T64A,24.10619234,42.59,18,8.782468348,78.03569488,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0356948822736 8.78246834813421, 78.0356023460626 8.78230168152987)"
70,65,,T,"55°74'58""LT",KC,24,T64A-T65,44.65931224,47.09,18,8.782301682,78.03560235,NOT AVAILABLE,230KV LINE,,PLAIN LAND,"Dc line, DP tower 230kv  line,T.No.19A  To T.No.20  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0356023460626 8.78230168152987, 78.0338817089796 8.7821416417578)"
71,66,,S,,GC,23.62,T65-T66,190.3102126,40.76,16,8.782141642,78.03388171,AVAILABLE,,,PLAIN LAND,"Dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0338817089796 8.7821416417578, 78.0321000516414 8.78205847406427)"
72,67,,S,,GC,23.62,T66-T67,196.419186,38.97,16,8.782058474,78.03210005,NOT NAVAILABLE,,,PLAIN LAND,"Dc line, plain land , T.No.21  To T.No.22  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0321000516414 8.78205847406427, 78.030375726521 8.78188153556265)"
73,68,,S,,GC,23.62,T67-T68,190.8973976,44.98,15,8.781881536,78.03037573,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land,T.No.22  To T.No.23  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.030375726521 8.78188153556265, 78.0282467231154 8.78171321196592)"
74,69,,S,,GC,23.62,T68-T69,235.1950624,40.87,16,8.781713212,78.02824672,NOT AVAILABLE,,RIVER,PLAIN LAND,"Dc line, plain land,T.No.23  To T.No.24  earth wire is not available, River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0282467231154 8.78171321196592, 78.025830052793 8.78157504076741)"
75,70,,S,,GC,23.62,T69-T70,266.5742706,45.09,18,8.781575041,78.02583005,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.24  To T.No.25  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.025830052793 8.78157504076741, 78.0233765020966 8.78135999724095)"
76,71,,T,"00°00'00""",HC,22.94,T70-T71,271.2443642,47.87,16,8.781359997,78.0233765,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land,T.No.25  To T.No.26  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0233765020966 8.78135999724095, 78.0210319161415 8.78112242204443)"
77,72,,S,,GC+3,26.62,T71-T72,259.5343083,44.78,16,8.781122422,78.02103192,NOT AVAILABLE,22KV LINE,THAR ROAD,PLAIN LAND,"Dc line, plain land,thar road, 22kv line , T.No.26  To T.No.27  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0210319161415 8.78112242204443, 78.0186232924461 8.78087159283638)"
78,73,,S,,GC,23.62,T72-T73,266.7010841,40.55,18,8.780871593,78.01862329,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land,T.No.27  To T.No.28  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0186232924461 8.78087159283638, 78.0162324383854 8.78062838443304)"
79,74,,S,,GC,23.62,T73-T74,264.6682003,39.87,19,8.780628384,78.01623244,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.28  To T.No.29  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0162324383854 8.78062838443304, 78.0138425901532 8.78037225333999)"
80,75,,S,,GC,23.62,T74-T75,264.7086615,38.98,20,8.780372253,78.01384259,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.29  To T.No.30  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0138425901532 8.78037225333999, 78.0115399137139 8.78013169538648)"
