SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,T,"11°45'37""RT",HCR+3,27.64,T9-T10,271.23193419654666,37.54,4,8.746323138,78.12525719,AVAILABLE,,ROAD,PLAIN LAND,"Dc line, Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12525719 8.746323138, 78.12321402 8.745781667)"
11,11,T,"24°34'09""LT",HC,22.94,T10-T11,232.8518015927715,42.980000000000004,5,8.745781667,78.12321402,AVAILABLE,22KV LINE,,PLAIN LAND,"Sc line,22kv line,plain land (pugari vagana kappagam)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12321402 8.745781667, 78.12092643 8.746048095)"
12,12,T,"49°09'33""RT",KC+3,27,T11-T12,253.6440902859775,37.980000000000004,4,8.746048095,78.12092643,AVAILABLE,LT LINE,MUD ROAD,PLAIN LAND,"Sc line ,mud road,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12092643 8.746048095, 78.11918333 8.744459799)"
13,13,S,,GC,23.62,T12-T13,260.3069576500633,41.980000000000004,4,8.744459799,78.11918333,NOT AVAILABLE,LT LINE -3NOS,ROAD,PLAIN LAND,"Sc line,T.NO.12 TO T.NO.13  earth wire is not available,lt line -3Nos, road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11918333 8.744459799, 78.11745767 8.742861224)"
14,14,S,,GC,23.62,T13-T14,259.66893719694406,40.14,4,8.742861224,78.11745767,NOT AVAILABLE,LT LINE -2NOS,ROAD,PLAIN LAND,"Sc line,T.NO.13 TO T.NO.14  earth wire is not available,lt line-2Nos,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11745767 8.742861224, 78.11578866 8.741356754)"
15,15,S,,GC,23.62,T14-T15,248.02745908066015,39.87,4,8.741356754,78.11578866,NOT AVAILABLE,LT LINE,"ROAD, NALA",AGRI LAND,"Sc line,T.NO.14 TO T.NO.15  earth wire is not available,road,nala,lt line,Agri(coconut tree)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11578866 8.741356754, 78.11403919 8.739701498)"
16,16,S,,GC,23.62,T15-T16,265.88050814598466,37.54,4,8.739701498,78.11403919,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.NO.15 TO T.NO.16  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11403919 8.739701498, 78.11226491 8.738064793)"
17,17,S,,GC,23.62,T16-T17,266.46736758750296,42.980000000000004,3,8.738064793,78.11226491,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.NO.16 TO T.NO.17  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11226491 8.738064793, 78.11050572 8.736407866)"
18,18,S,,GC,23.62,T17-T18,266.7861379551151,40.980000000000004,3,8.736407866,78.11050572,NOT AVAILABLE,"33KV LINE, LT LINE ",,AGRI LAND,"Sc line,T.NO.17 TO T.NO.18  earth wire is not available,33kv line,lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11050572 8.736407866, 78.10884643 8.734832785)"
19,19,T,"15°55'08""LT",HCR,22.94,T18-T19,252.57021929951526,41.980000000000004,3,8.734832785,78.10884643,NOT AVAILABLE,,,AGRI LAND,"Sc line,T.NO.18 TO T.NO.19  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10884643 8.734832785, 78.10669966 8.733709711)"
20,20,S,,GC,23.62,T19-T20,267.11830923580726,41.980000000000004,3,8.733709711,78.10669966,AVAILABLE,"33KV LINE, LT LINE ",MUD ROAD,PLAIN LAND,"Sc line,mud road,33kv  line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10669966 8.733709711, 78.10450997 8.732585308)"
21,21,S,,GC,23.62,T20-T21,271.37905317839676,40.980000000000004,4,8.732585308,78.10450997,AVAILABLE,,,PLAIN LAND,"Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10450997 8.732585308, 78.10240746 8.731393298)"
22,22,S,,GC+3,26.62,T21-T22,266.5109127409196,42.980000000000004,3,8.731393298,78.10240746,AVAILABLE,,ROAD,PLAIN LAND,"Sc line,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10240746 8.731393298, 78.10025498 8.730251325)"
23,23,S,,GC,23.62,T22-T23,268.65571780438506,37.54,3,8.730251325,78.10025498,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10025498 8.730251325, 78.09810419 8.729081842)"
24,24,T,"45°33'41""RT",KC,24,T23-T24,269.9416213369459,39.87,3,8.729081842,78.09810419,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09810419 8.729081842, 78.09747085 8.726852226)"
25,25,S,,GC,23.62,T24-T25,256.47493756697077,40.14,4,8.726852226,78.09747085,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09747085 8.726852226, 78.09687339 8.724610666)"
26,26,S,,GC,23.62,T25-T26,256.70616805994496,41.980000000000004,4,8.724610666,78.09687339,AVAILABLE,,,AGRI LAND,"Sc line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09687339 8.724610666, 78.09630912 8.722699497)"
27,27,S,,GC,23.62,T26-T27,220.49643832268364,37.980000000000004,4,8.722699497,78.09630912,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09630912 8.722699497, 78.09566975 8.720384341)"
28,28,T,"08°03'20""RT",HC,22.94,T27-T28,265.7756342349683,42.980000000000004,4,8.720384341,78.09566975,AVAILABLE,400KV LINE,,AGRI LAND,"Sc line,400kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09566975 8.720384341, 78.0953623 8.71800024)"
29,29,S,,GC+3,26.62,T28-T29,266.0726761262269,37.54,3,8.71800024,78.0953623,NOT AVAILABLE,LT LINE,ROAD,AGRI LAND,"Sc line,T.NO.28 TO T.NO.29  earth wire is not available,lt line, road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0953623 8.71800024, 78.09498914 8.715523992)"
30,30,S,,GC,23.62,T29-T30,277.17304748120216,38.99,3,8.715523992,78.09498914,NOT AVAILABLE,,,AGRI LAND,"Sc line, T.NO.29 TO T.NO.30  earth wire is not available,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09498914 8.715523992, 78.09464749 8.713174326)"
31,31,S,,GC,23.62,T30-T31,262.80475476867764,37.54,3,8.713174326,78.09464749,NOT AVAILABLE,,,PLAIN LAND,"Sc line,T.NO.30 TO T.NO.31  earth wire is not available,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09464749 8.713174326, 78.09434809 8.710984715)"
32,32,S,,GC,23.62,T31-T32,244.61353323967373,41.56,2,8.710984715,78.09434809,NOT AVAILABLE,22KV LINE,"NALA, MUD ROAD",PLAIN LAND,"Sc line, T.NO.31 TO T.NO.32  earth wire is not available,22kv,NALA,mud road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09434809 8.710984715, 78.09395917 8.708555813)"
33,33,S,,GC,23.62,T32-T33,272.2590636911453,42.65,4,8.708555813,78.09395917,NOT AVAILABLE,,,SALT PLANT,"Sc line,T.NO.32 TO T.NO.33  earth wire is not available, SALT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09395917 8.708555813, 78.09359942 8.706114633)"
34,34,S,,GC,23.62,T33-T34,273.1170332037523,39.99,4,8.706114633,78.09359942,NOT AVAILABLE,LT LAND,,PLAIN LAND,"Sc line,T.NO.33 TO T.NO.34  earth wire is not available,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09359942 8.706114633, 78.09325542 8.703740051)"
35,35,S,,GC,23.62,T34-T35,265.57233870457407,39.34,4,8.703740051,78.09325542,NOT AVAILABLE,,,SALT PLANT,"Sc line,lt line,cart track,T.NO.34 TO T.NO.35  earth wire is not available,  SALT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09325542 8.703740051, 78.09290607 8.701211677)"
36,36,T,"36°06'35""LT",KC,24,T35-T36,282.5126088513578,43.99,4,8.701211677,78.09290607,NOT AVAILABLE,,,SALT PLANT,"Sc line,T.NO.35 TO T.NO.36  earth wire is not available,11kv line,  SALT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09290607 8.701211677, 78.0913493782281 8.69929376021514)"
37,37,S,,GC,23.62,T36-T37,272.8938500900377,37.76,4,8.69929376021514,78.0913493782281,AVAILABLE,,,SALT PLANT,"sc line, salt plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0913493782281 8.69929376021514, 78.0899680405855 8.69725851044055)"
38,38,S,,GC,23.62,T37-T38,271.85560562180706,42.65,4,8.69725851044055,78.0899680405855,AVAILABLE,,,SALT PLANT," sc line , salt plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0899680405855 8.69725851044055, 78.0884572863578 8.69529483688759)"
39,39,S,,GC+3,26.62,T38-T39,273.74971704285133,41.56,4,8.69529483688759,78.0884572863578,AVAILABLE,LT  LINE -2NOS,NALA,PLAIN LAND,"Sc line, lt line -2nos, nala , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0884572863578 8.69529483688759, 78.0869525671005 8.69338782659329)"
40,40,S,,GC,23.62,T39-T40,268.38629664155263,37.54,4,8.69338782659329,78.0869525671005,NOT AVAILABLE,LT LINE,ROAD,PLAIN LAND," sc line, road ,lt line,T.NO.39 TO T.NO.40  earth wire is not available, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0869525671005 8.69338782659329, 78.0855182558298 8.69138767589347)"
41,41,S,,GC,23.62,T40-T41,271.99326596445275,38.99,5,8.69138767589347,78.0855182558298,AVAILABLE,,,SALT PLANT," sc line ,salt plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0855182558298 8.69138767589347, 78.0840872973203 8.68927449762654)"
42,42,S,,GC,23.62,T41-T42,282.0663930442138,37.54,5,8.68927449762654,78.0840872973203,AVAILABLE,,,PLAIN LAND," sc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0840872973203 8.68927449762654, 78.0824679136276 8.6875726115516)"
43,43,S,,GC,23.62,T42-T43,259.4372186503545,42.980000000000004,4,8.6875726115516,78.0824679136276,AVAILABLE,,,PLAIN LAND," sc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0824679136276 8.6875726115516, 78.080856911838 8.68555817828531)"
44,44,S,,GC,23.62,T43-T44,284.978043373524,37.980000000000004,3,8.68555817828531,78.080856911838,AVAILABLE,,,PLAIN LAND," sc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.080856911838 8.68555817828531, 78.0793133005499 8.68362758672758)"
45,45,S,,GC,23.62,T44-T45,273.0955783493462,41.980000000000004,4,8.68362758672758,78.0793133005499,AVAILABLE,,,PLAIN LAND," sc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0793133005499 8.68362758672758, 78.0779986828565 8.6817046082299)"
46,46,S,,GC,23.62,T45-T46,257.44965672145173,40.14,4,8.6817046082299,78.0779986828565,AVAILABLE,LT LINE,,PLAIN LAND," sc line ,  lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0779986828565 8.6817046082299, 78.0767903476953 8.67991320005624)"
47,47,T,"10°50'39""LT",HC+3,25.94,T46-T47,238.82907039982726,39.87,4,8.67991320005624,78.0767903476953,AVAILABLE,,,PLAIN LAND,"Sc line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0767903476953 8.67991320005624, 78.0751179903745 8.6782331463969)"
48,48,T,"45°46'18""RT",KC,24,T47-T48,261.7656948971058,37.54,4,8.6782331463969,78.0751179903745,NOT AVAILABLE,,ROAD,PLAIN LAND,"sc line ,road, T.NO.47 TO T.NO.48  earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0751179903745 8.6782331463969, 78.0751387774944 8.67709962794191)"
49,49,T(LILO),"01°33'42""LT",HCR,24.64,T48-T49,125.49797372870017,42.980000000000004,3,8.67709962794191,78.0751387774944,AVAILABLE,,,AGRI LAND,"Dc LINE,Manjalneerkayal Lilo,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0751387774944 8.67709962794191, 78.0751947686076 8.67587595447009)"
50,54,S,,GC,23.62,T49-T54,135.59781019623102,40.980000000000004,3,8.67587595447009,78.0751947686076,AVAILABLE,,,AGRI LAND,"Sc line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0751947686076 8.67587595447009, 78.0751384422183 8.67362845496712)"
51,55,S,,GC+3,26.62,T54-T55,248.869535720993,41.980000000000004,3,8.67362845496712,78.0751384422183,AVAILABLE,11KV LINE-3NOS,BT ROAD,AGRI LAND,"Sc line, 11kv line-3nos, Pipe line, Bt Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0751384422183 8.67362845496712, 78.0751132965088 8.67092752677081)"
52,56,S,,GC+3,26.62,T55-T56,298.9970391910532,44.09,3,8.67092752677081,78.0751132965088,AVAILABLE,,"BT ROAD, CANAL",AGRI LAND,"Sc line, Canal, Bt Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0751132965088 8.67092752677081, 78.0750257894396 8.66889245453463)"
53,57,S,,GC,23.62,T56-T57,225.48305100826957,39.980000000000004,3,8.66889245453463,78.0750257894396,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0750257894396 8.66889245453463, 78.0750197544694 8.66644140420681)"
54,58,S,,GC,23.62,T57-T58,271.32497717127524,43.78,4,8.66644140420681,78.0750197544694,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0750197544694 8.66644140420681, 78.0749922618269 8.66412026635662)"
55,59,T,"30°48'44""LT",KC,,T58-T59,256.9607864889224,42.980000000000004,4,8.66412026635662,78.0749922618269,AVAILABLE,,,AGRI LAND,"Sc line, Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0749922618269 8.66412026635662, 78.0736628919839 8.66196053133551)"
56,60,S,,GC,23.62,T59-T60,280.35951425443903,44.56,3,8.66196053133551,78.0736628919839,AVAILABLE,LT LINE,,AGRI LAND,"Sc line, Lt line,Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0736628919839 8.66196053133551, 78.0726034194231 8.66021609542172)"
57,61,S,,GC,23.62,T60-T61,225.63233917368095,39.980000000000004,4,8.66021609542172,78.0726034194231,AVAILABLE,,,AGRI LAND,"Sc line, Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0726034194231 8.66021609542172, 78.071496002376 8.65835928813204)"
58,62,S,,GC,23.62,T61-T62,239.01755631752047,44.56,4,8.65835928813204,78.071496002376,AVAILABLE,,BT ROAD,PLAIN LAND,"Sc line, Bt Raod, Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.071496002376 8.65835928813204, 78.0704864859581 8.65669107055513)"
59,63,S,,GC,23.62,T62-T63,215.56540399844937,39.980000000000004,7,8.65669107055513,78.0704864859581,AVAILABLE,11KV LINE,NALA,PLAIN LAND,"Sc line , 11 kV line ,nala, plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0704864859581 8.65669107055513, 78.0696680769324 8.65532016339075)"
60,64,T,"59°06'36""RT",KC,24,T63-T64,176.51589663253975,44.56,7,8.65532016339075,78.0696680769324,AVAILABLE,,NALA,AGRI LAND,"Sc line, nala, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0696680769324 8.65532016339075, 78.0709163099527 8.65302182765328)"
61,65,S,,GC,23.62,T64-T65,289.1993298090561,39.980000000000004,3,8.65302182765328,78.0709163099527,AVAILABLE,,CANAL,AGRI LAND,"Sc line,Canal, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0709163099527 8.65302182765328, 78.0719342082738 8.65109405210199)"
62,66,S,,GC,23.62,T65-T66,241.0654864575717,41.78,3,8.65109405210199,78.0719342082738,AVAILABLE,,BT ROAD,AGRI LAND,"Sc line, BT Road, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0719342082738 8.65109405210199, 78.0731251090765 8.64904693988745)"
63,67,T,"50°21'09""LT",KC,24,T66-T67,261.84433144137176,37.980000000000004,3,8.64904693988745,78.0731251090765,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0731251090765 8.64904693988745, 78.0724163353443 8.64715295342559)"
64,68,S,,GC,23.62,T67-T68,223.72602475568382,44.68,3,8.64715295342559,78.0724163353443,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0724163353443 8.64715295342559, 78.0714842677116 8.64478065068584)"
65,69,S,,GC,23.62,T68-T69,281.9664879893161,38.98,3,8.64478065068584,78.0714842677116,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0714842677116 8.64478065068584, 78.0705635994672 8.64249716675039)"
66,70,S,,GC,23.62,T69-T70,272.3643990868995,39.87,4,8.64249716675039,78.0705635994672,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0705635994672 8.64249716675039, 78.0697398260235 8.64025908052578)"
67,71,S,,GC,23.62,T70-T71,263.8473797975319,40.55,4,8.64025908052578,78.0697398260235,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0697398260235 8.64025908052578, 78.0687715485692 8.6379059598447)"
68,72,S,,GC,23.62,T71-T72,281.47872839346223,44.78,4,8.6379059598447,78.0687715485692,AVAILABLE,,,AGRI LAND,"Sc line, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0687715485692 8.6379059598447, 78.0679129064083 8.63573049516718)"
69,73,S,,GC,23.62,T72-T73,258.7295898346682,47.87,4,8.63573049516718,78.0679129064083,AVAILABLE,,CANAL,AGRI LAND,"Sc line, Canal, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0679129064083 8.63573049516718, 78.0669577047228 8.63336806487536)"
70,74,S,,GC,23.62,T73-T74,281.892215878679,45.09,4,8.63336806487536,78.0669577047228,AVAILABLE,,,AGRI LAND,"Sc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0669577047228 8.63336806487536, 78.0660735815763 8.63111003573695)"
71,75,S,,GC,23.62,T74-T75,268.26553817064826,40.87,5,8.63111003573695,78.0660735815763,AVAILABLE,LT LINE,BT ROAD,AGRI LAND,"Sc line, Bt Road, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0660735815763 8.63111003573695, 78.0653078109025 8.62924612393836)"
72,76,S,,GC,23.62,T75-T76,222.91104030978403,44.980000000000004,6,8.62924612393836,78.0653078109025,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line, Cart track, Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0653078109025 8.62924612393836, 78.0643951892852 8.62696818117861)"
73,77,T,"27°55'11""LT",HC,22.94,T76-T77,271.4672087987688,38.97,6,8.62696818117861,78.0643951892852,AVAILABLE,,,AGRI LAND,"Sc line, Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0643951892852 8.62696818117861, 78.0628183856606 8.62563628103965)"
74,78,S,,GC+3,26.62,T77-T78,227.84567409542416,40.76,6,8.62563628103965,78.0628183856606,AVAILABLE,,BT ROAD,AGRI LAND,"Sc line, Bt Road,Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0628183856606 8.62563628103965, 78.0611832439899 8.62431962451892)"
75,79,T,"21°47'48""RT",HC,22.94,T78-T79,231.71930402322437,47.09,1,8.62431962451892,78.0611832439899,AVAILABLE,,RIVER,AGRI LAND,"Sc line, Thamiraparani River,Bushes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0611832439899 8.62431962451892, 78.060265 8.622373)"
76,80,S,,GC,23.62,T79-T80,260.48990831894275,42.59,2,8.622373,78.060265,AVAILABLE,,,WATER LOGGED AREA,Sc line water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.060265 8.622373, 78.05892717 8.620021233)"
77,81,T,"08°28'33""RT",HC,22.94,T80-T81,276.5548124495136,39.18,7,8.620021233,78.05892717,AVAILABLE,,,AGRILAND,Sc line Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05892717 8.620021233, 78.05848628 8.61863196)"
78,82,S,,GC,23.62,T81-T82,161.27864635159824,42.65,7,8.61863196,78.05848628,AVAILABLE,,,AGRILAND,Sc line Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05848628 8.61863196, 78.0578532814979 8.61701760019477)"
79,83,S,,GC,23.62,T82-T83,191.83243669674943,39.69,7,8.61701760019477,78.0578532814979,AVAILABLE,,,AGRILAND,Sc line Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0578532814979 8.61701760019477, 78.0584225803613 8.61493881125717)"
80,84,T,"12°13'53""RT",HC,22.94,T83-T84,238.5132927825729,36.87,6,8.61493881125717,78.0584225803613,AVAILABLE,,NALA (ODAI),AGRILAND,"SC Line, odai, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0584225803613 8.61493881125717, 78.0589177832007 8.6129790176325)"
