S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,TN 103,S,SC,23,TN 102 - TN 103,264.206574586852,1.88,101.641083,,8.479379006,77.62173196,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62173196 8.479379006, 77.62200697 8.481743038)"
12,TN 104,S,SC,23,TN 103 - TN 104,263.3721400900427,4.27,101.787117,,8.481743038,77.62200697,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62200697 8.481743038, 77.62231199 8.484141016)"
13,TN 105,S,SC,23,TN 104 - TN 105,267.4996183792258,3.03,100.170036,,8.484141016,77.62231199,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62231199 8.484141016, 77.62256898 8.486250993)"
14,TN 106,S,SC,23,TN 105 - TN 106,235.2180864826471,5.18,99.668839,,8.486250993,77.62256898,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62256898 8.486250993, 77.62290903 8.488943009)"
15,TN 107,S,SC,23,TN 106 - TN 107,300.2676230941985,5.22,99.952522,,8.488943009,77.62290903,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62290903 8.488943009, 77.62322797 8.491454981)"
16,TN 108,S,SC,23,TN 107 - TN 108,280.2080841734366,4.91,101.125206,,8.491454981,77.62322797,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62322797 8.491454981, 77.62353499 8.493820019)"
17,TN 109,T,SC,22,TN 108 - TN 109,263.9118997476124,7.15,102.718086,20°54'9''LT,8.493820019,77.62353499,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62353499 8.493820019, 77.62503502 8.496605996)"
18,TN 110,S,SC,23,TN 109 - TN 110,349.8206158986438,2.81,106.542076,,8.496605996,77.62503502,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62503502 8.496605996, 77.62621804 8.498787973)"
19,TN 111,S,SC,23,TN 110 - TN 111,274.4071923216614,4.24,110.20771,,8.498787973,77.62621804,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62621804 8.498787973, 77.62755596 8.501200033)"
20,TN 112,T,SC,22,TN 111 - TN 112,304.9345472895788,5.08,114.475037,7°31'13''RT,8.501200033,77.62755596,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62755596 8.501200033, 77.62851099 8.503625002)"
21,TN 113,S,SC,23,TN 112 - TN 113,288.25841782775996,3.19,116.167107,,8.503625002,77.62851099,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62851099 8.503625002, 77.62951196 8.506203024)"
22,TN 114,S,SC,23,TN 113 - TN 114,305.87894301933807,2.32,117.033699,,8.506203024,77.62951196,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62951196 8.506203024, 77.63041503 8.508617012)"
23,TN 115,S,SC,23,TN 114 - TN 115,285.0793283473988,4.43,115.27739,,8.508617012,77.63041503,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63041503 8.508617012, 77.631403 8.511058996)"
24,TN 116,S,SC,23,TN 115 - TN 116,291.3486152502626,3.88,116.44368,,8.511058996,77.631403,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.631403 8.511058996, 77.63231504 8.513374999)"
25,TN 117,S,SC,23,TN 116 - TN 117,275.3024825817085,2.98,120.127029,,8.513374999,77.63231504,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63231504 8.513374999, 77.63326798 8.51585797)"
26,TN 118,S,SC,23,TN 117 - TN 118,294.1616523841745,2.4,121.983192,,8.51585797,77.63326798,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63326798 8.51585797, 77.63418797 8.518242035)"
27,TN 119,S,SC,23,TN 118 - TN 119,282.6415332898631,4.63,121.582092,,8.518242035,77.63418797,GOOD,Available,765 KV UP XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63418797 8.518242035, 77.63519104 8.520846041)"
28,TN 120,S,SC,23,TN 119 - TN 120,308.64573357007924,3.7,120.926414,,8.520846041,77.63519104,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63519104 8.520846041, 77.636163 8.523348039)"
29,TN 121,S,SC,23,TN 120 - TN 121,296.87901355755025,1.96,118.790833,,8.523348039,77.636163,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.636163 8.523348039, 77.63713597 8.525869986)"
30,TN 122,T,SC,22,TN 121 - TN 122,298.9790981557077,3.79,119.95723,5°27'3''LT,8.525869986,77.63713597,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63713597 8.525869986, 77.63838203 8.528364021)"
31,TN 123,S,SC,23,TN 122 - TN 123,308.2672498249452,2.86,118.379211,,8.528364021,77.63838203,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63838203 8.528364021, 77.63962104 8.530889992)"
32,TN 124,S,SC,23,TN 123 - TN 124,311.09417100633357,3.13,117.144409,,8.530889992,77.63962104,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63962104 8.530889992, 77.640823 8.533332981)"
33,TN 125,S,SC,23,TN 124 - TN 125,301.05100820708753,4.02,116.865555,,8.533332981,77.640823,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.640823 8.533332981, 77.64202899 8.535830034)"
34,TN 126,S,SC,23,TN 125 - TN 126,306.6277837724149,2.39,115.656647,,8.535830034,77.64202899,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64202899 8.535830034, 77.64328804 8.538338989)"
35,TN 127,S,SC,23,TN 126 - TN 127,310.383156353586,1.98,114.851456,,8.538338989,77.64328804,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64328804 8.538338989, 77.64449202 8.540782984)"
36,LILO : 128,T,DC,26,TN 127 - LILO : 128,301.2487385560906,4.18,112.573227,,8.540782984,77.64449202,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
