S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
43,43,,S,DA+3,29, 42- 43,264.1546845,2.56,FALSE,72.228065,,10.08769444,78.84783333,GOOD,NO E/W,,Pond,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84783333333333 10.087694444444445, 78.84802777777777 10.090277777777779)"
44,44,,S,DA,26, 43- 44,283.9934634,3.85,FALSE,74.652878,,10.09027778,78.84802778,GOOD,NO E/W,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84802777777777 10.090277777777779, 78.84827777777777 10.092666666666668)"
45,45,,S,DA,26, 44- 45,266.6582633,2.84,FALSE,77.177696,,10.09266667,78.84827778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84827777777777 10.092666666666668, 78.84852777777778 10.095166666666668)"
46,46,,T,DC,26, 45- 46,277.7327624,3.45,FALSE,79.647247,"0°59'24""L",10.09516667,78.84852778,GOOD,NO E/W,"2-HT,LT",Pudhuvayal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84852777777778 10.095166666666668, 78.84855555555555 10.095305555555557)"
47,Gantry ( Sakkavayal SS),2W,Gantry,H-Pole,12, 46- Gantry,20,2.89,FALSE,81.26226,,10.09530556,78.84855556,GOOD,NO E/W,,Pudhuvayal  Road,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note    : Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No of Suspension tower,,,,: 36 No,,No of Tension tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
