S. No ,Tower No,Joint Box,Supspension / Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing parts, broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly /Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,14,,S,DA,26,13-14,220,3.55,140,"13°48'51""",9.380424712,77.54796308,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.547963084653 9.38042471185326, 77.5479916669428 9.37810217030346)"
16,15,,S,DA,26,14-15,257.0486335,2.46,138,,9.37810217,77.54799167,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5479916669428 9.37810217030346, 77.5480049941688 9.37618640251457)"
17,16,,S,DA,26,15-16,212.0212254,2.42,137,,9.376186403,77.54800499,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5480049941688 9.37618640251457, 77.5480343308299 9.3739812914282)"
18,17,,S,DA,26,16-17,244.0512241,2.92,136,,9.373981291,77.54803433,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5480343308299 9.3739812914282, 77.5481458939611 9.37181171961128)"
19,18,2W,T,DB,24,17-18,240.4079866,3.73,141,"59°21'38""",9.37181172,77.54814589,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5481458939611 9.37181171961128, 77.5476289819926 9.36955640092492)"
20,19,,S,DA,26,18-19,255.9785147,2.77,134,,9.369556401,77.54762898,GOOD,Available,LT-2,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5476289819926 9.36955640092492, 77.5470473617315 9.36714786104857)"
21,20,,S,DA,26,19-20,274.1039949,2.18,135,,9.367147861,77.54704736,GOOD,Available,"LT-4 , HT-1",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5470473617315 9.36714786104857, 77.5465209782123 9.36483831144869)"
22,21,,S,DA,26,20-21,262.0534297,3.74,135,,9.364838311,77.54652098,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5465209782123 9.36483831144869, 77.5459846202284 9.36241133138537)"
23,22,,S,DA,26,21-22,274.9727259,2.97,136,,9.362411331,77.54598462,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5459846202284 9.36241133138537, 77.5454019103199 9.35984923504293)"
24,23,,S,DA,26,22-23,290.6888371,2.54,139,,9.359849235,77.54540191,GOOD,Available,,MUD ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5454019103199 9.35984923504293, 77.5449037738144 9.35766600072383)"
25,24,,S,DA,26,23-24,247.7357463,2.06,140,,9.357666001,77.54490377,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5449037738144 9.35766600072383, 77.5443314574658 9.3552844505757)"
26,25,,T,DB,24,24-25,270.9557159,1.57,137,"3°44'51""",9.355284451,77.54433146,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5443314574658 9.3552844505757, 77.5436046626418 9.35294019989669)"
27,26,,S,DA,26,25-26,271.4479692,1.46,136,,9.3529402,77.54360466,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5436046626418 9.35294019989669, 77.5429235491901 9.35060466639697)"
28,27,,S,DA,26,26-27,269.0910627,1.73,135,,9.350604666,77.54292355,GOOD,Available,HT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5429235491901 9.35060466639697, 77.5421314593404 9.34802589006722)"
29,28,,S,DA,26,27-28,298.3638718,2.06,132,,9.34802589,77.54213146,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5421314593404 9.34802589006722, 77.5415065046399 9.34590686112642)"
30,29,,T,DD,28,28-29,244.3644819,1.77,130,"41°45'5""",9.345906861,77.5415065,GOOD,Available,LT-1,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5415065046399 9.34590686112642, 77.540409816429 9.34523697942495)"
31,30,,T,DD,28,29-30,141.509717,1.51,133,"47°35'16""",9.345236979,77.54040982,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.540409816429 9.34523697942495, 77.5381034519523 9.3458769377321)"
32,31,,S,DA,26,30-31,263.2052431,1.48,130,,9.345876938,77.53810345,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5381034519523 9.3458769377321, 77.5360785517841 9.34642461128532)"
33,32,,S,DA,26,31-32,230.6729286,2.37,134,,9.346424611,77.53607855,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5360785517841 9.34642461128532, 77.5339632946997 9.34707228094339)"
34,33,2W,T,DC,26,32-33,243.2878953,1.55,133,"22°24'43""",9.347072281,77.53396329,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5339632946997 9.34707228094339, 77.5317505560815 9.34681696817278)"
35,34,,S,DA,26,33-34,244.8448488,1.31,130,,9.346816968,77.53175056,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5317505560815 9.34681696817278, 77.5294470414519 9.34658939950168)"
36,35,,S,DA,26,34-35,254.4366326,1.76,136,,9.3465894,77.52944704,GOOD,Available,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5294470414519 9.34658939950168, 77.5269880425184 9.34625445865094)"
37,36,,S,DA,26,35-36,272.8021261,2.06,133,,9.346254459,77.52698804,GOOD,Available,HT-1,DRAIN-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5269880425184 9.34625445865094, 77.5246116891503 9.34602739289403)"
38,37,,T,DD,28,36-37,262.3928353,1.92,134,"31°8'29""",9.346027393,77.52461169,GOOD,Available,"LT-1 , HT-1",DRAIN-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5246116891503 9.34602739289403, 77.5227982643991 9.34688972309231)"
39,38,,S,DA,26,37-38,220.9886875,1.17,134,,9.346889723,77.52279826,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5227982643991 9.34688972309231, 77.5207668263465 9.34781684540212)"
40,39,,S,DA,26,38-39,245.7173173,1.49,135,,9.347816845,77.52076683,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5207668263465 9.34781684540212, 77.518971003592 9.348606755957)"
41,40,,T,DC,26,39-40,215.8703314,2.13,134,"16°8'51""",9.348606756,77.518971,GOOD,Available,"LT-1 , HT-1",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.518971003592 9.348606755957, 77.516544861719 9.34903959743678)"
42,41,,S,DA,26,40-41,270.9335712,1.76,138,,9.349039597,77.51654486,GOOD,Available,,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.516544861719 9.34903959743678, 77.5140903890132 9.34933715499937)"
43,42,,S,DA,26,41-42,271.773803,1.56,138,,9.349337155,77.51409039,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5140903890132 9.34933715499937, 77.5116909015923 9.34968852438032)"
44,43,,S,DA,26,42-43,266.5801943,1.42,138,,9.349688524,77.5116909,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5116909015923 9.34968852438032, 77.5091732293367 9.35005875304341)"
45,44,,S,DA,26,43-44,279.7320146,2.17,139,,9.350058753,77.50917323,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5091732293367 9.35005875304341, 77.5065921898931 9.35047457925975)"
46,45,,S,DA,26,44-45,287.3882391,1.86,141,,9.350474579,77.50659219,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5065921898931 9.35047457925975, 77.5041471887379 9.35082620009779)"
47,46,2W,T,DB,24,45-46,271.5326868,2.03,144,"6°24'57""",9.3508262,77.50414719,GOOD,Available,"LT-1 , HT-1",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5041471887379 9.35082620009779, 77.501795310527 9.35148443095386)"
48,47,,S,DA,26,46-47,268.5553947,1.43,145,,9.351484431,77.50179531,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.501795310527 9.35148443095386, 77.4995703343302 9.35207845643162)"
49,48,,S,DA,26,47-48,253.2212471,1.77,142,,9.352078456,77.49957033,GOOD,Available,LT-2,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4995703343302 9.35207845643162, 77.4971001874655 9.35273744165897)"
50,49,,S,DA,26,48-49,281.1138559,1.98,143,,9.352737442,77.49710019,GOOD,Available,LT-2,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4971001874655 9.35273744165897, 77.4945846945047 9.35342383570969)"
51,50,,S,DA,26,49-50,286.7141434,2.07,147,,9.353423836,77.49458469,GOOD,Available,,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4945846945047 9.35342383570969, 77.4921324010938 9.35403755865991)"
52,51,,S,DA,26,50-51,277.9496357,1.68,145,,9.354037559,77.4921324,GOOD,Available,"LT-1 , HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4921324010938 9.35403755865991, 77.4895531218498 9.35470626689493)"
53,52,,T,DB,24,51-52,292.9846412,1.13,149,"8°41'34""",9.354706267,77.48955312,GOOD,Available,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4895531218498 9.35470626689493, 77.4868620280176 9.35501438565552)"
54,53,,S,DA,26,52-53,297.7247051,1.22,149,,9.355014386,77.48686203,GOOD,Available,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4868620280176 9.35501438565552, 77.4849620182067 9.35524455271661)"
55,54,,S,DA,26,53-54,210.3734774,1.02,149,,9.355244553,77.48496202,GOOD,Available,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4849620182067 9.35524455271661, 77.4829164147377 9.35547572560608)"
56,55,,S,DA,26,54-55,226.2763797,1.47,149,,9.355475726,77.48291641,GOOD,Available,,DRAIN-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4829164147377 9.35547572560608, 77.4806342739611 9.35571762733161)"
57,56,,S,DA,26,55-56,252.2419473,1.36,150,,9.355717627,77.48063427,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4806342739611 9.35571762733161, 77.4781792145222 9.35595173388719)"
58,57,,T,DB,24,56-57,271.064568,1.53,152,"13°15'5""",9.355951734,77.47817921,GOOD,Available,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4781792145222 9.35595173388719, 77.4755018670111 9.35691925697028)"
59,58,,S,DA,26,57-58,313.1293662,1.46,158,,9.356919257,77.47550187,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4755018670111 9.35691925697028, 77.4730785749852 9.35779466293752)"
60,59,,S,DA,26,58-59,283.3972477,1.33,159,,9.357794663,77.47307857,GOOD,Available,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4730785749852 9.35779466293752, 77.470672968775 9.35859764926135)"
61,60,2W,T,DB,24,59-60,278.9157579,1.21,155,"1°19'8""",9.358597649,77.47067297,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.470672968775 9.35859764926135, 77.4683670233935 9.35932762920856)"
62,61,,S,DA,26,60-61,266.0018797,1.97,157,,9.359327629,77.46836702,GOOD,Available,LT-1,DRAIN-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4683670233935 9.35932762920856, 77.4659155681729 9.36008577235043)"
63,62,,S,DA,26,61-62,282.1772493,1.83,160,,9.360085772,77.46591557,GOOD,Available,"HT-1 , LT-1","MUD ROAD-1, ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4659155681729 9.36008577235043, 77.4633287452161 9.36099839396774)"
64,63,,S,DA,26,62-63,301.7051541,1.76,162,,9.360998394,77.46332875,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4633287452161 9.36099839396774, 77.46082322672 9.36182912439107)"
65,64,,S,DA,26,63-64,290.3032897,1.26,167,,9.361829124,77.46082323,GOOD,Available,,MUD ROAD-3,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46082322672 9.36182912439107, 77.4584084842354 9.3626410793513)"
66,65,,S,DA,26,64-65,280.1785145,1.41,170,,9.362641079,77.45840848,GOOD,Available,,ROAD-1`,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4584084842354 9.3626410793513, 77.4559121858328 9.36348983086645)"
67,66,,S,DA,26,65-66,289.9810339,2.07,167,,9.363489831,77.45591219,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4559121858328 9.36348983086645, 77.4531064275652 9.36434067785739)"
68,67,,T,DB,24,66-67,322.4050248,1.88,168,"4°36'35""",9.364340678,77.45310643,GOOD,Available,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4531064275652 9.36434067785739, 77.4506812077015 9.36495389789342)"
69,68,,S,DA,26,67-68,275.0363612,1.32,159,,9.364953898,77.45068121,GOOD,Available,LT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4506812077015 9.36495389789342, 77.4483463447541 9.36548514291644)"
70,69,,T,DC,26,68-69,263.2451329,1.51,167,"22°7'0""",9.365485143,77.44834634,GOOD,Available,"HT-1 , LT-1","DRAIN-1 , ROAD-1",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4483463447541 9.36548514291644, 77.4459051992744 9.3651224579662)"
71,70,,T,DD,28,69-70,271.2710821,1.94,168,"50°45'32""",9.365122458,77.4459052,GOOD,Available,LT-1,DRAIN-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4459051992744 9.3651224579662, 77.4450121074914 9.36362846754491)"
72,71,,S,DA,26,70-71,192.2628409,1.76,170,,9.363628468,77.44501211,GOOD,Available,LT-2,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4450121074914 9.36362846754491, 77.4438792094588 9.36167523264885)"
73,72,,S,DA,26,71-72,249.4353624,1.53,177,,9.361675233,77.44387921,GOOD,Available,"LT-1 , HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4438792094588 9.36167523264885, 77.4427104368805 9.35978553257882)"
74,73,,T,DD,28,72-73,245.4159734,1.83,170,"93°21'20""",9.359785533,77.44271044,GOOD,Available,HT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4427104368805 9.35978553257882, 77.4426288809627 9.35984026640653)"
75,74,,T,DD,28,73-74,10.81665383,1.91,176,"115°33'36""",9.359840266,77.44262888,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4426288809627 9.35984026640653, 77.4425526056438 9.35933475382626)"
76,GANTRY ( VISHWANATHAPERI SS ),2W,,GT,15,74-GT,56.56854249,,175,,9.359334754,77.44255261,GOOD,No E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
