SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,T.No-36,S,,SA+0,24,T35-T36,253.20685635469061,1.72,35,8.231967161,77.46905711,GOOD,Available,,Odai(Nala),AGRI LAND," Odai(Nala),agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46905711 8.231967161, 77.47071706 8.233808401)"
39,T.No-37,S,,SA+0,24,T36-T37,273.8548259881112,1.59,34,8.233808401,77.47071706,GOOD,Available,11KV LINE,"ROAD,ODAI(NALA)",AGRI LAND,"11kv Line, Road,  Odai(nala),agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47071706 8.233808401, 77.47234482 8.235482394)"
40,T.No-38,T,"03°11'54""RT",SC+3,27,T37-T38,257.89806210203875,2.78,37,8.235482394,77.47234482,GOOD,Available,LT LINE,,AGRI LAND,"Lt Line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47234482 8.235482394, 77.4741191 8.237188239)"
41,T.No-39,S,,SA+0,24,T38-T39,271.82155842393,1.83,36,8.237188239,77.4741191,GOOD,Available,LT LINE,"CART TRACK,ODAI(NALA)",AGRI LAND,"Lt Line, agri land, Odai (Nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4741191 8.237188239, 77.47579682 8.238788888)"
42,T.No-40,S,,SA+0,24,T39-T40,256.0801174651739,1.46,41,8.238788888,77.47579682,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47579682 8.238788888, 77.47752752 8.240506656)"
43,T.No-41,S,,SA+0,24,T40-T41,269.3140751019571,1.52,42,8.240506656,77.47752752,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47752752 8.240506656, 77.47917138 8.242032962)"
44,T.No-42,S,,SA+0,24,T41-T42,247.7170682936148,1.74,42,8.242032962,77.47917138,GOOD,Available,,,AGRI LAND,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47917138 8.242032962, 77.48080485 8.243572878)"
45,T.No-43,S,,SA+0,24,T42-T43,247.91227951237727,1.4,45,8.243572878,77.48080485,GOOD,Available,,Odai(Nala),AGRI LAND,"Odai(nala),agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48080485 8.243572878, 77.48247653 8.24520535)"
46,T.No-44,S,,SA+0,24,T43-T44,258.0519369622861,1.54,47,8.24520535,77.48247653,GOOD,Available,,,PLAIN LAND,plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48247653 8.24520535, 77.48436078 8.246935699)"
47,T.No-45,T,"00°27'09""RT",SC+6,30,T44-T45,282.5002255237888,2.56,59,8.246935699,77.48436078,GOOD,Available,LT LINE-2NOS,"ROAD-2,ODAI(NALA)",PLAIN LAND,"Lt Line- 2Nos,Road-2Nos,.nala.compound inner land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48436078 8.246935699, 77.48552888 8.248055861)"
48,T.No-46,S,,SA+0,37,T45-T46,178.7316441372819,1.73,61,8.248055861,77.48552888,GOOD,Available,11KV LINE-2NOS,ROAD,PLAIN LAND,"11kv Line-2Nos,Road,plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48552888 8.248055861, 77.48675834 8.249184981)"
49,T.No-47,T,"60°15'58""LT",SD+6,28,T46-T47,184.3349531504496,2.85,69,8.249184981,77.48675834,GOOD,Available,"LT Line, 11KV LINE-2Nos",ROAD,PLAIN LAND,"lt Line,11kv Line-2Nos,Road,ss land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48675834 8.249184981, 77.4866982 8.249433617)"
GANTRY,SR PUDUR,,,,,T47-SR Pudur Gantry,28.300343496162206,,69,8.249433617,77.4866982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H56)/1000,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
