S. No ,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,T.NO-12,,SA,S,29,11-Dec,245.4648651,3.12,162,,9.4516614,77.58341473,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58341473 9.4516614, 77.58467725 9.45376655)"
16,T.NO-13,,SA,S,26,Dec-13,271.1549373,2.32,169,,9.45376655,77.58467725,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58467725 9.45376655, 77.58578347 9.45565599)"
17,T.NO-14,,SB,T,24,13-14,241.8677324,6.71,167,"13°57'37.87""",9.45565599,77.58578347,GOOD,GOOD,NO,,,ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58578347 9.45565599, 77.58737006 9.45727983)"
18,T.NO-15,,SA,S,29,14-15,250.3797116,5.19,165,,9.45727983,77.58737006,GOOD,GOOD,NO,LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58737006 9.45727983, 77.58910322 9.45902908)"
19,T.NO-16,,SA,S,29,15-16,271.5621476,3.87,160,,9.45902908,77.58910322,GOOD,GOOD,NO,,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58910322 9.45902908, 77.59058961 9.46063556)"
20,T.NO-17,,SA,S,26,16-17,241.4228655,3.43,158,,9.46063556,77.59058961,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59058961 9.46063556, 77.5914595 9.46134298)"
21,T.NO-1/18 LILO THOTTIYAPATTI,,DD,T,28,17-01-2018,123.5556555,4.6,154,"123°13'59.80""",9.46134298,77.5914595,GOOD,GOOD,NO,,TAARROAD,PLAIN LAND,NEED 3 WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5914595 9.46134298, 77.59101459 9.46148181)"
22,GANTRY 110KV THOTTIYAPATTI,2W,GANTRY,GANTRY,20,1/18-GANTRY,51.2445119,,157,,9.46148181,77.59101459,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
