SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,28,,S,,GC,23.62,T27-T28,244.644868,32.6,153,8.435023597,77.79708993,AVAILABLE,,FENCIND-2NOS,AGRI LAND,"DC LINE,2 NOS FENCING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79708992918512 8.435023597409147, 77.79649682099998 8.437167053851585)"
29,29,,S,,GC,23.62,T28-T29,246.0845647,35.9,155,8.437167054,77.79649682,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC LINE,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79649682099998 8.437167053851585, 77.79594327976 8.439305186300226)"
30,30,,S,,GC,23.62,T29-T30,244.3916397,42.84,155,8.439305186,77.79594328,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79594327976 8.439305186300226, 77.79532503697479 8.441568014129095)"
31,31,,S,,GC,23.62,T30-T31,259.5591005,31.38,159,8.441568014,77.79532504,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE ,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79532503697479 8.441568014129095, 77.79475606689127 8.44385901341567)"
32,32,,T,"04°33'10""RT",HC,21.94,T31-T32,261.2126692,32.87,162,8.443859013,77.79475607,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE ,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79475606689127 8.44385901341567, 77.79438759908017 8.446007712695915)"
33,33,,S,,GC,23.62,T32-T33,241.2670129,33.7,157,8.446007713,77.7943876,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79438759908017 8.446007712695915, 77.79400337282274 8.448211133082898)"
34,34,,S,,GC,23.62,T33-T34,247.5304738,33.42,163,8.448211133,77.79400337,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79400337282274 8.448211133082898, 77.7935688568806 8.450598595861816)"
35,35,,S,,GC,23.62,T34-T35,268.5557939,31.9,158,8.450598596,77.79356886,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7935688568806 8.450598595861816, 77.79316619073656 8.452778108089683)"
36,36,,T,"11°52'00""RT",HC,21.94,T35-T36,245.2828749,32.7,156,8.452778108,77.79316619,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79316619073656 8.452778108089683, 77.79323827411756 8.455058742797911)"
37,37,,T,"16°01'35""LT",HC+3,24.94,T36-T37,252.5544775,42.62,158,8.455058743,77.79323827,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"DC LINE,11 KV LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79323827411756 8.455058742797911, 77.79257677380679 8.457657086023403)"
