S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (Mtr),Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
37, T39,,S,DA,26, T38- T39,273.8902692,4.98,FALSE,393.884705,,9.8895,77.31752778,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31752777777777 9.8895, 77.31597222222221 9.891638888888888)"
38, T40,,T,DB,28, T39- T40,291.3746328,0.85,FALSE,393.151428,"1°3'36"" R",9.891638889,77.31597222,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31597222222221 9.891638888888888, 77.31436111111111 9.893916666666666)"
39, T41,,T,DB,28, T40- T41,308.2145525,0.33,FALSE,395.68988,"30°25'48""L",9.893916667,77.31436111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31436111111111 9.893916666666666, 77.31333333333333 9.894361111111111)"
40, T42,,T,DB,28, T41- T42,121.8257755,0.46,FALSE,392.286804,"10°25'48"" L",9.894361111,77.31333333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31333333333333 9.894361111111111, 77.31130555555555 9.89486111111111)"
41, T43,,T,DB,28, T42- T43,230.029851,0.3,FALSE,393.809906,"14°7'12"" R",9.894861111,77.31130556,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31130555555555 9.89486111111111, 77.309 9.896083333333333)"
42, T44,,S,DA,26, T43- T44,286.9345753,0.24,FALSE,392.701233,,9.896083333,77.309,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.309 9.896083333333333, 77.30783333333333 9.896694444444444)"
43, T45,,T,DB,28, T44- T45,144.5208111,1.57,FALSE,393.035736,"32°59'53"" L",9.896694444,77.30783333,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30783333333333 9.896694444444444, 77.30538888888888 9.896972222222221)"
44, T46,,T,DB,28, T45- T46,272.1125673,0.9,FALSE,394.946625,"18°51'36"" L",9.896972222,77.30538889,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30538888888888 9.896972222222221, 77.30316666666667 9.8965)"
45, T47,,T,DB,28, T46- T47,247.4325519,0.57,FALSE,395.74585,"8°58'12"" R",9.8965,77.30316667,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30316666666667 9.8965, 77.30125 9.896388888888888)"
46, T48,,T,DB,28, T47- T48,210.5632038,0.99,FALSE,398.656891,"24°30'36"" R",9.896388889,77.30125,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30125 9.896388888888888, 77.30011111111111 9.896805555555556)"
47, T49,,T,DB,28, T48- T49,136.025896,4.29,FALSE,398.90329,"84°58'12"" R",9.896805556,77.30011111,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30011111111111 9.896805555555556, 77.30022222222222 9.89725)"
48,Thevaram SS,2W,T,H-POLE,12, T49- Tgy,49.99234431,,,398.013733,,9.89725,77.30022222,Good,No E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earth wire is not available at T.No 8 - 11 & 49 - Gantry (Thevaram SS), due to clearance issue and there is no provision for fixing the OPGW at  H-Pole ( Rail Pole). So we are proposing ADSS cable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/S Sterlite Power Transmission Limited,,,,,,,,,,,,,,For M/S TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
