SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,9,,T,"3°25'17""RT",HC,21.94,T8A-T9,49.17525977,2.4,77,9.363269495,78.11716162,AVAILABLE,,,AGRI LAND," SC LINE,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11716162 9.363269495, 78.11758876 9.363323417)"
11,10,,T,"45°20'20""RT",HC+3,24.94,T9-T10,47.3375021,2.62,78,9.363323417,78.11758876,AVAILABLE,,ROAD,AGRI LAND," SC LINE, agri land road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11758876 9.363323417, 78.11879307 9.364886817)"
12,11,,T,"13°22'5""RT",HC,21.94,T10-T11,217.8991054,2.74,78,9.364886817,78.11879307,AVAILABLE,,,AGRI LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11879307 9.364886817, 78.11985355 9.367154496)"
13,12,,S,,GC,23.62,T11-T12,276.7769477,1.46,80,9.367154496,78.11985355,AVAILABLE,,,AGRI LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11985355 9.367154496, 78.12075242 9.369257089)"
14,13,,S,,GC,23.62,T12-T13,252.8593241,1.59,82,9.369257089,78.12075242,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12075242 9.369257089, 78.1218585 9.371639858)"
15,14,,S,,GC,23.62,T13-T14,290.4438373,1.78,82,9.371639858,78.1218585,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1218585 9.371639858, 78.12280834 9.373772196)"
16,15,,S,,GC,23.62,T14-T15,258.1070937,1.45,82,9.373772196,78.12280834,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12280834 9.373772196, 78.12378936 9.376005744)"
17,16,2W,T,"8°28'15""RT",HC,21.94,T15-T16,269.7429716,2.98,83,9.376005744,78.12378936,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12378936 9.376005744, 78.1244693 9.378424854)"
18,17,,S,,GC,23.62,T16-T17,278.0223718,1.84,84,9.378424854,78.1244693,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1244693 9.378424854, 78.12514823 9.380805575)"
19,18,,S,,GC+3,26.62,T17-T18,273.9020996,1.97,83,9.380805575,78.12514823,AVAILABLE,,ROAD,PLAIN LAND," SC LINE,plain lad, road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12514823 9.380805575, 78.12579799 9.383140631)"
20,19,,S,,GC,23.62,T18-T19,268.1693372,1.38,85,9.383140631,78.12579799,AVAILABLE,,,PLAIN LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12579799 9.383140631, 78.12642395 9.385510073)"
21,20,,S,,GC,23.62,T19-T20,271.1644529,1.54,85,9.385510073,78.12642395,AVAILABLE,,,AGRI LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12642395 9.385510073, 78.12711764 9.387860975)"
22,21,,T,"15°43'1""LT",HC,21.94,T20-T21,271.1778137,2.76,86,9.387860975,78.12711764,AVAILABLE,,,AGRI LAND," SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12711764 9.387860975, 78.12845472 9.389916471)"
23,22,,S,,GC,23.62,T21-T22,270.8804095,1.84,86,9.389916471,78.12845472,AVAILABLE,,,AGRI LAND," SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12845472 9.389916471, 78.12968586 9.391997095)"
24,23,,S,,GC,23.62,T22-T23,267.135927,1.85,87,9.391997095,78.12968586,AVAILABLE,11KV LINE,,AGRI LAND,"SC LINE,11 kv line, agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12968586 9.391997095, 78.13105814 9.39430429)"
25,24,,S,,GC,23.62,T23-T24,296.6209394,1.36,86,9.39430429,78.13105814,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13105814 9.39430429, 78.13207436 9.396072302)"
26,25,,S,,GC,23.62,T24-T25,225.3486408,1.84,87,9.396072302,78.13207436,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13207436 9.396072302, 78.13347884 9.398333161)"
27,26,,S,,GC,23.62,T25-T26,294.0558704,1.9,87,9.398333161,78.13347884,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13347884 9.398333161, 78.13471567 9.400383964)"
28,27,,S,,GC,23.62,T26-T27,264.6145773,1.53,86,9.400383964,78.13471567,AVAILABLE,,,AGRI LAND,"SC LINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13471567 9.400383964, 78.13602526 9.402411932)"
29,28,2W,T,"36°35'18""RT",KC,24,T27-T28,266.6783475,2.49,86,9.402411932,78.13602526,AVAILABLE,,,AGRI LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13602526 9.402411932, 78.13577916 9.404716411)"
30,29,,S,,GC,23.62,T28-T29,256.5246878,1.78,86,9.404716411,78.13577916,AVAILABLE,,,AGRI LAND,"SC LINE, agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13577916 9.404716411, 78.13549284 9.407188905)"
31,30,,S,,GC,23.62,T29-T30,275.4965639,1.76,88,9.407188905,78.13549284,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13549284 9.407188905, 78.13534666 9.40968685)"
32,31,,T,"8°22'42""RT",HC+3,24.94,T30-T31,276.9772957,2.74,85,9.40968685,78.13534666,AVAILABLE,,"ROAD,POND",PLAIN LAND,"SC LINE, road ,  pond,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13534666 9.40968685, 78.1348481 9.412018073)"
33,32,,S,,GC,23.62,T31-T32,263.810151,1.37,85,9.412018073,78.1348481,AVAILABLE,,,AGRI LAND,"SC LINE, agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1348481 9.412018073, 78.13420035 9.414265597)"
34,33,,S,,GC,23.62,T32-T33,258.7787159,2.9,85,9.414265597,78.13420035,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13420035 9.414265597, 78.13360389 9.416830304)"
35,34,,S,,GC,23.62,T33-T34,291.3735082,1.82,85,9.416830304,78.13360389,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13360389 9.416830304, 78.13303057 9.419141964)"
36,35,,T,"1°13'50""RT",HC,21.94,T34-T35,263.5359194,2.52,86,9.419141964,78.13303057,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13303057 9.419141964, 78.13250888 9.421497599)"
37,36,,S,,GC,23.62,T35-T36,266.9886851,1.45,85,9.421497599,78.13250888,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13250888 9.421497599, 78.13191377 9.423907791)"
38,37,,S,,GC,23.62,T36-T37,274.7004514,1.86,86,9.423907791,78.13191377,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13191377 9.423907791, 78.13141454 9.426283569)"
39,38,,S,,GC,23.62,T37-T38,268.6514542,1.58,89,9.426283569,78.13141454,AVAILABLE,,,AGRI LAND,"SC LINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13141454 9.426283569, 78.13085798 9.428659331)"
40,39,,S,,GC,23.62,T38-T39,270.0082973,1.32,89,9.428659331,78.13085798,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13085798 9.428659331, 78.13038256 9.431059881)"
41,40,2W,T,"23°17'2""RT",HC,21.94,T39-T40,270.8201617,2.33,89,9.431059881,78.13038256,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13038256 9.431059881, 78.1307983 9.433491836)"
42,41,,S,,GC,23.62,T40-T41,273.0582175,1.56,90,9.433491836,78.1307983,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1307983 9.433491836, 78.13131899 9.435859941)"
43,42,,S,,GC,23.62,T41-T42,268.3135806,1.93,91,9.435859941,78.13131899,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13131899 9.435859941, 78.13177731 9.438290539)"
44,43,,S,,GC,23.62,T42-T43,273.732366,1.42,93,9.438290539,78.13177731,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13177731 9.438290539, 78.13218903 9.440638436)"
45,44,,S,,GC,23.62,T43-T44,263.8128053,1.58,92,9.440638436,78.13218903,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13218903 9.440638436, 78.13269462 9.443047172)"
46,45,,T,"4°56'17""LT",HC+3,24.94,T44-T45,272.3659649,2.7,94,9.443047172,78.13269462,AVAILABLE,,ROAD,PLAIN LAND,"SC LINE,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13269462 9.443047172, 78.13296016 9.445624232)"
47,46,,S,,GC,23.62,T45-T46,286.7585713,1.82,96,9.445624232,78.13296016,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13296016 9.445624232, 78.13322738 9.448111316)"
48,47,,S,,GC,23.62,T46-T47,276.8708847,1.73,97,9.448111316,78.13322738,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13322738 9.448111316, 78.13344095 9.450676433)"
49,48,,S,,GC,23.62,T47-T48,284.9161741,1.84,97,9.450676433,78.13344095,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13344095 9.450676433, 78.13368235 9.453235577)"
50,49,,S,,GC,23.62,T48-T49,284.5254487,1.74,96,9.453235577,78.13368235,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13368235 9.453235577, 78.13401595 9.455735504)"
51,50,,T,"19°45'51""LT",HC,21.94,T49-T50,279.1493149,2.81,96,9.455735504,78.13401595,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13401595 9.455735504, 78.13335244 9.458127268)"
52,51,,S,,GC,23.62,T50-T51,274.617562,1.93,98,9.458127268,78.13335244,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13335244 9.458127268, 78.13275497 9.460496526)"
53,52,,S,,GC,23.62,T51-T52,270.3630881,1.72,98,9.460496526,78.13275497,AVAILABLE,,,PLAIN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13275497 9.460496526, 78.13224468 9.462862461)"
54,53,2W,T,"1°52'17""LT",HC,21.94,T52-T53,267.8356825,2.67,100,9.462862461,78.13224468,AVAILABLE,,,AGRI LAND,"SCLINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13224468 9.462862461, 78.13157178 9.465234001)"
55,54,,T,"20°3'15""LT",HC,21.94,T53-T54,272.7378567,2.59,100,9.465234001,78.13157178,AVAILABLE,,ODAI(NALA),AGRI LAND,"SCLINE,agri land,odai( nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13157178 9.465234001, 78.13133743 9.465556775)"
56,55,,DP,,,,T54-T55,44.04621351,2.47,100,9.465556775,78.13133743,AVAILABLE,,,AGRI LAND, dp agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13133743 9.465556775, 78.13110542 9.465812746)"
57,55a,,DP,,,,T55-T55A,38.11928857,2.88,100,9.465812746,78.13110542,AVAILABLE,110KV LINE,,PLAIN LAND,"dp    110 kv over head crs, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13110542 9.465812746, 78.13084625 9.466131551)"
58,56,,T,"50°41'10""RT",KC,24,T55A-T56,45.35133339,2.43,100,9.466131551,78.13084625,AVAILABLE,,,PLAIN LAND,"SCLINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13084625 9.466131551, 78.13125797 9.468234203)"
59,57,,S,,GC,23.62,T56-T57,237.1136152,1.53,102,9.468234203,78.13125797,AVAILABLE,,,AGRI LAND,"SCLINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13125797 9.468234203, 78.1316774 9.470539896)"
60,58,,S,,GC,23.62,T57-T58,259.3599594,1.75,102,9.470539896,78.1316774,AVAILABLE,,,AGRI LAND,"SCLINE, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1316774 9.470539896, 78.13208342 9.472863101)"
61,59,,S,,GC,23.62,T58-T59,261.0113902,1.94,100,9.472863101,78.13208342,AVAILABLE,,,AGRI LAND,"SCLINE, agri bland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13208342 9.472863101, 78.1325186 9.475150243)"
62,60,,S,,GC,23.62,T59-T60,257.6559877,1.48,100,9.475150243,78.1325186,AVAILABLE,,CART TRACK,AGRI LAND,"SCLINE,agri land ,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1325186 9.475150243, 78.13293099 9.47738016)"
63,61,,S,,GC,23.62,T60-T61,250.9683692,1.36,100,9.47738016,78.13293099,AVAILABLE,,,AGRI LAND,"SCLINE,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13293099 9.47738016, 78.13336283 9.479781693)"
64,62,,T,"3°4'49""RT",HC,21.94,T61-T62,270.042378,2.62,98,9.479781693,78.13336283,AVAILABLE,,,PLAIN LAND,"SCLINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13336283 9.479781693, 78.1339908 9.482273821)"
65,63,,S,,GC,23.62,T62-T63,284.3702173,1.92,94,9.482273821,78.1339908,AVAILABLE,,,PLAIN LAND,"SCLINE,plain land ,odai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1339908 9.482273821, 78.13459296 9.484691524)"
66,64,,S,,GC,23.62,T63-T64,275.689105,1.51,93,9.484691524,78.13459296,AVAILABLE,,,PLAIN LAND,"SCLINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13459296 9.484691524, 78.1351418 9.487165098)"
67,65,,T,"40°6'58""RT",KC,24,T64-T65,280.3784881,2.9,91,9.487165098,78.1351418,AVAILABLE,,,PLAIN LAND,"SCLINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1351418 9.487165098, 78.13719604 9.488670397)"
68,66,,T,"53°16'58""RT",KC,24,T65-T66,280.5908927,2.38,91,9.488670397,78.13719604,AVAILABLE,,"CART TRACK,WELL",PLAIN LAND,"SCLINE,plain land, cart track ,well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13719604 9.488670397, 78.13863438 9.488237855)"
69,67,,T,"8°2'0""RT",HC,21.94,T66-T67,165.1604341,2.52,90,9.488237855,78.13863438,AVAILABLE,LT  LINE,ODAI(NALA),AGRI LAND,"SCLINE, odai(nala), agri land, lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13863438 9.488237855, 78.13942999 9.487871451)"
70,68,,T,"12°28'59""LT",HC,21.94,T67-T68,96.38430831,2.71,90,9.487871451,78.13942999,AVAILABLE,,,PLAIN LAND,"SCLINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13942999 9.487871451, 78.13989501 9.48776993)"
71,69,2W,T,"75°6'29""LT",KC,24,T68-T69,52.32642164,2.64,90,9.48776993,78.13989501,AVAILABLE,,,AGRI LAND,"DCLINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13989501 9.48776993, 78.14061485 9.489154856)"
72,70,,T,"18°36'9""RT",HC,21.94,T69-T70,172.5116419,2.39,90,9.489154856,78.14061485,AVAILABLE,"LT LINE,11KV LINJE",,PLAIN LAND,"DCLINE,,LT,11 KV,PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14061485 9.489154856, 78.14256012 9.491026548)"
73,71,,T,"51°38'39""RT",KC,24,T70-T71,297.7033473,2.98,87,9.491026548,78.14256012,AVAILABLE,"LT LINE,11KV LINJE-2NOS",,PLAIN LAND,"DCLINE,LTline,2nos  11 KV line,PLain AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14256012 9.491026548, 78.14490505 9.490718347)"
74,72,,T,"6°42'36""RT",HC,21.94,T71-T72,259.9448766,2.47,87,9.490718347,78.14490505,AVAILABLE,,,AGRI LAND,"DCLINE,FENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14490505 9.490718347, 78.14712994 9.490203467)"
75,73,,S,,GC,23.62,T72-T73,251.0605282,1.72,88,9.490203467,78.14712994,AVAILABLE,,,AGRI LAND,"DCLINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14712994 9.490203467, 78.14951845 9.489611536)"
76,74,,S,,GC,23.62,T73-T74,270.5405996,1.67,88,9.489611536,78.14951845,AVAILABLE,,,AGRI LAND,"DCLINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14951845 9.489611536, 78.15176848 9.489008361)"
77,75,,S,,GC,23.62,T74-T75,256.1241163,1.31,84,9.489008361,78.15176848,AVAILABLE,11KV LINE,,AGRI LAND,"DCLINE,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15176848 9.489008361, 78.15427702 9.48835492)"
78,76,,T,"22°38'27""RT",HC,21.94,T75-T76,285.0074111,2.4,84,9.48835492,78.15427702,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"DCLINE,,LT line,FENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15427702 9.48835492, 78.15606169 9.487024885)"
79,77,,T,"0°41'53""RT",HC,21.94,T76-T77,245.2379065,2.73,84,9.487024885,78.15606169,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"DCLINE, LT line,11 KV line,FENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15606169 9.487024885, 78.15790001 9.485593322)"
80,78,,S,,GC,23.62,T77-T78,256.7580401,1.78,84,9.485593322,78.15790001,AVAILABLE,,,AGRI LAND,"DCLINE,FENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15790001 9.485593322, 78.15939669 9.484403491)"
81,79,,S,,GC,23.62,T78-T79,210.7131299,1.43,84,9.484403491,78.15939669,AVAILABLE,,,AGRI LAND,"DCLINE,,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15939669 9.484403491, 78.16117499 9.483076748)"
82,80,,S,,GC+3,26.62,T79-T80,244.4601714,2.68,82,9.483076748,78.16117499,AVAILABLE,,POND,WATER LOGGED AREA,"DCLINE,POND ,water logged AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16117499 9.483076748, 78.16296335 9.481580022)"
83,81,,S,,GC,23.62,T80-T81,257.0496855,1.57,80,9.481580022,78.16296335,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DCLINE,2nos LTline,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16296335 9.481580022, 78.16477016 9.48036835)"
84,82,,T,"27°11'2""LT",HC,21.94,T81-T82,239.6167651,2.54,80,9.48036835,78.16477016,AVAILABLE,LT LINE,,AGRI LAND,"DCLINE,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16477016 9.48036835, 78.16666178 9.479951672)"
85,83,,S,,GC,23.62,T82-T83,212.9390402,1.63,79,9.479951672,78.16666178,AVAILABLE,,,AGRI LAND,"DC LINE, FENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16666178 9.479951672, 78.16845182 9.479645115)"
86,84,,S,,GC,23.62,T83-T84,199.6244208,1.47,79,9.479645115,78.16845182,AVAILABLE,,,PLAIN LAND,"DC LINE,FENCE,PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16845182 9.479645115, 78.16993341 9.479426524)"
87,85,,T,"3°11'45""LT",HC+3,24.94,T84-T85,164.6094183,2.26,78,9.479426524,78.16993341,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC LINE,,LT LINE,AGRI LAND,ROAD CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16993341 9.479426524, 78.17113839 9.479275064)"
88,86,,T(LILO),"13°30'3""RT",HC,21.94,T85-T86,133.4809527,2.58,78,9.479275064,78.17113839,AVAILABLE,,,AGRI LAND,"DCLINE,LILO,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17113839 9.479275064, 78.17328651 9.478468491)"
