S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,LILO : 50,T,DC,26,51-50,106,4.2,"=IF(H41>15,0)",169.417572,"88°40'48""L",10.020666666666667,78.13388888888889,GOOD,Available,,,Plain,Common tower for 110kV Alagarkoil - Solavanthan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13388888888889 10.020666666666667, 78.13194444444444 10.021805555555556)"
37,50/1,T,DC,26,50-1,250,1.46,"=IF(H42>15,0)",169.56868,"35°38'24""L",10.021805555555556,78.13194444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13194444444444 10.021805555555556, 78.13097222222221 10.024083333333333)"
38,50/2,S,DA,26,1-2,272.52642798129887,2.37,"=IF(H43>15,0)",171.041946,,10.024083333333333,78.13097222222221,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13097222222221 10.024083333333333, 78.12997222222222 10.02638888888889)"
39,50/3,S,DA,26,2-3,280,6,"=IF(H44>15,0)",172.874541999999,,10.02638888888889,78.12997222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12997222222222 10.02638888888889, 78.12894444444444 10.028694444444445)"
40,50/4,S,DA,26,3-4,282,5.51,"=IF(H45>15,0)",171.938751,,10.028694444444445,78.12894444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12894444444444 10.028694444444445, 78.12827777777777 10.03025)"
41,50/5,S,DA,26,4-5,187.72749817725787,7.18,"=IF(H46>15,0)",174.23024,,10.03025,78.12827777777777,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12827777777777 10.03025, 78.12758333333332 10.031916666666667)"
42,50/6,T,DB+3,28,5-6,200,6.47,"=IF(H47>15,0)",176.130951,,10.031916666666667,78.12758333333332,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12758333333332 10.031916666666667, 78.12552777777778 10.033583333333333)"
43,50/7,S,DA+3,29,6-7,292.1606974590381,5.03,"=IF(H48>15,0)",180.170302999999,,10.033583333333333,78.12552777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12552777777778 10.033583333333333, 78.12344444444444 10.035305555555555)"
44,50/8,S,DA,26,7-8,301,1.16,"=IF(H49>15,0)",180.600021,,10.035305555555555,78.12344444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12344444444444 10.035305555555555, 78.12147222222221 10.036944444444444)"
45,50/9,S,DA,26,8-9,285,1.97,"=IF(H50>15,0)",178.566147,,10.036944444444444,78.12147222222221,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12147222222221 10.036944444444444, 78.11958333333332 10.038527777777778)"
46,50/10,T,DB,25,9-10,272.73790130640367,2.3,"=IF(H51>15,0)",179.973495,"0°4'12""R",10.038527777777778,78.11958333333332,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11958333333332 10.038527777777778, 78.11774999999999 10.040027777777778)"
47,50/11,S,DA+3,29,10-11,262.77407690211595,5.57,"=IF(H52>15,0)",182.386138999999,,10.040027777777778,78.11774999999999,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11774999999999 10.040027777777778, 78.11633333333333 10.041444444444444)"
48,50/12,S,DA,26,11-12,223,3.6,"=IF(H53>15,0)",185.299133,,10.041444444444444,78.11633333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11633333333333 10.041444444444444, 78.11475 10.043027777777777)"
