SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,,S,,GR,34.07,T9-T10,265.5167607,33.56,1,8.76489339,78.15720331,AVAILABLE,22 KV LINE,ROAD,SALT PAN AREA,"22kv line,road, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15720331 8.76489339, 78.15506626 8.76468397)"
11,11,,T,"27°27'18"" RT",KS+3,36.52,T10-T11,236.4652453,34.57,1,8.76468397,78.15506626,AVAILABLE,22 KV LINE,,SALT PAN AREA,"22kv line, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15506626 8.76468397, 78.15336339 8.765319851)"
12,12,,S,,GR,34.07,T11-T12,200.2903216,45.22,1,8.765319851,78.15336339,AVAILABLE,"2 NO'S LT LINE,22 KV LINE",CAR TRACK,SALT PAN AREA,"lt line-2Nos, 22kv line,cart track, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15336339 8.765319851, 78.15100439 8.766239706)"
13,13,,S,,GR,34.07,T12-T13,279.0095302,37.58,1,8.766239706,78.15100439,AVAILABLE,LT LINE,,SALT PAN AREA,"lt line, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15100439 8.766239706, 78.14847775 8.767260623)"
14,14,,T,"11°48'41"" LT",KS+3,36.52,T13-T14,300.3009854,36.46,1,8.767260623,78.14847775,AVAILABLE,LT LINE,"CAR TRACK,ROAD",SALT PAN AREA,"ct,road,lt line, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14847775 8.767260623, 78.14575866 8.767724525)"
15,15,,S,,GR,34.07,T14-T15,303.7900369,35.19,1,8.767724525,78.14575866,AVAILABLE,LT LINE,CAR TRACK,SALT PAN AREA,"lt line,ct, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14575866 8.767724525, 78.14305834 8.76817716)"
16,16,,T,"57°59'15"" LT",LS+9,39.3,T15-T16,301.5440306,34.27,3,8.76817716,78.14305834,AVAILABLE,,RAILWAY TRACK,SALT PAN AREA,"single railway track, uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14305834 8.76817716, 78.14254269 8.767600597)"
17,17,,T,"59°2'54"" RT",LS+9,39.3,T16-T17,85.424944,43.17,3,8.767600597,78.14254269,AVAILABLE,,,SALT PAN AREA,uppalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14254269 8.767600597, 78.13999157 8.768008168)"
18,18,,S,,GR,34.07,T17-T18,284.5231075,39.02,4,8.768008168,78.13999157,AVAILABLE,22 KV LINE,,SALT PAN AREA,"22kv line,uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13999157 8.768008168, 78.13750651 8.768518459)"
19,19,,S,,GR,34.07,T18-T19,279.4190537,38.15,4,8.768518459,78.13750651,AVAILABLE,,,SALT PAN AREA,uppalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13750651 8.768518459, 78.13460335 8.769051613)"
20,20,,S,,GR+3,37.07,T19-T20,325.0919557,36.323,4,8.769051613,78.13460335,AVAILABLE,2 NO'S LT LINE,ROAD,SALT PAN AREA,"lt line-2,road,uppalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13460335 8.769051613, 78.13195098 8.76959305)"
21,21,,T,"18°39'7"" RT",KS+3,36.52,T20-T21,298.1597149,44.43,4,8.76959305,78.13195098,AVAILABLE,2 NO'S LT LINE,NH ROAD,SALT PAN AREA,"2NOS LT line, NH ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13195098 8.76959305, 78.1301596 8.770584467)"
22,22,,S,,GR+3,37.07,T21-T22,225.73457,39.25,5,8.770584467,78.1301596,AVAILABLE,11 KV LINE,,SALT PAN AREA,"11kv line,  good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1301596 8.770584467, 78.12820964 8.771662697)"
23,23,,S,,GR,34.07,T22-T23,245.6678305,38.156,1,8.771662697,78.12820964,AVAILABLE,2 NO'S LT LINE,2 NO'S CAR TRACK,SALT PAN AREA,"2nos LT line,2nos cart tark, good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12820964 8.771662697, 78.12634382 8.772712759)"
24,24,,S,,GR,34.07,T23-T24,236.0583991,35.552,1,8.772712759,78.12634382,AVAILABLE,"11 KV LINE,LT LINE",CAR TRACK,SALT PAN AREA,"11kv line,LT line,CART TARK, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12634382 8.772712759, 78.12454507 8.77383207)"
25,25,,S,,GR,34.07,T24-T25,233.6345634,34.246,1,8.77383207,78.12454507,AVAILABLE,,,SALT PAN AREA,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12454507 8.77383207, 78.12248915 8.774902669)"
26,26,,S,,GR,34.07,T25-T26,255.5333533,41.529,2,8.774902669,78.12248915,AVAILABLE,,CAR TRACK,PLAIN LAND,"CART TARK, GOOD ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12248915 8.774902669, 78.12061932 8.776002424)"
27,27,2W,S,,GR,34.07,T26-T27,239.1966224,40.103,4,8.776002424,78.12061932,AVAILABLE,,CAR TRCK,PLAIN LAND,"cart tark, good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12061932 8.776002424, 78.11864957 8.777033255)"
28,28,,S,,GR,34.07,T27-T28,245.0863159,38.362,1,8.777033255,78.11864957,AVAILABLE,,CAR TRACK,PLAIN LAND,"cart ark, cw, room, shed, good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11864957 8.777033255, 78.11677236 8.778111798)"
29,29,,S,,GR,34.07,T28-T29,238.7131979,39.429,1,8.778111798,78.11677236,AVAILABLE,LT LINE,2 NO'S CAR TRACK,PLAIN LAND,"nos cart tark, LT line, GOOD ,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11677236 8.778111798, 78.11481904 8.779153226)"
30,30,,S,,GR,34.07,T29-T30,244.0383029,33.182,1,8.779153226,78.11481904,AVAILABLE,,,PLAIN LAND,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11481904 8.779153226, 78.11270278 8.780363638)"
31,31,,T,"7°49'17"" LT",KS,33.52,T30-T31,268.8086961,31.117,1,8.780363638,78.11270278,AVAILABLE,,CAR TRACK,PLAIN LAND,"cart tark , plain land , good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11270278 8.780363638, 78.11052918 8.781216856)"
32,32,,T,"34°8'33"" LT",LS,30.3,T31-T32,257.3097445,35.567,3,8.781216856,78.11052918,AVAILABLE,,,WATER LOGGED AREA,"bund, good Water logged land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11052918 8.781216856, 78.10989484 8.781075702)"
33,33,,T,"38°57'14"" RT",LS,30.3,T32-T33,71.5778478,40.002,6,8.781075702,78.10989484,AVAILABLE,110 KV LINE,,WATER LOGGED AREA,"bond, bund, 110kv  sc line over head crossing,water log land , good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10989484 8.781075702, 78.10945965 8.781290083)"
34,34,,T,"17°34'48"" RT",KS,33.52,T33-T34,53.47551934,43.108,6,8.781290083,78.10945965,AVAILABLE,,,WATER LOGGED AREA,"good, water lock land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10945965 8.781290083, 78.10795326 8.782733424)"
35,35,,T,"19°30'7"" RT",KS,33.52,T34-T35,230.3095469,37.564,5,8.782733424,78.10795326,AVAILABLE,,,PLAIN LAND,"bond , bund , good , plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10795326 8.782733424, 78.10718447 8.784406712)"
36,36,,S,,GR+6,40.07,T35-T36,203.6523086,35.103,7,8.784406712,78.10718447,AVAILABLE,LT LINE,CAR TRACK,PLAIN LAND,"cart tark, LT,good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10718447 8.784406712, 78.10622659 8.786167466)"
37,37,2W,T,"12°59'41"" RT",KS+6,39.52,T36-T37,221.617531,33.259,6,8.786167466,78.10622659,AVAILABLE,"2 NO'S LT LINE,11 KV LINE",NH ROAD,PLAIN LAND,"2nos LT, 11kv, road NH (tirunelveli - thuthokudi), bike sheed, plain land , good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10622659 8.786167466, 78.10572535 8.787969961)"
38,38,,S,,GR,34.07,T37-T38,207.0240071,31.726,8,8.787969961,78.10572535,AVAILABLE,LT LINE,CAR TRACK,PLAIN LAND,"cart tark, LT,plain land , sheed , good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10572535 8.787969961, 78.10529754 8.789968599)"
39,39,,S,,GR+3,37.07,T38-T39,226.1945907,34.158,6,8.789968599,78.10529754,AVAILABLE,2 NO'S 33 KV LINE,"ROAD,CAR TRACK",PLAIN LAND,"2nos 33kv, tar road ,cart tark, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10529754 8.789968599, 78.10483117 8.79195563)"
40,40,,S,,GR,34.07,T39-T40,225.8728895,42.423,6,8.79195563,78.10483117,AVAILABLE,,,PLAIN LAND,"good ,plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10483117 8.79195563, 78.10425885 8.794201754)"
41,41,,S,,GR,34.07,T40-T41,256.4936871,39.572,7,8.794201754,78.10425885,AVAILABLE,,,PLAIN LAND,"good , plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10425885 8.794201754, 78.10379449 8.796025415)"
42,42,,S,,GR+3,37.07,T41-T42,208.244541,35.202,7,8.796025415,78.10379449,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"sheed, tar road, LT, good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10379449 8.796025415, 78.10333047 8.797994521)"
43,43,,S,,GR,34.07,T42-T43,223.878772,33.167,7,8.797994521,78.10333047,AVAILABLE,2 NO'S LT LINE,MUD ROAD,PLAIN LAND,"2nos LT, street,good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10333047 8.797994521, 78.10285069 8.800107745)"
44,44,,S,,GR,34.07,T43-T44,239.8153635,34.502,8,8.800107745,78.10285069,AVAILABLE,"11 KV LINE, LT LINE",CAR TRACK,PLAIN LAND,"temple, 11kv line,LT,cart tark, good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10285069 8.800107745, 78.10237259 8.802116921)"
45,45,,S,,GR,34.07,T44-T45,228.5517611,31.119,9,8.802116921,78.10237259,AVAILABLE,,CAR TRACK,PLAIN LAND,"cart tark , plain land, good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10237259 8.802116921, 78.1018395 8.804216206)"
46,46,,S,,GR,34.07,T45-T46,239.6792569,43.59,13,8.804216206,78.1018395,AVAILABLE,,CAR TRACK,PLAIN LAND,"cart tark, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1018395 8.804216206, 78.10130976 8.806382075)"
47,47,,S,,GR,34.07,T46-T47,246.7447655,39.186,10,8.806382075,78.10130976,AVAILABLE,LT LINE,,PLAIN LAND,"LT,plain pand,good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10130976 8.806382075, 78.10080081 8.808511486)"
48,48,,T,"16°7'19"" RT",KS+9,42.52,T47-T48,242.286651,34.159,11,8.808511486,78.10080081,AVAILABLE,11 KV LINE,CAR TRACK,PLAIN LAND,"cart tark, 11kv, good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10080081 8.808511486, 78.10085144 8.809646261)"
49,49,,T,"4°23'53"" RT",KS+9,42.52,T48-T49,125.7376669,31.523,11,8.809646261,78.10085144,AVAILABLE,,RAILWAY TRACK,PLAIN LAND,"railway crossing 2railway track ,cw, good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10085144 8.809646261, 78.10103182 8.811823364)"
50,50,,S,,GR+3,37.07,T49-T50,241.8123414,35.168,11,8.811823364,78.10103182,AVAILABLE,,,PLAIN LAND,"good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10103182 8.811823364, 78.10124706 8.812879606)"
51,51,,T,"84°0'51"" LT",LS+3,33.3,T50-T51,119.2993345,33.752,10,8.812879606,78.10124706,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10124706 8.812879606, 78.1008102 8.812979333)"
52,52,,T,"10°23'54"" LT",KS+3,36.52,T51-T52,49.35352064,46.824,11,8.812979333,78.1008102,AVAILABLE,,ROAD,PLAIN LAND,"road,plan land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1008102 8.812979333, 78.09939869 8.813041289)"
53,53,,T,"10°6'48"" RT",KS,33.52,T52-T53,155.5701399,31.286,12,8.813041289,78.09939869,AVAILABLE,,,PLAIN LAND,plan land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09939869 8.813041289, 78.0987734 8.813180774)"
54,54,,T,"54°55'18"" RT",LS,30.3,T53-T54,70.55995082,32.222,13,8.813180774,78.0987734,AVAILABLE,,,PLAIN LAND,"fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0987734 8.813180774, 78.09852127 8.813788079)"
55,55,,T,"29°20'11"" LT",LS,30.3,T54-T55,72.73318858,43.159,13,8.813788079,78.09852127,AVAILABLE,,,SS LAND,ssland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09852127 8.813788079, 78.09828 8.8139)"
GANTRY,Sipcot ,2W,,,,,T55-GANTRY,34.77896026,34.196,12,8.8139,78.09828,AVAILABLE,,,,Sipcot  230KV SS Gantry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,Kms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
