SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.No-11,,T,"30°13'29""LT",SC+3,27,T10-T11,240.1381263,2.36,36,8.23397452,77.25924231,GOOD,AVAILABLE,Lt Line,Road,Plain Land,"SC Line,Road , lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25924231 8.23397452, 77.26136997 8.234258857)"
12,T.No-12,2W,T,"21°31'46""RT",SC+3,27,T11-T12,236.6116388,2.48,26,8.234258857,77.26136997,GOOD,AVAILABLE,Lt Line,Road,Plain Land,"SC Line,Road , lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26136997 8.234258857, 77.26372193 8.233679466)"
13,T.No-13,,T,"81°07'26""RT",SC+0,24,T12-T13,267.0405374,2.54,27,8.233679466,77.26372193,GOOD,AVAILABLE,,,Agri Land,"SC Line,banana gradan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26372193 8.233679466, 77.26351272 8.231302974)"
14,T.No-14,,T,"02°46'51""LT",SB+0,22,T13-T14,263.9399426,2.78,30,8.231302974,77.26351272,GOOD,AVAILABLE,,,Agri Land,"SC Line,banana gradan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26351272 8.231302974, 77.26341281 8.228856438)"
15,T.No-15,,T,"61°21'23""RT",SC,24,T14-T15,270.9039572,2.82,30,8.228856438,77.26341281,GOOD,AVAILABLE,Lt Line,,Plain Land,"SC Line,LT Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26341281 8.228856438, 77.26189066 8.228106541)"
16,T.No-16,2W,T,"07°04'36""LT",SB+3,25,T15-T16,187.1684324,2.63,27,8.228106541,77.26189066,GOOD,AVAILABLE,Lt Line,"Road, Pond",Plain Land,"lt Line,  Road , Pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26189066 8.228106541, 77.25998361 8.22685426)"
17,T.No-17,,T,"68°14'08""LT",SC+0,24,T16-T17,251.7540355,2.76,31,8.22685426,77.25998361,GOOD,AVAILABLE,,,Plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25998361 8.22685426, 77.26032252 8.225213298)"
18,T.No-18,2W,T,"73°55'10""RT",SC+0,24,T17-T18,185.3550502,2.32,27,8.225213298,77.26032252,GOOD,AVAILABLE,,,Plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26032252 8.225213298, 77.25879673 8.224415019)"
19,T.No-19,,T,"43°25'59""LT",SC+3,27,T18-T19,189.9579915,2.92,22,8.224415019,77.25879673,GOOD,AVAILABLE,Lt Line,"River, Road",Agri Land,"banana gradan,Road, Lt Line, River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25879673 8.224415019, 77.25802023 8.222150301)"
20,T.No-20,,T,"45°18'02""LT",SC+0,24,T19-T20,264.7788702,2.81,27,8.222150301,77.25802023,GOOD,AVAILABLE,,,Plain Land,SC Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25802023 8.222150301, 77.25913201 8.21992304)"
21,T.No-21,,T,"15°49'26""RT",SB+0,22,T20-T21,275.2061807,2.92,27,8.21992304,77.25913201,GOOD,AVAILABLE,,,Plain Land,SC Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25913201 8.21992304, 77.25944851 8.21824098)"
22,T.No-22,,T,"15°49'36""LT",SB+0,22,T21-T22,189.3403349,2.77,29,8.21824098,77.25944851,GOOD,AVAILABLE,,,Plain Land,SC Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25944851 8.21824098, 77.26029072 8.216553924)"
23,T.No-23,,T,"25°45'22""RT",SC+0,24,T22-T23,208.4618642,2.48,21,8.216553924,77.26029072,GOOD,AVAILABLE,,Odai (Nala),Plain Land,Sc Line Odai(nala),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26029072 8.216553924, 77.26031486 8.214550641)"
24,T.No-24,,T,"14°45'49""RT",SB+0,22,T23-T24,221.6545067,2.74,23,8.214550641,77.26031486,GOOD,AVAILABLE,,,Agri Land,SC Line banana gradan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26031486 8.214550641, 77.25997355 8.213194424)"
25,T.No-25,,T,"14°25'35""RT",SB+3,25,T24-T25,154.6937869,2.67,25,8.213194424,77.25997355,GOOD,AVAILABLE,,"Odai (Nala), Road",Plain Land,"Sc Line,Road,Odai( nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25997355 8.213194424, 77.25773994 8.209096254)"
26,T.No-26,,T,"09°50'17""LT",SB+0,22,T25-T26,515.9465968,2.42,25,8.209096254,77.25773994,GOOD,AVAILABLE,,Odai (Nala),Plain Land,"Sc Line,Odai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25773994 8.209096254, 77.25726686 8.207700865)"
27,T.No-27,,T,"89°48'48""LT",SC+0,24,T26-T27,162.951755,2.54,23,8.207700865,77.25726686,GOOD,AVAILABLE,,,Plain Land,SC Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25726686 8.207700865, 77.25871141 8.2072095)"
28,T.No-28,,T,"34°52'14""RT",SC+0,24,T27-T28,168.252365,2.95,22,8.2072095,77.25871141,GOOD,AVAILABLE,,,Plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25871141 8.2072095, 77.25984715 8.205667957)"
29,T.No-29,,T,"56°17'39""LT",SC+3,27,T28-T29,211.5655042,2.69,22,8.205667957,77.25984715,GOOD,AVAILABLE,Lt Line,Road,Plain Land,"well ,Road, Lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25984715 8.205667957, 77.26213675 8.205770466)"
30,T.No-30,,T,"21°36'30""RT",SC+0,24,T29-T30,252.6328015,2.8,29,8.205770466,77.26213675,GOOD,AVAILABLE,,,Plain Land,SC Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26213675 8.205770466, 77.26416316 8.205073902)"
31,T.No-31LILO (110kV chemponvilai to nagarcoil),,T,"03°07'58""LT",SB+0,22,T30-T31,236.2868765,2.65,41,8.205073902,77.26416316,GOOD,AVAILABLE,,,Plain Land,LILO (110kV chemponvilai to nagarcoil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26416316 8.205073902, 77.26626565 8.204477084)"
32,T.No-32,,T,"80°32'10""RT",SC+3,27,T31-T32,240.977117,2.39,43,8.204477084,77.26626565,GOOD,AVAILABLE,"Lt line-2Nos, 11KV Line",Road,Plain Land,"Road,Lt line-2Nos, 11KV Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26626565 8.204477084, 77.26605311 8.202600636)"
33,T.No-33,,T,"16°57'18""RT",SC+0,24,T32-T33,208.9248076,2.89,47,8.202600636,77.26605311,GOOD,AVAILABLE,,,Plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26605311 8.202600636, 77.26598102 8.202434713)"
Gantry,Chemponvilai,2W,,,,,T33- Chemponvilai Gantry,20.00326393,2.78,43,8.202434713,77.26598102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
