,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-10,DA,S,26,9-10,277.91545476997135,7.08,152,,8.94803767,77.3098421,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3098421 8.94803767, 77.31146802 8.94641874)"
12,T.NO-11,DC,T,26,10-11,253.14817795117546,AT PRESENT WATER,149,"28°47'57.09""",8.94641874,77.31146802,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31146802 8.94641874, 77.3120908 8.94428187)"
13,T.NO-12,DA,S,26,11-12,246.16254792311523,3.68,151,,8.94428187,77.3120908,GOOD,GOOD,NO,"2nos LT,11KV","TAAR ROAD,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3120908 8.94428187, 77.31265012 8.94217251)"
14,T.NO-13,DA,S,26,12-13,241.36694056974744,-,152,,8.94217251,77.31265012,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31265012 8.94217251, 77.31328055 8.93980965)"
15,T.NO-14,DA,S,26,13-14,270.4847500322338,-,154,,8.93980965,77.31328055,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31328055 8.93980965, 77.31392859 8.93735629)"
16,T.NO-15,DA,S,26,14-15,280.6599365780588,-,158,,8.93735629,77.31392859,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31392859 8.93735629, 77.31450414 8.93493954)"
17,T.NO-16,DB,T,24,15-16,274.79810770818636,3.1,161,"3°8'20.95""",8.93493954,77.31450414,GOOD,GOOD,NO,11KV ,TAAROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31450414 8.93493954, 77.31519835 8.93260338)"
18,T.NO-17,DA,S,26,16-17,269.5329293425944,3.62,166,,8.93260338,77.31519835,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31519835 8.93260338, 77.31582803 8.93012303)"
19,T.NO-18,DA,S,26,17-18,283.0494656416083,4.17,163,,8.93012303,77.31582803,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31582803 8.93012303, 77.31649468 8.92774186)"
20,T.NO-19,DA,S,26,18-19,273.4849173172078,3.37,157,,8.92774186,77.31649468,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31649468 8.92774186, 77.31708879 8.92538826)"
21,T.NO-20,DA,S,26,19-20,268.4939477902621,6.15,163,,8.92538826,77.31708879,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31708879 8.92538826, 77.31772822 8.9230163)"
22,T.NO-21,DB,T,24,20-21,271.7130839691015,5.73,161,"0°5'37.59""",8.9230163,77.31772822,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31772822 8.9230163, 77.31841195 8.92046331)"
23,T.NO-22,DA,S,26,21-22,292.32345099221857,5.32,154,,8.92046331,77.31841195,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31841195 8.92046331, 77.31917514 8.91753926)"
24,T.NO-23,DA,S,26,22-23,334.2528982671654,2.62,163,,8.91753926,77.31917514,GOOD,GOOD,NO,"2nos LT,11KV","TAAR ROAD,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31917514 8.91753926, 77.31987726 8.91502231)"
25,T.NO-24,DA,S,26,23-24,289.0069203323685,4.6,164,,8.91502231,77.31987726,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31987726 8.91502231, 77.32055103 8.91233381)"
26,T.NO-25,DA,S,26,24-25,306.5697310564107,4.87,161,,8.91233381,77.32055103,GOOD,GOOD,NO,,CANAL,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32055103 8.91233381, 77.32119827 8.90976297)"
27,T.NO-26,DC,T,26,25-26,293.2319900692965,4.6,171,"17°42'34.68""",8.90976297,77.32119827,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32119827 8.90976297, 77.32265584 8.90742206)"
28,T.NO-27,DA,S,26,26-27,304.6440545948665,3.4,170,,8.90742206,77.32265584,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32265584 8.90742206, 77.32404075 8.90509064)"
29,T.NO-28,DA,S,26,27-28,299.60807732769825,6.17,169,,8.90509064,77.32404075,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32404075 8.90509064, 77.32528166 8.90298607)"
30,T.NO-29,DA,S,26,28-29,269.94073423623934,4.41,176,,8.90298607,77.32528166,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32528166 8.90298607, 77.32653188 8.90091759)"
31,T.NO-30,DA,S,26,29-30,267.02996086581743,4.64,176,,8.90091759,77.32653188,GOOD,GOOD,NO,,"CANAL,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32653188 8.90091759, 77.32778173 8.89879489)"
32,T.NO-31,DB,T,24,30-31,272.1709021919867,4.24,168,"0°24'20.96""",8.89879489,77.32778173,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32778173 8.89879489, 77.32893247 8.89680837)"
33,T.NO-32,DA,S,26,31-32,253.6631624812716,4.71,170,,8.89680837,77.32893247,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32893247 8.89680837, 77.33017391 8.89479417)"
34,T.NO-33,DA,S,26,32-33,261.3962509295036,4.42,172,,8.89479417,77.33017391,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33017391 8.89479417, 77.33134291 8.89282562)"
35,T.NO-34,DA,S,26,33-34,252.96047122030745,4.67,166,,8.89282562,77.33134291,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33134291 8.89282562, 77.33253003 8.89084791)"
36,T.NO-35,DA,S,26,34-35,254.8489748851268,3.17,166,,8.89084791,77.33253003,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33253003 8.89084791, 77.33381601 8.88869786)"
37,T.NO-36,DB,T,24,35-36,276.79956647364895,,158,"5°5'52.28""",8.88869786,77.33381601,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33381601 8.88869786, 77.33490142 8.88644965)"
38,T.NO-37,DA,S,26,36-37,275.94383486499567,4.12,158,,8.88644965,77.33490142,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33490142 8.88644965, 77.33605946 8.88419195)"
39,T.NO-38,DA,S,26,37-38,280.43180989324304,4.12,163,,8.88419195,77.33605946,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33605946 8.88419195, 77.33722583 8.8818167)"
40,T.NO-39,DA,S,26,38-39,292.4790590794493,INSIDE WATER,175,,8.8818167,77.33722583,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33722583 8.8818167, 77.33845581 8.87944105)"
41,T.NO-40,DA,S,26,39-40,295.6568957423452,4.1,156,,8.87944105,77.33845581,GOOD,GOOD,NO,"11KV,LT","MUDROAD,TAAR ROAD,2nos CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33845581 8.87944105, 77.3396497 8.87711082)"
42,T.NO-41,DA,S,26,40-41,289.3751889848195,3.17,152,,8.87711082,77.3396497,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3396497 8.87711082, 77.34080713 8.87476274)"
43,T.NO-42,DB,T,24,41-42,289.34754189382704,2.72,152,"0°37'53.86""",8.87476274,77.34080713,GOOD,GOOD,NO,"11KV,2nos LT",MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34080713 8.87476274, 77.34196494 8.87247793)"
44,T.NO-43,DA,S,26,42-43,283.0989226401259,INSIDE WATER,149,,8.87247793,77.34196494,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34196494 8.87247793, 77.34318583 8.87011137)"
45,T.NO-44,DA,S,26,43-44,294.3076621496627,3.74,151,,8.87011137,77.34318583,GOOD,GOOD,NO,11KV,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34318583 8.87011137, 77.34421766 8.86802618)"
46,T.NO-45,DA,S,26,44-45,257.14781741247583,3.47,152,,8.86802618,77.34421766,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34421766 8.86802618, 77.34546545 8.86560523)"
47,T.NO-46,DA,S,26,45-46,301.01494979485653,3.45,139,,8.86560523,77.34546545,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34546545 8.86560523, 77.34658629 8.86323027)"
48,T.NO-47,DA,S,26,46-47,290.2912330746487,4.17,137,,8.86323027,77.34658629,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34658629 8.86323027, 77.34772662 8.86106305)"
49,T.NO-48,DD,T,28,47-48,270.64737205448716,4.4,138,"2°10'4.24""",8.86106305,77.34772662,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34772662 8.86106305, 77.34883104 8.85896837)"
50,T.NO-49,DA,S,26,48-49,261.70594185077266,4.92,137,,8.85896837,77.34883104,GOOD,GOOD,NO,"2nos LT,11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34883104 8.85896837, 77.3497275 8.85703767)"
51,T.NO-50,DA,S,26,49-50,235.30618351416098,3.83,133,,8.85703767,77.3497275,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3497275 8.85703767, 77.35093945 8.85470732)"
52,T.NO-51,DA,S,26,50-51,290.29984498790213,3.82,133,,8.85470732,77.35093945,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35093945 8.85470732, 77.35173812 8.85312067)"
53,T.NO-52,DA,S,26,51-52,196.33135256499406,4.18,132,,8.85312067,77.35173812,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35173812 8.85312067, 77.35285045 8.85084518)"
54,T.NO-53,DA,S,26,52-53,279.95892555873263,5.08,128,,8.85084518,77.35285045,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35285045 8.85084518, 77.35389099 8.84871474)"
55,T.NO-54,DB,T,24,53-54,262.070601174569,4.12,122,"3°20'31.92""",8.84871474,77.35389099,GOOD,GOOD,NO,LT,2nOS MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35389099 8.84871474, 77.35492433 8.8468826)"
56,T.NO-55,DA,S,26,54-55,232.44139046219803,4.36,125,,8.8468826,77.35492433,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35492433 8.8468826, 77.35613439 8.84426305)"
57,T.NO-56,DA,S,26,55-56,318.97648816174524,3.55,129,,8.84426305,77.35613439,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35613439 8.84426305, 77.35733725 8.8419418)"
58,T.NO-57,DA,S,26,56-57,288.9498226336192,3.1,122,,8.8419418,77.35733725,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35733725 8.8419418, 77.35862102 8.83948447)"
59,T.NO-58,DA,S,26,57-58,306.41475160311717,INSIDE WATER,126,,8.83948447,77.35862102,GOOD,GOOD,NO,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35862102 8.83948447, 77.35955345 8.83750835)"
60,T.NO-59,DB,T,27,58-59,241.5367466867102,INSIDE WATER,177,"5°3'43.67""",8.83750835,77.35955345,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35955345 8.83750835, 77.36034447 8.83615674)"
61,T.NO-60,DD,T,31,59-60,173.04623659588788,INSIDE WATER,116,"40°14'12.23""",8.83615674,77.36034447,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36034447 8.83615674, 77.3625838 8.83536538)"
62,T.NO-61,DC,T,39,60-61,261.5434954266689,INSIDE WATER,177,"23°45'20.84""",8.83536538,77.3625838,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3625838 8.83536538, 77.36532012 8.83556503)"
63,T.NO-62,DA,S,39,61-62,301.95529470436514,4.3,118,,8.83556503,77.36532012,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36532012 8.83556503, 77.36808421 8.83584582)"
64,T.NO-63,DA,S,29,62-63,305.785872793365,5.56,120,,8.83584582,77.36808421,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36808421 8.83584582, 77.37040222 8.83599385)"
65,T.NO-64,DC,T,26,63-64,255.63450471327224,5.3,112,"21°28'34.18""",8.83599385,77.37040222,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37040222 8.83599385, 77.37240724 8.83693012)"
66,T.NO-65,DB,T,24,64-65,243.77243486497812,5.44,118,"1°14'36.95""",8.83693012,77.37240724,GOOD,GOOD,NO,2nos  11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37240724 8.83693012, 77.37444838 8.83783001)"
67,T.NO-66,DA,S,26,65-66,245.7173172570464,3.17,119,,8.83783001,77.37444838,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37444838 8.83783001, 77.3765709 8.83866609)"
68,T.NO-67,DA,S,26,66-67,251.24689052802225,5.17,122,,8.83866609,77.3765709,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3765709 8.83866609, 77.37908476 8.8395991)"
69,T.NO-68,DA,S,26,67-68,295.29815441346733,4.12,120,,8.8395991,77.37908476,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37908476 8.8395991, 77.38061664 8.84042987)"
70,T.NO-69,DB,T,24,68-69,192.02343606966312,5.12,120,"2°20'45.18""",8.84042987,77.38061664,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38061664 8.84042987, 77.3828058 8.84173545)"
71,T.NO-70,DC,T,26,69-70,280.9199174141983,4.1,119,"28°45'26.62""",8.84173545,77.3828058,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3828058 8.84173545, 77.38382375 8.84177416)"
72,T.NO-71,DB,T,24,70-71,112.11155159036913,2.95,124,"12°51'39.59""",8.84177416,77.38382375,GOOD,GOOD,YES,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38382375 8.84177416, 77.38412324 8.84171803)"
73,GANTRY 110KV KADAYAM,GANTRY,GANTRY,20,71-GANTRY,33.54101966249684,,125,,8.84171803,77.38412324,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,=SUM(G7:G78),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
