,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-10,,DA,S,26,09-Oct,180.2054383,2.22,218,,9.17782552,77.38282708,GOOD,GOOD,NO,,"MUDROAD,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38282708 9.17782552, 77.38326636 9.17959398)"
12,T.NO-11,,DA,S,26,10-Nov,201.5564437,1.74,217,,9.17959398,77.38326636,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38326636 9.17959398, 77.38379961 9.18181369)"
13,T.NO-12,,DA,S,26,11-Dec,252.5173261,1.76,217,,9.18181369,77.38379961,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38379961 9.18181369, 77.3843507 9.18397906)"
14,T.NO-13,,DB,T,24,Dec-13,247.145706,2.25,213,"8°34'44.62""",9.18397906,77.3843507,GOOD,GOOD,NO,,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3843507 9.18397906, 77.38459457 9.18644469)"
15,T.NO-14,,DA,S,26,13-14,274.1422988,3.86,210,,9.18644469,77.38459457,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38459457 9.18644469, 77.38497403 9.18878289)"
16,T.NO-15,,DB,T,24,14-15,262.0706012,1.59,208,"3°58'33.31""",9.18878289,77.38497403,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38497403 9.18878289, 77.38517033 9.19093253)"
17,T.NO-16,,DA,S,26,15-16,238.8388578,2.13,205,,9.19093253,77.38517033,GOOD,GOOD,NO,11KV,"MUDROAD,TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38517033 9.19093253, 77.38544945 9.19322621)"
18,T.NO-17,,DA,S,26,16-17,255.6501516,4.09,202,,9.19322621,77.38544945,GOOD,GOOD,NO,"11KV,LT","NALA,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38544945 9.19322621, 77.38568456 9.19573708)"
19,T.NO-18,2W,DB,T,24,17-18,279.0340481,AT PRESENT WATER,200,"7°29'10.56""",9.19573708,77.38568456,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38568456 9.19573708, 77.38603126 9.19725308)"
20,T.NO-19,,DA,S,26,18-19,172.0261608,AT PRESENT WATER,205,,9.19725308,77.38603126,GOOD,GOOD,NO,LT,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38603126 9.19725308, 77.38652796 9.19943687)"
21,T.NO-20,,DA,S,26,19-20,247.7357463,AT PRESENT WATER,205,,9.19943687,77.38652796,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38652796 9.19943687, 77.3870066 9.20163885)"
22,T.NO-21,,DA,S,26,20-21,249.2729428,2.87,205,,9.20163885,77.3870066,GOOD,GOOD,NO,,"MUDROAD,NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3870066 9.20163885, 77.38748471 9.20375949)"
23,T.NO-22,,DA,S,26,21-22,240.4703724,3.18,209,,9.20375949,77.38748471,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38748471 9.20375949, 77.38796416 9.20607895)"
24,T.NO-23,,DA,S,26,22-23,262.0114501,3.67,202,,9.20607895,77.38796416,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38796416 9.20607895, 77.38845119 9.20817242)"
25,T.NO-24,,DB,T,27,23-24,237.7561776,3.93,198,"13°51'45.71""",9.20817242,77.38845119,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38845119 9.20817242, 77.38841986 9.21027836)"
26,T.NO-25,,DD,T,31,24-25,233.0536419,4.68,200,"35°31'31.18""",9.21027836,77.38841986,GOOD,GOOD,NO,"LT,11KV",NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38841986 9.21027836, 77.3896414 9.21203256)"
27,T.NO-26,,DD,T,31,25-26,236.0381325,3.35,194,"41°32'16.30""",9.21203256,77.3896414,GOOD,GOOD,NO,,"TAARROAD,NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3896414 9.21203256, 77.3894432 9.21366966)"
28,T.NO-27,,DA,S,39,26-27,182.455474,1.98,194,,9.21366966,77.3894432,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3894432 9.21366966, 77.38926417 9.21545123)"
29,T.NO-28,,DC,T,26,27-28,198.1161276,1.31,194,"16°32'40.57""",9.21545123,77.38926417,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38926417 9.21545123, 77.38960346 9.21721128)"
30,T.NO-29,,DA,S,26,28-29,198.2952344,2.81,196,,9.21721128,77.38960346,GOOD,GOOD,NO,,"MUDROAD,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38960346 9.21721128, 77.38970542 9.21884639)"
31,T.NO-30,,DC,T,26,29-30,181.2760326,4.49,194,"25°21'18.95""",9.21884639,77.38970542,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38970542 9.21884639, 77.39057093 9.22040412)"
32,T.NO-31,,DA,S,26,30-31,196.8882932,AT PRESENT WATER,197,,9.22040412,77.39057093,GOOD,GOOD,NO,,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39057093 9.22040412, 77.39139365 9.22235978)"
33,T.NO-32,2W,DB,T,24,31-32,234.5421071,1.78,195,"0°49'38.91""",9.22235978,77.39139365,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39139365 9.22235978, 77.39216144 9.22426158)"
34,T.NO-33,,DA,S,26,32-33,226.737734,2.64,194,,9.22426158,77.39216144,GOOD,GOOD,NO,,LT,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39216144 9.22426158, 77.39304871 9.22634332)"
35,T.NO-34,,DA,S,26,33-34,250.1539526,2.93,191,,9.22634332,77.39304871,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39304871 9.22634332, 77.39365377 9.22839079)"
36,T.NO-35,,DA,S,26,34-35,236.1228494,2.78,192,,9.22839079,77.39365377,GOOD,GOOD,NO,,LT,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39365377 9.22839079, 77.39456774 9.23038198)"
37,T.NO-36,,DA,S,26,35-36,242.1611034,2.16,193,,9.23038198,77.39456774,GOOD,GOOD,NO,,LT,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39456774 9.23038198, 77.39543752 9.23256324)"
38,T.NO-37,,DA,S,26,36-37,259.6150997,2.76,191,,9.23256324,77.39543752,GOOD,GOOD,NO,,LT,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39543752 9.23256324, 77.39619676 9.23453737)"
39,T.NO-38,,DA,S,26,37-38,233.8482414,3.78,191,,9.23453737,77.39619676,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39619676 9.23453737, 77.39699264 9.2365474)"
40,T.NO-39,,DC,T,26,38-39,239.0083681,3.04,190,"19°2'22.07""",9.2365474,77.39699264,GOOD,GOOD,NO,,LT,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39699264 9.2365474, 77.39846878 9.23826369)"
41,T.NO-40,,DA,S,26,39-40,249.8039231,AT PRESENT WATER,190,,9.23826369,77.39846878,GOOD,MISSING,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39846878 9.23826369, 77.3997804 9.23986358)"
42,T.NO-41,,DA,S,26,40-41,228.3265206,2.99,187,,9.23986358,77.3997804,GOOD,MISSING,NO,,2nos LT,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3997804 9.23986358, 77.4013667 9.24172371)"
43,T.NO-42,,DD,T,28,41-42,269.7739795,3.16,188,"36°43'8.51""",9.24172371,77.4013667,GOOD,MISSING,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4013667 9.24172371, 77.40151975 9.24417182)"
44,T.NO-43,,DA,S,26,42-43,271.4148117,2.21,186,,9.24417182,77.40151975,GOOD,GOOD,NO,"LT,11KV","TAAR ROAD,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40151975 9.24417182, 77.40174392 9.24637544)"
45,T.NO-44,,DA,S,29,43-44,245.0816191,2.69,187,,9.24637544,77.40174392,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40174392 9.24637544, 77.4019971 9.24883191)"
46,T.NO-45,,DA,S,29,44-45,273.2398214,3.18,189,,9.24883191,77.4019971,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4019971 9.24883191, 77.40217371 9.25072858)"
47,T.NO-46,,DC,T,26,45-46,210.7700168,1.23,185,"21°41'50.87""",9.25072858,77.40217371,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40217371 9.25072858, 77.40160455 9.25264832)"
48,T.NO-47,,DA,S,26,46-47,221.4497686,4.78,183,,9.25264832,77.40160455,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40160455 9.25264832, 77.40081055 9.25494913)"
49,T.NO-48,,DA,S,26,47-48,269.1412269,3.51,185,,9.25494913,77.40081055,GOOD,GOOD,NO,"LT,11KV","NALA,MUDROAD",INSIDE COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40081055 9.25494913, 77.40008809 9.25706872)"
50,T.NO-49,,DD,T,28,48-49,247.6226969,2.82,187,"43°18'9.96""",9.25706872,77.40008809,GOOD,GOOD,NO,"LT,11KV",,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40008809 9.25706872, 77.4006236 9.25823095)"
51,T.NO-50/51 LILO TO 110KV NARNAPURAM,3W,DC,T,26,49-50/51,141.4390328,2.99,189,"26°3'51.70""",9.25823095,77.4006236,GOOD,GOOD,NO,"LT,11KV",MUDROAD,PLAINLAND,NEED 3WAY JUNTION BOX.2 EARTH WIRE ON THIS TOWER .1 IS CONTINUE TO OUR T.NO-50 ANOTHER EARTH WIRE CONNECTED TO NARNAPURAM T.NO-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4006236 9.25823095, 77.40056598 9.26046357)"
52,T.NO-50,,DA,S,26,50/51-50,247.1295207,AT PRESENT WATER,187,,9.26046357,77.40056598,GOOD,GOOD,NO,"LT,1KV","CANAL,NALA",INSIDEPOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40056598 9.26046357, 77.40028827 9.26243558)"
53,T.NO-49,,DA,S,26,50-49,220.3361069,HEAVY BUSHES,186,,9.26243558,77.40028827,GOOD,GOOD,NO,,,PLAINLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40028827 9.26243558, 77.4002159 9.2651744)"
54,T.NO-48,,DA,S,26,49-48,303.1649716,3.31,186,,9.2651744,77.4002159,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4002159 9.2651744, 77.40006978 9.26776911)"
55,T.NO-47,,DA,S,26,48-47,287.5639059,3.69,186,,9.26776911,77.40006978,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40006978 9.26776911, 77.39999668 9.27039947)"
56,T.NO-46,,DA,S,26,47-46,291.1717706,2.76,186,,9.27039947,77.39999668,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39999668 9.27039947, 77.39981972 9.27247022)"
57,T.NO-45,,DC,T,26,46-45,229.9608662,3.11,187,"29°28'2.24""",9.27247022,77.39981972,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39981972 9.27247022, 77.40081693 9.2746325)"
58,T.NO-44,,DA,S,26,45-44,263.1805464,4.74,189,,9.2746325,77.40081693,GOOD,GOOD,NO,,"MUDROAD,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40081693 9.2746325, 77.40189684 9.27691171)"
59,T.NO-43,,DA,S,26,44-43,278.7436098,1.92,189,,9.27691171,77.40189684,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40189684 9.27691171, 77.40308906 9.27965105)"
60,T.NO-42,,DB,T,24,43-42,330.2377931,2.33,191,"4°29'46.05""",9.27965105,77.40308906,GOOD,GOOD,NO,LT,"NALA,MUDROAD",CULTIVATION,"EARTH WIRE OVER SAG,HEAVY BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40308906 9.27965105, 77.40394293 9.28213058)"
61,T.NO-41,,DA,S,26,42-41,289.9810339,2.07,191,,9.28213058,77.40394293,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40394293 9.28213058, 77.40478852 9.28472765)"
62,T.NO-40,,DA,S,26,41-40,302.0347662,2.66,190,,9.28472765,77.40478852,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40478852 9.28472765, 77.40564384 9.28741502)"
63,T.NO-39,2W,DC,T,26,40-39,311.8781813,2.97,192,"15°52'9.94""",9.28741502,77.40564384,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40564384 9.28741502, 77.40571489 9.28982751)"
64,T.NO-38,,DA,S,26,39-38,267.0674072,4.51,187,,9.28982751,77.40571489,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40571489 9.28982751, 77.4058682 9.29229367)"
65,T.NO-37,,DA,S,26,38-37,273.4117774,4.23,188,,9.29229367,77.4058682,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4058682 9.29229367, 77.40601328 9.29488641)"
66,T.NO-36,,DA,S,26,37-36,287.3412605,4.78,188,,9.29488641,77.40601328,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40601328 9.29488641, 77.40616121 9.29789484)"
67,T.NO-35,,DA,S,32,36-35,333.2941644,4.39,188,,9.29789484,77.40616121,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40616121 9.29789484, 77.40630276 9.30130096)"
68,T.NO-34,,DA,S,32,35-34,377.2240713,5.11,188,,9.30130096,77.40630276,GOOD,GOOD,NO,LT,RIVER,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40630276 9.30130096, 77.40644651 9.30369489)"
69,T.NO-33,,DB,T,24,34-33,265.3695536,4.27,189,"9°50'38.98""",9.30369489,77.40644651,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40644651 9.30369489, 77.40694303 9.30578819)"
70,T.NO-32,,DA,S,26,33-32,237.9768896,5.67,189,,9.30578819,77.40694303,GOOD,GOOD,NO,"11KV,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40694303 9.30578819, 77.4073531 9.30854181)"
71,T.NO-31,,DA,S,26,32-31,308.0162333,4.39,185,,9.30854181,77.4073531,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4073531 9.30854181, 77.40792601 9.31115876)"
72,T.NO-30,,DA,S,26,31-30,296.3460815,3.48,186,,9.31115876,77.40792601,GOOD,GOOD,NO,"11KV,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40792601 9.31115876, 77.40838951 9.3137403)"
73,T.NO-29,,DA,S,26,30-29,290.1671932,4.01,182,,9.3137403,77.40838951,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40838951 9.3137403, 77.40885365 9.3164122)"
74,T.NO-28,,DA,S,26,29-28,300.028332,3.45,182,,9.3164122,77.40885365,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40885365 9.3164122, 77.40930801 9.31898476)"
75,T.NO-27,,DB,T,24,28-27,289.0138405,2.94,182,"10°2'49.13""",9.31898476,77.40930801,GOOD,GOOD,NO,LT,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40930801 9.31898476, 77.4100776 9.32108524)"
76,T.NO-26,2W,DB,T,24,27-26,247.3418687,3.76,179,"14°18'7.08""",9.32108524,77.4100776,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4100776 9.32108524, 77.41033152 9.32361397)"
77,T.NO-25,,DA,S,26,26-25,281.2045519,4.18,182,,9.32361397,77.41033152,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41033152 9.32361397, 77.41055881 9.3249138)"
78,T.NO-24,,DA,S,32,25-24,145.9863007,4.57,184,,9.3249138,77.41055881,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41055881 9.3249138, 77.41086535 9.32715297)"
79,T.NO-23,,DA,S,32,24-23,250.0559937,AT PRESENT WATER,187,,9.32715297,77.41086535,GOOD,GOOD,NO,,RIVER,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41086535 9.32715297, 77.41119171 9.32962697)"
80,T.NO-22,,DA,S,26,23-22,276.1014306,3.83,187,,9.32962697,77.41119171,GOOD,GOOD,NO,,"CANAL,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41119171 9.32962697, 77.41133262 9.33159615)"
81,T.NO-21,,DA,S,26,22-21,218.4490787,4.26,186,,9.33159615,77.41133262,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41133262 9.33159615, 77.41178942 9.33451209)"
82,T.NO-20,,DC,T,26,21-20,326.547087,2.81,186,"15°6'4.78""",9.33451209,77.41178942,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41178942 9.33451209, 77.41146394 9.33746045)"
83,T.NO-19,,DA,S,26,20-19,328.2072516,2.63,187,,9.33746045,77.41146394,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41146394 9.33746045, 77.41119138 9.34016445)"
84,T.NO-18,,DB,T,24,19-18,300.7074991,2.93,188,"12°19'34.36""",9.34016445,77.41119138,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41119138 9.34016445, 77.41027343 9.3429632)"
85,T.NO-17,,DA,S,26,18-17,325.714599,2.67,190,,9.3429632,77.41027343,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41027343 9.3429632, 77.40931927 9.34578931)"
86,T.NO-16,,DD,T,31,17-16,329.8378389,3.68,187,"46°39'35.54""",9.34578931,77.40931927,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40931927 9.34578931, 77.41054514 9.34806743)"
87,T.NO-15,,DA,S,29,16-15,285.82862,3.16,187,,9.34806743,77.41054514,GOOD,GOOD,NO,"2nos LT,11KV","TAAR ROAD,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41054514 9.34806743, 77.41189168 9.35068813)"
88,T.NO-14,2W,DD,T,31,15-14,325.5718047,3.41,189,"41°29'11.42""",9.35068813,77.41189168,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41189168 9.35068813, 77.41452848 9.35171852)"
89,T.NO-13,,DA,S,26,14-13,311.4113036,4.88,181,,9.35171852,77.41452848,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41452848 9.35171852, 77.41687399 9.35273279)"
90,T.NO-12,,DA,S,26,13-Dec,281.1494265,HEAVY BUSHES,180,,9.35273279,77.41687399,GOOD,GOOD,NO,,,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41687399 9.35273279, 77.41908235 9.35364857)"
91,T.NO-11,,DA,S,26,12-Nov,263.0076045,AT PRESENT WATER,179,,9.35364857,77.41908235,GOOD,GOOD,NO,LT,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41908235 9.35364857, 77.42160114 9.35471585)"
92,T.NO-10,,DC,T,26,11-Oct,300.9584689,HEAVY BUSHES,178,"19°59'26.05""",9.35471585,77.42160114,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42160114 9.35471585, 77.42397695 9.35484422)"
