SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER Tower No,SPAN LENGTH,GROUND ELEVATION,,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),EARTH FOOTING RESIDENCE OF TOWER (OHMS),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,T.No-16,,S,,SA+3,27,T15-T16,243.8548702,127,,8.376506,77.58048,Good,Good,11KV-1,Nill,Plain,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58048 8.376506, 77.58011 8.374395)"
18,T.No-17,2W,T,"26°06'06""LT",SC+0,24,T16-T17,237.2630756,127,,8.374395,77.58011,Good,Good,Nill,Nill,Agri land,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58011 8.374395, 77.58065 8.372021)"
19,T.No-18,,S,,SA+3,25,T17-T18,269.2743757,127,,8.372021,77.58065,Good,Good,LT-2,Nill,Plain,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58065 8.372021, 77.58124 8.369817)"
20,T.No-19,,S,,SA+6,30,T18-T19,252.5418334,128,,8.369817,77.58124,Good,Good,"LT-2,33KV -1",Nill,Plain,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58124 8.369817, 77.58155 8.367582)"
21,T.No-20,,S,,SA+0,24,T19-T20,249.6486558,128,,8.367582,77.58155,Good,Good,Nill,bund (oodai),Plain,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58155 8.367582, 77.5819 8.36536)"
22,T.No-21,,S,,SA+0,24,T20-T21,248.9983021,125,,8.36536,77.5819,Good,Good,Nill,bund (oodai),Plain,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5819 8.36536, 77.58301 8.363027)"
23,T.No-22,,S,,SA+0,24,T21-T22,285.3745592,127,,8.363027,77.58301,Good,Good,Nill,Nill,Plain,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58301 8.363027, 77.58361 8.360549)"
24,T.No-23,,S,,SA+0,24,T22-T23,282.2611451,118,,8.360549,77.58361,Good,Good,LT-1,Nill,Plain,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58361 8.360549, 77.58418 8.358613)"
25,T.No-24,,T,"24°40'42""RT",SC+3,27,T23-T24,223.1367481,120,,8.358613,77.58418,Good,Good,"LT-1,11KV-1",Road,Plain,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58418 8.358613, 77.58373 8.356167)"
26,T.No-25,,S,,SA+0,24,T24-T25,275.1874891,117,,8.356167,77.58373,Good,Good,Nill,Nill,Plain,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58373 8.356167, 77.58336 8.353722)"
27,T.No-26,,S,,SA+0,24,T25-T26,273.5312588,111,,8.353722,77.58336,Good,Good,LT-1,Nill,Plain,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58336 8.353722, 77.58298 8.351556)"
28,T.No-27,,S,,SA+0,24,T26-T27,243.4397638,113,,8.351556,77.58298,Good,Good,LT-1,Road,Plain,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58298 8.351556, 77.58254 8.349366)"
29,T.No-28,,T,"03°14'51""RT",SB+0,22,T27-T28,247.0949216,107,,8.349366,77.58254,Good,Good,Nill,Nill,water logged ,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58254 8.349366, 77.58216 8.346915)"
30,T.No-29,,T,"23°08'51""LT",SC+0,24,T28-T29,274.4589145,109,,8.346915,77.58216,Good,Good,Nill,Nill,"Agri land, Water logged",2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58216 8.346915, 77.58287 8.344281)"
31,T.No-30,,S,,SA+0,24,T29-T30,301.7585653,110,,8.344281,77.58287,Good,Good,LT-1,Nill,Plain,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58287 8.344281, 77.58355 8.341553)"
32,T.No-31,,S,,SA+0,24,T30-T31,311.1303468,110,,8.341553,77.58355,Good,Good,LT-1,Well,Plain,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58355 8.341553, 77.58432 8.338939)"
33,T.No-32,,T,"27°09'22""LT",SC+0,24,T31-T32,301.3436462,101,,8.338939,77.58432,Good,Good,LT-1,Well,Plain,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58432 8.338939, 77.58516 8.338038)"
34,T.No-33 LILO (Vallioor TO Panakudi),3W,T,"78°19'49""RT",SD+0,22,T32-T33,136.3546386,101,,8.338038,77.58516,Good,Good,"LT-1,11KV-2",Nill,Plain,4.52,LILO TOWER (VALLIOOR TO PANAGUDI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58516 8.338038, 77.58492 8.337697)"
35,T.No-34,,T,"40°09'48""RT",SD+0,22,T33-T34,46.1748484,100,,8.337697,77.58492,Good,Good,LT-1,Nill,Plain,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58492 8.337697, 77.58196 8.336976)"
36,T.No-35,,S,,SA+6,30,T34-T35,335.6273221,101,,8.336976,77.58196,Good,Good,"LT-133,KV-1",Nill,Plain,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58196 8.336976, 77.57932 8.336276)"
37,T.No-36,,S,,SA+0,24,T35-T36,301.2105115,104,,8.336276,77.57932,Good,Good,LT-1,Nill,Plain,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57932 8.336276, 77.57665 8.33567)"
38,T.No-37,,S,,SA+0,24,T36-T37,301.7330073,103,,8.33567,77.57665,Good,Good,11KV-1,Nill,Plain,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57665 8.33567, 77.57407 8.335035)"
39,T.No-38,,T,"12°46'40""LT",SB+0,22,T37-T38,300,103,,8.335035,77.57407,Good,Good,Nill,Nill,Agri land,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57407 8.335035, 77.57216 8.334154)"
40,T.No-39,,S,,SA+3,27,T38-T39,231.6365072,107,,8.334154,77.57216,Good,Good,Nill,"Nala,Tar Road",water logged ,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57216 8.334154, 77.56927 8.332648)"
41,T.No-40,,S,,SA+6,24,T39-T40,359.6695286,107,,8.332648,77.56927,Good,Good,"LT-2,11KV-2",Tar road,Plain,2.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56927 8.332648, 77.56504 8.330587)"
42,T.No-41,,T,"53°46'39""LT",SD+6,22,T40-T41,519.6044093,107,,8.330587,77.56504,Good,Good,"11KV-2,LT-1",Nala,Plain,2.43,"Brick manufacturing area,Nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56504 8.330587, 77.56458 8.32808)"
43,T.No-42,,T,"03°19'26""RT",SB+0,22,T41-T42,281.9811867,111,,8.32808,77.56458,Good,Good,LT-1,Nill,Plain,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56458 8.32808, 77.56428 8.326541)"
44,T.No-43,,T,"39°18'52""LT",SD+3,24,T42-T43,173.5061846,112,,8.326541,77.56428,Good,Good,11KV-1,Road,Plain,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56428 8.326541, 77.56424 8.326621)"
45,T.No-44,,T,"45°03'26""LT",SD+0,24,T43-T44,9.797585213,114,,8.326621,77.56424,Good,Good,"11KV-1,LT-1",WELL,Plain,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56424 8.326621, 77.56435 8.326518)"
46,Gantry(Anna Nagar),2W,T,-------,------,13,T44-Gantry,16.46888582,112,,8.326518,77.56435,Good,Good,Nill,Nill,Plain,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total km,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
