S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
25,25,,S,DA,26,24-25,264.418824,2.07,FALSE,34.376987,,9.374111111,78.40266667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40266666666668 9.374111111111112, 78.40375 9.372)"
26,26,,T,DB,25,25-26,265,3.72,FALSE,33.719704,"20°54'0""R",9.372,78.40375,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40375 9.372, 78.40575000000001 9.37025)"
27,27,,T,DB,25,26-27,290.6072128,1.95,FALSE,34.147778,"19°2'24""R",9.37025,78.40575,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40575000000001 9.37025, 78.40822222222222 9.369222222222223)"
28,28,,S,DA,26,27-28,300,2.17,FALSE,35.075497,,9.369222222,78.40822222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40822222222222 9.369222222222223, 78.41077777777778 9.368222222222222)"
29,29,,S,DA,26,28-29,305,1.87,0,35.643234,,9.368222222,78.41077778,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41077777777778 9.368222222222222, 78.41333333333334 9.367166666666668)"
30,30,,T,DB,25,29-30,305,2.35,0,33.13591,"23°23'60""L",9.367166667,78.41333333,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41333333333334 9.367166666666668, 78.41508333333334 9.365388888888889)"
31,31,,S,DA,26,30-31,275.2366927,3.1,FALSE,34.032009,,9.365388889,78.41508333,GOOD,Available,400KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41508333333334 9.365388888888889, 78.41605555555556 9.364416666666667)"
32,32,2W,T,DB,25,31-32,152.0095399,1.1,FALSE,34.814518,"22°23'60""R",9.364416667,78.41605556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41605555555556 9.364416666666667, 78.41636111111112 9.364277777777778)"
33,33,,T,H-POLE,12,32-33,37.10932738,NIL,FALSE,34.178867,,9.364277778,78.41636111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41636111111112 9.364277777777778, 78.41658333333334 9.364083333333333)"
34,34,,T,H-POLE,12,33-34,32.28718625,NIL,FALSE,34.00996,,9.364083333,78.41658333,GOOD,NO E/W,(SC) 230 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.41658333333334 9.364083333333333, 78.41686111111112 9.363694444444445)"
