SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,25,,S,,PA,20.9,T24-T25,159.2785358,1.75,73,8.254429139,77.56864384,GOOD,AVAILABLE,"11KV LINE, LT LINE",CART TRACK,AGRI LAND,"SC LINE:  Normal soil, 1 no 11 kv Line , 1 no LT line , cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56864384 8.254429139, 77.5669346 8.253904924)"
11,26,,S,,PA+6,23..9,T25-T26,197.1544771,1.52,74,8.253904924,77.5669346,GOOD,AVAILABLE,LT LINE,NH 45 ROAD,AGRI LAND,"SC LINE    1 nos LT , NH 45 ( KANYAKUMARI - MADURI ) ROAD , Normal soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5669346 8.253904924, 77.5642192 8.253127569)"
12,27,,T,"27°06'12""RT",PC+3,24.65,T26-T27,311.4597682,2.65,74,8.253127569,77.5642192,GOOD,AVAILABLE,11KV LINE-2Nos,CART TRACK,AGRI LAND,"SC Line: normal soil , 2nos 11kv Line, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5642192 8.253127569, 77.56203186 8.25353175)"
13,28,,T,"82°33'40""LT",KC,24,T27-T28,245.2418711,2.76,76,8.25353175,77.56203186,GOOD,AVAILABLE,11KV LINE-2Nos,"POND,ODAI BUND",WATER LOGGED AREA,"DC LINE   pond gravel , odai bund  , 2nos 11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56203186 8.25353175, 77.56140824 8.251672999)"
14,29,,S,,GC,23.62,T28-T29,216.8790724,1.57,95,8.251672999,77.56140824,GOOD,AVAILABLE,11KV LINE,Odai BUND,AGRI LAND,"Dc line: Odai bund  , normal soil, 11kv Line -1no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56140824 8.251672999, 77.56068438 8.24931355)"
15,30,,S,,GC,23.62,T29-T30,273.0247727,1.59,73,8.24931355,77.56068438,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE :  1no 11 kv  Line, nelli garden , normal soil ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56068438 8.24931355, 77.55992296 8.247045174)"
16,31,,T,"12°33'50""LT",HC,21.94,T30-T31,264.6869137,0.85,70,8.247045174,77.55992296,GOOD,AVAILABLE,"11KV LINE, LT LINE",WELL,AGRI LAND,"Dc line :  1 no 11 kv Line , 1 no LT Line ,  well & pump house , normal soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55992296 8.247045174, 77.55989816 8.244928717)"
17,32,,S,,GC+3,26.62,T31-T32,234.2272401,1.69,71,8.244928717,77.55989816,GOOD,AVAILABLE,,ROAD,AGRI LAND,"DC line:  normal soil , Road (kumarapuram - Aaralvaimozhli)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55989816 8.244928717, 77.5595649 8.243258716)"
18,33,,T,"32°58'31""LT",KC,24,T32-T33,188.4227915,2.82,71,8.243258716,77.5595649,GOOD,AVAILABLE,"LT LINE,11KV LINE","CART TRACK, ODAI BUND, POND",WATER LOGGED AREA,"Dc line  1no LT Line , 1no 11 Kv Line , cart track, Odai bund , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5595649 8.243258716, 77.56078698 8.240929038)"
19,34,,T,"69°58'48""RT",KC,24,T33-T34,290.8839324,1.78,67,8.240929038,77.56078698,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC TOWER, SC LINE  pond , WATER logged AREA ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56078698 8.240929038, 77.5607283 8.240865)"
20,34a,,T,"64°26'26""LT",KC,24,T34-T34A,9.594962897,2.74,67,8.240865,77.5607283,GOOD,AVAILABLE,,,WATER LOGGED AREA,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5607283 8.240865, 77.56148804 8.238996536)"
21,35,3W,S,,GC,23.62,T34A-T35,223.0856043,1.8,69,8.238996536,77.56148804,GOOD,AVAILABLE,"LT LINE,11KV LINE",ODAI (NALA),AGRI LAND,"DC Line , 1no LT Line , 1 no 11 kv Line ,Odai( Nala) , normal soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
