S. No ,Tower No,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,20,S,DA+0,28,T 19-T  20,237,13.29,"=IF(H26>15,0)",125.504486,,9.757413860727326,78.00047002204019,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00047002204019 9.757413860727326, 78.00257597519914 9.757096857315506)"
22,21,T,DD+0,26,T 20-T  21,236,4.18,"=IF(H27>15,0)",125.95089,23°53'12''RT,9.757096857315506,78.00257597519914,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00257597519914 9.757096857315506, 78.00494503629689 9.757737905447593)"
23,22,S,DA+0,28,T 21-T  22,272,6.73,"=IF(H28>15,0)",126.280272999999,,9.757737905447593,78.00494503629689,Good,Good,220KV,230 KV CHEKANOORANI TO TTPS feeder 1 OH,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00494503629689 9.757737905447593, 78.00722298610776 9.758386916379251)"
24,23,S,DA+0,28,T 22-T  23,263,16.16,"=IF(H29>15,0)",126.377258,,9.758386916379251,78.00722298610776,Good,Good,,Cart Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00722298610776 9.758386916379251, 78.00957796560843 9.758990916497407)"
25,24,S,DA+0,28,T 23-T  24,270,13.24,"=IF(H30>15,0)",126.957153,,9.758990916497407,78.00957796560843,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00957796560843 9.758990916497407, 78.01204098784035 9.759696924383539)"
26,25,S,DA+0,28,T 24-T  25,284,8.82,"=IF(H31>15,0)",126.698738,,9.759696924383539,78.01204098784035,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01204098784035 9.759696924383539, 78.01456603615534 9.760386922840123)"
27,26,S,DA+0,28,T 25-T  26,290,9.73,"=IF(H32>15,0)",125.857307,,9.760386922840123,78.01456603615534,Good,Good,LT,Village Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01456603615534 9.760386922840123, 78.01680702177362 9.761010871877152)"
28,27,S,DA+0,28,T 26-T  27,258,14.64,"=IF(H33>15,0)",123.270827999999,,9.761010871877152,78.01680702177362,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01680702177362 9.761010871877152, 78.01849999856596 9.761491909424748)"
29,28,S,DA+0,28,T 27-T  28,196,8.18,"=IF(H34>15,0)",122.635384,,9.761491909424748,78.01849999856596,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01849999856596 9.761491909424748, 78.02077300305432 9.762146871505145)"
30,29,T,DD+0,26,T 28-T  29,262,4.79,"=IF(H35>15,0)",122.030823,20°34'52''RT,9.762146871505145,78.02077300305432,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02077300305432 9.762146871505145, 78.02257402257808 9.762009911345618)"
