S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,S,SA,26,"=B15&"" - "" &B16",233.9116257905989,3.04,"=IF(H16>15,0)",32.9240489999999,,9.783416666666666,78.88386111111112,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88386111111112 9.783416666666666, 78.88327777777778 9.781361111111112)"
12,11,T,SB,25,"=B16&"" - "" &B17",235.6371368526539,0.4,"=IF(H17>15,0)",33.58807,"2°45'0""L",9.781361111111112,78.88327777777778,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88327777777778 9.781361111111112, 78.88272222222221 9.778916666666667)"
13,12,S,SA,26,"=B17&"" - "" &B18",279.5748046580921,0.25,"=IF(H18>15,0)",32.467545,,9.778916666666667,78.88272222222221,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88272222222221 9.778916666666667, 78.88216666666666 9.77638888888889)"
14,13,S,SA,26,"=B18&"" - "" &B19",284.9141398788251,2.16,"=IF(H19>15,0)",35.5073659999999,,9.77638888888889,78.88216666666666,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88216666666666 9.77638888888889, 78.88169444444443 9.774027777777778)"
15,14,S,SA+3,29,"=B19&"" - "" &B20",268.5792190511464,0.25,"=IF(H20>15,0)",32.407341,,9.774027777777778,78.88169444444443,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88169444444443 9.774027777777778, 78.88119444444443 9.771805555555556)"
16,15,S,SA+3,29,"=B20&"" - "" &B21",249.2970099705766,1.06,"=IF(H21>15,0)",32.1692579999999,,9.771805555555556,78.88119444444443,GOOD,Available,2-LT,Karunthanakottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88119444444443 9.771805555555556, 78.88069444444444 9.769472222222223)"
17,16,S,SA,26,"=B21&"" - "" &B22",265.4505764038877,3.11,"=IF(H22>15,0)",32.7886659999999,,9.769472222222223,78.88069444444444,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88069444444444 9.769472222222223, 78.88019444444444 9.766944444444444)"
18,17,T,SB,25,"=B22&"" - "" &B23",283.931827102579,3.01,"=IF(H23>15,0)",32.0932389999999,"4°22'48""R",9.766944444444444,78.88019444444444,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88019444444444 9.766944444444444, 78.87955555555556 9.764722222222222)"
19,18,S,SA,26,"=B23&"" - "" &B24",256.9567980419963,2.87,"=IF(H24>15,0)",32.9803009999999,,9.764722222222222,78.87955555555556,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87955555555556 9.764722222222222, 78.87891666666665 9.762361111111112)"
20,19,S,SA+3,29,"=B24&"" - "" &B25",268.3670614242628,1.26,"=IF(H25>15,0)",32.767563,,9.762361111111112,78.87891666666665,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87891666666665 9.762361111111112, 78.87827777777777 9.75988888888889)"
21,20,S,SA,26,"=B25&"" - "" &B26",285.1106462244989,2.06,"=IF(H26>15,0)",31.293354,,9.75988888888889,78.87827777777777,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87827777777777 9.75988888888889, 78.87763888888888 9.757416666666666)"
22,21,S,SA,26,"=B26&"" - "" &B27",280.4346693156896,1.06,"=IF(H27>15,0)",29.9912889999999,,9.757416666666666,78.87763888888888,GOOD,Available,LT,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87763888888888 9.757416666666666, 78.877 9.755)"
23,22,S,SA,26,"=B27&"" - "" &B28",277.4669674355139,2.61,"=IF(H28>15,0)",30.737658,,9.755,78.877,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.877 9.755, 78.87636111111111 9.752555555555556)"
24,23,S,SA,26,"=B28&"" - "" &B29",278.58494648817646,1.51,"=IF(H29>15,0)",30.729963,,9.752555555555556,78.87636111111111,GOOD,Available,,Anandur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87636111111111 9.752555555555556, 78.87572222222222 9.750111111111112)"
25,24,T,SB,25,"=B29&"" - "" &B30",278.5562134918607,1.07,"=IF(H30>15,0)",31.235731,"12°55'12""R",9.750111111111112,78.87572222222222,GOOD,Available,LT,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87572222222222 9.750111111111112, 78.87480555555555 9.748333333333333)"
26,25,S,SA,26,"=B30&"" - "" &B31",222.84583602505685,0.27,"=IF(H31>15,0)",28.8981059999999,,9.748333333333333,78.87480555555555,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87480555555555 9.748333333333333, 78.87383333333332 9.74636111111111)"
27,26,S,SA,26,"=B31&"" - "" &B32",241.61524735886454,0.51,"=IF(H32>15,0)",28.073528,,9.74636111111111,78.87383333333332,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87383333333332 9.74636111111111, 78.87283333333333 9.744444444444444)"
28,27,S,SA,26,"=B32&"" - "" &B33",238.94446700096617,0.63,"=IF(H33>15,0)",29.433008,,9.744444444444444,78.87283333333333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87283333333333 9.744444444444444, 78.87183333333333 9.7425)"
29,28,S,SA,26,"=B33&"" - "" &B34",242.20139935620497,0.27,"=IF(H34>15,0)",28.8446579999999,,9.7425,78.87183333333333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87183333333333 9.7425, 78.87086111111111 9.740583333333333)"
30,LILO : 29,T,SC,26,"=B34&"" - "" &B35",237.41034175375975,0.36,"=IF(H35>15,0)",27.324247,"41°22'48""L",9.740583333333333,78.87086111111111,GOOD,Available,,,Agri ,LILO AT ANANTHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87086111111111 9.740583333333333, 78.8715 9.738138888888889)"
31,30,T,SC+3,29,"=B35&"" - "" &B36",279.6485316456547,0.47,"=IF(H36>15,0)",27.896481,"25°13'48""R",9.738138888888889,78.8715,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8715 9.738138888888889, 78.87108333333333 9.73586111111111)"
32,31,S,SA,26,"=B36&"" - "" &B37",257.14279972262295,1.16,"=IF(H37>15,0)",26.5489919999999,,9.73586111111111,78.87108333333333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87108333333333 9.73586111111111, 78.87066666666666 9.733666666666666)"
33,32,S,SA,26,"=B37&"" - "" &B38",245.0163406091039,0.27,"=IF(H38>15,0)",27.5199679999999,,9.733666666666666,78.87066666666666,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87066666666666 9.733666666666666, 78.87027777777777 9.731583333333333)"
34,33,S,SA,26,"=B38&"" - "" &B39",234.07718345825893,0.56,"=IF(H39>15,0)",26.615835,,9.731583333333333,78.87027777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87027777777777 9.731583333333333, 78.8698611111111 9.729333333333333)"
35,34,S,SA+3,29,"=B39&"" - "" &B40",254.44371641574034,1.25,"=IF(H40>15,0)",23.7944299999999,,9.729333333333333,78.8698611111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8698611111111 9.729333333333333, 78.86944444444444 9.727194444444445)"
36,35,T,SB+3,28,"=B40&"" - "" &B41",240.74883636604034,2.27,"=IF(H41>15,0)",22.0411299999999,"27°1'48""L",9.727194444444445,78.86944444444444,GOOD,Available,,Karkathakudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86944444444444 9.727194444444445, 78.87008333333333 9.725027777777777)"
37,36,S,SA,26,"=B41&"" - "" &B42",249.68124642880008,1.23,"=IF(H42>15,0)",23.434006,,9.725027777777777,78.87008333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87008333333333 9.725027777777777, 78.87080555555555 9.722611111111112)"
38,37,S,SA,26,"=B42&"" - "" &B43",279.3202132910352,4.06,"=IF(H43>15,0)",22.4717179999999,,9.722611111111112,78.87080555555555,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87080555555555 9.722611111111112, 78.87144444444444 9.720444444444444)"
39,38,S,SA,26,"=B43&"" - "" &B44",249.45396990359833,2.11,"=IF(H44>15,0)",21.8753409999999,,9.720444444444444,78.87144444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87144444444444 9.720444444444444, 78.87208333333332 9.718305555555556)"
40,39,T,SC,26,"=B44&"" - "" &B45",246.217475473626,3.11,"=IF(H45>15,0)",22.950733,"30°40'48""L",9.718305555555556,78.87208333333332,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87208333333332 9.718305555555556, 78.87372222222221 9.716833333333334)"
41,40,S,SA,26,"=B45&"" - "" &B46",243.1784215155758,4.06,"=IF(H46>15,0)",23.41366,,9.716833333333334,78.87372222222221,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87372222222221 9.716833333333334, 78.87541666666667 9.715305555555554)"
42,41,T,SB+3,28,"=B46&"" - "" &B47",249.33340929851514,4.2,"=IF(H47>15,0)",24.014713,"5°50'60""L",9.715305555555554,78.87541666666667,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87541666666667 9.715305555555554, 78.87677777777778 9.714305555555555)"
43,42,T,SB+3,28,"=B47&"" - "" &B48",185.95644391637578,5.09,"=IF(H48>15,0)",24.2470649999999,"12°18'36""R",9.714305555555555,78.87677777777778,GOOD,Available,HT,Ramnad -Melur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87677777777778 9.714305555555555, 78.87808333333332 9.712805555555555)"
44,43,T,SC,26,"=B48&"" - "" &B49",221.08566013726286,2.69,"=IF(H49>15,0)",23.1906719999999,"43°36'36""R",9.712805555555555,78.87808333333332,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87808333333332 9.712805555555555, 78.87797222222221 9.710416666666665)"
45,44,S,SA,26,"=B49&"" - "" &B50",265.92554940844434,3.5,"=IF(H50>15,0)",22.926945,,9.710416666666665,78.87797222222221,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87797222222221 9.710416666666665, 78.8778611111111 9.707916666666666)"
46,45,S,SA,26,"=B50&"" - "" &B51",275.7444312771577,4.63,"=IF(H51>15,0)",22.8683219999999,,9.707916666666666,78.8778611111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8778611111111 9.707916666666666, 78.87777777777777 9.705499999999999)"
47,46,T,SB,25,"=B51&"" - "" &B52",267.7482832655379,7.17,"=IF(H52>15,0)",23.20125,"0°7'48""R",9.705499999999999,78.87777777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87777777777777 9.705499999999999, 78.87766666666666 9.703166666666666)"
48,47,S,SA,26,"=B52&"" - "" &B53",258.14023316155817,3.04,"=IF(H53>15,0)",23.262678,,9.703166666666666,78.87766666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87766666666666 9.703166666666666, 78.87755555555555 9.700805555555554)"
49,48,S,SA,26,"=B53&"" - "" &B54",260.6649583071524,0.62,"=IF(H54>15,0)",22.4551769999999,,9.700805555555554,78.87755555555555,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87755555555555 9.700805555555554, 78.87744444444444 9.698444444444444)"
50,49,S,SA,26,"=B54&"" - "" &B55",262.947973374779,5.72,"=IF(H55>15,0)",24.068352,,9.698444444444444,78.87744444444444,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87744444444444 9.698444444444444, 78.8773611111111 9.696083333333334)"
51,50,T,SB,25,"=B55&"" - "" &B56",261.0963223983755,1.12,"=IF(H56>15,0)",24.873833,"16°33'36""R",9.696083333333334,78.8773611111111,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8773611111111 9.696083333333334, 78.87658333333333 9.693833333333334)"
52,51,S,SA+3,29,"=B56&"" - "" &B57",261.9832303797667,0.41,"=IF(H57>15,0)",22.7756119999999,,9.693833333333334,78.87658333333333,GOOD,Available,HT,A.R.Mangalam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87658333333333 9.693833333333334, 78.87583333333333 9.691611111111111)"
53,52,S,SA,26,"=B57&"" - "" &B58",259.2930572581746,0.26,"=IF(H58>15,0)",23.0753379999999,,9.691611111111111,78.87583333333333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87583333333333 9.691611111111111, 78.87508333333332 9.689333333333334)"
54,53,S,SA,26,"=B58&"" - "" &B59",266.97971450833074,0.26,"=IF(H59>15,0)",22.4837419999999,,9.689333333333334,78.87508333333332,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87508333333332 9.689333333333334, 78.87433333333333 9.687222222222223)"
55,54,S,SA,26,"=B59&"" - "" &B60",245.67818226637158,1.22,"=IF(H60>15,0)",21.3354989999999,,9.687222222222223,78.87433333333333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87433333333333 9.687222222222223, 78.8736111111111 9.685194444444445)"
56,55,T,SB,25,"=B60&"" - "" &B61",238.30883421730599,2.6,"=IF(H61>15,0)",22.626377,"5°6'36""R",9.685194444444445,78.8736111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8736111111111 9.685194444444445, 78.87255555555555 9.682916666666666)"
57,56,S,SA,26,"=B61&"" - "" &B62",278.1788279775715,2.17,"=IF(H62>15,0)",21.7433049999999,,9.682916666666666,78.87255555555555,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87255555555555 9.682916666666666, 78.87152777777777 9.68061111111111)"
58,57,S,SA,26,"=B62&"" - "" &B63",278.54841387484527,0.49,"=IF(H63>15,0)",21.3257119999999,,9.68061111111111,78.87152777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87152777777777 9.68061111111111, 78.87038888888888 9.67825)"
59,58,S,SA+3,29,"=B63&"" - "" &B64",289.3397829647335,0.26,"=IF(H64>15,0)",19.322317,,9.67825,78.87038888888888,GOOD,Available,,Sanaveli Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87038888888888 9.67825, 78.86922222222222 9.675777777777776)"
60,59,S,SA,26,"=B64&"" - "" &B65",302.2536192488495,2.51,"=IF(H65>15,0)",19.534557,,9.675777777777776,78.86922222222222,GOOD,Available,HT,River,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86922222222222 9.675777777777776, 78.86813888888888 9.673472222222221)"
61,60,T,SB,25,"=B65&"" - "" &B66",281.532168981806,2.1,"=IF(H66>15,0)",20.546097,"18°37'12""L",9.673472222222221,78.86813888888888,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86813888888888 9.673472222222221, 78.86786111111111 9.670888888888888)"
62,61,S,SA,26,"=B66&"" - "" &B67",287.95309110398705,0.52,"=IF(H67>15,0)",20.9806479999999,,9.670888888888888,78.86786111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86786111111111 9.670888888888888, 78.86755555555555 9.668277777777778)"
63,62,S,SA,26,"=B67&"" - "" &B68",290.32112285763685,0.27,"=IF(H68>15,0)",18.919661,,9.668277777777778,78.86755555555555,GOOD,Available,LT,Saveriyaar pattinam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86755555555555 9.668277777777778, 78.86727777777777 9.665694444444444)"
64,63,S,SA,26,"=B68&"" - "" &B69",285.5673106599723,1.11,"=IF(H69>15,0)",19.725103,,9.665694444444444,78.86727777777777,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86727777777777 9.665694444444444, 78.86699999999999 9.663111111111112)"
65,64,S,SA,26,"=B69&"" - "" &B70",288.5160797361082,0.51,"=IF(H70>15,0)",19.450161,,9.663111111111112,78.86699999999999,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86699999999999 9.663111111111112, 78.86672222222222 9.660527777777778)"
66,65,T,SC,25,"=B70&"" - "" &B71",287.9148788013382,1.26,"=IF(H71>15,0)",19.221626,"5°0'36""L",9.660527777777778,78.86672222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86672222222222 9.660527777777778, 78.86666666666666 9.65913888888889)"
67,LILO : 66,T,DC,26,"=B71&"" - "" &B72",153.05451626412727,2.15,"=IF(H72>15,0)",17.37487,"23°25'12""R",9.65913888888889,78.86666666666666,GOOD,Available,,,Agri,LILO AT R.S MANGALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86666666666666 9.65913888888889, 78.86627777777777 9.658305555555556)"
68,66A,T,SC,25,"=B72&"" - "" &B73",104.32370253423599,0.25,"=IF(H73>15,0)",16.958435,"18°57'0""L",9.658305555555556,78.86627777777777,GOOD,NO E/W,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86627777777777 9.658305555555556, 78.866 9.655722222222222)"
69,67,S,SA,26,"=B73&"" - "" &B74",285.82878426337015,0.25,"=IF(H74>15,0)",16.002773,,9.655722222222222,78.866,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.866 9.655722222222222, 78.86577777777777 9.65313888888889)"
70,68,S,SA,26,"=B74&"" - "" &B75",287.53766546049195,6.7,"=IF(H75>15,0)",17.363495,,9.65313888888889,78.86577777777777,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86577777777777 9.65313888888889, 78.8655 9.650583333333334)"
71,69,S,SA,26,"=B75&"" - "" &B76",285.02637886980466,0.26,"=IF(H76>15,0)",16.541746,,9.650583333333334,78.8655,GOOD,NO E/W,HT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8655 9.650583333333334, 78.86524999999999 9.647638888888888)"
72,70,S,SA,26,"=B76&"" - "" &B77",324.1117272100702,0.25,"=IF(H77>15,0)",17.641098,,9.647638888888888,78.86524999999999,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86524999999999 9.647638888888888, 78.86502777777777 9.645416666666666)"
73,71,T,SB,25,"=B77&"" - "" &B78",249.6827508534473,0.28,"=IF(H78>15,0)",17.134083,"13°48'36""L",9.645416666666666,78.86502777777777,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86502777777777 9.645416666666666, 78.86541666666666 9.642722222222222)"
74,72,T,SB,26,"=B78&"" - "" &B79",299.5058219520771,0.92,"=IF(H79>15,0)",19.452196,"6°10'48""R",9.642722222222222,78.86541666666666,GOOD,Available,"2-HT,2-LT",Indira Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86541666666666 9.642722222222222, 78.86552777777777 9.640305555555555)"
75,73,S,SA,26,"=B79&"" - "" &B80",267.47550707804805,5.01,"=IF(H80>15,0)",17.537212,,9.640305555555555,78.86552777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86552777777777 9.640305555555555, 78.86563888888888 9.637972222222222)"
76,74,S,SA,26,"=B80&"" - "" &B81",259.6772209588596,3.51,"=IF(H81>15,0)",19.3368609999999,,9.637972222222222,78.86563888888888,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86563888888888 9.637972222222222, 78.86558333333333 9.6375)"
77,LILO : 01,T,DC,26,"=B81&"" - "" &B82",52.277614826284484,Nil,"=IF(H82>15,0)",24.1510089999999,"13°35'24""L",9.6375,78.86558333333333,GOOD,Available,,,Plain,LILO at Uppur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86558333333333 9.6375, 78.86574999999999 9.635583333333333)"
78,75,T,SB,25,"=B82&"" - "" &B83",211.52110519285202,1.17,"=IF(H83>15,0)",19.345388,"17°55'48""R",9.635583333333333,78.86574999999999,GOOD,Available,110KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86574999999999 9.635583333333333, 78.86522222222222 9.633222222222223)"
79,76,S,SA,26,"=B83&"" - "" &B84",268.0746763171927,2.27,"=IF(H84>15,0)",20.1655729999999,,9.633222222222223,78.86522222222222,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86522222222222 9.633222222222223, 78.86466666666666 9.63086111111111)"
80,77,S,SA,26,"=B84&"" - "" &B85",270.57627003957026,2.75,"=IF(H85>15,0)",19.7894359999999,,9.63086111111111,78.86466666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86466666666666 9.63086111111111, 78.8641111111111 9.628472222222223)"
81,78,S,SA+3,29,"=B85&"" - "" &B86",269.93777708178254,4.62,"=IF(H86>15,0)",18.20097,,9.628472222222223,78.8641111111111,GOOD,Available,"2-LT,HT",Alagarthevankkottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8641111111111 9.628472222222223, 78.86352777777778 9.625805555555557)"
