S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,31,,T,SB,21,30-31,196.6822707,0.67,FALSE,20.280777,"1°54'36""L",9.222583333,78.68366667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68366666666667 9.222583333333333, 78.68575 9.223722222222221)"
33,32,,S,SA,22,31-32,260.5163979,1.81,FALSE,17.975645,,9.223722222,78.68575,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68575 9.223722222222221, 78.68797222222223 9.224972222222222)"
34,33,,S,SA,22,32-33,279.8150731,2.12,FALSE,13.392171,,9.224972222,78.68797222,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68797222222223 9.224972222222222, 78.69005555555556 9.226111111111111)"
35,34,,T,SB,21,33-34,261.0773344,1.4,FALSE,14.08292,"20°19'12""L",9.226111111,78.69005556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69005555555556 9.226111111111111, 78.6915 9.226333333333333)"
36,LILO : 35,3W,T,SC,22,34-LILO :35,162.1129429,,,14.329439,"46°27'36""R",9.226333333,78.6915,GOOD,Available,,,Plain,LILO at Keelakarai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6915 9.226333333333333, 78.69127777777778 9.226)"
37,ER : 1,,T,DC,26,LILO:35-ER:1 ,42.93739189,,,14.298606,"65°1'12""L",9.226,78.69127778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69127777777778 9.226, 78.69155555555555 9.225972222222222)"
38,Gantry (Erwadi SS),2W,Gantry,H-POLE,12,ER:1 - Gantry,30.78528123,,,15.40336,,9.225972222,78.69155556,GOOD,NO E/W,,,SS,Erwadi SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1.Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
