SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,12,,S,,GC,23.62,T11-T12,303.3718468,46.12,38,8.306442588,77.72677582,AVAILABLE,,,Plain Land,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7267758194915 8.306442588028077, 77.72686969335193 8.303707233947755)"
13,13,2W,T,,HC+3,26.62,T12-T13,302.9171768,35.5,39,8.303707234,77.72686969,AVAILABLE,"Lt Line, 33Kv Line",Road,Plain Land,"Dc Line,33kv line,Ltline,Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72686969335193 8.303707233947755, 77.72697563844189 8.300863036423799)"
14,14,,S,,GC,23.62,T13-T14,315.0033602,33.75,40,8.300863036,77.72697564,AVAILABLE,Lt Line,,Plain Land,"Dc Line,Lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72697563844189 8.300863036423799, 77.72706952001883 8.298032737268501)"
15,15,,S,,GC,23.62,T14-T15,313.4194855,33.78,40,8.298032737,77.72706952,AVAILABLE,,,water logged area,"Dc Line,Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72706952001883 8.298032737268501, 77.72716540569 8.294932054559176)"
16,16,,S,,GC,23.62,T15-T16,343.3365196,32.46,39,8.294932055,77.72716541,AVAILABLE,110KV Line,,water logged area,"Dc Line,110kv.my line is below,Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72716540569 8.294932054559176, 77.72727135224311 8.292151494578789)"
17,17,,S,,GC,23.62,T16-T17,307.9650772,37.5,39,8.292151495,77.72727135,AVAILABLE,,,Plain Land,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72727135224311 8.292151494578789, 77.72739272480405 8.289264417486315)"
18,18,,S,,GC,23.62,T17-T18,319.8124796,47.35,41,8.289264417,77.72739272, NOT AVAILABLE,,,Plain Land,"Dc Line,T17-T18 earth wire not Available,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72739272480405 8.289264417486315, 77.72746514577558 8.286332526144326)"
19,19,,S,,GC+3,26.62,T18-T19,324.5906805,33.5,43,8.286332526,77.72746515, NOT AVAILABLE,,"Road,cart track",Plain Land,"Dc Line,T18-T19, earth wire not available,Road,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72746514577558 8.286332526144326, 77.72756237951646 8.283402940251701)"
20,20,,S,,GC,23.62,T19-T20,324.4143729,36.8,41,8.28340294,77.72756238, NOT AVAILABLE,,,Agri Land,"Dc Line, T19-T20, earth wire not available, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72756237951646 8.283402940251701, 77.7276508882693 8.28064784507308)"
21,21,,S,,GC,23.62,T20-T21,305.0812264,36.52,42,8.280647845,77.72765089, NOT AVAILABLE,,,Plain Land,"Dc Line,T20-T21, earth wire not available,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7276508882693 8.28064784507308, 77.72774208120583 8.277914299356315)"
22,22,,S,,GC,23.62,T21-T22,302.7070926,37.78,38,8.277914299,77.72774208, NOT AVAILABLE,Lt Line,,Plain Land,"Dc Line,T21-T22, earth wire not available,Lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72774208120583 8.277914299356315, 77.72783226955217 8.275267329961586)"
23,23,,S,,GC,23.62,T22-T23,293.1267678,35.62,38,8.27526733,77.72783227, NOT AVAILABLE,,,Plain Land,"Dc Line,T22-T23, earth wire not available,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72783226955217 8.275267329961586, 77.7279234646076 8.272619676095639)"
24,24,,S,,GC,23.62,T23-T24,293.2062512,47.8,36,8.272619676,77.72792346, NOT AVAILABLE,,Cart track,Agri Land,"Dc Line,T23-T24, earth wire is not available,cart track,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7279234646076 8.272619676095639, 77.7280153340839 8.269895360328047)"
25,25,,S,,GC+3,26.62,T24-T25,301.6885768,33.93,34,8.26989536,77.72801533,,LT Line,Odai bund,water logged area,"Dc Line,lt Line, Odai bund, Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7280153340839 8.269895360328047, 77.72810351005823 8.267125241785804)"
26,26,,S,,GC,23.62,T25-T26,306.7418978,32.28,33,8.267125242,77.72810351, NOT AVAILABLE,,,Plain Land,"Dc Line,T25-T26 earth wire is not available,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72810351005823 8.267125241785804, 77.72819135094345 8.264357095361095)"
27,27,,S,,GC,23.62,T26-T27,306.5225582,34.45,29,8.264357095,77.72819135, NOT AVAILABLE,,,Plain Land,"Dc Line,T26-T27 earth wire is not available,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72819135094345 8.264357095361095, 77.72829092834844 8.261626384150151)"
28,28,2W,T,"09°25'53""RT",HC,21.94,T27-T28,302.4256058,37.82,30,8.261626384,77.72829093,AVAILABLE,33KV Line,,Plain Land,"Dc Line,Road.33kv Line,plainLand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72829092834844 8.261626384150151, 77.72786613565756 8.258539395027164)"
29,29,,S,,GC,23.62,T28-T29,344.854411,34.58,30,8.258539395,77.72786614,AVAILABLE,"11kV Line, 33KV Line",Road,Plain Land,"Dc line   , Road ( Udayathoor to Radhapuram) ,  11kv line ,  33 kv line,  odai(nala) ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72786613565756 8.258539395027164, 77.72745206707697 8.255466605756755)"
30,30,,S,,GC,23.62,T29-T30,343.1379936,45.38,29,8.255466606,77.72745207,AVAILABLE,"Lt line ,11kv line, 230KV line",,Plain Land,"Dc line  Lt line,  11kv line  , odai(nala) , plain land , 230 kv  line under crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72745206707697 8.255466605756755, 77.72705745179685 8.252380850187441)"
31,31,,S,,GC,23.62,T30-T31,344.2825796,38.46,28,8.25238085,77.72705745,AVAILABLE,,,Plain Land,Dc line    plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72705745179685 8.252380850187441, 77.72665579153501 8.249298727143108)"
32,32,,T,"09°49'35""RT",HC+3,24.94,T31-T32,343.9828085,33.2,26,8.249298727,77.72665579,AVAILABLE,"Lt line,22Kv line,11KV Line","Road, Odai(nala)",water logged area,"Dc line : Odai (nala), 22kvline , LT line , Road ( udayathoor to kudankulam ) water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72665579153501 8.249298727143108, 77.72573948196047 8.24637684635565)"
33,33,,S,,GC,23.62,T32-T33,338.7998209,32.24,25,8.246376846,77.72573948,AVAILABLE,11kV line,Pond,water logged area,"Dc line   11kv line, pond , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72573948196047 8.24637684635565, 77.72490832975045 8.243691533924368)"
34,34,,S,,GC,23.62,T33-T34,311.01051,35.48,24,8.243691534,77.72490833,AVAILABLE,"11kV Line, 33KV Line","odai (nala),well",Plain Land,"Dc line  Odai bund ,  well ,  11kv line , 33 kv line, odai (nala) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72490832975045 8.243691533924368, 77.72409696309504 8.241090473087354)"
35,35,,S,,GC,23.62,T34-T35,301.4576494,32.53,24,8.241090473,77.72409696,AVAILABLE,110KV Line,cart track,Plain Land,"DC LINE  110 KV OVER HEAD crossing,  CART TRacK, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72409696309504 8.241090473087354, 77.72327587334057 8.238501680250325)"
36,36,,S,,GC,23.62,T35-T36,300.4825149,43.28,26,8.23850168,77.72327587,AVAILABLE,Lt line,,Plain Land,"Dc line  LT line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72327587334057 8.238501680250325, 77.72240213857313 8.235691218451938)"
37,37,,S,,GC,23.62,T36-T37,325.6302167,38.32,26,8.235691218,77.72240214,AVAILABLE,,,Plain Land,DC LINE    plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72240213857313 8.235691218451938, 77.72150628475826 8.232881063668138)"
38,38,2W,T,"20°27'10""RT",HC+3,24.94,T37-T38,326.3276394,36.64,25,8.232881064,77.72150628,AVAILABLE,"33Kv Line, Lt line","canal, Road",Plain Land,"Dc line :  33 kv line, canal , Road ( vijayapathi to udayathur) , LT line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72150628475826 8.232881063668138, 77.71949730582574 8.230673846275165)"
39,39,,S,,GC,23.62,T38-T39,329.7632855,30.15,25,8.230673846,77.71949731,AVAILABLE,"33Kv Line, Lt line",,Plain Land,"Dc line   33 kv line ,  LT line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71949730582574 8.230673846275165, 77.71761808903102 8.228560513451345)"
40,40,,S,,GC+3,26.62,T39-T40,312.4761256,33.34,23,8.228560513,77.71761809,AVAILABLE,"33kv line-2nos, Lt line-2nos",Road,Plain Land,"Dc line   2nos 33 kv line , 2 nos LT line, ROAD ( UdaYATHOOR TO KUDANKULAM) ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71761808903102 8.228560513451345, 77.71578882001123 8.225538953448917)"
41,41,,T,"07°18'21""LT",HC+3,27.94,T40-T41,390.533156,35.18,28,8.225538953,77.71578882,AVAILABLE,Plain Land,"SH 92 Road, Odai(Nala)",Plain Land,"Dc line : Road SH92( VIJAYAPATHI - RADAPURAM ),  2NOS 33 KV line , 2NOS LT line , Odai(NALA) , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71578882001123 8.225538953448917, 77.71424520477727 8.222925187305743)"
42,42,,S,,GC+3,26.62,T41-T42,335.6383305,46.84,27,8.222925187,77.7142452,AVAILABLE,400KV Line,Cart track-2nos,Plain Land,"Dc line   400 kv under crossing , 2 nos cart tark , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71424520477727 8.222925187305743, 77.71266974744692 8.220242718241384)"
43,43,,S,,GC,23.62,T42-T43,343.9734647,37.83,31,8.220242718,77.71266975,AVAILABLE,"33Kv Line, Lt line",Cart track-2nos,Plain Land,"Dc line :  33 kv line ,  LT line , 2NOS  cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71266974744692 8.220242718241384, 77.71117843501047 8.217740415757593)"
44,44,,T,"15°52'49""LT",HC,21.94,T43-T44,322.0840805,34.67,31,8.217740416,77.71117844,AVAILABLE,33KV line,canal,Plain Land,"Dc line   33 kv  line, canal , cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71117843501047 8.217740415757593, 77.71037779976392 8.214938099094459)"
45,45,,S,,GC,23.62,T44-T45,322.4678994,35.1,30,8.214938099,77.7103778,AVAILABLE,33KV line,"odai (nala)-2nos,cart track",Plain Land,"Dc line  Odai( nala) ,  33 kv line, Odai(nala ), cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71037779976392 8.214938099094459, 77.70970221794268 8.212169935749634)"
46,46,,S,,GC,23.62,T45-T46,315.2942989,38.47,28,8.212169936,77.70970222,AVAILABLE,canal,,Plain Land,"Dc oine    canal ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70970221794268 8.212169935749634, 77.70898204557116 8.209230192487716)"
47,47,,S,,GC,23.62,T46-T47,334.908065,36.52,27,8.209230192,77.70898205,AVAILABLE,230KV Line,odai (nala)-2nos,Plain Land,"Dc line   230 kv under crossing , Odai(nala) , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70898204557116 8.209230192487716, 77.70814821597152 8.206163338519167)"
48,48,2W,T,"24°01'25""RT",HC,21.94,T47-T48,351.6576547,44.78,26,8.206163339,77.70814822,AVAILABLE,"110KV Line,LT line, 33Kv line",,Plain Land,"Dc line  110 kv under crossing , Lt  line,  33 kv line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70814821597152 8.206163338519167, 77.70647685655082 8.204053515493385)"
49,49,,S,,GC,23.62,T48-T49,297.4724003,33.54,28,8.204053515,77.70647686,AVAILABLE,Lt line,cart track,,"Dc line    cart track ,  LT line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70647685655082 8.204053515493385, 77.70467709830861 8.20184081496466)"
50,50,,S,,GC,23.62,T49-T50,315.2078799,37.82,29,8.201840815,77.7046771,AVAILABLE,Lt Line-2Nos,,Plain Land,"Dc line  2NOS Lt line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70467709830861 8.20184081496466, 77.70292595221865 8.19965465370246)"
51,51,,T,"16°11'27""LT",HC+3,24.94,T50-T51,309.5598785,30.36,28,8.199654654,77.70292595,AVAILABLE,"Lt line-3nos,11KV line-2Nos","Cart track,Road",Plain Land,"Dc line  3 nos Lt line , 2 NOS 11 KV , CART TRacK ,  ROAD ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70292595221865 8.19965465370246, 77.70179271821715 8.196911288800123)"
52,52,,S,,GC,23.62,T51-T52,328.3308983,35.28,24,8.196911289,77.70179272,AVAILABLE,Lt Line,Cart Track,Plain Land,"Dc line    LT line , cart track ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70179271821715 8.196911288800123, 77.70068899190615 8.1943149093483)"
53,53,,S,,GC+3,26.62,T52-T53,312.065431,32.86,21,8.194314909,77.70068899,AVAILABLE,Lt Line-2Nos,"Road, Odai(nala)",Agri Land,"Dc line Road ,2 nos LT line , odai(NALA), AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70068899190615 8.1943149093483, 77.69958861000622 8.191723487265655)"
54,54,,S,,GC,23.62,T53-T54,311.416411,49.24,26,8.191723487,77.69958861,AVAILABLE,"Lt Line, 33Kv Line",,Agri Land,"Dc line    LT line,  33 kv line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69958861000622 8.191723487265655, 77.69889023614974 8.189921532433994)"
55,55,,T,"52°17'27""LT",KC+3,27,T54-T55,213.7828291,37.33,27,8.189921532,77.69889024,AVAILABLE,,Street Road-2Nos,Plain Land,"Dc line : 2.nos street road ,  house , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69889023614974 8.189921532433994, 77.69999765089668 8.188038217422942)"
56,56,,S,,GC+3,26.62,T55-T56,241.5677365,36.79,28,8.188038217,77.69999765,AVAILABLE,Lt Line,,Plain Land,"Dc line  Road ( chettikulam to navaladi ) , 2 nos 11kv line,2 nos Lt line, 2 nos house , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69999765089668 8.188038217422942, 77.7009679346364 8.18631352464326)"
57,57,,T,"29°05'30""LT",KC,27,T56-T57,218.8172511,30.15,30,8.186313525,77.70096793,AVAILABLE,"33Kv Line, Lt line",,Plain Land,"Dc line   33 kv line, LT line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7009679346364 8.18631352464326, 77.70293533774131 8.185132723867286)"
58,58,,T,"104°11'10""RT",KC,27,T57-T58,253.2626555,42.43,29,8.185132724,77.70293534,AVAILABLE,"33Kv line, 22KV line, 11KV line",,Plain Land,"Dc line  2 nos compound wall , 33kv line,  22kv line , Road ( kudankulam power plant outer road ) ,11kv line,Plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70293533774131 8.185132723867286, 77.70299435037866 8.185326523188373)"
,Kudankulam GANTRY,2W,,,,,T58-Gantry (Kudankulam),22.41414359,,29,8.185326523,77.70299435,NOT AVAILABLE,,,,T58-Kudankulam gantry  earth  wire is not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
