SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
4,42,,S,,PA,20.9,T41-T42,290.1385383,37.87,25,8.901418959,78.07896931,NOT AVAILABLE,,NALA,PLAIN LAND,"SC line :nala,  plain land,T.No.48 to T.No.49  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0789693072438 8.90141895860601, 78.07846236974 8.90399101319685)"
3,43,,S,,PA,20.9,T42-T43,281.1483514,42.98,25,8.903991013,78.07846237,NOT AVAILABLE,,,PLAIN LAND,"SC line :  plain land,T.No.49 to T.No.50  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07846236974 8.90399101319685, 78.0779983475804 8.90648852217314)"
3,44,2W,T,"02°42'94""RT",PB+3,23.85,T43-T44,299.9484403,40.45,26,8.906488522,78.07799835,NOT AVAILABLE,230KV LINE,THAR ROAD,PLAIN LAND,"SC line    230 kv under crossing, thar road, plain land, T.No.50 to T.No.51  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0779983475804 8.90648852217314, 78.0773901566863 8.90912976840934)"
3,45,,S,,PA,20.9,T44-T45,287.3068156,42.98,27,8.909129768,78.07739016,NOT AVAILABLE,33KV LINE,"NALA, POND,BUND-2NOS, CART TRACK",PLAIN LAND,"SC line : 33kv line , nala, bond, 2nos bund, cart track, , plain land , T.No.51 to T.No.52  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0773901566863 8.90912976840934, 78.0768134817481 8.91166102761623)"
2,46,,S,,PA,20.9,T45-T46,279.6007395,44.67,26,8.911661028,78.07681348,NOT AVAILABLE,"33KV LINE, 11KVLINE",NALA,PLAIN LAND,"SC line :  33 kv line , nala, 11 kv line, plain land, T.No.52 to T.No.53  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0768134817481 8.91166102761623, 78.0762565881013 8.91412536152924)"
2,47,,S,,PA,20.9,T46-T47,295.8960084,40.65,24,8.914125362,78.07625659,NOT AVAILABLE,,NALA,PLAIN LAND,"SC line :Nala, Palin land, T.No.53 to T.No.54  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0762565881013 8.91412536152924, 78.0756812542676 8.91673641116384)"
2,48,,S,,PA,20.9,T47-T48,273.499771,41.98,25,8.916736411,78.07568125,NOT AVAILABLE,33KV LINE-2NOS,,PLAIN LAND,"SC line :   33kv line-2nos, plain land, T.No.54 to T.No.55  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0756812542676 8.91673641116384, 78.0751280486583 8.91914506553989)"
1,49,,S,,PA,20.9,T48-T49,279.5707145,41.78,25,8.919145066,78.07512805,NOT AVAILABLE,,NALA,PLAIN LAND,"SC line: Nala, plain land, T.No.55 to T.No.56  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0751280486583 8.91914506553989, 78.0745503678917 8.92160438065398)"
1,50,,S,,PA,20.9,T49-T50,128.0383403,45.27,27,8.921604381,78.07455037,AVAILABLE,,NALA,PLAIN LAND,"SC line :  Nala, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0745503678917 8.92160438065398, 78.0743337795138 8.9227407939327)"
1,51/1,3W,T(LILO),"48°32'54""RT",PC(LILO),21.65,T50-T51,145,42.87,27,8.922740794,78.07433378,NOT AVAILABLE,,,PLAIN LAND,"DC tower, Ottapidaram LILo, plain land, T.No.57 to T.No.58 LILO  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
