S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,32,T,DC,26,31-32,229.29902115763528,9.07,"=IF(H39>15,0)",162.583969,"1°27'44"" L",9.984972222222222,78.1185,GOOD,Available,LT,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1185 9.984972222222222, 78.12097222222222 9.985222222222221)"
35,33,S,DA,26,32-33,271.98526611193114,3.78,"=IF(H40>15,0)",161.836349,,9.985222222222221,78.12097222222222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12097222222222 9.985222222222221, 78.12213888888888 9.985444444444443)"
36,LILO :34 ,T,DC,26,33-34,129.1087590647992,2.49,"=IF(H41>15,0)",162.380188,"80°3'10"" R",9.985444444444443,78.12213888888888,GOOD,Available,LT,,AGRI,LILO to Tiruppalai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12213888888888 9.985444444444443, 78.1213611111111 9.987416666666666)"
37,35,S,DA,26,34-35,233.23340749345627,3.01,"=IF(H42>15,0)",159.899597,,9.987416666666666,78.1213611111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1213611111111 9.987416666666666, 78.12055555555555 9.989527777777777)"
38,36,T,DC,26,35-36,251.3923956196965,4.07,"=IF(H43>15,0)",160.957123,"40°31'32"" L",9.989527777777777,78.12055555555555,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12055555555555 9.989527777777777, 78.12133333333333 9.991888888888887)"
39,37,S,DA,26,36-37,276.1386299422226,3.2,"=IF(H44>15,0)",161.20813,,9.991888888888887,78.12133333333333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12133333333333 9.991888888888887, 78.12208333333332 9.99425)"
40,38,S,DA,26,37-38,273.77704397023035,2.84,"=IF(H45>15,0)",162.505157,,9.99425,78.12208333333332,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12208333333332 9.99425, 78.12294444444444 9.99686111111111)"
41,39,S,DA,26,38-39,304.01599552353974,∞,"=IF(H46>15,0)",163.218200999999,,9.99686111111111,78.12294444444444,GOOD,Available,LT,Canal,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12294444444444 9.99686111111111, 78.1236111111111 9.998972222222221)"
42,40,S,DA,26,39-40,245.14348914913393,Not taken,"=IF(H47>15,0)",157.395905,,9.998972222222221,78.1236111111111,GOOD,Available,,,Paddy field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1236111111111 9.998972222222221, 78.12441666666666 10.001444444444445)"
43,41,S,DA,26,40-41,285.8251631988905,4.02,"=IF(H48>15,0)",160.274444999999,,10.001444444444445,78.12441666666666,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12441666666666 10.001444444444445, 78.12519444444443 10.003944444444445)"
44,42,S,DA,26,41-42,291.3302463992152,2.12,"=IF(H49>15,0)",158.920578,,10.003944444444445,78.12519444444443,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12519444444443 10.003944444444445, 78.1258611111111 10.006194444444445)"
45,43,S,DA,26,42-43,259.7389887206254,3.74,"=IF(H50>15,0)",161.761673,,10.006194444444445,78.1258611111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1258611111111 10.006194444444445, 78.12644444444443 10.008194444444445)"
46,44,T,DC,26,43-44,228.8018022042004,3.82,"=IF(H51>15,0)",168.220108,"39°10'28"" R",10.008194444444445,78.12644444444443,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12644444444443 10.008194444444445, 78.12830555555554 10.009416666666667)"
47,45,S,DA,26,44-45,244.74431059403338,4.58,"=IF(H52>15,0)",159.041153,,10.009416666666667,78.12830555555554,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12830555555554 10.009416666666667, 78.12997222222222 10.010555555555555)"
48,46,T,DC,26,45-46,221.34408835594624,5.49,"=IF(H53>15,0)",164.189117,"35°26'35"" L",10.010555555555555,78.12997222222222,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12997222222222 10.010555555555555, 78.13077777777777 10.01286111111111)"
49,47,S,DA,26,46-47,270.36102672371123,12,"=IF(H54>15,0)",166.631256,,10.01286111111111,78.13077777777777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13077777777777 10.01286111111111, 78.13166666666666 10.01511111111111)"
50,48,S,DA,26,47-48,267.17870074633953,5.05,"=IF(H55>15,0)",164.886383,,10.01511111111111,78.13166666666666,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13166666666666 10.01511111111111, 78.1325 10.017333333333335)"
51,49,S,DA,26,48-49,261.3959469963524,6.24,"=IF(H56>15,0)",166,,10.017333333333335,78.1325,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1325 10.017333333333335, 78.13324999999999 10.019361111111111)"
52,50,T,DC,26,49-50,239.66599140332806,5.58,"=IF(H57>15,0)",161.857819,"3°53'14"" R",10.019361111111111,78.13324999999999,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13324999999999 10.019361111111111, 78.13386111111112 10.020666666666667)"
53,50/1,T,DC,26,50-50/1,158.2678193256222,3.69,"=IF(H58>15,0)",162.162444999999,,10.020666666666667,78.13386111111112,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G58),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
