S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,,S,GCR,DA+0,24,10-Nov,305.9529865,0.48,FALSE,285.8756104,,10.2007091,77.75802992,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7580299228429 10.2007091045379, 77.7570626512169 10.2025134768337)"
12,12,2W,T,KCR,DB+0,22,11-Dec,231.140594,3.72,FALSE,288.7595215,8°28'22''RT,10.20251348,77.75706265,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7570626512169 10.2025134768337, 77.7562200184911 10.2048709709197)"
13,13,,T,KCR,DD+0,24,Dec-13,281.8247866,4.5,FALSE,282.0302734,56°21'29''LT,10.20487097,77.75622002,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7562200184911 10.2048709709197, 77.7544166520237 10.205321162939)"
14,14,,T,KCR,DC+0,22,13-14,208.9208604,4.68,FALSE,297.4112549,20°0'34''LT,10.20532116,77.75441665,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7544166520237 10.205321162939, 77.7514233905822 10.2050165645778)"
15,15,,T,KCR,DC+0,22,14-15,334.9366125,0.27,FALSE,308.2260742,28°14'10''RT,10.20501656,77.75142339,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7514233905822 10.2050165645778, 77.749631255865 10.2057472150772)"
16,16,,T,KCR,DD+0,24,15-16,217.4980214,5.93,FALSE,307.0244141,75°24'2''LT,10.20574722,77.74963126,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.749631255865 10.2057472150772, 77.7499569766223 10.2083865087479)"
17,17,,S,GCR,DA+0,24,16-17,299.3162026,0.15,FALSE,295.9693604,,10.20838651,77.74995698,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7499569766223 10.2083865087479, 77.750315638259 10.211079949513)"
18,18,,T,KCR,DB+0,22,17-18,305.7173716,3.75,FALSE,286.3563232,7°17'2''RT,10.21107995,77.75031564,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.750315638259 10.211079949513, 77.7509855199605 10.2135917544364)"
19,19,,T,KCR,DD+0,24,18-19,292.5683441,3.38,FALSE,280.107666,37°13'48''RT,10.21359175,77.75098552,Good,Good,LT,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7509855199605 10.2135917544364, 77.7520436514168 10.214409828186)"
20,20,,T,KCR,DB+0,22,19-20,152.1745675,3.18,0,275.0609131,15°42'40''RT,10.21440983,77.75204365,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7520436514168 10.214409828186, 77.7535411622375 10.2150170132517)"
21,21,,T,KCR,DB+0,22,20-21,182.4189026,1.49,FALSE,282.7513428,6°33'27''LT,10.21501701,77.75354116,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7535411622375 10.2150170132517, 77.7552496455609 10.215948075056)"
22,22,,T,KCR,DB+0,22,21-22,218.8061262,2.88,FALSE,267.8509521,10°24'34''RT,10.21594808,77.75524965,Good,Good,2 NO'S LT,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7552496455609 10.215948075056, 77.7568280417472 10.2164684236049)"
23,23,,T,KCR,DD+0,24,22-23,187.3974621,2.9,FALSE,274.8205566,42°4'40''LT,10.21646842,77.75682804,Good,Good,,,NEAR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7568280417472 10.2164684236049, 77.757009929046 10.2167866844683)"
24,GANTRY ,2W,T,,GANTRY,12,23-GANTRY ,45.48160535,NIL,,268.0914307,,10.21678668,77.75700993,NO E/W,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTOL KM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
