S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),"Ground Elevation
(m)","Deviation Angle
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,49/10,,S,,A+0,28,110-111,291,3.92,341.3912354,,10.30141943,77.98888438,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9888843838125 10.3014194313436, 77.991235088557 10.3008864261209)"
12,49/11,,S,,A+0,28,111-112,268,2.16,350.7641602,,10.30088643,77.99123509,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.991235088557 10.3008864261209, 77.9932751599699 10.3004959132522)"
13,49/12,2W,T,,A+0,28,112-113,232,1.89,358.4545898,1°52'28''RT,10.30049591,77.99327516,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9932751599699 10.3004959132522, 77.995912944898 10.2999017201364)"
14,49/13,,S,,B+0,25,113-114,301,2.26,360.6174316,,10.29990172,77.99591294,Good,Good,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.995912944898 10.2999017201364, 77.9982402641326 10.2993900049477)"
15,49/14,,S,,A+0,28,114-115,269,3.16,362.2998047,,10.29939,77.99824026,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9982402641326 10.2993900049477, 78.0008033663034 10.2988714165985)"
16,49/15,,S,,A+0,28,115-116,295,6.18,365.4241943,,10.29887142,78.00080337,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0008033663034 10.2988714165985, 78.0031086411327 10.298360036686)"
17,49/16,,S,,A+0,28,116-117,267,9.1,372.6339111,,10.29836004,78.00310864,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0031086411327 10.298360036686, 78.0053168535232 10.2979095093905)"
18,49/17,,T,,B+3,28,117-118,255,6.87,371.9129639,1°9'39''LT,10.29790951,78.00531685,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0053168535232 10.2979095093905, 78.0074946396052 10.2975105307996)"
19,49/18,,S,,A+0,28,118-119,251,5.66,363.7416992,,10.29751053,78.00749464,Good,Good,22KV,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0074946396052 10.2975105307996, 78.0100105516612 10.2970873285084)"
20,49/19,,S,,A+0,28,119-120,288,6.98,363.2611084,,10.29708733,78.01001055,Good,Good,LT,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0100105516612 10.2970873285084, 78.0123953707516 10.2966547384858)"
21,49/20,,S,,A+0,28,120-121,274,8.21,367.5870361,,10.29665474,78.01239537,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0123953707516 10.2966547384858, 78.0148161482065 10.2962586935609)"
22,49/21,,S,,A+0,28,121-122,277,5.6,364.9434814,,10.29625869,78.01481615,Good,Good,"22KV, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0148161482065 10.2962586935609, 78.0172215029597 10.2958180569112)"
23,49/22,,S,,A+0,28,122-123,276,3.02,362.0594482,,10.29581806,78.0172215,Good,Good,22KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0172215029597 10.2958180569112, 78.0195810925215 10.2954091038554)"
24,49/23,2W,T,,B+0,25,123-124,271,3.82,358.6948242,2°11'18''RT,10.2954091,78.01958109,Good,Good,"22KV, LT",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0195810925215 10.2954091038554, 78.0219882912933 10.2949838060885)"
25,49/24,,S,,A+0,28,124-125,276,3.96,358.4545898,,10.29498381,78.02198829,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0219882912933 10.2949838060885, 78.0239438731223 10.2946407347917)"
26,49/25,,S,,A+0,28,125-126,226,4.25,355.5706787,,10.29464073,78.02394387,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0239438731223 10.2946407347917, 78.0255981255322 10.294366646558)"
27,49/26,,S,,A+0,28,126-127,192,5.21,347.3994141,,10.29436665,78.02559813,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0255981255322 10.294366646558, 78.0278027337044 10.2939673326909)"
28,49/27,,S,,A+0,28,127-128,254,6.85,350.2834473,,10.29396733,78.02780273,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0278027337044 10.2939673326909, 78.0299082677811 10.29360816814)"
29,49/28,,T,,B+3,28,128-129,242,5.35,355.3303223,11°59'36''RT,10.29360817,78.02990827,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0299082677811 10.29360816814, 78.0323431268334 10.2926453389227)"
30,49/29,,S,,A+0,28,129-130,296,5.96,354.8496094,,10.29264534,78.03234313,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0323431268334 10.2926453389227, 78.0346325598657 10.2918198052793)"
31,49/30,,S,,A+3,31,130-131,275,3.24,356.291626,,10.29181981,78.03463256,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0346325598657 10.2918198052793, 78.0367315560579 10.2910227701067)"
32,49/31,,S,,A+0,28,131-132,255,3.39,355.8110352,,10.29102277,78.03673156,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0367315560579 10.2910227701067, 78.0390075780451 10.2901395689696)"
33,49/32,,T,,B+0,25,132-133,276,3.25,355.3303223,1°10'27''LT,10.29013957,78.03900758,Good,Good,LT,CAR TRACK,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0390075780451 10.2901395689696, 78.0414706841111 10.2892409451305)"
34,49/33,,S,,A+0,28,133-134,296,1.67,356.0512695,,10.28924095,78.04147068,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0414706841111 10.2892409451305, 78.0438633821904 10.2883318439126)"
35,49/34,,S,,A+0,28,134-135,289,2.48,354.609375,,10.28833184,78.04386338,Good,Good,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0438633821904 10.2883318439126, 78.0460857599973 10.2874808292835)"
36,49/35,,S,,A+0,28,135-136,269,1.89,355.5706787,,10.28748083,78.04608576,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0460857599973 10.2874808292835, 78.0480771325528 10.2867468260228)"
37,49/36,,S,,A+0,28,136-137,241,5.64,353.8884277,,10.28674683,78.04807713,Good,Good,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0480771325528 10.2867468260228, 78.0502928886562 10.2858901116997)"
38,49/37,,S,,A+0,28,137-138,269,4.61,355.3303223,,10.28589011,78.05029289,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0502928886562 10.2858901116997, 78.0525707546621 10.2850654162466)"
39,49/38,,T,,B+0,25,138-139,274,8.21,340.6702881,28°25'42''RT,10.28506542,78.05257075,Good,Good,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0525707546621 10.2850654162466, 78.0541123542934 10.2833391632884)"
40,49/39,,S,,A+0,28,139-140,264,2.89,344.0349121,,10.28333916,78.05411235,Good,Good,,POND,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0541123542934 10.2833391632884, 78.054571012035 10.2828710339963)"
41,LILO Kosavapatti Tapping Point : 140A ,3W,T,,DB+0,25,140-140ALILO,81,3.21,344.2752686,,10.28287103,78.05457101,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL KM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
