SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,3W,T ( T.OFF),"70°84'48""RT",PC ( T OFF),24.65,T9-T10,196.0617598,41.78,14,8.831151996,78.09568919,AVAILABLE,,,PLAIN LAND,"Sc Line, T OFF TTN TOWN, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0956891924142 8.83115199616021, 78.0944168195128 8.83178809439029)"
11,11,,T,"51°66'29""LT",PC+3,21.65,T10-T11,156.7931459,37.98,13,8.831788094,78.09441682,AVAILABLE,"LT LINE, 33KV LINE",IWE ROAD,PLAIN LAND,"Sc Line, LT line, 33kv line,  iwe road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0944168195128 8.83178809439029, 78.0941234529018 8.83320307771573)"
12,12,,S,,PA,20.9,T11-T12,159.9288549,44.68,14,8.833203078,78.09412345,AVAILABLE,33KV LINE,CANAL,PLAIN LAND,"Sc Line, canal, 33kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0941234529018 8.83320307771573, 78.0936369672417 8.83563116452036)"
13,13,,S,,PA,20.9,T12-T13,274.0647129,47.87,16,8.835631165,78.09363697,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0936369672417 8.83563116452036, 78.0931565165519 8.83801417917478)"
14,14,,S,,PA,20.9,T13-T14,269.0429898,41.78,16,8.838014179,78.09315652,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0931565165519 8.83801417917478, 78.0928034707903 8.84041374307497)"
15,15,,S,,PA,20.9,T14-T15,268.4518615,40.55,17,8.840413743,78.09280347,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0928034707903 8.84041374307497, 78.0921007320284 8.84275597800403)"
16,16,,S,,PA,20.9,T15-T16,270.5753053,39.87,16,8.842755978,78.09210073,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0921007320284 8.84275597800403, 78.0915478616952 8.84514524105918)"
17,17,,S,,PA,20.9,T16-T17,271.3971498,38.98,17,8.845145241,78.09154786,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0915478616952 8.84514524105918, 78.0910157784819 8.84760604653368)"
18,18,,S,,PA,20.9,T17-T18,278.6304529,40.98,17,8.847606047,78.09101578,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0910157784819 8.84760604653368, 78.0904706194996 8.84999461554247)"
19,19,,S,,PA,20.9,T18-T19,271.1329524,47.56,20,8.849994616,78.09047062,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0904706194996 8.84999461554247, 78.0899301543831 8.85235766030535)"
20,20,,S,,PA,20.9,T19-T20,268.2631271,39.98,20,8.85235766,78.08993015,AVAILABLE,MD 230KV LINE,,PLAIN LAND," Sc Line,md 230kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0899301543831 8.85235766030535, 78.0894875898957 8.8542386768161)"
21,21,2W,T,"05°56'98""RT",PB,20.85,T20-T21,213.8472526,44.68,19,8.854238677,78.08948759,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0894875898957 8.8542386768161, 78.088798597455 8.85684319629988)"
22,22,2W,S,,PA,20.9,T21-T22,298.1241269,41.78,18,8.856843196,78.0887986,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.088798597455 8.85684319629988, 78.0881488323211 8.85931816840132)"
23,23,,S,,PA+3,23.9,T22-T23,283.1564445,37.98,18,8.859318168,78.08814883,AVAILABLE,,MUD ROAD,PLAIN LAND,"Sc Line, MUD road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0881488323211 8.85931816840132, 78.0875342711806 8.86176032772412)"
24,24,,S,,PA+3,23.9,T23-T24,278.67875,33.58,19,8.861760328,78.08753427,AVAILABLE,"LT LINE, 11KV LINE",THAR ROAD,PLAIN LAND," Sc Line,LT line, 11kv line, thar road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0875342711806 8.86176032772412, 78.0869029462337 8.86421340278348)"
25,25,,S,,PA,20.9,T24-T25,280.30155,47.87,16,8.864213403,78.08690295,AVAILABLE,33KV LINE,NALA,PLAIN LAND,"Sc Line, nala, 33 kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0869029462337 8.86421340278348, 78.0862887203693 8.86665486703149)"
26,26,,S,,PA+3,23.9,T25-T26,278.5945032,44.78,17,8.866654867,78.08628872,AVAILABLE,,MUD ROAD,PLAIN LAND,"Sc Line,MUD road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0862887203693 8.86665486703149, 78.0856543779 8.869116191)"
27,27,,S,,PA+3,23.9,T26-T27,281.269319,40.55,17,8.869116191,78.08565438,AVAILABLE,22KV LINE,THAR ROAD,PLAIN LAND,"Sc Line,Thar road, 22kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0856543779 8.869116191, 78.08505725115 8.87127008455)"
28,28,,T,"24°80'59""LT",PB,20.85,T27-T28,247.3281679,39.87,18,8.871270085,78.08505725,AVAILABLE,,,PLAIN LAND,"SC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08505725115 8.87127008455, 78.08537978679 8.87322454476)"
29,29,,T,"58°10'16""RT",PC,21.65,T28-T29,219.247821,38.98,20,8.873224545,78.08537979,AVAILABLE,,RAILWAY CROSSING,PLAIN LAND,"Sc line,Dc tower,Railway crossing, RWC, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08537978679 8.87322454476, 78.08430723845 8.874165994599)"
30,30,2W,T,"34°61'50""LT",PC,21.65,T29-T30,157.4909176,37.58,21,8.874165995,78.08430724,AVAILABLE,33KV LINE,,PLAIN LAND,"Sc line, 33KV line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08430723845 8.874165994599, 78.08374732732 8.8763834604)"
31,31,,S,,PA,20.9,T30-T31,253.0896018,38.02,20,8.87638346,78.08374733,AVAILABLE,,,PLAIN LAND,"Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08374732732 8.8763834604, 78.0834529548883 8.87763993020972)"
32,32/1,3W,T (T.OFF),"104°92'32""LT",KCR (T OFF),26.24,T31-T32/1,142.8131024,42.35,21,8.87763993,78.08345295,AVAILABLE,,,PLAIN LAND,"DC Line,  T OFF Eppothumvenran) plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0834529548883 8.87763993020972, 78.0863232538104 8.87754982759425)"
34,2,,T,"25°68'24""LT",HCR,24.64,T32/1-T2,316.1505114,37.47,20,8.877549828,78.08632325,AVAILABLE,33KV LINE,,PLAIN LAND," dc line,  33kv Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0863232538104 8.87754982759425, 78.0879858881235 8.87668921399761)"
35,3,,T,"13°26'71""RT",HCR,24.64,T2-T3,206.3474478,41.27,20,8.876689214,78.08798589,AVAILABLE,,RAILWAY CROSSING,PLAIN LAND," dc line , plain land ,railway work on going, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0879858881235 8.87668921399761, 78.0904645845294 8.87606412502712)"
36,4,,S,,GCR,25.64,T3-T4,281.51787,44.2,19,8.876064125,78.09046458,AVAILABLE,33KV LINE,,PLAIN LAND,"dc line 33kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0904645845294 8.87606412502712, 78.0927414447069 8.87554835129089)"
37,5,,S,,GCR,25.64,T4-T5,257.081255,40.28,17,8.875548351,78.09274144,AVAILABLE,,,PLAIN LAND, dc line. Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0927414447069 8.87554835129089, 78.0951564386487 8.87497791860723)"
38,6,,S,,GCR+3,28.64,T5-T6,273.2633965,39.98,18,8.874977919,78.09515644,AVAILABLE,33KV LINE,THAR ROAD,PLAIN LAND," dc line , 33kv line,  thar road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0951564386487 8.87497791860723, 78.0974788963794 8.87442868583575)"
39,7,,S,,GCR,25.64,T6-T7,262.8097639,43.12,17,8.874428686,78.0974789,AVAILABLE,,,AGRI LAND,dc line agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0974788963794 8.87442868583575, 78.0995988473296 8.87396524934145)"
40,8,,S,,GCR,25.64,T7-T8,238.9579625,50,17,8.873965249,78.09959885,AVAILABLE,,,AGRI LAND,dc line agri land ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0995988473296 8.87396524934145, 78.1018361449241 8.87345974181898)"
41,9,,T,"02°84'41""RT",HCR,24.64,T8-T9,252.5811434,37.47,17,8.873459742,78.10183614,AVAILABLE,230KV LINE,,AGRI LAND,"dc line ,agri land, 230kv crs over hight indhu barath to chekkanurani, T.No.36 to T.No.37 earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1018361449241 8.87345974181898, 78.1021985784173 8.87339647051385)"
42,10,,DP,"67°99'35""LT",DP,8,T9-T10,40.50991929,38.85,16,8.873396471,78.10219858,AVAILABLE,,,PLAIN LAND,"Dp on left side, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1021985784173 8.87339647051385, 78.1022257357835 8.87326992787089)"
43,10A,,DP,"107°35'42""RT",DP,8,T10-T10A,14.32372584,44.14,17,8.873269928,78.10222574,AVAILABLE,,,PLAIN LAND,"Dp on right side, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1022257357835 8.87326992787089, 78.1025596708059 8.87345709171217)"
44,11,,DP,"64°24'02""LT",DP,8,T10A-T11,42.19874038,41.54,16,8.873457092,78.10255967,AVAILABLE,230KV LINE,,pLAIN LAND,"Dp on right 230kv crs ttps to chekkanurani @kinnimangalam, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1025596708059 8.87345709171217, 78.1025767698884 8.87319009335381)"
45,11A,,DP,"86°42'32""RT",DP,8,T11-T11A,29.61511211,36.87,16,8.873190093,78.10257677,AVAILABLE,,,PLAIN LAND,"Dp on right side, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1025767698884 8.87319009335381, 78.1028500199318 8.87319042461739)"
46,12,,T,"21°85'16""LT",HCR,24.64,T11A-T12,30.08265821,39.69,16,8.873190425,78.10285002,AVAILABLE,,,PLAIN LAND," dc line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1028500199318 8.87319042461739, 78.1048294901847 8.87240367274284)"
47,13,,S,,GCR,25.64,T12-T13,234.6779541,42.65,13,8.872403673,78.10482949,AVAILABLE,,,AGRI LAND," dc line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1048294901847 8.87240367274284, 78.1067935377359 8.87152515876202)"
48,14,,T,"06°25'03""RT",HCR,24.64,T13-T14,237.0849946,39.18,13,8.871525159,78.10679354,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1067935377359 8.87152515876202, 78.1072599068284 8.87137476437804)"
49,15,,DP,"69°15'47""RT",DP,8,T14-T15,53.97407549,42.59,16,8.871374764,78.10725991,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1072599068284 8.87137476437804, 78.1073745712637 8.87151654586945)"
50,16,,DP,"71°51'70""LT",DP,8,T15-T16,20.14188998,47.09,13,8.871516546,78.10737457,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1073745712637 8.87151654586945, 78.1077926605939 8.87136250756431)"
51,17,2W,T,"01°65'27""RT",HCR,24.64,T16-T17,49.08437174,40.76,13,8.871362508,78.10779266,AVAILABLE,230KV LINE,,PLAIN LAND," dc line, 230kv line ttps to Madurai, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1077926605939 8.87136250756431, 78.1106089800596 8.87041575028224)"
52,18,,S,,GCR,25.64,T17-T18,327.2825921,38.97,15,8.87041575,78.11060898,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1106089800596 8.87041575028224, 78.1127014383673 8.86931925786649)"
53,19,,S,,GCR,25.64,T18-T19,260.3793413,44.98,15,8.869319258,78.11270144,AVAILABLE,,,PLAIN LAND," dc line , 1 temple @ comp, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1127014383673 8.86931925786649, 78.1148143485188 8.86848313879066)"
54,20,,T,"14°66'40""RT",HCR+3,27.64,T19-T20,250.3483056,40.87,13,8.868483139,78.11481435,AVAILABLE,11KV LINE,ROAD,PLAIN LAND," dc line ,11kv  line,  road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1148143485188 8.86848313879066, 78.11558380723 8.86838872744417)"
55,21,,T,"06°83'47""RT",HCR+3,27.64,T20-T21,85.35302578,45.09,14,8.868388727,78.11558381,AVAILABLE,,SH ROAD,PLAIN LAND," dc line, sh road mud to tut way 11kv  line, lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11558380723 8.86838872744417, 78.1185573711991 8.86837845813835)"
56,22,,T,"06°23'26""LT",HCR,24.64,T21-T22,327.3626623,47.87,13,8.868378458,78.11855737,AVAILABLE,"11KVLINE, LT LINE",,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1185573711991 8.86837845813835, 78.1189030408859 8.868339699788)"
57,23,,DP,"98°7628""RT",DP,8,T22-T23,38.29546481,44.78,13,8.8683397,78.11890304,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1189030408859 8.868339699788, 78.1188983470201 8.86845431848746)"
58,23A,,DP,"105°04'31""LT",DP,8,T23-T23A,12.69788191,40.55,13,8.868454318,78.11889835,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1188983470201 8.86845431848746, 78.1191531568765 8.86839535280261)"
59,24,,DP,"62°75'52""RT",DP,8,T23A-T24,28.80095528,39.87,13,8.868395353,78.11915316,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1191531568765 8.86839535280261, 78.1191893666982 8.8684377550938)"
60,24A,,DP,"80°06'48""LT",DP,8,T24-T24A,6.158579219,38.98,13,8.868437755,78.11918937,AVAILABLE,,,PLAIN LAND," dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1191893666982 8.8684377550938, 78.1195571646094 8.8682230934443)"
61,25,,T,"07°50'94""RT",HCR,24.64,T24A-T25,46.94782902,38.76,12,8.868223093,78.11955716,AVAILABLE,230KV BRIDGE LINE,,AGRI LAND," dc line 230kv bridge line sipcot to kavanur, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1195571646094 8.8682230934443, 78.1220382079482 8.86718092260333)"
62,26,,S,,GCR,25.64,T25-T26,296.5013495,36.97,12,8.867180923,78.12203821,NOT AVAILABLE,,,PLAIN LAND,"dc line, T.No.47 to T.No.48 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1220382079482 8.86718092260333, 78.1240927800536 8.86613642991528)"
63,27,,S,,GCR,25.64,T26-T27,254.0251847,42.98,10,8.86613643,78.12409278,NOT AVAILABLE,,,PLAIN LAND,"dc line, T.No.48 to T.No.49 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1240927800536 8.86613642991528, 78.1263572350144 8.8651671327433)"
64,28,,S,,GCR,25.64,T27-T28,271.4039567,40.98,10,8.865167133,78.12635724,NOT AVAILABLE,,,PLAIN LAND,"dc line, T.No.49 to T.No.50 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1263572350144 8.8651671327433, 78.1285794451832 8.86394871660718)"
65,29,,S,,GCR,25.64,T28-T29,279.3578125,38.98,9,8.863948717,78.12857945,NOT AVAILABLE,,CANAL,PLAIN LAND," dc line ,canal,  4mtr T.No.50 to T.No.51 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1285794451832 8.86394871660718, 78.1308190897107 8.8627982073948)"
66,30,,S,,GCR,25.64,T29-T30,277.5116121,40.98,9,8.862798207,78.13081909,NOT AVAILABLE,,,PLAIN LAND,"dc line,T.No.51 to T.No.52 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1308190897107 8.8627982073948, 78.132864994 8.8620112611)"
67,31,,S,,GCR,25.64,T30-T31,242,44.56,9,8.862011261,78.13286499,NOT AVAILABLE,,,PLAIN LAND,"dc line, T.No.52 to T.No.53 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.132864994 8.8620112611, 78.1353151425719 8.86121173773221)"
68,32,3W,T(LILO) ,"09°07'97""RT",HCR,24.64,T31-T32,283,39.98,9,8.861211738,78.13531514,NOT AVAILABLE,,,PLAIN LAND,"dc line, T.No.53 to T.No.54 earth wire is not available, plain land (LILO to Arasaradi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1353151425719 8.86121173773221, 78.1377039849758 8.86203164095007)"
69,33,,S,,GCR+3,26.64,T32-T33,296.4163099,34..96,6,8.862031641,78.13770398,AVAILABLE,LT LINE,MUD ROAD,PLAIN LAND,"DC line,mud road, house 2,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1377039849758 8.86203164095007, 78.1401561945676 8.8631374307562)"
70,34,,S,,GCR,23.64,T33-T34,287.1653353,98.99,4,8.863137431,78.14015619,AVAILABLE,,,PLAIN LAND,"DC line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1401561945676 8.8631374307562, 78.1425309553742 8.86421075260994)"
71,35,,T,"69°23'45""RT",KCR,24,T34-T35,245.4637278,37.58,4,8.864210753,78.14253096,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1425309553742 8.86421075260994, 78.1442676857113 8.86282007140995)"
72,36,,S,,GCR,23.64,T35-T36,167.8402096,38.17,4,8.862820071,78.14426769,AVAILABLE,"LT LINE, 11KV LINE",,PLAIN LAND,"DC line,lt line,11kv line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1442676857113 8.86282007140995, 78.1454750150442 8.86189416235634)"
73,37,,S,,GCR,23.64,T36-T37,151.1598189,36.41,7,8.861894162,78.14547502,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1454750150442 8.86189416235634, 78.1465331465005 8.86102390510114)"
74,38,,T,"02°23'02""RT",HCR+3,24.94,T37-T38,146.3882148,40.18,6,8.861023905,78.14653315,AVAILABLE,22KV LINE,ROAD,PLAIN LAND,"DC line,22kv line,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1465331465005 8.86102390510114, 78.1475282460451 8.86014668900279)"
75,39,,S,,GCR,23.64,T38-T39,196.8825486,38.54,6,8.860146689,78.14752825,AVAILABLE,11KV LINE-3NOS,,PLAIN LAND,"DC line,11kv line-3Nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1475282460451 8.86014668900279, 78.1489441171288 8.859060104226)"
76,40,,T,"53°13'92""LT",KCR+3,27,T39-T40,104.617656,34.89,10,8.859060104,78.14894412,AVAILABLE,,ROAD,PLAIN LAND,"DC line ,road, fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1489441171288 8.859060104226, 78.1489424407482 8.85811497162385)"
77,41,,T,"78°00'95""LT",KCR,24,T40-T41,20.65636488,39.45,10,8.858114972,78.14894244,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1489424407482 8.85811497162385, 78.1487590447068 8.85807554963638)"
gantry,Ayyanarpuram ,2W,,,,,T41 - Ayyanarpuram,,,10,8.85807555,78.14875904,AVAILABLE,,,,Ayyanarpuram Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
