SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,37,,S,,GC,23.62,T36-T37,241.9083155,1.76,69,9.385737986,77.90832784,GOOD,AVAILABLE,11KV LINE,,AGRI LAND," DC LINE, agri land ,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90832784 9.385737986, 77.90804051 9.383691396)"
39,38,,T,"0°23'57""RT",HC+3,24.94,T37-T38,228.7475906,2.46,69,9.383691396,77.90804051,GOOD,AVAILABLE,"11KV LINE-2NOS, LT LINE",ROAD,PLAIN LAND," DC LINE,plain land, 11 kv  line-2nos, lt line, Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90804051 9.383691396, 77.90761068 9.381028529)"
40,39 (LILO),3W,T (LILO),"4°51'30""LT",HC,21.94,T38-T39,298.5410715,2.59,67,9.381028529,77.90761068,GOOD,AVAILABLE,,,PLAIN LAND," LILO, plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90761068 9.381028529, 77.90726334 9.376389138)"
41,40,,T,"15°25'46""RT",HC,21.94,T39-T40,514.9942058,2.72,67,9.376389138,77.90726334,GOOD,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"DC LINE,2Nos  LT line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90726334 9.376389138, 77.90670779 9.37484663)"
42,41,,T,"65°35'0""RT",KC,24,T40-T41,181.347801,2.89,68,9.37484663,77.90670779,GOOD,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"DC LINE,  Road , 2 nos Lt line, LiLo,, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90670779 9.37484663, 77.90622164 9.374806603)"
43,42,,T,"16°17'59""LT",HC,21.94,T41-T42,53.62984797,2.49,68,9.374806603,77.90622164,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90622164 9.374806603, 77.90358435 9.375291222)"
44,43,,S,,GC,23.62,T42-T43,294.8557833,1.53,69,9.375291222,77.90358435,GOOD,AVAILABLE,11KV LINE,ODAI(NALA),PLAIN LAND,"DC LINE, odai( nala),  11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90358435 9.375291222, 77.90088069 9.375842992)"
45,44,,S,,GC,23.62,T43-T44,303.4428191,1.82,74,9.375842992,77.90088069,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90088069 9.375842992, 77.89824542 9.376402039)"
46,45,,S,,GC,23.62,T44-T45,296.2460508,1.71,72,9.376402039,77.89824542,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89824542 9.376402039, 77.89575767 9.376908819)"
47,46,,S,,GC,23.62,T45-T46,279.1871766,1.38,75,9.376908819,77.89575767,GOOD,AVAILABLE,"11KV LINE, LT LINE",ODAI(NALA),PLAIN LAND,"DC LINE, 11 kv line , LT line , odai(Nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89575767 9.376908819, 77.89318576 9.37743313)"
48,47,,S,,GC,23.62,T46-T47,288.6381181,1.54,76,9.37743313,77.89318576,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89318576 9.37743313, 77.89055351 9.37796141)"
49,48,,S,,GC,23.62,T47-T48,295.226395,1.76,77,9.37796141,77.89055351,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89055351 9.37796141, 77.888106 9.378564119)"
50,49,,S,,GC,23.62,T48-T49,277.2138038,1.84,77,9.378564119,77.888106,GOOD,AVAILABLE,11KV LINE,,PLAIN LAND,"DC LINE, 11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.888106 9.378564119, 77.88570978 9.378973973)"
51,50,2W,T,"16°57'9""LT",HC,21.94,T49-T50,267.3044394,2.85,78,9.378973973,77.88570978,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88570978 9.378973973, 77.88335312 9.380239258)"
52,51,,S,,GC,23.62,T50-T51,294.5128993,1.36,79,9.380239258,77.88335312,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88335312 9.380239258, 77.881146 9.381441689)"
53,52,,S,,GC,23.62,T51-T52,276.7467851,1.84,77,9.381441689,77.881146,GOOD,AVAILABLE,765KV LINE,,PLAIN LAND,"DC LINE, 765 kv line and overheight, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.881146 9.381441689, 77.87873 9.382713581)"
54,53,,S,,GC,23.62,T52-T53,300.60656,1.9,78,9.382713581,77.87873,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87873 9.382713581, 77.87637368 9.384010608)"
55,54,,T,"10°21'48""LT",HC,21.94,T53-T54,296.1645165,2.38,77,9.384010608,77.87637368,GOOD,AVAILABLE,LT LINE,ODAI(NALA),PLAIN LAND,"DC LINE, odai(nala), Lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87637368 9.384010608, 77.87425742 9.385969537)"
56,55,,S,,GC+3,26.62,T54-T55,318.0318264,1.49,78,9.385969537,77.87425742,GOOD,AVAILABLE,"11KV LINE,LT LINE","CART TRACK, ROAD",PLAIN LAND,"DC LINE, 11kv line , Lt line,  cart track , Road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87425742 9.385969537, 77.87194066 9.387428307)"
57,56,,S,,GC+3,26.62,T55-T56,301.560296,1.72,78,9.387428307,77.87194066,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC LINE, Road , 2 nos LT line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.87194066 9.387428307, 77.8698197 9.389285335)"
58,57,,S,,GC,23.62,T56-T57,310.8357423,1.76,78,9.389285335,77.8698197,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8698197 9.389285335, 77.86767896 9.391051719)"
59,58,,S,,GC,23.62,T57-T58,305.9600833,1.47,78,9.391051719,77.86767896,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86767896 9.391051719, 77.86564015 9.392763515)"
60,59,,S,,GC,23.62,T58-T59,293.4898841,1.37,77,9.392763515,77.86564015,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.86564015 9.392763515, 77.8633133 9.394584599)"
61,60,,S,,GC,23.62,T59-T60,325,1.825,77,9.394584599,77.8633133,GOOD,AVAILABLE,,,PLAIN LAND,DC LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8633133 9.394584599, 77.861012 9.396308808)"
62,61,,T,"28°54'52""RT",HC,21.94,T60-T61,315.3066582,2.82,77,9.396308808,77.861012,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.861012 9.396308808, 77.8593269 9.396602538)"
63,62,2W,T,"11°38'45""LT",HC,21.94,T61-T62,188.0678575,2.52,78,9.396602538,77.8593269,GOOD,AVAILABLE,110KV LINE,,PLAIN LAND,"DC LINE, 4 dp pole connection, 110 kv cross on over head, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8593269 9.396602538, 77.85689481 9.397411949)"
64,63,,S,,GC,23.62,T62-T63,281.9625988,1.45,79,9.397411949,77.85689481,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85689481 9.397411949, 77.85395913 9.398460509)"
65,64,,S,,GC,23.62,T63-T64,342.9437012,1.86,81,9.398460509,77.85395913,GOOD, NOT AVAILABLE,110KV LINE,,PLAIN LAND,"DC LINE, 110kv over head cross , T63-T64 earth wire is not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85395913 9.398460509, 77.85103519 9.39915183)"
66,65,,S,,GC+3,26.62,T64-T65,330.3972537,1.58,81,9.39915183,77.85103519,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE, Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.85103519 9.39915183, 77.84851357 9.400469965)"
67,66,,S,,GC,23.62,T65-T66,313.2427379,1.32,83,9.400469965,77.84851357,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84851357 9.400469965, 77.84593999 9.401310129)"
68,67,,S,,GC,23.62,T66-T67,297.7916074,2.33,84,9.401310129,77.84593999,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.84593999 9.401310129, 77.84332719 9.402179068)"
