,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,T.NO-15,,DA,S,32,14-15,315.2649679,8.84,163,,9.01985867,77.33769851,GOOD,GOOD,NO,2nos 11KV,"2nos TAAR ROAD,RIVER ,NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33769851 9.01985867, 77.33933102 9.0220716)"
17,T.NO-16,,DC,T,26,15-16,303.644529,3.04,166,"27°22'58.22""",9.0220716,77.33933102,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33933102 9.0220716, 77.3418847 9.02332966)"
18,T.NO-17,,DA,S,26,16-17,313.4980064,9.98,171,,9.02332966,77.3418847,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3418847 9.02332966, 77.34371788 9.02423079)"
19,T.NO-18,,DA,T,26,17-18,224.9488831,1.9,170,"25°18'46.68""",9.02423079,77.34371788,GOOD,GOOD,NO,"2nos 11KV,33KV,LT","POND ,LANA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34371788 9.02423079, 77.3454227 9.02637091)"
20,T.NO-19,,DA,S,26,18-19,302.0595968,4.33,171,,9.02637091,77.3454227,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3454227 9.02637091, 77.34709945 9.02838466)"
21,T.NO-20,,DA,S,29,19-20,289.2490277,3.88,169,,9.02838466,77.34709945,GOOD,GOOD,NO,2nos 11KV,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34709945 9.02838466, 77.34867616 9.03039001)"
22,T.NO-21,,DC,T,26,20-21,281.625638,4.34,170,"28°4'31.88""",9.03039001,77.34867616,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34867616 9.03039001, 77.35110142 9.03145901)"
23,T.NO-22,,DA,S,26,21-22,291.8150099,5,166,,9.03145901,77.35110142,GOOD,GOOD,NO,"2nos LT,11KV",MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35110142 9.03145901, 77.35362687 9.03255447)"
24,T.NO-23,,DA,S,26,22-23,303.0808473,7.32,169,,9.03255447,77.35362687,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35362687 9.03255447, 77.35597912 9.03357872)"
25,T.NO-24,,DC,T,26,23-24,282.4694674,4.73,166,"23°25'5.31""",9.03357872,77.35597912,GOOD,GOOD,NO,,"NALA,MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35597912 9.03357872, 77.35782846 9.03555514)"
26,T.NO-25,,DA,S,26,24-25,298.6703869,2.1,170,,9.03555514,77.35782846,GOOD,GOOD,NO,"LT,11KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35782846 9.03555514, 77.35975061 9.03754012)"
27,T.NO-26,,DA,S,26,25-26,304.862264,5.23,169,,9.03754012,77.35975061,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35975061 9.03754012, 77.36182862 9.0397229)"
28,T.NO-27,2W,DB,T,27,26-27,332.5327052,2.33,171,"9°10'8.38""",9.0397229,77.36182862,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36182862 9.0397229, 77.36310451 9.04158549)"
29,T.NO-28,,DA,S,26,27-28,249.3391265,3.87,176,,9.04158549,77.36310451,GOOD,GOOD,NO,11KV,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36310451 9.04158549, 77.36451796 9.04362793)"
30,T.NO-29,,DA,S,26,28-29,274.3082208,9.23,180,,9.04362793,77.36451796,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36451796 9.04362793, 77.36596779 9.04567013)"
31,T.NO-30,,DA,S,26,29-30,276.5736792,8.6,184,,9.04567013,77.36596779,GOOD,GOOD,NO,"2nos 11KV,33KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36596779 9.04567013, 77.36742732 9.04780263)"
32,T.NO-31,,DA,S,26,30-31,285.3944639,9.97,190,,9.04780263,77.36742732,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36742732 9.04780263, 77.36889597 9.04993507)"
33,T.NO-32,,DC,T,26,31-32,285.9527933,11.29,194,"21°11'39.03""",9.04993507,77.36889597,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36889597 9.04993507, 77.37107865 9.05142119)"
34,T.NO-33,,DA,S,26,32-33,290.9931271,8.33,185,,9.05142119,77.37107865,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37107865 9.05142119, 77.37329789 9.05293418)"
35,T.NO-34,,DA,S,26,33-34,295.9898647,9.49,176,,9.05293418,77.37329789,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37329789 9.05293418, 77.37553534 9.05444702)"
36,T.NO-35,,DA,S,26,34-35,297.6340034,4.19,174,,9.05444702,77.37553534,GOOD,GOOD,NO,3nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37553534 9.05444702, 77.37779092 9.0559507)"
37,T.NO-36,,DA,S,26,35-36,298.7189314,2.97,176,,9.0559507,77.37779092,GOOD,GOOD,NO,"11KV,33KV,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37779092 9.0559507, 77.37996482 9.05747296)"
38,T.NO-37,,DC,T,29,36-37,292.4790591,3.28,170,"23°1'38.32""",9.05747296,77.37996482,GOOD,GOOD,NO,"LT,11KV",TAARROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37996482 9.05747296, 77.38296029 9.05811321)"
39,T.NO-38,,DA,S,26,37-38,337.0014837,4.54,175,,9.05811321,77.38296029,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38296029 9.05811321, 77.38546399 9.05863011)"
40,T.NO-39,,DD,T,28,38-39,281.2578888,8.66,178,"45°9'20.84""",9.05863011,77.38546399,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38546399 9.05863011, 77.3868692 9.06077188)"
41,T.NO-40,,DA,S,26,39-40,282.9363886,5.08,180,,9.06077188,77.3868692,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3868692 9.06077188, 77.38822855 9.06285068)"
42,T.NO-41,,DA,S,26,40-41,274.3446737,6.79,184,,9.06285068,77.38822855,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38822855 9.06285068, 77.38973518 9.06519964)"
43,T.NO-42,2W,DB,T,24,41-42,308.2482766,3.38,183,"14°45'41.83""",9.06519964,77.38973518,GOOD,GOOD,NO,,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38973518 9.06519964, 77.39186659 9.06715588)"
44,T.NO-43,,DA,S,26,42-43,319.0814943,9.79,181,,9.06715588,77.39186659,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39186659 9.06715588, 77.39378741 9.06888754)"
45,T.NO-44,,DA,S,26,43-44,285.2174609,5.98,182,,9.06888754,77.39378741,GOOD,GOOD,NO,33KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39378741 9.06888754, 77.39600111 9.07090647)"
46,T.NO-45,,DA,S,26,44-45,330.4375887,6.4,184,,9.07090647,77.39600111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39600111 9.07090647, 77.39791306 9.07266528)"
47,T.NO-46,,DC,T,26,45-46,286.5257406,2.91,186,"18°48'30.59""",9.07266528,77.39791306,GOOD,GOOD,NO,33KV,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39791306 9.07266528, 77.40051198 9.07381404)"
48,T.NO-47,,DA,S,26,46-47,312.83542,4.79,191,,9.07381404,77.40051198,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40051198 9.07381404, 77.40301084 9.07495441)"
49,T.NO-48,,DA,S,26,47-48,302.4235441,7.97,190,,9.07495441,77.40301084,GOOD,GOOD,NO,,POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40301084 9.07495441, 77.40560961 9.07607601)"
50,T.NO-49,,DA,S,26,48-49,311.6103336,2.96,185,,9.07607601,77.40560961,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40560961 9.07607601, 77.40827305 9.07735081)"
51,T.NO-50,,DA,S,26,49-50,325.1353564,4.66,184,,9.07735081,77.40827305,GOOD,GOOD,NO,"11KV,3KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40827305 9.07735081, 77.41078081 9.0784549)"
52,T.NO-51,,DC,T,26,50-51,301.6637201,3.7,185,"28°45'59.65""",9.0784549,77.41078081,GOOD,GOOD,NO,,"NALA,2nos MUDROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41078081 9.0784549, 77.41214746 9.08023528)"
53,T.NO-52,,DA,S,26,51-52,247.8003228,3.03,180,,9.08023528,77.41214746,GOOD,GOOD,NO,11KV,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41214746 9.08023528, 77.41344049 9.08188057)"
54,T.NO-53,,DA,S,26,52-53,231.0194797,4.14,178,,9.08188057,77.41344049,GOOD,GOOD,YES,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41344049 9.08188057, 77.41486197 9.08369671)"
55,T.NO-54,2W,DD,T,28,53-54,254.6153962,4.9,181,"32°41'36.09""",9.08369671,77.41486197,GOOD,GOOD,NO,"400KV DC LINE CROSSING ABOVE OUR LINE,33KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41486197 9.08369671, 77.41724068 9.08453048)"
56,T.NO-55,,DA,S,26,54-55,277.4112471,4.18,178,,9.08453048,77.41724068,GOOD,GOOD,NO,"2nos 11KV,2nos LT",MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41724068 9.08453048, 77.41936433 9.08529361)"
57,T.NO-56,,DA,S,26,55-56,248.3646513,2.33,180,,9.08529361,77.41936433,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41936433 9.08529361, 77.42177935 9.08611806)"
58,T.NO-57,,DA,S,26,56-57,280.8451531,4.89,184,,9.08611806,77.42177935,GOOD,GOOD,NO,2nos 11KV,"NALA,MUDROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42177935 9.08611806, 77.42415808 9.08695177)"
59,T.NO-58,,DB,T,24,57-58,277.4112471,4.26,180,"9°20'15.18""",9.08695177,77.42415808,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42415808 9.08695177, 77.4261384 9.08803211)"
60,T.NO-59,,DA,S,26,58-59,248.4552274,4.14,181,,9.08803211,77.4261384,GOOD,GOOD,NO,"11KV,33KV","TAARROAD, NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4261384 9.08803211, 77.4275432 9.0887096)"
,T.NO-1 LILO 110KV ECHANTHA,3W,DB,T,24,59-01,171.7323499,1.07,178,"11°26'57.62""",9.0887096,77.4275432,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4275432 9.0887096, 77.42822864 9.0892292)"
61,T.NO-60 ,,DA,S,26,Jan-60,94.81033699,3.27,179,,9.0892292,77.42822864,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42822864 9.0892292, 77.43045551 9.09046151)"
62,T.NO-61,,DA,S,26,60-61,280.3212443,7.28,181,,9.09046151,77.43045551,GOOD,GOOD,NO,2nos 11KV,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43045551 9.09046151, 77.43293776 9.09180958)"
63,T.NO-62,,DA,S,29,61-62,311.1028769,5.19,181,,9.09180958,77.43293776,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43293776 9.09180958, 77.43533875 9.0932395)"
64,T.NO-63,,DA,S,29,62-63,307.8457406,3.94,182,,9.0932395,77.43533875,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43533875 9.0932395, 77.43775727 9.09456988)"
65,T.NO-64,,DB,T,24,63-64,304.0164469,11.32,177,"1°15'8.97""",9.09456988,77.43775727,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43775727 9.09456988, 77.4386062 9.09506125)"
66,T.NO-65,,DD,T,34,64-65,108.0462864,1.78,176,"37°49'56.49""",9.09506125,77.4386062,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4386062 9.09506125, 77.44039581 9.09482334)"
67,T.NO-66,,DD,T,28,65-66,198.5799587,1.5,178,"87°9'58.78""",9.09482334,77.44039581,GOOD,GOOD,YES,"11KV,LT",TAAR ROAD,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44039581 9.09482334, 77.44037604 9.09458851)"
68,GANTRY110KV VEERASIGAMANI SS,2W,GANTRY,GANTRY,20,66-GANTRY,26.07680962,,179,,9.09458851,77.44037604,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
