S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,18,,S,DA,26,17-18,310.1912449,1.1,FALSE,219.203964,,10.12913889,77.92869444,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92869444444445 10.129138888888889, 77.92769444444446 10.131583333333333)"
36,19,,T,DB,25,18-19,292.1820147,5.27,FALSE,219.43013,"2°29'24""L",10.13158333,77.92769444,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92769444444446 10.131583333333333, 77.92697222222223 10.133638888888889)"
37,20,,S,DA,26,19-20,240.8005121,3.45,FALSE,219.469727,,10.13363889,77.92697222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92697222222223 10.133638888888889, 77.92608333333334 10.136138888888889)"
38,21,,S,DA,26,20-21,292.8679171,2.17,FALSE,222.04892,,10.13613889,77.92608333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92608333333334 10.136138888888889, 77.92530555555555 10.138472222222221)"
39,22,,T,DB,25,21-22,271.2309368,1.92,FALSE,222.07222,"1°53'24""R",10.13847222,77.92530556,GOOD,Available,2-HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92530555555555 10.138472222222221, 77.92472222222223 10.140083333333333)"
40,23,,T,DC,26,22-23,191.2497634,2.01,FALSE,223.149796,"82°30'36""R",10.14008333,77.92472222,GOOD,Available,"2-HT ,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92472222222223 10.140083333333333, 77.92444444444445 10.140027777777778)"
41,Gantry (Ammaiyanaikanur SS),2W,Gantry,H-POLE,12,23-Gantry,31.82658902,,,223.366425,,10.14002778,77.92444444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1.Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/s. SPTL;,,,,,,,,,,,,,,,,,For TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
