S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type ,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57,65,,S,DA,26,66-65,283.7040712,1.66,116,"45°20'49""",9.384520948,77.67602256,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.676022555679 9.38452094793319, 77.6784329395741 9.38561403192579)"
58,64,,S,DA,26,65-64,291.2473176,1.92,114,,9.385614032,77.67843294,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6784329395741 9.38561403192579, 77.6808612607419 9.38667090609669)"
59,63,,S,DA,26,64-63,291.4052162,2.18,114,,9.386670906,77.68086126,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6808612607419 9.38667090609669, 77.6832629274576 9.38781822100281)"
60,62,,S,DA,26,63-62,292.9334395,2.66,106,,9.387818221,77.68326293,GOOD,GOOD,LT-1,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6832629274576 9.38781822100281, 77.685663672164 9.38883905299007)"
61,61,,S,DA,26,62-61,287.0435507,2.01,109,,9.388839053,77.68566367,GOOD,GOOD,,MUD ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.685663672164 9.38883905299007, 77.6881287060678 9.38993171788752)"
62,60,,S,DA,26,61-60,296.6968149,1.18,111,,9.389931718,77.68812871,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6881287060678 9.38993171788752, 77.6904297899454 9.39100745134055)"
63,59,2W,T,DD,28,60-59,279.544272,2.07,107,"45°20'49""",9.391007451,77.69042979,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6904297899454 9.39100745134055, 77.6921715494245 9.39034360460937)"
64,58,,T,DC,26,59-58,205.0560899,1.84,109,"24°58'11""",9.390343605,77.69217155,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6921715494245 9.39034360460937, 77.6931464485824 9.38934230245649)"
65,57,,T,DC,26,58-57,154.1557654,1.57,115,"20°37'38""",9.389342302,77.69314645,GOOD,GOOD,,MUD ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6931464485824 9.38934230245649, 77.6955123245716 9.38820387236774)"
66,56,,S,DA,26,57-56,288.9584745,2.16,115,,9.388203872,77.69551232,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6955123245716 9.38820387236774, 77.6979511231184 9.38708296045661)"
67,55,2W,T,DD,28,56-55,295.372646,1.43,112,"39°29'0""",9.38708296,77.69795112,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6979511231184 9.38708296045661, 77.7003574836999 9.38765192404389)"
68,54,,S,DA,26,55-54,271.8841665,1.39,111,,9.387651924,77.70035748,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7003574836999 9.38765192404389, 77.7028915844857 9.38827402889728)"
69,53,,S,DA,26,54-53,286.9233347,1.88,110,,9.388274029,77.70289158,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7028915844857 9.38827402889728, 77.7054078318178 9.38893242739141)"
70,52,,S,DA,26,53-52,286.0087411,1.45,106,,9.388932427,77.70540783,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7054078318178 9.38893242739141, 77.7079327963292 9.3895455636084)"
71,51,,S,DA,26,52-51,285.7078928,1.38,106,,9.389545564,77.7079328,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7079327963292 9.3895455636084, 77.7103485446423 9.39014143310487)"
72,50,,S,DA,26,51-50,273.5854528,2.09,104,,9.390141433,77.71034854,GOOD,GOOD,HT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7103485446423 9.39014143310487, 77.7127007581293 9.39077393151819)"
73,49,,T,DC,26,50-49,267.8581714,3.16,104,"18°33'36""",9.390773932,77.71270076,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7127007581293 9.39077393151819, 77.7150831464678 9.39059296622872)"
74,48,,S,DA,26,49-48,262.6175927,2.62,97,,9.390592966,77.71508315,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7150831464678 9.39059296622872, 77.717811204493 9.39041845500469)"
75,47,,S,DA,26,48-47,300.4812806,1.96,98,,9.390418455,77.7178112,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.717811204493 9.39041845500469, 77.7206207346171 9.39017998985946)"
76,46,,S,DA,26,47-46,309.9306374,2.06,103,,9.39017999,77.72062073,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7206207346171 9.39017998985946, 77.723366562277 9.38995099626481)"
77,45,,S,DA,26,46-45,302.8745615,,103,,9.389950996,77.72336656,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.723366562277 9.38995099626481, 77.7262308262288 9.38973013311624)"
78,44,2W,S,DA,26,45-44,315.7673194,3.1,102,,9.389730133,77.72623083,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7262308262288 9.38973013311624, 77.7289496641606 9.38953743316233)"
79,43,,S,DA,26,44-43,299.6030707,2.73,99,,9.389537433,77.72894966,GOOD,GOOD,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7289496641606 9.38953743316233, 77.7317773830145 9.38931682147085)"
80,42,,S,DA,26,43-42,311.777164,2.18,109,,9.389316821,77.73177738,GOOD,GOOD,400 KV CROSSING ABOVE,,PLAIN,TIRUNELVELI - CHEKKAURANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7317773830145 9.38931682147085, 77.7344961371272 9.38911515288054)"
81,41,,S,DA,26,42-41,299.6681498,1.46,107,,9.389115153,77.73449614,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7344961371272 9.38911515288054, 77.7372694574296 9.38890392892062)"
82,40,,S,DA,26,41-40,305.722096,1.18,108,,9.388903929,77.73726946,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7372694574296 9.38890392892062, 77.7400336414575 9.38870175741612)"
83,39,,S,DA,26,40-39,304.6571844,1.37,110,,9.388701757,77.74003364,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7400336414575 9.38870175741612, 77.7428066264837 9.38846345990896)"
84,38,2W,S,DA,26,39-38,305.9428051,1.52,113,,9.38846346,77.74280663,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7428066264837 9.38846345990896, 77.7455434855073 9.38825248740613)"
85, LILO : 37 ,3W,T,DD,28,38-37,301.7316689,1.69,117,"33°27'4""",9.388252487,77.74554349,GOOD,GOOD,LT-2,ROAD-1,AGRI,LILO to SIVAKASI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7455434855073 9.38825248740613, 77.7478558849543 9.38959878869354)"
86,36,,S,DA,26,37-36,294.6353679,1.81,111,,9.389598789,77.74785588,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7478558849543 9.38959878869354, 77.75026794523 9.39089010469615)"
87,35,,S,DA,26,36-35,301.1992696,1.08,114,,9.390890105,77.75026795,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75026794523 9.39089010469615, 77.7526711206883 9.392208494246)"
88,34,,S,DA,26,35-34,301.7830346,1.16,117,,9.392208494,77.75267112,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7526711206883 9.392208494246, 77.7550379186868 9.39352721907198)"
89,33,,S,DA,26,34-33,298.3035367,,121,,9.393527219,77.75503792,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7550379186868 9.39352721907198, 77.7574863564223 9.39480914734304)"
90,32,,S,DA,26,33-32,304.2367499,1.32,119,,9.394809147,77.75748636,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7574863564223 9.39480914734304, 77.7598534896969 9.39616399817168)"
91,31,,S,DA,26,32-31,300.308175,1.06,115,,9.396163998,77.75985349,GOOD,GOOD,LT-1,ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7598534896969 9.39616399817168, 77.7622751891613 9.39750929363071)"
92,30,,S,DA,26,31-30,305.0016393,1.13,114,,9.397509294,77.76227519,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7622751891613 9.39750929363071, 77.764669060707 9.3987915571779)"
93, LILO : 29 ,3W,T,DC,26,30-29,298.9648809,1.17,114,"18°48'51""",9.398791557,77.76466906,GOOD,GOOD,,,AGRI,LILO to VENBAKOTTAI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.764669060707 9.3987915571779, 77.7673384454101 9.39924954436719)"
94,28,,S,DA,26,29-28,297.7549328,1.23,112,,9.399249544,77.76733845,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7673384454101 9.39924954436719, 77.7700266055762 9.39977953210473)"
