SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA    ( Plain / Hills / Forest / Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,28,,s,,GC,23.62,T27-T28,294.3614467,40.57,93,8.435576871,77.61180997,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61180997161352 8.435576871217387, 77.61105660621791 8.432729347463152)"
30,29,,s,,GC,23.62,T28-T29,325.8806817,39.62,93,8.432729347,77.61105661,AVAILABLE,"33KV LINE,LT LINE-2NOS",ODAI (NALA),AGRI LAND,"DC line,33kv line, LT line-2NOS,odai( nala) ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61105660621791 8.432729347463152, 77.61040717070362 8.430199853046819)"
31,30,2W,T,"43°38'36""RT",KC,24,T29-T30,288.9363614,39.32,94,8.430199853,77.61040717,AVAILABLE,,POND,AGRI LAND,"DC line,agri land ,pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61040717070362 8.430199853046819, 77.60858863448708 8.429055688582867)"
32,31,,s,,GC,23.62,T30-T31,237.0453228,40.47,97,8.429055689,77.60858863,AVAILABLE,11KV LINE-2NOS,,PLAIN LAND,"DC line,pond , 11kv line-2NOS ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60858863448708 8.429055688582867, 77.6070456967579 8.428142351132957)"
33,32,,s,,GC,23.62,T31-T32,197.7992645,39.74,99,8.428142351,77.6070457,AVAILABLE,LT LINE,,PLAIN LAND,"DC line,plain land, LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6070456967579 8.428142351132957, 77.60511852641422 8.426989554169118)"
34,33,,s,,GC,23.62,T32-T33,247.7387698,39.82,100,8.426989554,77.60511853,AVAILABLE,,CART TRACK,PLAIN LAND," DC line,plain land, cart track ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60511852641422 8.426989554169118, 77.60330636432954 8.426027793266815)"
35,34,,s,,GC,23.62,T33-T34,226.2852016,39.71,102,8.426027793,77.60330636,AVAILABLE,,,PLAIN LAND," DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60330636432954 8.426027793266815, 77.60089304239487 8.424527764736554)"
36,35,,s,,GC,23.62,T34-T35,313.4955787,39.38,107,8.424527765,77.60089304,AVAILABLE,,,"PLAIN LAND,AGRI LAND"," DC line,plain land, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60089304239487 8.424527764736554, 77.59988888867949 8.423745076759387)"
37,36,,s,,GC,23.62,T35-T36,140.5232602,36.54,109,8.423745077,77.59988889,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59988888867949 8.423745076759387, 77.59662598219602 8.421960824487659)"
38,37,,S,,GC,23.62,T36-T37,410.2083675,39.74,111,8.421960824,77.59662598,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59662598219602 8.421960824487659, 77.59890284535635 8.423173318451038)"
39,38,,S,,GC,23.62,T37-T38,284.5272674,39.37,115,8.423173318,77.59890285,AVAILABLE,,,PLAIN LAND,"DC line,plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59890284535635 8.423173318451038, 77.59452011335064 8.420711503405547)"
40,39,,s,,GC,23.62,T38-T39,554.5016019,40.67,122,8.420711503,77.59452011,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59452011335064 8.420711503405547, 77.5924595103858 8.419415419702784)"
41,40,,s,,GC,23.62,T39-T40,268.5773407,39.36,130,8.41941542,77.59245951,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5924595103858 8.419415419702784, 77.59005054501318 8.418069919474732)"
42,41,,s,,GC,23.62,T40-T41,304.3677325,39.84,140,8.418069919,77.59005055,AVAILABLE,,,PLAIN LAND,"DC line,plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59005054501318 8.418069919474732, 77.58784912728058 8.416771833380823)"
43,42,,s,,GC,23.62,T41-T42,281.931431,39.95,140,8.416771833,77.58784913,AVAILABLE,11KV LINE,,PLAIN LAND,"DC line,plain land, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58784912728058 8.416771833380823, 77.58585188425299 8.415329135834117)"
44,43,2W,T,"40°14'32""LT",KC,24,T42-T43,271.9003263,39.67,139,8.415329136,77.58585188,AVAILABLE,11KV LINE,,PLAIN LAND,"DC line,11 kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58585188425299 8.415329135834117, 77.58504688325644 8.412952759099747)"
45,44,,T,"34°00'15""LT",KC,24,T43-T44,277.5417358,40.68,139,8.412952759,77.58504688,AVAILABLE,11KV LINE,,PLAIN LAND,"DC line, 11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58504688325644 8.412952759099747, 77.58577879464762 8.41030038392027)"
46,45,,T,"16°07'06""RT",HC,21.94,T44-T45,304.4025255,38.37,140,8.410300384,77.58577879,AVAILABLE,,,PLAIN LAND," DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58577879464762 8.41030038392027, 77.58579957916072 8.408274538893536)"
47,46,,s,,GC,23.62,T45-T46,224.2017157,40.94,136,8.408274539,77.58579958,AVAILABLE,,,PLAIN LAND,"DC line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58579957916072 8.408274538893536, 77.58551660878283 8.404593966525454)"
48,47,,T,"07°35'48""RT",HC,21.94,T46-T47,253.4059304,39.69,131,8.404593967,77.58551661,AVAILABLE,,,PLAIN LAND,"DC line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58551660878283 8.404593966525454, 77.58572179708523 8.405986002797595)"
49,48,3W,T(LILO),,KC,24,T47-T48,155.7006977,40.53,129,8.405986003,77.5857218,AVAILABLE,,,PLAIN LAND,"DC Line,LILO,Plain Land (VALLIYUR TO ANNA NAGAR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
