S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,T,DC,26,09-Oct,261.2833711,2.18,119,"17°53'54""",9.407680146,77.74174791,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7417479082942 9.40768014639616, 77.7398565318435 9.40896878018975)"
12,11,,S,DA,26,10-Nov,252.1150531,2.03,120,,9.40896878,77.73985653,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7398565318435 9.40896878018975, 77.7379467990249 9.41024852916598)"
13,12,,T,DB,24,11-Dec,253.2212471,2.23,122,"3°10'5""",9.410248529,77.7379468,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7379467990249 9.41024852916598, 77.7359389141201 9.41177294589579)"
14,13,,T,DC,26,Dec-13,277.800288,2.11,124,"17°2'16""",9.411772946,77.73593891,GOOD,Available,"LT,HT",TARROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7359389141201 9.41177294589579, 77.7346698101609 9.41353557631373)"
15,14,,T,DC,26,13-14,239.827021,1.82,127,"23°33'56""",9.413535576,77.73466981,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7346698101609 9.41353557631373, 77.7342054527252 9.41580698825419)"
16,15,,S,DA,26,14-15,256.5345981,1.55,124,,9.415806988,77.73420545,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7342054527252 9.41580698825419, 77.7336956653743 9.41808778792619)"
17,16,2W,T,DB,24,15-16,258.5884762,1.61,125,"14°16'38""",9.418087788,77.73369567,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7336956653743 9.41808778792619, 77.733795242384 9.42032768391072)"
18,17,,S,DA,26,16-17,248.1632527,2.09,125,,9.420327684,77.73379524,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.733795242384 9.42032768391072, 77.7338767983019 9.42260387353599)"
19,18,,T,DB,24,17-18,252.0972035,2.15,124,"6°21'41""",9.422603874,77.7338768,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7338767983019 9.42260387353599, 77.7342217974364 9.42481485195457)"
20,19,,S,DA,26,18-19,247.6307735,2.42,121,,9.424814852,77.7342218,GOOD,Available,LT,TARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7342217974364 9.42481485195457, 77.7345674671232 9.42711610347032)"
21,20,,T,DB,24,19-20,257.5286392,2.14,127,"12°36'59""",9.427116103,77.73456747,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7345674671232 9.42711610347032, 77.7343870047479 9.42962019704282)"
22,21,,S,DA,26,20-21,277.8722728,1.43,119,,9.429620197,77.734387,GOOD,Available,LT,,LAKE BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7343870047479 9.42962019704282, 77.7342900261282 9.43116598762571)"
23,22,,S,DA,26,21-22,171.4205355,Not Taken,119,,9.431165988,77.73429003,GOOD,Available,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7342900261282 9.43116598762571, 77.7340931352227 9.43389605730772)"
24,23,,T,DD,28,22-23,302.9521414,1.24,119,"44°56'36""",9.433896057,77.73409314,GOOD,Available,,,LAKE BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7340931352227 9.43389605730772, 77.7357184700667 9.43576270714402)"
25,24,,S,DA,26,23-24,273.117191,1.66,118,,9.435762707,77.73571847,GOOD,Available,,,LAKE BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7357184700667 9.43576270714402, 77.7373344171792 9.43760236725211)"
26,25,,T,DC,26,24-25,270.1869723,2.18,123,"15°6'49""",9.437602367,77.73733442,GOOD,Available,HT,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7373344171792 9.43760236725211, 77.7383888605982 9.43976255133748)"
27,26,,T,DC,26,25-26,265.6990779,1.8,120,"24°30'58""",9.439762551,77.73838886,GOOD,Available,"LT,HT","TARROAD, MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7383888605982 9.43976255133748, 77.7384435944259 9.4420840870589)"
28,27,,T,DB,24,26-27,257.0311265,2.34,122,"6°3'20""",9.442084087,77.73844359,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7384435944259 9.4420840870589, 77.7383074723184 9.44443428888917)"
29,28,,S,DA,26,27-28,260.5551765,1.95,124,,9.444434289,77.73830747,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7383074723184 9.44443428888917, 77.7380613796412 9.44668591953814)"
30,29,,T,DD,28,28-29,250.6830668,2.11,123,"70°40'35""",9.44668592,77.73806138,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7380613796412 9.44668591953814, 77.7403352223336 9.44769820198416)"
31,30,,S,DA,26,29-30,273.8558015,3.18,123,,9.447698202,77.74033522,GOOD,Available,"LT-2,HT",TARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7403352223336 9.44769820198416, 77.7425723522901 9.44868357852101)"
32,31,2W,T,DC,26,30-31,268.9721175,3.61,120,"19°4'57""",9.448683579,77.74257235,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7425723522901 9.44868357852101, 77.7442867029458 9.45028745569288)"
33,32,,S,DA,26,31-32,258.8628981,3.55,119,,9.450287456,77.7442867,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7442867029458 9.45028745569288, 77.7457717247307 9.45165823213756)"
34,33,,T,DC,26,32-33,222.8295313,2.92,123,"25°21'55""",9.451658232,77.74577172,GOOD,Available,,TARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7457717247307 9.45165823213756, 77.7467838395386 9.45420716889202)"
35,34,,T,DD,28,33-34,303.2655602,2.88,124,"39°32'10""",9.454207169,77.74678384,GOOD,Available,LT-2 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7467838395386 9.45420716889202, 77.7485842723399 9.45519598200917)"
36,35,,T,DC,26,35-36,253.2923212,2.86,125,"29°28'33""",9.455195982,77.74858427,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7485842723399 9.45519598200917, 77.7508657425642 9.45487093180418)"
37,36,,T,DD,28,34-35,226.1194375,2.07,124,"37°6'48""",9.454870932,77.75086574,GOOD,Available,LT,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7508657425642 9.45487093180418, 77.7531294431537 9.45574759505689)"
38,37,,T,DB,24,36-37,267.0299609,1.37,125,"5°6'30""",9.455747595,77.75312944,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7531294431537 9.45574759505689, 77.7551849372684 9.45676147006452)"
39,38,,T,DD,28,37-38,252.232036,1.48,124,"53°32'38""",9.45676147,77.75518494,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7551849372684 9.45676147006452, 77.7555469516664 9.45879148319363)"
40,39,,T,DB,24,38-39,228.1863274,1.62,125,"1°43'26""",9.458791483,77.75554695,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7555469516664 9.45879148319363, 77.7558874245733 9.46041505783796)"
41,40,,T,DB,24,39-40,183.5647025,1.39,122,"1°28'25""",9.460415058,77.75588742,GOOD,Available,HT,"RAILWAY,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7558874245733 9.46041505783796, 77.7561417315155 9.46148827672004)"
42,41,,T,DD,28,40-41,122.0245877,1.23,122,"88°44'50""",9.461488277,77.75614173,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7561417315155 9.46148827672004, 77.755778459832 9.46158148348331)"
43,42,,T,DD,28,41-42,41.23105626,2.07,122,"69°50'54""",9.461581483,77.75577846,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.755778459832 9.46158148348331, 77.7557279169559 9.4620878342539)"
44,43,,T,DD,28,42-43,56.32051136,2.09,129,"103°14'26""",9.462087834,77.75572792,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7557279169559 9.4620878342539, 77.7560915239155 9.46203980594873)"
45,GT 110KV SIVAKASI SS,2W,T,GT,15,43-GT,40.31128874,,136,,9.462039806,77.75609152,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
