S.Noy,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,161,,S,DA,26,160-161,285.1012716,8.52,148.997757,,9.39532103,77.54655501,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5465550087392 9.39532103016972, 77.546988017857 9.3924540001899)"
30,162,,S,DA,26,161-162,320.833567,4.11,148.165634,,9.392454,77.54698802,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.546988017857 9.3924540001899, 77.5474230386316 9.38963499851524)"
31,163,,S,DA,26,162-163,315.6117403,2.41,147.272583,,9.389634999,77.54742304,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5474230386316 9.38963499851524, 77.5478579755872 9.386862013489)"
32,164,,S,DA,26,163-164,310.5776526,5.1,145.42627,,9.386862013,77.54785798,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5478579755872 9.386862013489, 77.5482869613915 9.38414602540433)"
33,165,,S,DA,26,164-165,304.2447681,3.25,145.532196,"22°32'46"" L",9.384146025,77.54828696,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5482869613915 9.38414602540433, 77.5489689968526 9.38303902745246)"
34, X,2W,T,DC,26,165- X,143.6202725,4.19,144.022888,"40°43'22"" R",9.383039027,77.548969,GOOD,Available,110 KV ,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5489689968526 9.38303902745246, 77.5487000215798 9.38140103593468)"
35,166,,S,DA,26, X-166,183.6658603,6.53,144.936157,"18°21'9"" L",9.381401036,77.54870002,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5487000215798 9.38140103593468, 77.5491369701921 9.3786889873445)"
36,167,,S,DA,26,166-167,303.9513359,8.03,144.758636,,9.378688987,77.54913697,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5491369701921 9.3786889873445, 77.549578025937 9.37579697929322)"
37,168,,S,DA,26,167-168,323.6994472,5.82,143.082611,,9.375796979,77.54957803,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.549578025937 9.37579697929322, 77.5500070117414 9.37308300286531)"
38,169,,S,DA,26,168-169,304.0252994,6.07,141.214005,,9.373083003,77.55000701,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5500070117414 9.37308300286531, 77.5504469778388 9.37035704031586)"
39,170,,S,DA,26,169-170,305.5245783,2.86,141.340302,,9.37035704,77.55044698,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5504469778388 9.37035704031586, 77.5508550088852 9.36764298006892)"
40,171,,S,DA,26,170-171,303.6860649,4.2,141.014145,,9.36764298,77.55085501,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5508550088852 9.36764298006892, 77.5512590166181 9.36494995839893)"
41,172,2W,T,DC,26,171-172,301.3181361,2.16,140.903976,,9.364949958,77.55125902,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
