S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,8,T,C+0,28,H POLE-8,78,0.23,213.821625,24°57'47''RT,9.93406,77.7921,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7921 9.93406, 77.7925 9.93138)"
12,9,S,A+0,25,8-9,303,2.32,213.177001999999,,9.93138,77.7925,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7925 9.93138, 77.7929 9.92867)"
13,10,S,A+0,25,9-10,306,3.52,211.480483999999,,9.92867,77.7929,GOOD,AVAILABLE,LT -3 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7929 9.92867, 77.7933 9.92601)"
14,11,S,A+0,25,10-11,299,6.99,209.80394,,9.92601,77.7933,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7933 9.92601, 77.7937 9.92338)"
15,12,S,A+0,25,11-12,297,3.86,209.851456,,9.92338,77.7937,GOOD,AVAILABLE,"LT- 3NO, 11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7937 9.92338, 77.794 9.92066)"
16,13,S,A+0,25,12-13,307,0.25,207.711273,,9.92066,77.794,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.794 9.92066, 77.7944 9.9185)"
17,14,T,C+0,28,13-14,245,1.27,208.161682,34°1'55''LT,9.9185,77.7944,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7944 9.9185, 77.7931 9.91651)"
18,15,S,A+0,25,14-15,261,0.83,209.072173999999,,9.91651,77.7931,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7931 9.91651, 77.7918 9.91443)"
19,16,S,A+0,25,15-16,275,3.72,205.826598999999,,9.91443,77.7918,GOOD,AVAILABLE,,Usilampatti- Peraiur Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7918 9.91443, 77.7903 9.91214)"
20,17,S,A+0,25,16-17,301,2.81,205.303131,,9.91214,77.7903,GOOD,AVAILABLE,LT-2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7903 9.91214, 77.7888 9.90978)"
21,18,S,A+0,25,17-18,312,6.25,205.611893,,9.90978,77.7888,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7888 9.90978, 77.7873 9.90738)"
22,19,S,A+0,25,18-19,315,6.12,206.071105999999,,9.90738,77.7873,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7873 9.90738, 77.786 9.90522)"
23,20,S,A+0,25,19-20,285,4.46,204.870102,,9.90522,77.786,GOOD,AVAILABLE,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.786 9.90522, 77.7845 9.90294)"
24,21,S,A+0,25,20-21,300,6.41,202.570495999999,,9.90294,77.7845,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7845 9.90294, 77.7831 9.90066)"
25,22,S,A+0,25,21-22,300,5.87,203.188141,,9.90066,77.7831,GOOD,AVAILABLE,"11KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7831 9.90066, 77.7816 9.89823)"
26,23,T,C+0,28,22-23,319,1.32,200.819976999999,0°43'31''RT,9.89823,77.7816,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7816 9.89823, 77.7801 9.89593)"
27,24,S,A+0,25,23-24,304,1.25,201.239487,,9.89593,77.7801,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7801 9.89593, 77.7786 9.89351)"
28,25,S,A+0,25,24-25,319,3.3,199.180648999999,,9.89351,77.7786,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7786 9.89351, 77.7771 9.89119)"
29,26,S,A+0,25,25-26,308,4.26,197.966675,,9.89119,77.7771,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7771 9.89119, 77.7758 9.88929)"
,27,S,A+0,25,26-27,253,1.41,197.706145999999,,9.88929,77.7758,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7758 9.88929, 77.7744 9.88699)"
30,28,S,A+0,25,27-28,300,0.99,195.851409999999,,9.88699,77.7744,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7744 9.88699, 77.7732 9.88501)"
31,29,S,A+0,25,28-29,262,7.54,193.966629,,9.88501,77.7732,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7732 9.88501, 77.7721 9.88337)"
32,30,T,C+0,28,29-30,217,1.11,193.595718,6°31'1''RT,9.88337,77.7721,GOOD,AVAILABLE,LT - 2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7721 9.88337, 77.7707 9.88226)"
33,LILO CHI,S,A+0,25,30-LILO CHI,203,,192.940307999999,,9.88226,77.7707,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7707 9.88226, 77.7698 9.88173)"
34,31,S,A+0,25,LILO CHI-31,118,3.24,190.569534,,9.88173,77.7698,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7698 9.88173, 77.7675 9.88016)"
35,32,S,A+0,25,31-32,305,5.68,189.701507999999,,9.88016,77.7675,GOOD,AVAILABLE,LT -2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7675 9.88016, 77.7653 9.87861)"
36,33,S,A+0,25,32-33,299,0.25,196.090713999999,,9.87861,77.7653,GOOD,AVAILABLE,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7653 9.87861, 77.7633 9.87719)"
37,34,S,A+0,25,33-34,276,4.33,195.534546,,9.87719,77.7633,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7633 9.87719, 77.7612 9.87574)"
38,35,S,A+0,25,34-35,281,0.32,194.762679999999,,9.87574,77.7612,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7612 9.87574, 77.7592 9.87438)"
39,36,S,A+0,25,35-36,265,7.04,194.767318999999,,9.87438,77.7592,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7592 9.87438, 77.7569 9.87276)"
40,37,S,A+0,25,36-37,313,2.18,196.382507,,9.87276,77.7569,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7569 9.87276, 77.7546 9.87111)"
41,38,S,A+0,25,37-38,319,4.35,195.495254999999,,9.87111,77.7546,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7546 9.87111, 77.7524 9.86962)"
42,39,S,A+0,25,38-39,292,5.38,196.878082,,9.86962,77.7524,GOOD,AVAILABLE,11KV,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7524 9.86962, 77.7502 9.86808)"
43,40,S,A+0,25,39-40,298,7.5,197.302428999999,,9.86808,77.7502,GOOD,AVAILABLE,"11KV, LT- 2NO",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7502 9.86808, 77.7478 9.86643)"
44,41,S,A+0,25,40-41,322,1.33,195.994919,,9.86643,77.7478,GOOD,AVAILABLE,LT - 2 NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7478 9.86643, 77.7456 9.86486)"
45,42,S,A+0,25,41-42,306,3.66,198.156326,,9.86486,77.7456,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7456 9.86486, 77.7439 9.86375)"
46,43,S,A+0,25,42-43,218,4.56,196.994034,,9.86375,77.7439,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7439 9.86375, 77.7423 9.86257)"
47,44,T,C+0,28,43-44,229,2.34,197.061462,22°33'38''RT,9.86257,77.7423,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7423 9.86257, 77.7395 9.86196)"
48,45,S,A+0,25,44-45,317,1.01,198.889739999999,,9.86196,77.7395,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7395 9.86196, 77.7369 9.86136)"
49,46,S,A+0,25,45-46,296,6.85,199.02681,,9.86136,77.7369,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7369 9.86136, 77.734 9.86069)"
50,47,S,A+0,25,46-47,326,1.38,200.036041,,9.86069,77.734,GOOD,AVAILABLE,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.734 9.86069, 77.7312 9.86005)"
51,48,S,A+0,25,47-48,316,0.49,200,,9.86005,77.7312,GOOD,AVAILABLE,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7312 9.86005, 77.7287 9.85948)"
52,49,S,A+0,25,48-49,281,4.36,199.431946,,9.85948,77.7287,GOOD,AVAILABLE,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7287 9.85948, 77.7261 9.85884)"
53,50,S,A+0,25,49-50,305,5.6,200.547928,,9.85884,77.7261,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7261 9.85884, 77.7232 9.85816)"
54,51,S,A+0,25,50-51,321,1.54,202.268188,,9.85816,77.7232,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7232 9.85816, 77.7206 9.85754)"
55,52,T,C+0,28,51-52,297,5.34,201.373946999999,1°32'15''RT,9.85754,77.7206,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7206 9.85754, 77.718 9.85698)"
56,53,S,A+0,25,52-53,302,3.52,203.978302,,9.85698,77.718,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718 9.85698, 77.7153 9.85641)"
57,54,S,A+0,25,53-54,305,3.25,206.076782,,9.85641,77.7153,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7153 9.85641, 77.7125 9.85585)"
58,55,S,A+0,25,54-55,307,2.98,205.614014,,9.85585,77.7125,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7125 9.85585, 77.71 9.85532)"
59,56,S,A+0,25,55-56,292,0.97,205.670441,,9.85532,77.71,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71 9.85532, 77.7074 9.85478)"
,57,S,A+0,25,56-57,291,5.01,207.422194999999,,9.85478,77.7074,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7074 9.85478, 77.7051 9.8543)"
60,58,S,A+0,25,57-58,263,6.5,206.4104,,9.8543,77.7051,GOOD,AVAILABLE,LT -2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7051 9.8543, 77.7023 9.85371)"
61,59,T,C+0,28,58-59,313,1.56,207.440338,19°55'42''RT,9.85371,77.7023,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7023 9.85371, 77.6995 9.85408)"
62,60,S,A+0,25,59-60,308,1.21,208.486663999999,,9.85408,77.6995,GOOD,AVAILABLE,"11KV, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6995 9.85408, 77.6968 9.85442)"
63,61,S,A+0,25,60-61,307,0.6,208.886474999999,,9.85442,77.6968,GOOD,AVAILABLE,"11KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6968 9.85442, 77.6942 9.85477)"
64,62,S,A+0,25,61-62,293,0.38,210.494293,,9.85477,77.6942,GOOD,AVAILABLE,LT- 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6942 9.85477, 77.6921 9.85499)"
65,63,T,C+0,28,62-63,229,1.44,211.715744,60°49'48''RT,9.85499,77.6921,GOOD,AVAILABLE,LT -2 NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6921 9.85499, 77.6914 9.8566)"
66,64,S,A+0,25,63-64,196,0.78,213.290359,,9.8566,77.6914,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6914 9.8566, 77.6907 9.85828)"
67,65,T,C+0,28,64-65,206,2.64,213.792191,7°22'22''LT,9.85828,77.6907,GOOD,AVAILABLE,LT- 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6907 9.85828, 77.6907 9.85863)"
68,ELU GANTRY,T,GANTRY,12,65-ELU GANTRY,42,,213.723662999999,14°21'60''LT,9.85863,77.6907,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,=SUM(G7:G76),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
